date,ARBAAASTW
2022-10-12,537671.0
2022-10-19,536328.0
2022-10-26,535594.0
2022-11-02,538042.0
2022-11-09,537270.0
2022-11-16,540946.0
2022-11-23,538703.0
2022-11-30,539219.0
2022-12-07,543138.0
2022-12-14,545162.0
2022-12-21,541933.0
2022-12-28,537695.0
2023-01-04,536759.0
2023-01-11,537303.0
2023-01-18,538755.0
2023-01-25,540419.0
2023-02-01,537865.0
2023-02-08,536058.0
2023-02-15,532987.0
2023-02-22,531451.0
2023-03-01,530927.0
2023-03-08,532644.0
2023-03-15,537970.0
2023-03-22,538768.0
2023-03-29,543891.0
2023-04-05,546087.0
2023-04-12,545472.0
2023-04-19,541394.0
2023-04-26,525472.0
2023-05-03,522371.0
2023-05-10,519937.0
2023-05-17,519777.0
2023-05-24,516229.0
2023-05-31,515860.0
2023-06-07,510769.0
2023-06-14,504651.0
2023-06-21,504295.0
2023-06-28,506865.0
2023-07-05,505048.0
2023-07-12,502750.0
2023-07-19,498471.0
2023-07-26,495270.0
2023-08-02,494396.0
2023-08-09,492054.0
2023-08-16,487549.0
2023-08-23,481951.0
2023-08-30,480292.0
2023-09-06,470769.0
2023-09-13,464348.0
2023-09-20,457088.0
2023-09-27,441180.0
2023-10-04,435295.0
2023-10-11,437807.0
2023-10-18,434736.0
2023-10-25,432023.0
2023-11-01,430506.0
2023-11-08,434425.0
2023-11-15,432730.0
2023-11-22,430839.0
2023-11-29,430720.0
2023-12-06,432328.0
2023-12-13,432578.0
2023-12-20,437512.0
2023-12-27,438228.0
2024-01-03,436768.0
2024-01-10,435043.0
2024-01-17,432553.0
2024-01-24,431006.0
2024-01-31,434072.0
2024-02-07,433551.0
2024-02-14,431499.0
2024-02-21,432031.0
2024-02-28,426807.0
2024-03-06,427407.0
2024-03-13,425987.0
2024-03-20,425506.0
2024-03-27,426958.0
2024-04-03,426375.0
2024-04-10,424932.0
2024-04-17,420728.0
2024-04-24,395913.0
2024-05-01,394950.0
2024-05-08,395477.0
2024-05-15,390556.0
2024-05-22,383994.0
2024-05-29,371863.0
2024-06-05,362967.0
2024-06-12,352811.0
2024-06-19,345978.0
2024-06-26,320860.0
2024-07-03,313803.0
2024-07-10,316266.0
2024-07-17,317768.0
2024-07-24,318830.0
2024-07-31,326292.0
2024-08-07,330853.0
2024-08-14,333345.0
2024-08-21,331918.0
2024-08-28,328060.0
2024-09-04,321603.0
2024-09-11,322252.0
2024-09-18,323778.0
2024-09-25,328945.0
2024-10-02,331963.0
2024-10-09,329989.0
2024-10-16,329486.0
2024-10-23,320621.0
2024-10-30,322308.0
2024-11-06,323272.0
2024-11-13,322339.0
2024-11-20,324903.0
2024-11-27,308944.0
2024-12-04,310342.0
2024-12-11,309349.0
2024-12-18,311341.0
2024-12-25,310534.0
2025-01-01,310313.0
2025-01-08,307554.0
2025-01-15,305157.0
2025-01-22,306759.0
2025-01-29,309386.0
2025-02-05,311636.0
2025-02-12,309839.0
2025-02-19,308191.0
2025-02-26,309985.0
2025-03-05,312048.0
2025-03-12,311994.0
2025-03-19,312797.0
2025-03-26,314237.0
2025-04-02,313950.0
2025-04-09,318214.0
2025-04-16,318482.0
2025-04-23,295662.0
2025-04-30,294888.0
2025-05-07,293028.0
2025-05-14,289999.0
2025-05-21,288274.0
2025-05-28,287846.0
2025-06-04,288019.0
2025-06-11,287321.0
2025-06-18,289428.0
2025-06-25,292592.0
2025-07-02,293675.0
2025-07-09,294187.0
2025-07-16,290775.0
2025-07-23,285514.0
2025-07-30,284775.0
2025-08-06,284600.0
2025-08-13,287026.0
2025-08-20,284215.0
2025-08-27,286157.0
2025-09-03,284881.0
2025-09-10,286491.0
2025-09-17,287934.0
2025-09-24,287406.0
2025-10-01,286906.0
2025-10-08,287137.0
2025-10-15,286491.0
2025-10-22,284579.0
2025-10-29,285920.0
2025-11-05,285498.0
2025-11-12,285285.0
2025-11-19,286271.0
2025-11-26,261164.0
2025-12-03,262234.0
2025-12-10,262444.0
2025-12-17,263414.0
2025-12-24,264057.0
2025-12-31,262734.0
2026-01-07,260135.0
2026-01-14,261147.0
2026-01-21,257729.0
2026-01-28,255986.0
2026-02-04,257004.0
2026-02-11,256750.0
2026-02-18,257543.0
2026-02-25,258025.0
2026-03-04,258817.0
2026-03-11,256883.0
2026-03-18,257117.0
2026-03-25,258548.0
2026-04-01,260621.0
2026-04-08,260327.0
2026-04-15,259497.0
2026-04-22,238038.0
2026-04-29,239120.0
2026-05-06,240050.0
2026-05-13,239800.0
2026-05-20,240253.0
2026-05-27,239240.0
2026-06-03,240239.0
2026-06-10,242370.0
2026-06-17,245457.0
2026-06-24,248375.0
2026-07-01,248236.0
2026-07-08,248193.0
2026-07-15,247182.0
2026-07-22,244848.0
2026-07-29,248893.0
2026-08-05,248005.0
2026-08-12,247258.0
2026-08-19,245987.0
2026-08-26,245215.0
2026-09-02,243713.0
2026-09-09,243843.0
