date,ARBALNOIW
2022-04-27,102499.0
2022-05-04,102559.0
2022-05-11,102499.0
2022-05-18,102475.0
2022-05-25,102466.0
2022-06-01,102396.0
2022-06-08,102426.0
2022-06-15,102307.0
2022-06-22,102290.0
2022-06-29,102345.0
2022-07-06,102282.0
2022-07-13,102167.0
2022-07-20,102117.0
2022-07-27,102221.0
2022-08-03,102338.0
2022-08-10,102318.0
2022-08-17,102307.0
2022-08-24,102317.0
2022-08-31,102414.0
2022-09-07,102362.0
2022-09-14,102358.0
2022-09-21,102634.0
2022-09-28,102742.0
2022-10-05,102746.0
2022-10-12,102732.0
2022-10-19,102675.0
2022-10-26,102715.0
2022-11-02,102696.0
2022-11-09,102823.0
2022-11-16,102777.0
2022-11-23,102850.0
2022-11-30,102991.0
2022-12-07,103181.0
2022-12-14,103423.0
2022-12-21,103885.0
2022-12-28,103995.0
2023-01-04,103981.0
2023-01-11,103913.0
2023-01-18,103844.0
2023-01-25,103612.0
2023-02-01,103598.0
2023-02-08,103394.0
2023-02-15,103273.0
2023-02-22,103033.0
2023-03-01,102918.0
2023-03-08,102713.0
2023-03-15,102571.0
2023-03-22,102352.0
2023-03-29,102166.0
2023-04-05,102186.0
2023-04-12,102192.0
2023-04-19,102176.0
2023-04-26,102216.0
2023-05-03,102093.0
2023-05-10,101989.0
2023-05-17,101896.0
2023-05-24,101747.0
2023-05-31,101662.0
2023-06-07,101589.0
2023-06-14,101566.0
2023-06-21,101466.0
2023-06-28,101386.0
2023-07-05,101237.0
2023-07-12,101084.0
2023-07-19,100881.0
2023-07-26,100795.0
2023-08-02,100684.0
2023-08-09,100575.0
2023-08-16,100510.0
2023-08-23,100545.0
2023-08-30,100545.0
2023-09-06,100525.0
2023-09-13,100556.0
2023-09-20,100620.0
2023-09-27,100623.0
2023-10-04,100619.0
2023-10-11,100648.0
2023-10-18,100706.0
2023-10-25,100742.0
2023-11-01,100768.0
2023-11-08,100804.0
2023-11-15,100823.0
2023-11-22,101008.0
2023-11-29,101137.0
2023-12-06,101317.0
2023-12-13,101646.0
2023-12-20,102209.0
2023-12-27,102369.0
2024-01-03,102369.0
2024-01-10,102331.0
2024-01-17,102159.0
2024-01-24,102002.0
2024-01-31,101882.0
2024-02-07,101746.0
2024-02-14,101557.0
2024-02-21,101331.0
2024-02-28,101192.0
2024-03-06,100997.0
2024-03-13,100960.0
2024-03-20,100981.0
2024-03-27,101341.0
2024-04-03,101501.0
2024-04-10,101606.0
2024-04-17,101658.0
2024-04-24,101671.0
2024-05-01,101634.0
2024-05-08,101634.0
2024-05-15,101466.0
2024-05-22,101320.0
2024-05-29,101209.0
2024-06-05,101154.0
2024-06-12,101008.0
2024-06-19,100901.0
2024-06-26,100772.0
2024-07-03,100829.0
2024-07-10,100707.0
2024-07-17,100676.0
2024-07-24,100672.0
2024-07-31,100672.0
2024-08-07,100640.0
2024-08-14,100628.0
2024-08-21,100619.0
2024-08-28,100526.0
2024-09-04,100557.0
2024-09-11,100490.0
2024-09-18,100462.0
2024-09-25,100641.0
2024-10-02,100803.0
2024-10-09,100944.0
2024-10-16,101017.0
2024-10-23,101067.0
2024-10-30,101254.0
2024-11-06,101314.0
2024-11-13,101522.0
2024-11-20,101837.0
2024-11-27,102141.0
2024-12-04,102355.0
2024-12-11,102817.0
2024-12-18,103287.0
2024-12-25,103699.0
2025-01-01,103699.0
2025-01-08,103812.0
2025-01-15,103627.0
2025-01-22,103602.0
2025-01-29,103644.0
2025-02-05,103642.0
2025-02-12,103551.0
2025-02-19,103543.0
2025-02-26,103382.0
2025-03-05,103259.0
2025-03-12,103259.0
2025-03-19,103238.0
2025-03-26,103129.0
2025-04-02,103086.0
2025-04-09,103442.0
2025-04-16,103735.0
2025-04-23,103795.0
2025-04-30,103799.0
2025-05-07,103717.0
2025-05-14,103703.0
2025-05-21,103613.0
2025-05-28,103676.0
2025-06-04,103685.0
2025-06-11,103685.0
2025-06-18,103781.0
2025-06-25,103753.0
2025-07-02,103814.0
2025-07-09,103737.0
2025-07-16,103759.0
2025-07-23,103724.0
2025-07-30,103919.0
2025-08-06,104094.0
2025-08-13,104339.0
2025-08-20,104394.0
2025-08-27,104494.0
2025-09-03,104527.0
2025-09-10,104518.0
2025-09-17,104677.0
2025-09-24,104903.0
2025-10-01,105351.0
2025-10-08,105529.0
2025-10-15,105756.0
2025-10-22,106233.0
2025-10-29,106387.0
2025-11-05,106871.0
2025-11-12,107044.0
2025-11-19,107361.0
2025-11-26,107427.0
2025-12-03,107802.0
2025-12-10,108224.0
2025-12-17,109105.0
2025-12-24,109253.0
2025-12-31,109253.0
2026-01-07,109137.0
2026-01-14,109015.0
2026-01-21,108786.0
2026-01-28,108520.0
2026-02-04,108391.0
2026-02-11,107825.0
2026-02-18,107591.0
2026-02-25,107483.0
2026-03-04,107248.0
2026-03-11,107098.0
2026-03-18,107033.0
2026-03-25,106897.0
2026-04-01,107167.0
2026-04-08,107167.0
2026-04-15,107142.0
2026-04-22,107199.0
2026-04-29,107253.0
2026-05-06,107197.0
2026-05-13,107265.0
2026-05-20,107196.0
2026-05-27,107236.0
2026-06-03,107257.0
2026-06-10,107287.0
2026-06-17,107212.0
2026-06-24,107292.0
2026-07-01,107334.0
2026-07-08,107285.0
2026-07-15,107427.0
2026-07-22,107551.0
2026-07-29,107644.0
2026-08-05,107750.0
2026-08-12,107943.0
2026-08-19,108092.0
2026-08-26,108323.0
2026-09-02,108500.0
