date,ARBALDOOIW
2024-08-14,1904.0
2024-08-21,1970.0
2024-08-28,1906.0
2024-09-04,1933.0
2024-09-11,1720.0
2024-09-18,1736.0
2024-09-25,1627.0
2024-10-02,1726.0
2024-10-09,2062.0
2024-10-16,1436.0
2024-10-23,1664.0
2024-10-30,1491.0
2024-11-06,1667.0
2024-11-13,1881.0
2024-11-20,1626.0
2024-11-27,2054.0
2024-12-04,2307.0
2024-12-11,1625.0
2024-12-18,1843.0
2024-12-25,2475.0
2025-01-01,1944.0
2025-01-08,1980.0
2025-01-15,2521.0
2025-01-22,2056.0
2025-01-29,2145.0
2025-02-05,1810.0
2025-02-12,1706.0
2025-02-19,2133.0
2025-02-26,2099.0
2025-03-05,2151.0
2025-03-12,2076.0
2025-03-19,1942.0
2025-03-26,1630.0
2025-04-02,1632.0
2025-04-09,2089.0
2025-04-16,1600.0
2025-04-23,2072.0
2025-04-30,1876.0
2025-05-07,2678.0
2025-05-14,1862.0
2025-05-21,2194.0
2025-05-28,1629.0
2025-06-04,1665.0
2025-06-11,1490.0
2025-06-18,1912.0
2025-06-25,2138.0
2025-07-02,2136.0
2025-07-09,1872.0
2025-07-16,2230.0
2025-07-23,2150.0
2025-07-30,1438.0
2025-08-06,1537.0
2025-08-13,1397.0
2025-08-20,2262.0
2025-08-27,1815.0
2025-09-03,1226.0
2025-09-10,1870.0
2025-09-17,1484.0
2025-09-24,1614.0
2025-10-01,1544.0
2025-10-08,910.0
2025-10-15,1187.0
2025-10-22,1704.0
2025-10-29,1267.0
2025-11-05,1064.0
2025-11-12,1096.0
2025-11-19,1010.0
2025-11-26,2165.0
2025-12-03,1593.0
2025-12-10,1816.0
2025-12-17,1697.0
2025-12-24,1045.0
2025-12-31,1134.0
2026-01-07,1620.0
2026-01-14,1366.0
2026-01-21,1115.0
2026-01-28,1111.0
2026-02-04,1123.0
2026-02-11,973.0
2026-02-18,1720.0
2026-02-25,1528.0
2026-03-04,2181.0
2026-03-11,962.0
2026-03-18,967.0
2026-03-25,1148.0
2026-04-01,1337.0
2026-04-08,1540.0
2026-04-15,2012.0
2026-04-22,2751.0
2026-04-29,1328.0
2026-05-06,1449.0
2026-05-13,1393.0
2026-05-20,1925.0
2026-05-27,2367.0
2026-06-03,1841.0
2026-06-10,2003.0
2026-06-17,1522.0
2026-06-24,1852.0
2026-07-01,1342.0
2026-07-08,1205.0
2026-07-15,1118.0
2026-07-22,1304.0
2026-07-29,1165.0
2026-08-05,1271.0
2026-08-12,1269.0
2026-08-19,1025.0
2026-08-26,1244.0
2026-09-02,1504.0
