date,ARBAAGFXW
2025-10-29,111792.0
2025-11-05,112363.0
2025-11-12,111446.0
2025-11-19,114715.0
2025-11-26,110933.0
2025-12-03,112183.0
2025-12-10,113404.0
2025-12-17,113817.0
2025-12-24,110338.0
2025-12-31,112902.0
2026-01-07,115305.0
2026-01-14,113286.0
2026-01-21,112351.0
2026-01-28,110579.0
2026-02-04,109344.0
2026-02-11,106868.0
2026-02-18,109245.0
2026-02-25,107539.0
2026-03-04,107906.0
2026-03-11,106165.0
2026-03-18,114175.0
2026-03-25,110786.0
2026-04-01,113980.0
2026-04-08,111227.0
2026-04-15,118024.0
2026-04-22,113628.0
2026-04-29,111224.0
2026-05-06,114810.0
2026-05-13,117654.0
2026-05-20,116476.0
2026-05-27,112092.0
2026-06-03,112807.0
2026-06-10,111278.0
2026-06-17,113526.0
2026-06-24,115393.0
2026-07-01,112597.0
2026-07-08,112520.0
2026-07-15,109309.0
2026-07-22,111886.0
2026-07-29,108824.0
2026-08-05,109143.0
2026-08-12,108187.0
2026-08-19,111722.0
2026-08-26,110626.0
2026-09-02,110692.0
2026-09-09,110224.0
