date,AORROMO
2025-04-30,26087.0
2025-05-01,26090.0
2025-05-02,26093.0
2025-05-05,26102.0
2025-05-06,26105.0
2025-05-07,24705.0
2025-05-08,24708.0
2025-05-09,24711.0
2025-05-12,24719.0
2025-05-13,24722.0
2025-05-14,23071.0
2025-05-15,23074.0
2025-05-16,23077.0
2025-05-19,23086.0
2025-05-20,23087.0
2025-05-21,20418.0
2025-05-22,20427.0
2025-05-23,20422.0
2025-05-26,20430.0
2025-05-27,20431.0
2025-05-28,19956.0
2025-05-29,19961.0
2025-05-30,19961.0
2025-06-02,19967.0
2025-06-03,19970.0
2025-06-04,19394.0
2025-06-05,19397.0
2025-06-06,19398.0
2025-06-10,19407.0
2025-06-11,19178.0
2025-06-12,19181.0
2025-06-13,19182.0
2025-06-16,19188.0
2025-06-17,19191.0
2025-06-18,20567.0
2025-06-19,20569.0
2025-06-20,20571.0
2025-06-23,20579.0
2025-06-24,20580.0
2025-06-25,22777.0
2025-06-26,22780.0
2025-06-27,22782.0
2025-06-30,22790.0
2025-07-01,22792.0
2025-07-02,23925.0
2025-07-03,23928.0
2025-07-04,23930.0
2025-07-07,23938.0
2025-07-08,23941.0
2025-07-09,25609.0
2025-07-10,25613.0
2025-07-11,25615.0
2025-07-14,25623.0
2025-07-15,25626.0
2025-07-16,22492.0
2025-07-17,22495.0
2025-07-18,22497.0
2025-07-21,22504.0
2025-07-22,22508.0
2025-07-23,20743.0
2025-07-24,20745.0
2025-07-25,20748.0
2025-07-28,20754.0
2025-07-29,20757.0
2025-07-30,19614.0
2025-07-31,19616.0
2025-08-01,19619.0
2025-08-04,19625.0
2025-08-05,19627.0
2025-08-06,19340.0
2025-08-07,19343.0
2025-08-08,19344.0
2025-08-11,19351.0
2025-08-12,19353.0
2025-08-13,21097.0
2025-08-14,21099.0
2025-08-15,21101.0
2025-08-18,21108.0
2025-08-19,21110.0
2025-08-20,18667.0
2025-08-21,18670.0
2025-08-22,18671.0
2025-08-25,18677.0
2025-08-26,18679.0
2025-08-27,20795.0
2025-08-28,20797.0
2025-08-29,20799.0
2025-09-01,20805.0
2025-09-02,20807.0
2025-09-03,20055.0
2025-09-04,20057.0
2025-09-05,20059.0
2025-09-08,20065.0
2025-09-09,20068.0
2025-09-10,20768.0
2025-09-11,20770.0
2025-09-12,20772.0
2025-09-15,20779.0
2025-09-16,20781.0
2025-09-17,21803.0
2025-09-18,21806.0
2025-09-19,21808.0
2025-09-22,21814.0
2025-09-23,21817.0
2025-09-24,21819.0
2025-09-25,21821.0
2025-09-26,21824.0
2025-09-29,21830.0
2025-09-30,21832.0
2025-10-01,21642.0
2025-10-02,21645.0
2025-10-03,21647.0
2025-10-06,21653.0
2025-10-07,21656.0
2025-10-08,21068.0
2025-10-09,21070.0
