"nid","list_date","title","plazo","denominacion","auction","maturity","settlement","nominal_bid","nominal_alloc","nominal_2nd","cash_alloc","cash_2nd","btc","avg_yield","marginal_yield"
"34379","2023-03-07","Subasta de Letras a 12 meses","12 MESES","","2023-03-07","2024-03-08","2023-03-10","5974.85","4034.75","0.00","3903.96","0.00","1.48","3.295","3.335"
"34402","2023-03-02","Subasta de Obligaciones €i a 15 años","","O€i 0,70%","2023-03-02","2033-11-30","2023-03-07","977.19","502.18","96.03","564.93","107.93","1.95","1.164","1.176"
"34406","2023-03-14","Subasta de Letras a 3 meses","3 MESES","","2023-03-14","2023-06-09","2023-03-17","1748.85","553.16","40.40","549.76","40.15","3.16","2.638","2.670"
"34407","2023-03-14","Subasta de Letras a 9 meses","9 MESES","","2023-03-14","2023-12-08","2023-03-17","4350.83","1300.00","255.14","1271.57","249.54","3.35","3.021","3.034"
"34410","2023-03-16","Subasta de Bonos a 5 años","5 AÑOS","O 0,00% (VR 4a 10m)","2023-03-16","2028-01-31","2023-03-21","4019.70","2479.49","481.28","2148.66","416.93","1.62","2.983","2.993"
"34412","2023-03-16","Subasta de Obligaciones a 10 años","10 AÑOS","O 3,15%","2023-03-16","2033-04-30","2023-03-21","3440.62","2165.52","435.81","2134.97","429.23","1.59","3.361","3.376"
"34413","2023-03-16","Subasta de Obligaciones a 30 años","30 AÑOS","O 1,90%","2023-03-16","2052-10-31","2023-03-21","2608.23","1653.21","324.66","1109.58","217.55","1.58","3.810","3.821"
"34563","2023-04-11","Subasta de Letras a 6 meses","6 MESES","","2023-04-11","2023-10-06","2023-04-14","2947.81","803.29","6.80","791.76","6.70","3.67","2.994","3.005"
"34564","2023-04-11","Subasta de Letras a 12 meses","12 MESES","","2023-04-11","2024-04-12","2023-04-14","5299.25","4037.07","0.00","3912.79","0.00","1.31","3.128","3.169"
"34567","2023-04-13","Subasta de Bonos a 3 años","3 AÑOS","B 2,80%","2023-04-13","2026-05-31","2023-04-18","3286.49","2505.87","0.00","2507.87","0.00","1.31","3.004","3.022"
"34569","2023-04-13","Subasta de Obligaciones a 10 años","10 AÑOS","O 3,15%","2023-04-13","2033-04-30","2023-04-18","3499.77","2539.67","0.00","2501.78","0.00","1.38","3.401","3.416"
"34570","2023-04-13","Subasta de Obligaciones a 15 años","15 AÑOS","O 1,00% (VR 19a 3m)","2023-04-13","2042-07-30","2023-04-18","2206.23","1441.23","0.00","906.13","0.00","1.53","3.802","3.812"
"34573","2023-04-13","Subasta de Obligaciones €i a 15 años","","O€i 0,70%","2023-04-13","2033-11-30","2023-04-18","934.27","479.27","0.00","547.32","0.00","1.95","1.055","1.065"
"34662","2023-04-18","Subasta de Letras a 3 meses","3 MESES","","2023-04-18","2023-07-07","2023-04-21","1983.96","463.36","15.19","460.48","15.09","4.28","2.917","2.940"
"34663","2023-04-18","Subasta de Letras a 9 meses","9 MESES","","2023-04-18","2024-01-12","2023-04-21","3383.49","1522.00","0.00","1487.08","0.00","2.22","3.169","3.199"
"34666","2023-04-20","Subasta de Bonos a 5 años","5 AÑOS","0 0,80% (7A)","2023-04-20","2029-07-30","2023-04-25","3428.35","2276.24","303.09","1976.94","263.05","1.51","3.257","3.272"
"34668","2023-04-20","Subasta de Obligaciones a 10 años","10 AÑOS","O 3,15%","2023-04-20","2033-04-30","2023-04-25","3811.71","2756.62","515.66","2692.97","503.39","1.38","3.509","3.520"
"34669","2023-04-20","Subasta de Obligaciones a 30 años","30 AÑOS","O 2,70% (VR 25a 6m)","2023-04-20","2048-10-31","2023-04-25","1792.58","1392.55","79.82","1137.80","65.08","1.29","3.926","3.940"
"34820","2023-05-04","Subasta de Obligaciones a 15 años","15 AÑOS","O 1,20% (VR 17a 6m)","2023-05-04","2040-10-31","2023-05-09","2236.64","1771.64","0.00","1209.97","0.00","1.26","3.751","3.770"
"34822","2023-05-04","Subasta de Bonos €i a 5 años","","O€i 0,65% (VR 4a 7m)","2023-05-04","2027-11-30","2023-05-09","1124.26","559.26","92.80","676.06","112.11","2.01","0.652","0.671"
"34824","2023-05-04","Subasta de Bonos a 3 años","3 AÑOS","B 2,80%","2023-05-04","2026-05-31","2023-05-09","3982.79","2431.44","171.64","2442.08","172.36","1.64","2.941","2.949"
"34825","2023-05-04","Subasta de Bonos a 5 años","5 AÑOS","O 0,00% (VR 4a 9m)","2023-05-04","2028-01-31","2023-05-09","3339.38","2174.32","0.00","1897.05","0.00","1.54","2.922","2.937"
"34893","2023-05-09","Subasta de Letras a 6 meses","6 MESES","","2023-05-09","2023-11-10","2023-05-12","3305.81","900.12","0.00","886.07","0.00","3.67","3.129","3.143"
"34894","2023-05-09","Subasta de Letras a 12 meses","12 MESES","","2023-05-09","2024-05-10","2023-05-12","5505.50","3854.32","0.00","3732.63","0.00","1.43","3.216","3.247"
"34910","2023-05-16","Subasta de Letras a 3 meses","3 MESES","","2023-05-16","2023-08-11","2023-05-19","1906.27","401.09","19.51","398.23","19.37","4.75","3.061","3.090"
"34911","2023-05-16","Subasta de Letras a 9 meses","9 MESES","","2023-05-16","2024-02-09","2023-05-19","4312.94","1596.49","23.90","1559.42","23.34","2.70","3.212","3.222"
"34914","2023-05-18","Subasta de Obligaciones a 15 años","15 AÑOS","O 3,45% (20A)","2023-05-18","2043-07-30","2023-05-23","2618.64","2118.64","323.30","2007.93","305.94","1.24","3.991","4.007"
"34922","2023-05-18","Subasta de Bonos a 3 años","3 AÑOS","B 0,00%(VR 2a)","2023-05-18","2025-05-31","2023-05-23","2918.28","1603.28","289.80","1508.45","272.56","1.82","3.046","3.071"
"34923","2023-05-18","Subasta de Bonos a 5 años","5 AÑOS","B 0,00%","2023-05-18","2027-01-31","2023-05-23","2241.85","1306.85","38.42","1170.25","34.39","1.72","3.027","3.043"
"34924","2023-05-18","Subasta de Bonos a 5 años","5 AÑOS","O 1,40% (VR 5a 2m)","2023-05-18","2028-07-30","2023-05-23","2452.20","1482.19","4.06","1380.65","3.78","1.65","3.086","3.097"
"35073","2023-06-01","Subasta de Bonos a 3 años","3 AÑOS","B 2,80%","2023-06-01","2026-05-31","2023-06-06","4481.93","2206.80","0.00","2191.99","0.00","2.03","3.049","3.058"
"35074","2023-06-01","Subasta de Bonos a 5 años","5 AÑOS","O 0,80% (7A)","2023-06-01","2029-07-30","2023-06-06","3766.32","2076.14","0.00","1828.83","0.00","1.81","3.076","3.082"
"35077","2023-06-01","Subasta de Obligaciones a 30 años","30 AÑOS","O 1,90%","2023-06-01","2052-10-31","2023-06-06","3003.23","1737.19","258.27","1136.87","168.86","1.73","3.978","3.985"
"35079","2023-06-01","Subasta de Obligaciones €i a 15 años","","O€i 0,70%","2023-06-01","2033-11-30","2023-06-06","924.25","514.21","96.19","591.47","110.56","1.80","1.131","1.141"
"35145","2023-05-16","Subasta de Letras a 3 meses","3 MESES","","2023-05-16","2023-08-11","2023-05-19","1906.27","401.09","[1]","398.23","[1]","4.75","3.061","3.090"
"35146","2023-05-16","Subasta de Letras a 9 meses","9 MESES","","2023-05-16","2024-02-09","2023-05-19","4312.94","1596.49","23.90","1559.42","23.34","2.70","3.212","3.222"
"35149","2023-06-06","Subasta de Letras a 6 meses","6 MESES","","2023-06-06","2023-12-08","2023-06-09","3240.41","979.31","0.00","962.88","0.00","3.31","3.372","3.392"
