Breakdown of cumulative net purchases under the PEPP,,,,,,,,,,,,,,,,,,
In euro millions,,Net purchases for the period at book value ,,,,,,Quarter-end amortisation adjustment and redemptions of coupon STRIPS,,,,,Holdings*,,,,,
,,Asset Backed Securities,Covered Bonds,Corporate Bonds,Commercial Paper,Public Sector Securities,Total,Asset Backed Securities,Covered Bonds,Corporate Bonds,Commercial Paper,Public Sector Securities,Asset Backed Securities,Covered Bonds,Corporate Bonds,Commercial Paper,Public Sector Securities,Total
,April,0,0,75,0,-39,36,0,0,0,0,0,0,6033,45921,0,1610245,1662199
,May,0,0,0,0,-48,-48,0,0,0,0,0,0,6033,45921,0,1610197,1662152
,June,0,0,1,0,15,16,0,-3,-16,0,-2395,0,6030,45906,0,1607818,1659753
,July,0,-21,-74,0,-7406,-7501,0,0,0,0,0,0,6009,45831,0,1600412,1652252
,August,0,0,10,0,-7493,-7482,0,0,0,0,0,0,6009,45842,0,1592919,1644770
,September,0,-14,-59,0,-4439,-4513,0,-3,-15,0,-2891,0,5992,45767,0,1585588,1637347
,October,0,-8,-362,0,-10148,-10518,0,0,0,0,0,0,5985,45406,0,1575440,1626830
,November,0,0,-112,0,-7375,-7487,0,0,0,0,0,0,5985,45293,0,1568065,1619343
,December,0,-18,-115,0,-7408,-7540,0,-3,-74,0,-2855,0,5964,45105,0,1557802,1608871
2025,January,0,-66,-183,0,-12352,-12601,0,0,0,0,0,0,5898,44922,0,1545450,1596270
,February,0,-116,-81,0,-20409,-20606,0,0,0,0,0,0,5782,44841,0,1525040,1575664
,March,0,-14,-479,0,-23970,-24463,0,-2,-15,0,-2942,0,5767,44347,0,1498128,1548241
,April,0,-355,-1118,0,-16277,-17750,0,0,0,0,0,0,5412,43229,0,1481851,1530492
,May,0,-122,-425,0,-13797,-14344,0,0,0,0,0,0,5290,42805,0,1468054,1516148
,June,0,-45,-293,0,-15533,-15872,0,-2,-16,0,-2287,0,5243,42496,0,1450234,1497972
,July,0,-17,-85,0,-15224,-15327,0,0,0,0,0,0,5226,42411,0,1435009,1482646
,August,0,0,-81,0,-8994,-9074,0,0,0,0,0,0,5226,42330,0,1426016,1473571
,September,0,-26,-648,0,-7864,-8538,0,-2,-35,0,-2697,0,5198,41647,0,1415455,1462300
,October,0,-51,-232,0,-17496,-17779,0,0,0,0,0,0,5147,41414,0,1397959,1444520
,November,0,-13,-158,0,-12906,-13077,0,0,0,0,0,0,5134,41256,0,1385053,1431443
,December,0,-7,-280,0,-5583,-5870,0,-1,-12,0,-2540,0,5125,40965,0,1376929,1423019
2026,January,0,-42,-251,0,-6632,-6925,0,0,0,0,0,0,5083,40714,0,1370297,1416094
,February,0,-78,-348,0,-23660,-24086,0,0,0,0,0,0,5006,40366,0,1346636,1392008
,March,0,-17,-602,0,-16134,-16753,0,-1,-12,0,-3035,0,4987,39753,0,1327468,1372208
,April,0,-10,-287,0,-25821,-26118,0,0,0,0,0,0,4977,39466,0,1301647,1346090
,May,0,-4,-1138,0,-12447,-13589,0,0,0,0,0,0,4973,38328,0,1289200,1332501
,June,0,-20,-750,0,-10933,-11703,0,-1,-12,0,-1306,0,4952,37567,0,1276960,1319479
,July,0,-54,-352,0,-24415,-24821,0,0,0,0,0,0,4898,37215,0,1252545,1294658
,August,0,-56,-539,0,-9220,-9815,0,0,0,0,0,0,4842,36676,0,1243325,1284844
,,,,,,,,,,,,,,,,,,
* End-of-period book value at amortised cost,,,,,,,,,,,,,,,,,,
Figures may be subject to revision,,,,,,,,,,,,,,,,,,

