record_date,catg,close
2006-05-12,D,4813477
2006-05-12,I,3545463
2006-05-15,D,4785963
2006-05-15,I,3546561
2006-05-16,D,4786387
2006-05-16,I,3551775
2006-05-17,D,4786594
2006-05-17,I,3550420
2006-05-18,D,4791542
2006-05-18,I,3553376
2006-05-19,D,4791847
2006-05-19,I,3552601
2006-05-22,D,4791983
2006-05-22,I,3553583
2006-05-23,D,4792617
2006-05-23,I,3560053
2006-05-24,D,4793104
2006-05-24,I,3556081
2006-05-25,D,4794580
2006-05-25,I,3553605
2006-05-26,D,4794638
2006-05-26,I,3553724
2006-05-30,D,4794933
2006-05-30,I,3549054
2006-05-31,D,4807517
2006-05-31,I,3549260
2006-06-01,D,4806953
2006-06-01,I,3535910
2006-06-02,D,4829403
2006-06-02,I,3528954
2006-06-05,D,4829411
2006-06-05,I,3530574
2006-06-06,D,4838920
2006-06-06,I,3534545
2006-06-07,D,4839339
2006-06-07,I,3532829
2006-06-08,D,4838096
2006-06-08,I,3536143
2006-06-09,D,4838687
2006-06-09,I,3536610
2006-06-12,D,4839162
2006-06-12,I,3537005
2006-06-13,D,4839795
2006-06-13,I,3540958
2006-06-14,D,4840378
2006-06-14,I,3534988
2006-06-15,D,4797670
2006-06-15,I,3539620
2006-06-16,D,4797775
2006-06-16,I,3541572
2006-06-19,D,4797927
2006-06-19,I,3546408
2006-06-20,D,4798393
2006-06-20,I,3550638
2006-06-21,D,4798486
2006-06-21,I,3548404
2006-06-22,D,4786725
2006-06-22,I,3553052
2006-06-23,D,4786830
2006-06-23,I,3556547
2006-06-26,D,4787408
2006-06-26,I,3559183
2006-06-27,D,4787916
2006-06-27,I,3562319
2006-06-28,D,4788848
2006-06-28,I,3556961
2006-06-29,D,4785882
2006-06-29,I,3554127
2006-06-30,D,4797204
2006-06-30,I,3622838
2006-07-03,D,4790258
2006-07-03,I,3609079
2006-07-05,D,4790477
2006-07-05,I,3617919
2006-07-06,D,4789669
2006-07-06,I,3619749
2006-07-07,D,4789636
2006-07-07,I,3620646
2006-07-10,D,4789842
2006-07-10,I,3618391
2006-07-11,D,4789893
2006-07-11,I,3623355
2006-07-12,D,4790156
2006-07-12,I,3618290
2006-07-13,D,4796439
2006-07-13,I,3619735
2006-07-14,D,4796819
2006-07-14,I,3619221
2006-07-17,D,4784435
2006-07-17,I,3620379
2006-07-18,D,4785195
2006-07-18,I,3626835
2006-07-19,D,4785988
2006-07-19,I,3622056
2006-07-20,D,4790283
2006-07-20,I,3625358
2006-07-21,D,4790159
2006-07-21,I,3626020
2006-07-24,D,4790271
2006-07-24,I,3627302
2006-07-25,D,4790444
2006-07-25,I,3629479
2006-07-26,D,4791057
2006-07-26,I,3626437
2006-07-27,D,4799236
2006-07-27,I,3627261
2006-07-28,D,4799289
2006-07-28,I,3621661
2006-07-31,D,4819732
2006-07-31,I,3624614
2006-08-01,D,4817319
2006-08-01,I,3618984
2006-08-02,D,4817380
2006-08-02,I,3623378
2006-08-03,D,4829352
2006-08-03,I,3618969
2006-08-04,D,4829246
2006-08-04,I,3619243
2006-08-07,D,4829339
2006-08-07,I,3621758
2006-08-08,D,4829274
2006-08-08,I,3625843
2006-08-09,D,4829437
2006-08-09,I,3618725
2006-08-10,D,4840790
2006-08-10,I,3620168
2006-08-11,D,4840880
2006-08-11,I,3619178
2006-08-14,D,4840999
2006-08-14,I,3618960
2006-08-15,D,4861306
2006-08-15,I,3625871
2006-08-16,D,4861438
2006-08-16,I,3622216
2006-08-17,D,4873589
2006-08-17,I,3627398
2006-08-18,D,4873518
2006-08-18,I,3627414
2006-08-21,D,4873642
2006-08-21,I,3629589
2006-08-22,D,4873788
2006-08-22,I,3632657
2006-08-23,D,4874046
2006-08-23,I,3629498
2006-08-24,D,4875871
2006-08-24,I,3631238
2006-08-25,D,4876023
2006-08-25,I,3629742
2006-08-28,D,4875934
2006-08-28,I,3628746
2006-08-29,D,4876079
2006-08-29,I,3632074
2006-08-30,D,4876337
2006-08-30,I,3627048
2006-08-31,D,4884685
2006-08-31,I,3630348
2006-09-01,D,4911146
2006-09-01,I,3608036
2006-09-05,D,4911328
2006-09-05,I,3613562
2006-09-06,D,4912174
2006-09-06,I,3617783
2006-09-07,D,4913332
2006-09-07,I,3616732
2006-09-08,D,4913385
2006-09-08,I,3615542
2006-09-11,D,4913396
2006-09-11,I,3617770
2006-09-12,D,4913637
2006-09-12,I,3620997
2006-09-13,D,4913615
2006-09-13,I,3616375
2006-09-14,D,4908195
2006-09-14,I,3618841
2006-09-15,D,4867180
2006-09-15,I,3620201
2006-09-18,D,4867176
2006-09-18,I,3623156
2006-09-19,D,4867094
2006-09-19,I,3629763
2006-09-20,D,4867320
2006-09-20,I,3626771
2006-09-21,D,4853587
2006-09-21,I,3630784
2006-09-22,D,4853631
2006-09-22,I,3630734
2006-09-25,D,4853685
2006-09-25,I,3632050
2006-09-26,D,4854458
2006-09-26,I,3636143
2006-09-27,D,4854646
2006-09-27,I,3632451
2006-09-28,D,4843013
2006-09-28,I,3630671
2006-09-29,D,4843121
2006-09-29,I,3663853
2006-10-02,D,4850289
2006-10-02,I,3698095
2006-10-03,D,4850529
2006-10-03,I,3697107
2006-10-04,D,4851027
2006-10-04,I,3694751
2006-10-05,D,4849613
2006-10-05,I,3695435
2006-10-06,D,4849749
2006-10-06,I,3697235
2006-10-10,D,4849865
2006-10-10,I,3696411
2006-10-11,D,4850465
2006-10-11,I,3694503
2006-10-12,D,4851779
2006-10-12,I,3694326
2006-10-13,D,4851631
2006-10-13,I,3695021
2006-10-16,D,4838392
2006-10-16,I,3698567
2006-10-17,D,4839141
2006-10-17,I,3704901
2006-10-18,D,4840387
2006-10-18,I,3699664
2006-10-19,D,4846478
2006-10-19,I,3701594
2006-10-20,D,4846672
2006-10-20,I,3702630
2006-10-23,D,4846998
2006-10-23,I,3703749
2006-10-24,D,4847383
2006-10-24,I,3707108
2006-10-25,D,4847702
2006-10-25,I,3702649
2006-10-26,D,4861239
2006-10-26,I,3704563
2006-10-27,D,4861275
2006-10-27,I,3704737
2006-10-30,D,4861326
2006-10-30,I,3701129
2006-10-31,D,4880611
2006-10-31,I,3703718
2006-11-01,D,4879523
2006-11-01,I,3692272
2006-11-02,D,4894461
2006-11-02,I,3699199
2006-11-03,D,4894548
2006-11-03,I,3690950
2006-11-06,D,4894606
2006-11-06,I,3693729
2006-11-07,D,4894842
2006-11-07,I,3697720
2006-11-08,D,4895477
2006-11-08,I,3692900
2006-11-09,D,4910382
2006-11-09,I,3693284
2006-11-10,D,4910207
2006-11-10,I,3693580
2006-11-13,D,4910018
2006-11-13,I,3693265
2006-11-14,D,4910703
2006-11-14,I,3696718
2006-11-15,D,4900287
2006-11-15,I,3694589
2006-11-16,D,4909526
2006-11-16,I,3697160
2006-11-17,D,4909529
2006-11-17,I,3699217
2006-11-20,D,4909151
2006-11-20,I,3699825
2006-11-21,D,4909878
2006-11-21,I,3703596
2006-11-22,D,4909771
2006-11-22,I,3700139
2006-11-24,D,4920159
2006-11-24,I,3702944
2006-11-27,D,4919860
2006-11-27,I,3706695
2006-11-28,D,4920074
2006-11-28,I,3708306
2006-11-29,D,4920983
2006-11-29,I,3703313
2006-11-30,D,4929567
2006-11-30,I,3703678
2006-12-01,D,4955424
2006-12-01,I,3680173
2006-12-04,D,4955353
2006-12-04,I,3684658
2006-12-05,D,4966739
2006-12-05,I,3688608
2006-12-06,D,4967205
2006-12-06,I,3686594
2006-12-07,D,4967102
2006-12-07,I,3686857
2006-12-08,D,4966648
2006-12-08,I,3688756
2006-12-11,D,4966394
2006-12-11,I,3688960
2006-12-12,D,4967561
2006-12-12,I,3692870
2006-12-13,D,4969454
2006-12-13,I,3687421
2006-12-14,D,4960187
2006-12-14,I,3688619
2006-12-15,D,4928254
2006-12-15,I,3683649
2006-12-18,D,4927909
2006-12-18,I,3686405
2006-12-19,D,4928644
2006-12-19,I,3693490
2006-12-20,D,4930407
2006-12-20,I,3688587
2006-12-21,D,4917407
2006-12-21,I,3692598
2006-12-22,D,4917324
2006-12-22,I,3694323
2006-12-26,D,4917001
2006-12-26,I,3698420
2006-12-27,D,4917453
2006-12-27,I,3697304
2006-12-28,D,4900600
2006-12-28,I,3692476
2006-12-29,D,4901047
2006-12-29,I,3779178
2007-01-02,D,4906146
2007-01-02,I,3772084
2007-01-03,D,4906388
2007-01-03,I,3770827
2007-01-04,D,4898816
2007-01-04,I,3771780
2007-01-05,D,4898650
2007-01-05,I,3774502
2007-01-08,D,4898353
2007-01-08,I,3774457
2007-01-09,D,4899923
2007-01-09,I,3777779
2007-01-10,D,4900149
2007-01-10,I,3773218
2007-01-11,D,4899286
2007-01-11,I,3775049
2007-01-12,D,4899372
2007-01-12,I,3774879
2007-01-16,D,4889977
2007-01-16,I,3778438
2007-01-17,D,4890301
2007-01-17,I,3781658
2007-01-18,D,4888466
2007-01-18,I,3784199
2007-01-19,D,4888252
2007-01-19,I,3786834
2007-01-22,D,4888096
2007-01-22,I,3788573
2007-01-23,D,4888595
2007-01-23,I,3793051
2007-01-24,D,4890430
2007-01-24,I,3789388
2007-01-25,D,4890714
2007-01-25,I,3792757
2007-01-26,D,4890834
2007-01-26,I,3792380
2007-01-29,D,4894165
2007-01-29,I,3793851
2007-01-30,D,4894707
2007-01-30,I,3793486
2007-01-31,D,4913961
2007-01-31,I,3793600
2007-02-01,D,4914826
2007-02-01,I,3780077
2007-02-02,D,4914958
2007-02-02,I,3778395
2007-02-05,D,4914811
2007-02-05,I,3781543
2007-02-06,D,4914810
2007-02-06,I,3785172
2007-02-07,D,4915441
2007-02-07,I,3784357
2007-02-08,D,4927588
2007-02-08,I,3786125
2007-02-09,D,4927604
2007-02-09,I,3785966
2007-02-12,D,4927673
2007-02-12,I,3786300
2007-02-13,D,4928139
2007-02-13,I,3790339
2007-02-14,D,4928312
2007-02-14,I,3784916
2007-02-15,D,4947665
2007-02-15,I,3791035
2007-02-16,D,4953789
2007-02-16,I,3792263
2007-02-20,D,4954256
2007-02-20,I,3797892
2007-02-21,D,4954722
2007-02-21,I,3797757
2007-02-22,D,4970837
2007-02-22,I,3797778
2007-02-23,D,4970762
2007-02-23,I,3798733
2007-02-26,D,4970774
2007-02-26,I,3802273
2007-02-27,D,4971384
2007-02-27,I,3802726
2007-02-28,D,4979111
2007-02-28,I,3799000
2007-03-01,D,5000186
2007-03-01,I,3788494
2007-03-02,D,5023328
2007-03-02,I,3785492
2007-03-05,D,5024347
2007-03-05,I,3787785
2007-03-06,D,5027341
2007-03-06,I,3791790
2007-03-07,D,5028460
2007-03-07,I,3790154
2007-03-08,D,5042013
2007-03-08,I,3791171
2007-03-09,D,5041611
2007-03-09,I,3790882
2007-03-12,D,5041373
2007-03-12,I,3791660
2007-03-13,D,5041379
2007-03-13,I,3796913
2007-03-14,D,5041456
2007-03-14,I,3791595
2007-03-15,D,5032194
2007-03-15,I,3793873
2007-03-16,D,5032362
2007-03-16,I,3795407
2007-03-19,D,5032628
2007-03-19,I,3801828
2007-03-20,D,5033010
2007-03-20,I,3804984
2007-03-21,D,5034004
2007-03-21,I,3799851
2007-03-22,D,5035921
2007-03-22,I,3796761
2007-03-23,D,5035939
2007-03-23,I,3802004
2007-03-26,D,5035823
2007-03-26,I,3806249
2007-03-27,D,5036908
2007-03-27,I,3809349
2007-03-28,D,5037513
2007-03-28,I,3803412
2007-03-29,D,5036527
2007-03-29,I,3800326
2007-03-30,D,5053940
2007-03-30,I,3795725
2007-04-02,D,5058762
2007-04-02,I,3791594
2007-04-03,D,5076278
2007-04-03,I,3792532
2007-04-04,D,5076445
2007-04-04,I,3793344
2007-04-05,D,5086974
2007-04-05,I,3798184
2007-04-06,D,5086953
2007-04-06,I,3794704
2007-04-09,D,5087321
2007-04-09,I,3795892
2007-04-10,D,5087471
2007-04-10,I,3799510
2007-04-11,D,5091802
2007-04-11,I,3794392
2007-04-12,D,5086557
2007-04-12,I,3797189
2007-04-13,D,5094776
2007-04-13,I,3798276
2007-04-16,D,5067017
2007-04-16,I,3802367
2007-04-17,D,5036278
2007-04-17,I,3812548
2007-04-18,D,5029375
2007-04-18,I,3812966
2007-04-19,D,5006985
2007-04-19,I,3815089
2007-04-20,D,5007097
2007-04-20,I,3817734
2007-04-23,D,5007148
2007-04-23,I,3820339
2007-04-24,D,5007747
2007-04-24,I,3827787
2007-04-25,D,5009027
2007-04-25,I,3825471
2007-04-26,D,4988448
2007-04-26,I,3829375
2007-04-27,D,4988516
2007-04-27,I,3827029
2007-04-30,D,5007058
2007-04-30,I,3833110
2007-05-01,D,5004400
2007-05-01,I,3820227
2007-05-02,D,5004775
2007-05-02,I,3831156
2007-05-03,D,4987675
2007-05-03,I,3826592
2007-05-04,D,4987899
2007-05-04,I,3828111
2007-05-07,D,4988205
2007-05-07,I,3831846
2007-05-08,D,4988538
2007-05-08,I,3839536
2007-05-09,D,4989456
2007-05-09,I,3833052
2007-05-10,D,4981481
2007-05-10,I,3835530
2007-05-11,D,4981702
2007-05-11,I,3836862
2007-05-14,D,4981934
2007-05-14,I,3837764
2007-05-15,D,4959485
2007-05-15,I,3843769
2007-05-16,D,4960801
2007-05-16,I,3839984
2007-05-17,D,4960197
2007-05-17,I,3844264
2007-05-18,D,4960740
2007-05-18,I,3843823
2007-05-21,D,4961570
2007-05-21,I,3845278
2007-05-22,D,4962110
2007-05-22,I,3849320
2007-05-23,D,4962843
2007-05-23,I,3846194
2007-05-24,D,4967930
2007-05-24,I,3848323
2007-05-25,D,4968043
2007-05-25,I,3848250
2007-05-29,D,4968575
2007-05-29,I,3849826
2007-05-30,D,4970450
2007-05-30,I,3848828
2007-05-31,D,4980871
2007-05-31,I,3848121
2007-06-01,D,5004207
2007-06-01,I,3824098
2007-06-04,D,5004684
2007-06-04,I,3826942
2007-06-05,D,5017104
2007-06-05,I,3833690
2007-06-06,D,5017115
2007-06-06,I,3831986
2007-06-07,D,5012219
2007-06-07,I,3830346
2007-06-08,D,5012414
2007-06-08,I,3832776
2007-06-11,D,5012749
2007-06-11,I,3834236
2007-06-12,D,5012905
2007-06-12,I,3837946
2007-06-13,D,5013832
2007-06-13,I,3833161
2007-06-14,D,5000036
2007-06-14,I,3835232
2007-06-15,D,4966437
2007-06-15,I,3837651
2007-06-18,D,4966541
2007-06-18,I,3841717
2007-06-19,D,4967798
2007-06-19,I,3849284
2007-06-20,D,4968047
2007-06-20,I,3845717
2007-06-21,D,4950411
2007-06-21,I,3850271
2007-06-22,D,4950586
2007-06-22,I,3852644
2007-06-25,D,4950662
2007-06-25,I,3856239
2007-06-26,D,4951222
2007-06-26,I,3859774
2007-06-27,D,4952126
2007-06-27,I,3853775
2007-06-28,D,4942746
2007-06-28,I,3850749
2007-06-29,D,4943090
2007-06-29,I,3924585
2007-07-02,D,4948715
2007-07-02,I,3920555
2007-07-03,D,4949386
2007-07-03,I,3921072
2007-07-05,D,4950423
2007-07-05,I,3922342
2007-07-06,D,4950793
2007-07-06,I,3925087
2007-07-09,D,4950998
2007-07-09,I,3923299
2007-07-10,D,4951437
2007-07-10,I,3926577
2007-07-11,D,4952431
2007-07-11,I,3920569
2007-07-12,D,4955495
2007-07-12,I,3922556
2007-07-13,D,4955834
2007-07-13,I,3921933
2007-07-16,D,4963033
2007-07-16,I,3923527
2007-07-17,D,4963304
2007-07-17,I,3930646
2007-07-18,D,4963324
2007-07-18,I,3925198
2007-07-19,D,4969548
2007-07-19,I,3928306
2007-07-20,D,4969448
2007-07-20,I,3929100
2007-07-23,D,4969408
2007-07-23,I,3929796
2007-07-24,D,4969371
2007-07-24,I,3933931
2007-07-25,D,4969515
2007-07-25,I,3930293
2007-07-26,D,4983370
2007-07-26,I,3931067
2007-07-27,D,4983572
2007-07-27,I,3935475
2007-07-30,D,4983979
2007-07-30,I,3925771
2007-07-31,D,5003717
2007-07-31,I,3928722
2007-08-01,D,4999867
2007-08-01,I,3913592
2007-08-02,D,5023484
2007-08-02,I,3922020
2007-08-03,D,5023416
2007-08-03,I,3915511
2007-08-06,D,5023465
2007-08-06,I,3918919
2007-08-07,D,5024001
2007-08-07,I,3923088
2007-08-08,D,5024291
2007-08-08,I,3917680
2007-08-09,D,5052663
2007-08-09,I,3917140
2007-08-10,D,5052797
2007-08-10,I,3915811
2007-08-13,D,5053091
2007-08-13,I,3916845
2007-08-14,D,5053520
2007-08-14,I,3920570
2007-08-15,D,5046912
2007-08-15,I,3918214
2007-08-16,D,5046697
2007-08-16,I,3921146
2007-08-17,D,5047673
2007-08-17,I,3924568
2007-08-20,D,5047972
2007-08-20,I,3924241
2007-08-21,D,5048735
2007-08-21,I,3927557
2007-08-22,D,5049429
2007-08-22,I,3921948
2007-08-23,D,5055033
2007-08-23,I,3925142
2007-08-24,D,5054957
2007-08-24,I,3925686
2007-08-27,D,5054963
2007-08-27,I,3924900
2007-08-28,D,5055628
2007-08-28,I,3928589
2007-08-29,D,5055415
2007-08-29,I,3927934
2007-08-30,D,5065356
2007-08-30,I,3924266
2007-08-31,D,5096938
2007-08-31,I,3908710
2007-09-04,D,5093471
2007-09-04,I,3901675
2007-09-05,D,5094444
2007-09-05,I,3911520
2007-09-06,D,5098810
2007-09-06,I,3910600
2007-09-07,D,5098997
2007-09-07,I,3910886
2007-09-10,D,5098505
2007-09-10,I,3910340
2007-09-11,D,5098691
2007-09-11,I,3916904
2007-09-12,D,5099431
2007-09-12,I,3912017
2007-09-13,D,5101406
2007-09-13,I,3914882
2007-09-14,D,5101434
2007-09-14,I,3915686
2007-09-17,D,5082365
2007-09-17,I,3918096
2007-09-18,D,5082459
2007-09-18,I,3927533
2007-09-19,D,5082767
2007-09-19,I,3923781
2007-09-20,D,5065947
2007-09-20,I,3924006
2007-09-21,D,5066524
2007-09-21,I,3924799
2007-09-24,D,5066560
2007-09-24,I,3927135
2007-09-25,D,5066939
2007-09-25,I,3932957
2007-09-26,D,5066895
2007-09-26,I,3927463
2007-09-27,D,5049701
2007-09-27,I,3923284
2007-09-28,D,5049306
2007-09-28,I,3958348
2007-10-01,D,5057236
2007-10-01,I,4005316
2007-10-02,D,5057188
2007-10-02,I,4012660
2007-10-03,D,5057174
2007-10-03,I,4004151
2007-10-04,D,5043471
2007-10-04,I,4006577
2007-10-05,D,5044361
2007-10-05,I,4010182
2007-10-09,D,5044669
2007-10-09,I,4009476
2007-10-10,D,5044808
2007-10-10,I,4004996
2007-10-11,D,5038220
2007-10-11,I,4004731
2007-10-12,D,5038255
2007-10-12,I,4006002
2007-10-15,D,5043530
2007-10-15,I,4010452
2007-10-16,D,5044434
2007-10-16,I,4013891
2007-10-17,D,5045169
2007-10-17,I,4010107
2007-10-18,D,5042133
2007-10-18,I,4011299
2007-10-19,D,5042073
2007-10-19,I,4011812
2007-10-22,D,5041954
2007-10-22,I,4012279
2007-10-23,D,5042214
2007-10-23,I,4015767
2007-10-24,D,5042376
2007-10-24,I,4011599
2007-10-25,D,5047037
2007-10-25,I,4013197
2007-10-26,D,5046649
2007-10-26,I,4013847
2007-10-29,D,5046591
2007-10-29,I,4014056
2007-10-30,D,5046466
2007-10-30,I,4011914
2007-10-31,D,5067079
2007-10-31,I,4012008
2007-11-01,D,5081299
2007-11-01,I,3998930
2007-11-02,D,5081671
2007-11-02,I,3997153
2007-11-05,D,5081641
2007-11-05,I,3999757
2007-11-06,D,5082132
2007-11-06,I,4003734
2007-11-07,D,5082087
2007-11-07,I,4002186
2007-11-08,D,5105251
2007-11-08,I,4006077
2007-11-09,D,5105180
2007-11-09,I,4006427
2007-11-13,D,5105355
2007-11-13,I,4006375
2007-11-14,D,5106181
2007-11-14,I,4004145
2007-11-15,D,5111851
2007-11-15,I,4001355
2007-11-16,D,5111878
2007-11-16,I,4004046
2007-11-19,D,5111991
2007-11-19,I,4008282
2007-11-20,D,5112756
2007-11-20,I,4012480
2007-11-21,D,5112702
2007-11-21,I,4007414
2007-11-23,D,5119724
