auctionDate,securityType,securityTerm,cusip,bidToCoverRatio,highYield,highDiscountRate,averageMedianYield,averageMedianDiscountRate,lowYield,lowDiscountRate,offeringAmount,totalAccepted,totalTendered,primaryDealerAccepted,directBidderAccepted,indirectBidderAccepted,somaAccepted,reopening,cashManagementBillCMB,tips,floatingRate
2005-07-25,Bill,13-Week,912795VX6,1.940000,,3.345000,,3.335000,,3.300000,1900000000,2619985900,4410060400,,,,,Yes,No,No,No
2005-07-25,Bill,26-Week,912795WL1,1.930000,,3.540000,,3.535000,,3.500000,1700000000,2346492300,3933014100,,,,,No,No,No,No
2005-07-19,Bill,4-Week,912795VM0,1.960000,,3.065000,,3.050000,,3.020000,1400000000,1744782500,3088353500,,,,,Yes,No,No,No
2005-07-18,Bill,13-Week,912795VW8,1.950000,,3.220000,,3.205000,,3.170000,1800000000,2516820900,4224225900,,,,,Yes,No,No,No
2005-07-18,Bill,26-Week,912795WK3,1.930000,,3.420000,,3.405000,,3.380000,1600000000,2228487700,3716208200,,,,,No,No,No,No
2005-07-14,Note,10-Year,912828EA4,1.680000,1.9390,,1.860000,,1.750000,,9000000000,9000001000,1514944100,,,,,No,No,Yes,No
2005-07-13,Note,5-Year,912828DZ0,2.370000,3.9700,,3.939000,,3.892000,,1300000000,1300011100,3081513900,,,,,No,No,No,No
2005-07-12,Bill,4-Week,912795VL2,2.820000,,2.960000,,2.950000,,2.920000,1500000000,1845648700,4569286500,,,,,Yes,No,No,No
2005-07-11,Bill,13-Week,912795VV0,2.530000,,3.135000,,3.130000,,3.100000,1700000000,2432126500,5038168500,,,,,Yes,No,No,No
2005-07-11,Bill,26-Week,912795WJ6,2.340000,,3.355000,,3.345000,,3.320000,1500000000,2101388700,4109224300,,,,,No,No,No,No
2005-07-06,Bill,4-Week,912795VK4,3.280000,,3.000000,,2.990000,,2.980000,1200000000,1638456500,4369164500,,,,,Yes,No,No,No
2005-07-05,Bill,13-Week,912795VU2,2.500000,,3.145000,,3.135000,,3.100000,1600000000,2359878600,4754499600,,,,,Yes,No,No,No
2005-07-05,Bill,26-Week,912795WH0,2.180000,,3.325000,,3.310000,,3.290000,1400000000,1987778000,3638713200,,,,,No,No,No,No
2005-06-29,Bill,14-Day,912795TN1,2.570000,,3.165000,,3.150000,,3.130000,1800000000,1800023000,4626011000,,,,,No,Yes,No,No
2005-06-29,Note,2-Year,912828DY3,2.230000,3.6500,,3.623000,,3.580000,,2000000000,2666686600,5125112600,,,,,No,No,No,No
2005-06-28,Bill,4-Week,912795VJ7,3.060000,,2.925000,,2.920000,,2.900000,8000000000,1255171600,2906391600,,,,,Yes,No,No,No
2005-06-27,Bill,13-Week,912795VT5,2.220000,,3.080000,,3.060000,,3.050000,1600000000,2361170000,4317347000,,,,,Yes,No,No,No
2005-06-27,Bill,26-Week,912795WG2,2.270000,,3.220000,,3.210000,,3.200000,1400000000,1977800500,3761808700,,,,,No,No,No,No
2005-06-21,Bill,4-Week,912795VH1,3.060000,,2.780000,,2.775000,,2.750000,8000000000,1196866500,2844470100,,,,,Yes,No,No,No
2005-06-20,Bill,13-Week,912795VS7,2.270000,,2.965000,,2.960000,,2.940000,1600000000,2394709500,4428101600,,,,,Yes,No,No,No
2005-06-20,Bill,26-Week,912795WF4,2.100000,,3.175000,,3.160000,,3.130000,1400000000,1985094500,3528197000,,,,,No,No,No,No
2005-06-14,Bill,4-Week,912795VG3,3.810000,,2.735000,,2.730000,,2.710000,8000000000,1213890500,3463106200,,,,,Yes,No,No,No
2005-06-13,Bill,13-Week,912795VR9,2.160000,,2.975000,,2.965000,,2.940000,1700000000,2496417900,4460889100,,,,,Yes,No,No,No
2005-06-13,Bill,26-Week,912795WE7,2.160000,,3.120000,,3.105000,,3.070000,1500000000,2107152800,3843847800,,,,,No,No,No,No
2005-06-09,Note,9-Year 11-,912828DV9,2.500000,3.9900,,3.969000,,3.900000,,8000000000,8000035000,2001329400,,,,,Yes,No,No,No
2005-06-08,Note,5-Year,912828DX5,2.600000,3.7050,,3.679000,,3.600000,,1400000000,1400001900,3638153200,,,,,No,No,No,No
2005-06-07,Bill,4-Week,912795VF5,2.830000,,2.775000,,2.765000,,2.750000,1300000000,1743715100,4118091100,,,,,Yes,No,No,No
2005-06-06,Bill,13-Week,912795VQ1,2.060000,,2.965000,,2.950000,,2.920000,1700000000,2505868100,4311431800,,,,,Yes,No,No,No
2005-06-06,Bill,26-Week,912795WD9,2.500000,,3.060000,,3.050000,,3.040000,1500000000,2117834200,4363924100,,,,,No,No,No,No
2005-06-06,Bill,8-Day,912795TM3,2.750000,,2.940000,,2.930000,,2.900000,1200000000,1200040500,3305500000,,,,,Yes,Yes,No,No
2005-06-02,Bill,12-Day,912795TM3,2.060000,,2.935000,,2.920000,,2.900000,1600000000,1600009000,3295500000,,,,,Yes,Yes,No,No
2005-06-01,Bill,4-Week,912795SV4,2.830000,,2.740000,,2.730000,,2.700000,1500000000,2013209600,4763947300,,,,,Yes,No,No,No
2005-05-31,Bill,13-Week,912795VP3,2.070000,,2.935000,,2.915000,,2.900000,1700000000,2473243600,4288839800,,,,,Yes,No,No,No
2005-05-31,Bill,26-Week,912795WC1,2.200000,,3.080000,,3.070000,,3.050000,1500000000,2098810300,3894272800,,,,,No,No,No,No
2005-05-31,Bill,14-Day,912795TM3,2.600000,,2.895000,,2.870000,,2.850000,1000000000,1000008000,2600500000,,,,,No,Yes,No,No
2005-05-25,Note,2-Year,912828DW7,2.360000,3.6150,,3.598000,,3.500000,,2200000000,2911626600,5894756100,,,,,No,No,No,No
2005-05-24,Bill,4-Week,912795SU6,1.920000,,2.765000,,2.740000,,2.710000,1800000000,2288142100,3948434100,,,,,Yes,No,No,No
2005-05-23,Bill,13-Week,912795VN8,1.980000,,2.895000,,2.870000,,2.850000,1700000000,2429569500,4103269500,,,,,Yes,No,No,No
2005-05-23,Bill,26-Week,912795WB3,2.040000,,3.110000,,3.090000,,3.070000,1500000000,2079190300,3643426000,,,,,No,No,No,No
2005-05-17,Bill,4-Week,912795ST9,2.360000,,2.550000,,2.520000,,2.500000,1200000000,1736118100,3367830200,,,,,Yes,No,No,No
2005-05-16,Bill,13-Week,912795VM0,1.950000,,2.800000,,2.775000,,2.760000,1600000000,2286667600,3809626600,,,,,Yes,No,No,No
2005-05-16,Bill,26-Week,912795WA5,1.950000,,3.070000,,3.045000,,3.020000,1400000000,1953681900,3288797900,,,,,No,No,No,No
2005-05-12,Note,10-Year,912828DV9,2.330000,4.2200,,4.188000,,4.100000,,1400000000,1647069700,3510911500,,,,,No,No,No,No
2005-05-11,Note,5-Year,912828DU1,2.470000,3.8900,,3.869000,,3.800000,,1500000000,1874785200,4082081000,,,,,No,No,No,No
2005-05-10,Note,3-Year,912828DT4,2.380000,3.8210,,3.810000,,3.650000,,2200000000,2670660800,5712384000,,,,,No,No,No,No
2005-05-10,Bill,4-Week,912795SS1,3.300000,,2.575000,,2.570000,,2.550000,8000000000,1359517900,3196313900,,,,,Yes,No,No,No
2005-05-09,Bill,13-Week,912795VL2,2.180000,,2.850000,,2.840000,,2.830000,1500000000,2177294700,3940755700,,,,,Yes,No,No,No
2005-05-09,Bill,26-Week,912795VZ1,2.320000,,3.120000,,3.100000,,2.130000,1300000000,1827476400,3541743100,,,,,No,No,No,No
2005-05-03,Bill,4-Week,912795SR3,3.690000,,2.605000,,2.600000,,2.550000,8000000000,1366808100,3519006100,,,,,Yes,No,No,No
2005-05-02,Bill,13-Week,912795VK4,2.160000,,2.870000,,2.850000,,2.800000,1500000000,2163727600,3899164600,,,,,Yes,No,No,No
2005-05-02,Bill,26-Week,912795VY4,2.130000,,3.085000,,3.075000,,3.050000,1300000000,1821363800,3296005800,,,,,No,No,No,No
2005-04-27,Note,2-Year,912828DS6,1.770000,3.6500,,3.614000,,3.579000,,2400000000,3199464500,5038111000,,,,,No,No,No,No
2005-04-26,Note,5-Year,912828CZ1,1.880000,1.2000,,1.149000,,1.100000,,9000000000,9000004000,1690959100,,,,,Yes,No,Yes,No
2005-04-26,Bill,4-Week,912795SQ5,3.680000,,2.690000,,2.685000,,2.670000,8000000000,1283163500,3423436000,,,,,Yes,No,No,No
2005-04-25,Bill,13-Week,912795VJ7,2.690000,,2.880000,,2.870000,,2.850000,1600000000,2244308400,4949789600,,,,,Yes,No,No,No
2005-04-25,Bill,26-Week,912795VX6,2.480000,,3.090000,,3.080000,,3.055000,1400000000,1935080900,4002321900,,,,,No,No,No,No
2005-04-19,Bill,4-Week,912795SP7,2.700000,,2.690000,,2.665000,,2.570000,8000000000,1228471800,2591408300,,,,,Yes,No,No,No
2005-04-18,Bill,13-Week,912795VH1,2.100000,,2.805000,,2.785000,,2.760000,1600000000,2229084300,3989579900,,,,,Yes,No,No,No
2005-04-18,Bill,26-Week,912795VW8,2.250000,,3.040000,,3.020000,,3.000000,1400000000,1940448000,3691348800,,,,,No,No,No,No
2005-04-14,Note,9-Year 9-M,912828DH0,1.970000,1.7500,,1.690000,,1.590000,,9000000000,9000026000,1769899500,,,,,Yes,No,Yes,No
2005-04-13,Note,5-Year,912828DR8,1.860000,4.0460,,4.020000,,3.950000,,1500000000,1500001900,2785267400,,,,,No,No,No,No
2005-04-13,Bill,4-Day,912795TL5,3.300000,,2.640000,,2.620000,,2.600000,7000000000,7000040000,2313000000,,,,,No,Yes,No,No
2005-04-12,Bill,4-Week,912795SN2,3.040000,,2.555000,,2.540000,,2.530000,1000000000,1346038200,3390525700,,,,,Yes,No,No,No
