record_date,type,today,mtd,fytd
2022-11-03,D,163027,366568,2080941
2022-11-03,W,190233,438155,2192052
2022-11-04,D,13702,380270,2094643
2022-11-04,W,13891,452046,2205943
2022-11-07,D,22486,402756,2117129
2022-11-07,W,16416,468462,2222358
2022-11-08,D,164783,567539,2281912
2022-11-08,W,150262,618724,2372620
2022-11-09,D,14606,582145,2296517
2022-11-09,W,42551,661274,2415171
2022-11-10,D,123101,705246,2419618
2022-11-10,W,129891,791165,2545061
2022-11-14,D,35010,740256,2454628
2022-11-14,W,21425,812589,2566486
2022-11-15,D,303116,1043372,2757745
2022-11-15,W,344898,1157487,2911384
2022-11-16,D,26766,1070138,2784511
2022-11-16,W,36936,1194423,2948320
2022-11-17,D,123751,1193889,2908262
2022-11-17,W,130568,1324991,3078888
2022-11-18,D,15643,1209532,2923904
2022-11-18,W,11400,1336391,3090288
2022-11-21,D,24435,1233966,2948339
2022-11-21,W,17280,1353672,3107568
2022-11-22,D,204587,1438553,3152926
2022-11-22,W,168749,1522421,3276318
2022-11-23,D,22788,1461342,3175714
2022-11-23,W,42636,1565057,3318954
2022-11-25,D,145293,1606635,3321007
2022-11-25,W,127515,1692573,3446469
2022-11-28,D,24742,1631377,3345749
2022-11-28,W,18149,1710721,3464618
2022-11-29,D,152592,1783969,3498341
2022-11-29,W,163665,1874387,3628283
2022-11-30,D,183284,1967253,3681625
2022-11-30,W,156545,2030932,3784828
2022-12-01,D,172940,172940,3854565
2022-12-01,W,247322,247322,4032150
2022-12-02,D,15590,188530,3870155
2022-12-02,W,39060,286382,4071210
2022-12-05,D,23312,211842,3893467
2022-12-05,W,17414,303796,4088625
2022-12-06,D,135311,347153,4028778
2022-12-06,W,164716,468513,4253341
2022-12-07,D,17597,364750,4046375
2022-12-07,W,18175,486688,4271516
2022-12-08,D,115211,479961,4161586
2022-12-08,W,167270,653958,4438786
2022-12-09,D,16268,496229,4177855
2022-12-09,W,17353,671311,4456139
2022-12-12,D,32798,529027,4210653
2022-12-12,W,19610,690921,4475749
2022-12-13,D,141964,670991,4352616
2022-12-13,W,169162,860083,4644911
2022-12-14,D,39511,710502,4392128
2022-12-14,W,41106,901189,4686017
2022-12-15,D,277939,989565,4671191
2022-12-15,W,171937,1074250,4859078
2022-12-16,D,32972,1022537,4704162
2022-12-16,W,13534,1087784,4872612
2022-12-19,D,31541,1054078,4735703
2022-12-19,W,16697,1104481,4889309
2022-12-20,D,139612,1193690,4875315
2022-12-20,W,171586,1276067,5060896
2022-12-21,D,26894,1220584,4902209
2022-12-21,W,42385,1318453,5103281
2022-12-22,D,119661,1340245,5021870
2022-12-22,W,124899,1443352,5228180
2022-12-23,D,19456,1359701,5041326
2022-12-23,W,17887,1461239,5246067
2022-12-27,D,162001,1521702,5203327
2022-12-27,W,162277,1623516,5408344
2022-12-28,D,16767,1538469,5220095
2022-12-28,W,37935,1661451,5446279
2022-12-29,D,172576,1711045,5392670
2022-12-29,W,169485,1830936,5615764
2022-12-30,D,75012,1786057,5467682
2022-12-30,W,41227,1872162,5656991
2023-01-03,D,322502,322502,5790183
2023-01-03,W,383072,383072,6040063
2023-01-04,D,14523,337025,5804707
2023-01-04,W,21017,404090,6061080
2023-01-05,D,132229,469254,5936936
2023-01-05,W,132196,536285,6193276
2023-01-06,D,15225,484479,5952161
2023-01-06,W,19184,555469,6212460
2023-01-09,D,28816,513295,5980977
2023-01-09,W,19291,574760,6231751
2023-01-10,D,136205,649500,6117182
2023-01-10,W,153424,728185,6385175
2023-01-11,D,22332,671832,6139513
2023-01-11,W,43905,772090,6429081
2023-01-12,D,127273,799105,6266786
2023-01-12,W,163336,935426,6592417
2023-01-13,D,29780,828885,6296567
2023-01-13,W,18571,953998,6610989
2023-01-17,D,328129,1157014,6624696
2023-01-17,W,250727,1204725,6861716
2023-01-18,D,21851,1178865,6646547
2023-01-18,W,43324,1248050,6905040
2023-01-19,D,206775,1385641,6853323
2023-01-19,W,128653,1376703,7033693
2023-01-20,D,23052,1408692,6876374
2023-01-20,W,24059,1400762,7057752
2023-01-23,D,34276,1442968,6910650
2023-01-23,W,17886,1418648,7075639
2023-01-24,D,253549,1696517,7164199
2023-01-24,W,144712,1563361,7220351
2023-01-25,D,32369,1728886,7196568
2023-01-25,W,39588,1602949,7259939
2023-01-26,D,164428,1893314,7360996
2023-01-26,W,168497,1771446,7428436
2023-01-27,D,14993,1908307,7375989
2023-01-27,W,15719,1787165,7444156
2023-01-30,D,27489,1935796,7403478
2023-01-30,W,15490,1802655,7459645
2023-01-31,D,362691,2298487,7766169
2023-01-31,W,374609,2177264,7834254
2023-02-01,D,39739,39739,7805908
2023-02-01,W,106794,106794,7941049
2023-02-02,D,134733,174472,7940641
2023-02-02,W,129407,236201,8070455
2023-02-03,D,15406,189878,7956047
2023-02-03,W,43966,280168,8114422
2023-02-06,D,29358,219236,7985404
2023-02-06,W,17028,297195,8131449
2023-02-07,D,180857,400092,8166261
2023-02-07,W,142687,439883,8274137
2023-02-08,D,15369,415462,8181631
2023-02-08,W,47650,487532,8321787
2023-02-09,D,126295,541756,8307925
2023-02-09,W,127881,615413,8449667
2023-02-10,D,12842,554599,8320767
2023-02-10,W,16893,632306,8466560
2023-02-13,D,28209,582808,8348977
2023-02-13,W,17307,649613,8483867
2023-02-14,D,184015,766823,8532992
2023-02-14,W,158126,807739,8641993
2023-02-15,D,154750,921573,8687742
2023-02-15,W,242039,1049778,8884032
2023-02-16,D,169145,1090718,8856886
2023-02-16,W,129809,1179587,9013841
2023-02-17,D,14668,1105385,8871554
2023-02-17,W,18032,1197619,9031873
2023-02-21,D,209939,1315325,9081494
2023-02-21,W,177328,1374947,9209201
2023-02-22,D,12607,1327931,9094100
2023-02-22,W,69586,1444533,9278787
2023-02-23,D,175844,1503775,9269944
2023-02-23,W,263484,1708017,9542271
2023-02-24,D,35139,1538914,9305083
2023-02-24,W,17134,1725152,9559406
2023-02-27,D,31809,1570723,9336892
2023-02-27,W,19463,1744614,9578869
2023-02-28,D,386973,1957696,9723865
2023-02-28,W,365985,2110599,9944854
2023-03-01,D,44666,44666,9768531
2023-03-01,W,108656,108656,10053510
2023-03-02,D,130371,175037,9898902
2023-03-02,W,126154,234810,10179663
2023-03-03,D,16437,191474,9915339
2023-03-03,W,44476,279286,10224139
2023-03-06,D,33516,224990,9948855
2023-03-06,W,20527,299813,10244667
2023-03-07,D,183774,408764,10132629
2023-03-07,W,179232,479045,10423898
2023-03-08,D,17151,425915,10149780
2023-03-08,W,50144,529189,10474043
2023-03-09,D,119356,545272,10269136
2023-03-09,W,184118,713307,10658161
2023-03-10,D,14737,560009,10283873
2023-03-10,W,53632,766940,10711793
2023-03-13,D,39945,599954,10323819
2023-03-13,W,20707,787647,10732500
2023-03-14,D,213238,813191,10537056
2023-03-14,W,186629,974275,10919129
2023-03-15,D,119123,932314,10656179
2023-03-15,W,95401,1069676,11014530
2023-03-16,D,144735,1077050,10800915
2023-03-16,W,137271,1206947,11151800
2023-03-17,D,15564,1092614,10816478
2023-03-17,W,20524,1227471,11172324
2023-03-20,D,29000,1121614,10845479
2023-03-20,W,42047,1269518,11214372
2023-03-21,D,159404,1281018,11004883
2023-03-21,W,201901,1471419,11416273
2023-03-22,D,21751,1302770,11026634
2023-03-22,W,46500,1517919,11462772
2023-03-23,D,149945,1452715,11176580
2023-03-23,W,156890,1674809,11619663
2023-03-24,D,12072,1464787,11188651
2023-03-24,W,17617,1692426,11637280
2023-03-27,D,29241,1494027,11217892
2023-03-27,W,15680,1708106,11652959
2023-03-28,D,157353,1651380,11375245
2023-03-28,W,191930,1900036,11844890
2023-03-29,D,18195,1669575,11393439
2023-03-29,W,21785,1921822,11866675
2023-03-30,D,157246,1826820,11550685
2023-03-30,W,125667,2047489,11992342
2023-03-31,D,235149,2061969,11785834
2023-03-31,W,251792,2299281,12244135
2023-04-03,D,54515,54515,11840349
2023-04-03,W,59103,59103,12303238
2023-04-04,D,161450,215965,12001799
2023-04-04,W,194207,253310,12497445
2023-04-05,D,20880,236844,12022678
2023-04-05,W,20539,273849,12517984
2023-04-06,D,128939,365784,12151618
2023-04-06,W,156662,430511,12674646
2023-04-07,D,15196,380980,12166814
2023-04-07,W,17340,447850,12691985
2023-04-10,D,31218,412198,12198032
2023-04-10,W,17035,464886,12709021
2023-04-11,D,165139,577337,12363171
2023-04-11,W,182674,647560,12891695
2023-04-12,D,28619,605955,12391789
2023-04-12,W,49533,697094,12941229
2023-04-13,D,142889,748845,12534678
2023-04-13,W,129956,827049,13071184
2023-04-14,D,57737,806582,12592416
2023-04-14,W,22335,849384,13093519
2023-04-17,D,174975,981557,12767390
2023-04-17,W,165786,1015170,13259305
2023-04-18,D,283532,1265088,13050922
2023-04-18,W,175059,1190229,13434364
2023-04-19,D,59878,1324966,13110800
2023-04-19,W,47335,1237564,13481699
2023-04-20,D,188371,1513337,13299171
2023-04-20,W,173524,1411087,13655222
2023-04-21,D,23542,1536879,13322713
2023-04-21,W,22573,1433660,13677795
2023-04-24,D,40593,1577473,13363307
2023-04-24,W,14404,1448064,13692199
2023-04-25,D,188013,1765486,13551320
2023-04-25,W,179184,1627248,13871383
2023-04-26,D,31189,1796675,13582509
2023-04-26,W,50910,1678158,13922293
2023-04-27,D,134547,1931222,13717056
2023-04-27,W,137039,1815197,14059332
2023-04-28,D,48648,1979869,13765703
2023-04-28,W,25984,1841181,14085316
2023-05-01,D,276944,276944,14042647
2023-05-01,W,354862,354862,14440178
2023-05-02,D,171940,448884,14214587
2023-05-02,W,195521,550383,14635699
2023-05-03,D,22101,470986,14236689
2023-05-03,W,48675,599057,14684374
2023-05-04,D,168805,639791,14405494
2023-05-04,W,148448,747505,14832821
2023-05-05,D,12414,652205,14417908
2023-05-05,W,14366,761872,14847188
2023-05-08,D,24804,677009,14442712
2023-05-08,W,16385,778256,14863573
2023-05-09,D,141701,818710,14584413
2023-05-09,W,171919,950176,15035492
2023-05-10,D,18233,836943,14602647
2023-05-10,W,48341,998516,15083832
2023-05-11,D,125067,962010,14727713
2023-05-11,W,136561,1135077,15220393
2023-05-12,D,15982,977992,14743695
2023-05-12,W,19352,1154428,15239744
2023-05-15,D,156754,1134746,14900449
2023-05-15,W,209267,1363695,15449011
2023-05-16,D,174485,1309231,15074935
2023-05-16,W,167288,1530983,15616299
2023-05-17,D,16310,1325541,15091244
2023-05-17,W,42606,1573589,15658906
2023-05-18,D,210781,1536323,15302026
2023-05-18,W,221773,1795362,15880678
2023-05-19,D,14234,1550557,15316260
2023-05-19,W,10920,1806282,15891598
2023-05-22,D,30103,1580660,15346364
2023-05-22,W,22424,1828706,15914022
2023-05-23,D,164589,1745249,15510952
2023-05-23,W,156378,1985084,16070400
2023-05-24,D,15890,1761139,15526842
2023-05-24,W,42963,2028047,16113363
2023-05-25,D,164507,1925646,15691349
2023-05-25,W,175142,2203189,16288505
2023-05-26,D,36958,1962604,15728307
2023-05-26,W,21303,2224492,16309808
2023-05-30,D,143510,2106114,15871817
2023-05-30,W,160645,2385137,16470454
2023-05-31,D,189427,2295541,16061244
2023-05-31,W,178272,2563410,16648726
2023-06-01,D,207439,207439,16268683
2023-06-01,W,233059,233059,16881785
2023-06-02,D,39315,246755,16307999
2023-06-02,W,38839,271898,16920624
2023-06-05,D,105944,352698,16413942
2023-06-05,W,58094,329992,16978718
2023-06-06,D,174089,526787,16588031
2023-06-06,W,173731,503723,17152448
2023-06-07,D,18846,545633,16606877
2023-06-07,W,12922,516645,17165371
2023-06-08,D,137524,683157,16744401
2023-06-08,W,127052,643697,17292423
2023-06-09,D,14964,698121,16759365
2023-06-09,W,16935,660632,17309358
2023-06-12,D,34315,732436,16793680
2023-06-12,W,19377,680010,17328735
2023-06-13,D,176961,909398,16970642
2023-06-13,W,144841,824851,17473577
2023-06-14,D,41989,951387,17012631
2023-06-14,W,40191,865042,17513767
2023-06-15,D,370127,1321514,17382758
2023-06-15,W,254566,1119608,17768334
2023-06-16,D,30625,1352138,17413382
2023-06-16,W,14167,1133775,17782501
2023-06-20,D,200092,1552231,17613475
2023-06-20,W,139042,1272818,17921543
2023-06-21,D,15992,1568222,17629466
2023-06-21,W,51810,1324628,17973354
2023-06-22,D,202337,1770560,17831804
2023-06-22,W,127938,1452567,18101292
2023-06-23,D,30036,1800595,17861839
2023-06-23,W,19157,1471723,18120449
2023-06-26,D,29537,1830133,17891377
2023-06-26,W,18144,1489868,18138593
2023-06-27,D,187036,2017168,18078412
2023-06-27,W,137813,1627681,18276407
2023-06-28,D,16120,2033288,18094532
2023-06-28,W,45558,1673239,18321965
2023-06-29,D,191011,2224300,18285544
2023-06-29,W,134451,1807690,18456416
2023-06-30,D,192944,2417244,18478488
2023-06-30,W,255671,2063361,18712087
2023-07-03,D,46919,46919,18525407
2023-07-03,W,54856,54856,18766943
2023-07-05,D,189531,236450,18714938
2023-07-05,W,137124,191980,18904067
2023-07-06,D,200190,436639,18915127
2023-07-06,W,133644,325623,19037711
2023-07-07,D,12167,448806,18927294
2023-07-07,W,20587,346211,19058298
2023-07-10,D,26137,474944,18953432
2023-07-10,W,19351,365562,19077649
2023-07-11,D,186782,661726,19140214
2023-07-11,W,155775,521336,19233423
2023-07-12,D,15782,677508,19155996
2023-07-12,W,41148,562484,19274571
2023-07-13,D,229099,906607,19385095
2023-07-13,W,223818,786302,19498389
2023-07-14,D,17310,923917,19402405
2023-07-14,W,18388,804689,19516777
2023-07-17,D,133613,1057531,19536019
2023-07-17,W,123818,928508,19640595
2023-07-18,D,185523,1243054,19721542
2023-07-18,W,155421,1083929,19796016
2023-07-19,D,16350,1259404,19737892
2023-07-19,W,40428,1124357,19836444
2023-07-20,D,189941,1449345,19927833
2023-07-20,W,189514,1313871,20025958
2023-07-21,D,12546,1461891,19940379
2023-07-21,W,17580,1331451,20043538
2023-07-24,D,27763,1489654,19968142
2023-07-24,W,15583,1347034,20059121
2023-07-25,D,190442,1680096,20158584
2023-07-25,W,161558,1508592,20220679
2023-07-26,D,16309,1696405,20174893
2023-07-26,W,40310,1548902,20260989
2023-07-27,D,189491,1885896,20364384
2023-07-27,W,187757,1736659,20448747
2023-07-28,D,13512,1899408,20377896
2023-07-28,W,15238,1751898,20463985
2023-07-31,D,204885,2104293,20582781
2023-07-31,W,252961,2004859,20716946
2023-08-01,D,206208,206208,20788989
2023-08-01,W,249923,249923,20966869
2023-08-02,D,18633,224841,20807622
2023-08-02,W,15821,265744,20982690
2023-08-03,D,194530,419371,21002152
2023-08-03,W,210336,476079,21193025
2023-08-04,D,14498,433869,21016650
2023-08-04,W,18137,494217,21211163
2023-08-07,D,26597,460466,21043248
2023-08-07,W,16743,510959,21227906
2023-08-08,D,187017,647483,21230264
2023-08-08,W,179354,690313,21407259
2023-08-09,D,14522,662005,21244786
2023-08-09,W,41258,731572,21448518
2023-08-10,D,242048,904053,21486834
2023-08-10,W,224212,955784,21672730
2023-08-11,D,13758,917811,21500592
2023-08-11,W,12493,968277,21685223
2023-08-14,D,26408,944219,21527000
2023-08-14,W,14643,982920,21699867
2023-08-15,D,345371,1289591,21872372
2023-08-15,W,410061,1392981,22109927
2023-08-16,D,27228,1316819,21899600
2023-08-16,W,40852,1433833,22150780
2023-08-17,D,211427,1528245,22111026
2023-08-17,W,187404,1621238,22338184
2023-08-18,D,14386,1542631,22125412
2023-08-18,W,18254,1639491,22356438
2023-08-21,D,27676,1570307,22153088
2023-08-21,W,17046,1656537,22373483
2023-08-22,D,215253,1785559,22368340
2023-08-22,W,189713,1846250,22563196
2023-08-23,D,15230,1800789,22383570
2023-08-23,W,40336,1886586,22603532
2023-08-24,D,206522,2007311,22590092
2023-08-24,W,183640,2070226,22787172
2023-08-25,D,36269,2043580,22626361
2023-08-25,W,13925,2084151,22801097
2023-08-28,D,26789,2070369,22653151
2023-08-28,W,15843,2099995,22816941
2023-08-29,D,214409,2284778,22867559
2023-08-29,W,186602,2286597,23003543
2023-08-30,D,16731,2301509,22884291
2023-08-30,W,16039,2302636,23019582
2023-08-31,D,377954,2679464,23262245
2023-08-31,W,336813,2639449,23356395
2023-09-01,D,34087,34087,23296332
2023-09-01,W,129812,129812,23486208
2023-09-05,D,234106,268193,23530437
2023-09-05,W,191920,321732,23678128
2023-09-06,D,11967,280160,23542404
2023-09-06,W,18719,340451,23696846
2023-09-07,D,253752,533912,23796156
2023-09-07,W,226200,566651,23923046
2023-09-08,D,14508,548419,23810664
2023-09-08,W,14298,580949,23937344
2023-09-11,D,31306,579725,23841970
2023-09-11,W,15308,596257,23952652
2023-09-12,D,220018,799743,24061988
2023-09-12,W,194498,790754,24147150
2023-09-13,D,33541,833284,24095529
2023-09-13,W,47009,837763,24194158
2023-09-14,D,234044,1067328,24329573
2023-09-14,W,188565,1026328,24382723
2023-09-15,D,178711,1246039,24508284
2023-09-15,W,128699,1155027,24511423
2023-09-18,D,48186,1294226,24556470
2023-09-18,W,17029,1172056,24528451
2023-09-19,D,213643,1507869,24770113
2023-09-19,W,202721,1374777,24731172
2023-09-20,D,29554,1537422,24799667
2023-09-20,W,42772,1417548,24773944
