date,babilpobm:FMI|T|T|A40,babilpobm:FBA|T|T|A40,babilpobm:FKU|T|T|A40,babilpobm:TOT|T|T|A40,babilpobm:VBA|T|T|A40,babilpobm:VKE|T|T|A40,babilpobm:APF|T|T|A40,babilpobm:TOT1|T|T|A40
2025-01,423124,320293,375304,2914814,599750,1564639,266649,2914814
2025-02,425766,327870,375527,2922804,595027,1574834,267963,2922804
2025-03,417968,319881,374491,2896184,570693,1588568,270660,2896184
2025-04,437081,339703,366484,2937638,595148,1582643,272554,2937638
2025-05,419104,339477,366137,2922306,592199,1584912,274655,2922306
2025-06,414129,328798,361155,2871417,555957,1587859,277752,2871417
2025-07,434431,342779,360082,2922652,588299,1597426,278501,2922652
2025-08,442957,331742,360005,2922297,579350,1603999,280019,2922297
2025-09,432338,327014,362535,2899932,573652,1601241,283628,2899932
2025-10,438588,332970,363667,2950655,577492,1626237,284554,2950655
2025-11,439503,330844,365881,2959823,577781,1634853,285566,2959823
2025-12,422806,322981,366262,2906410,559101,1620296,286097,2906410
2026-01,435362,331956,365867,2987740,567210,1628974,287985,2987740
2026-02,427210,328689,367734,2979211,560344,1635573,289786,2979211
2026-03,415164,339463,380717,2990482,569648,1657302,293439,2990482
2026-04,427567,341477,389152,2987433,574158,1655603,294637,2987433
2026-05,429349,342287,398576,3001775,582935,1651905,296724,3001775
2026-06,423952,334165,400037,2992954,570994,1661089,299900,2992954
