tr_id,TR_OPERATION_DATE,TR_SETTLEMENT_DATE,TR_TERM_DAYS,TR_MATURITY_DATE,TR_OFFERED_AMOUNT,TR_ALLOCATED_AMOUNT,TR_LOW_RATE,TR_AVERAGE_RATE,TR_HIGH_RATE,TR_TYPE
TR_HIST_115,2018-08-14,2018-08-16,28,2018-09-13,2600,2600,1.530,1.537,1.540,Regular
TR_HIST_116,2018-08-28,2018-08-30,28,2018-09-27,2700,2700,1.530,1.532,1.540,Regular
TR_HIST_117,2018-08-28,2018-08-30,84,2018-11-22,1100,1100,1.620,1.623,1.630,Regular
TR_HIST_118,2018-09-11,2018-09-13,28,2018-10-11,2800,2800,1.520,1.524,1.530,Regular
TR_HIST_119,2018-09-25,2018-09-27,29,2018-10-26,2500,2500,1.510,1.524,1.530,Regular
TR_HIST_120,2018-09-25,2018-09-27,84,2018-12-20,1100,1100,1.680,1.687,1.690,Regular
TR_HIST_121,2018-10-09,2018-10-11,28,2018-11-08,2300,2300,1.640,1.651,1.660,Regular
TR_HIST_122,2018-10-25,2018-10-26,27,2018-11-22,2500,2500,1.760,1.773,1.780,Regular
TR_HIST_123,2018-10-25,2018-10-26,83,2019-01-17,1100,1100,1.830,1.839,1.840,Regular
TR_HIST_124,2018-11-06,2018-11-08,29,2018-12-07,2300,2300,1.770,1.773,1.780,Regular
TR_HIST_125,2018-11-20,2018-11-22,28,2018-12-20,2600,2600,1.780,1.783,1.790,Regular
TR_HIST_126,2018-11-20,2018-11-22,84,2019-02-14,1100,1100,1.870,1.872,1.880,Regular
TR_HIST_127,2018-12-06,2018-12-07,28,2019-01-04,2700,2700,1.780,1.789,1.800,Regular
TR_HIST_128,2018-12-13,2018-12-17,25,2019-01-11,2200,2200,1.780,1.789,1.790,Regular
TR_HIST_129,2018-12-18,2018-12-20,28,2019-01-17,2500,2500,1.790,1.792,1.800,Regular
TR_HIST_130,2018-12-18,2018-12-20,84,2019-03-14,1100,1100,1.800,1.806,1.810,Regular
TR_HIST_131,2019-01-03,2019-01-04,27,2019-01-31,2900,2900,1.790,1.800,1.810,Regular
TR_HIST_132,2019-01-15,2019-01-17,28,2019-02-14,2900,2900,1.770,1.780,1.780,Regular
TR_HIST_133,2019-01-15,2019-01-17,84,2019-04-11,1400,1400,1.790,1.790,1.790,Regular
TR_HIST_134,2019-01-29,2019-01-31,28,2019-02-28,2900,2900,1.770,1.782,1.800,Regular
TR_HIST_135,2019-02-12,2019-02-14,28,2019-03-14,2900,2900,1.760,1.772,1.780,Regular
TR_HIST_136,2019-02-12,2019-02-14,84,2019-05-09,1400,1400,1.790,1.800,1.810,Regular
TR_HIST_137,2019-02-26,2019-02-28,28,2019-03-28,2900,2900,1.760,1.771,1.780,Regular
TR_HIST_138,2019-03-12,2019-03-14,28,2019-04-11,2900,2900,1.770,1.771,1.780,Regular
TR_HIST_139,2019-03-12,2019-03-14,84,2019-06-06,1400,1400,1.780,1.785,1.790,Regular
TR_HIST_140,2019-03-26,2019-03-28,29,2019-04-26,2900,2900,1.760,1.777,1.790,Regular
TR_HIST_141,2019-04-09,2019-04-11,28,2019-05-09,2900,2900,1.750,1.767,1.780,Regular
TR_HIST_142,2019-04-09,2019-04-11,84,2019-07-04,1400,1400,1.770,1.775,1.780,Regular
TR_HIST_143,2019-04-25,2019-04-26,27,2019-05-23,2900,2900,1.770,1.777,1.790,Regular
TR_HIST_144,2019-05-07,2019-05-09,28,2019-06-06,2900,2900,1.750,1.769,1.780,Regular
TR_HIST_145,2019-05-07,2019-05-09,84,2019-08-01,1400,1400,1.770,1.780,1.780,Regular
TR_HIST_146,2019-05-21,2019-05-23,28,2019-06-20,3200,3200,1.770,1.773,1.780,Regular
TR_HIST_147,2019-06-04,2019-06-06,28,2019-07-04,2900,2849,1.750,1.770,1.780,Regular
TR_HIST_148,2019-06-04,2019-06-06,84,2019-08-29,1400,1400,1.770,1.773,1.780,Regular
TR_HIST_149,2019-06-18,2019-06-20,28,2019-07-18,3200,3200,1.750,1.763,1.770,Regular
TR_HIST_150,2019-07-02,2019-07-04,28,2019-08-01,2900,2900,1.740,1.755,1.770,Regular
TR_HIST_151,2019-07-02,2019-07-04,84,2019-09-26,1400,1400,1.730,1.748,1.760,Regular
TR_HIST_152,2019-07-16,2019-07-18,28,2019-08-15,2900,2900,1.750,1.761,1.780,Regular
TR_HIST_153,2019-07-30,2019-08-01,28,2019-08-29,2900,2900,1.750,1.766,1.780,Regular
TR_HIST_154,2019-07-30,2019-08-01,84,2019-10-24,1400,1400,1.750,1.759,1.770,Regular
TR_HIST_155,2019-08-13,2019-08-15,28,2019-09-12,3100,3100,1.740,1.746,1.760,Regular
TR_HIST_156,2019-08-27,2019-08-29,28,2019-09-26,3200,3200,1.730,1.741,1.750,Regular
TR_HIST_157,2019-08-27,2019-08-29,84,2019-11-21,1800,1800,1.690,1.707,1.720,Regular
TR_HIST_158,2019-09-10,2019-09-12,28,2019-10-10,3000,3000,1.770,1.771,1.780,Regular
TR_HIST_159,2019-09-10,2019-09-12,28,2019-10-10,500,500,1.850,1.862,1.870,NHA MBS
TR_HIST_160,2019-09-24,2019-09-26,28,2019-10-24,3100,3100,1.750,1.756,1.770,Regular
TR_HIST_161,2019-09-24,2019-09-26,84,2019-12-19,1800,1800,1.740,1.744,1.760,Regular
TR_HIST_162,2019-10-08,2019-10-10,28,2019-11-07,3100,3100,1.740,1.751,1.770,Regular
TR_HIST_163,2019-10-08,2019-10-10,28,2019-11-07,500,500,1.830,1.836,1.840,NHA MBS
TR_HIST_164,2019-10-22,2019-10-24,28,2019-11-21,3200,3200,1.750,1.753,1.770,Regular
TR_HIST_165,2019-10-22,2019-10-24,84,2020-01-16,1800,1800,1.730,1.749,1.760,Regular
TR_HIST_166,2019-11-05,2019-11-07,29,2019-12-06,3500,3500,1.750,1.766,1.780,Regular
TR_HIST_167,2019-11-05,2019-11-07,29,2019-12-06,500,400,1.850,1.853,1.860,NHA MBS
TR_HIST_168,2019-11-19,2019-11-21,28,2019-12-19,3500,3500,1.730,1.741,1.760,Regular
TR_HIST_169,2019-11-19,2019-11-21,84,2020-02-13,1800,1800,1.710,1.716,1.750,Regular
TR_HIST_170,2019-12-05,2019-12-06,28,2020-01-03,3600,3600,1.760,1.770,1.780,Regular
TR_HIST_171,2019-12-05,2019-12-06,28,2020-01-03,500,450,1.860,1.863,1.870,NHA MBS
TR_HIST_172,2019-12-10,2019-12-12,28,2020-01-09,2400,2400,1.750,1.765,1.770,Regular
TR_HIST_173,2019-12-17,2019-12-19,28,2020-01-16,3500,3500,1.750,1.759,1.770,Regular
TR_HIST_174,2019-12-17,2019-12-19,84,2020-03-12,2000,2000,1.750,1.762,1.770,Regular
TR_HIST_175,2019-12-30,2020-01-03,27,2020-01-30,3700,3700,1.750,1.757,1.770,Regular
TR_HIST_176,2019-12-30,2020-01-03,27,2020-01-30,500,325,1.850,1.850,1.850,NHA MBS
TR_HIST_177,2020-01-14,2020-01-16,28,2020-02-13,3300,3300,1.750,1.758,1.760,Regular
TR_HIST_178,2020-01-14,2020-01-16,84,2020-04-09,2300,2300,1.750,1.754,1.760,Regular
TR_HIST_179,2020-01-28,2020-01-30,28,2020-02-27,3400,3400,1.750,1.754,1.760,Regular
TR_HIST_180,2020-01-28,2020-01-30,28,2020-02-27,500,300,1.850,1.850,1.850,NHA MBS
TR_HIST_181,2020-02-11,2020-02-13,28,2020-03-12,4100,4100,1.740,1.746,1.760,Regular
TR_HIST_182,2020-02-11,2020-02-13,84,2020-05-07,2400,2400,1.720,1.737,1.750,Regular
TR_HIST_183,2020-02-25,2020-02-27,28,2020-03-26,4400,4370,1.700,1.708,1.730,Regular
TR_HIST_184,2020-02-25,2020-02-27,28,2020-03-26,500,300,1.800,1.800,1.800,NHA MBS
TR_HIST_185,2020-03-10,2020-03-12,28,2020-04-09,4400,3420,1.100,1.102,1.130,Regular
TR_HIST_186,2020-03-10,2020-03-12,85,2020-06-05,3000,3000,0.820,0.842,0.880,Regular
TR_HIST_187,2020-03-17,2020-03-19,168,2020-09-03,4000,4000,0.280,0.363,0.500,Regular
TR_HIST_188,2020-03-17,2020-03-19,350,2021-03-04,3000,3000,0.260,0.343,0.500,Regular
TR_HIST_189,2020-03-19,2020-03-20,90,2020-06-18,2000,2000,0.500,0.518,0.530,NHA MBS
TR_HIST_190,2020-03-19,2020-03-20,356,2021-03-11,9000,9000,0.330,0.523,1.010,Regular
TR_HIST_191,2020-03-24,2020-03-26,175,2020-09-17,4000,4000,,0.594,,Regular
TR_HIST_192,2020-03-24,2020-03-26,357,2021-03-18,8000,8000,,0.808,,Regular
TR_HIST_193,2020-03-26,2020-03-30,87,2020-06-25,4000,4000,,0.537,,NHA MBS
TR_HIST_194,2020-03-26,2020-03-30,360,2021-03-25,20000,20000,,0.933,,Regular
TR_HIST_195,2020-03-31,2020-04-02,91,2020-07-02,4000,2000,,0.458,,NHA MBS
TR_HIST_196,2020-03-31,2020-04-02,175,2020-09-24,8000,8000,,0.719,,Regular
TR_HIST_197,2020-03-31,2020-04-02,364,2021-04-01,12000,12000,,0.907,,Regular
TR_HIST_198,2020-04-02,2020-04-06,87,2020-07-02,8000,8000,,0.364,,Regular
TR_HIST_199,2020-04-02,2020-04-06,360,2021-04-01,16000,16000,,0.869,,Regular
TR_HIST_200,2020-04-07,2020-04-09,175,2020-10-01,8000,8000,,0.508,,Regular
TR_HIST_201,2020-04-07,2020-04-09,364,2021-04-08,16000,15240,,0.600,,Regular
TR_HIST_202,2020-04-09,2020-04-14,93,2020-07-16,6000,4790,,0.208,,Regular
TR_HIST_203,2020-04-09,2020-04-14,359,2021-04-08,10000,9740,,0.352,,Regular
TR_HIST_204,2020-04-14,2020-04-16,175,2020-10-08,4000,4000,,0.201,,Regular
TR_HIST_205,2020-04-14,2020-04-16,364,2021-04-15,8000,8000,,0.227,,Regular
TR_HIST_206,2020-04-16,2020-04-20,87,2020-07-16,4000,4000,,0.184,,Regular
TR_HIST_207,2020-04-16,2020-04-20,360,2021-04-15,8000,8000,,0.188,,Regular
TR_HIST_208,2020-04-21,2020-04-23,175,2020-10-15,3000,2700,,0.211,,Regular
TR_HIST_209,2020-04-21,2020-04-23,350,2021-04-08,6000,5065,,0.214,,Regular
TR_HIST_210,2020-04-23,2020-04-27,87,2020-07-23,3000,1010,,0.200,,Regular
TR_HIST_211,2020-04-23,2020-04-27,360,2021-04-22,6000,5510,,0.213,,Regular
TR_HIST_212,2020-04-28,2020-04-30,182,2020-10-29,3000,180,,0.310,,Regular
TR_HIST_213,2020-04-28,2020-04-30,714,2022-04-14,6000,6000,,0.466,,Regular
TR_HIST_214,2020-04-30,2020-05-04,87,2020-07-30,3000,0,,,,Regular
TR_HIST_215,2020-04-30,2020-05-04,262,2021-01-21,6000,1860,,0.344,,Regular
TR_HIST_216,2020-05-05,2020-05-07,175,2020-10-29,3000,0,,,,Regular
TR_HIST_217,2020-05-05,2020-05-07,539,2021-10-28,6000,5505,,0.357,,Regular
TR_HIST_218,2020-05-07,2020-05-11,87,2020-08-06,3000,70,,0.250,,Regular
TR_HIST_219,2020-05-07,2020-05-11,353,2021-04-29,6000,1500,,0.320,,Regular
TR_HIST_220,2020-05-12,2020-05-14,273,2021-02-11,3000,0,,,,Regular
TR_HIST_221,2020-05-12,2020-05-14,448,2021-08-05,6000,1500,,0.290,,Regular
TR_HIST_222,2020-05-14,2020-05-19,359,2021-05-13,3000,750,,0.280,,Regular
TR_HIST_223,2020-05-14,2020-05-19,625,2022-02-03,6000,4560,,0.310,,Regular
TR_HIST_224,2020-05-19,2020-05-21,91,2020-08-20,3000,30,,0.250,,Regular
TR_HIST_225,2020-05-19,2020-05-21,538,2021-11-10,6000,400,,0.300,,Regular
TR_HIST_226,2020-05-21,2020-05-25,185,2020-11-26,3000,20,,0.250,,Regular
TR_HIST_227,2020-05-21,2020-05-25,717,2022-05-12,6000,3045,,0.310,,Regular
TR_HIST_228,2020-05-26,2020-05-28,182,2020-11-26,3000,20,,0.250,,Regular
TR_HIST_229,2020-05-26,2020-05-28,546,2021-11-25,6000,0,,,,Regular
TR_HIST_230,2020-05-28,2020-06-01,360,2021-05-27,3000,750,,0.300,,Regular
TR_HIST_231,2020-05-28,2020-06-01,724,2022-05-26,6000,5000,,0.330,,Regular
TR_HIST_232,2020-06-02,2020-06-04,91,2020-09-03,3000,10,,0.250,,Regular
TR_HIST_233,2020-06-02,2020-06-04,455,2021-09-02,6000,1500,,0.320,,Regular
TR_HIST_234,2020-06-04,2020-06-08,269,2021-03-04,3000,50,,0.250,,Regular
TR_HIST_235,2020-06-04,2020-06-08,633,2022-03-03,6000,3050,,0.350,,Regular
TR_HIST_236,2020-06-09,2020-06-11,182,2020-12-10,3000,0,,,,Regular
TR_HIST_237,2020-06-09,2020-06-11,539,2021-12-02,6000,0,,,,Regular
TR_HIST_238,2020-06-11,2020-06-15,360,2021-06-10,3000,0,,,,Regular
TR_HIST_239,2020-06-11,2020-06-15,724,2022-06-09,6000,50,,0.350,,Regular
TR_HIST_240,2020-06-16,2020-06-18,448,2021-09-09,3000,0,,,,Regular
TR_HIST_241,2020-06-16,2020-06-18,630,2022-03-10,6000,0,,,,Regular
TR_HIST_242,2020-06-23,2020-06-25,175,2020-12-17,3000,0,,,,Regular
TR_HIST_243,2020-06-23,2020-06-25,539,2021-12-16,6000,0,,,,Regular
TR_HIST_244,2020-06-30,2020-07-02,357,2021-06-24,3000,0,,,,Regular
TR_HIST_245,2020-06-30,2020-07-02,721,2022-06-23,6000,0,,,,Regular
TR_HIST_246,2020-07-07,2020-07-09,182,2021-01-07,3000,0,,,,Regular
TR_HIST_247,2020-07-07,2020-07-09,539,2021-12-30,6000,0,,,,Regular
TR_HIST_248,2020-07-14,2020-07-16,357,2021-07-08,3000,0,,,,Regular
TR_HIST_249,2020-07-14,2020-07-16,721,2022-07-07,6000,0,,,,Regular
TR_HIST_250,2020-07-21,2020-07-23,182,2021-01-21,3000,40,,0.250,,Regular
TR_HIST_251,2020-07-21,2020-07-23,539,2022-01-13,6000,0,,,,Regular
TR_HIST_252,2020-07-28,2020-07-30,357,2021-07-22,3000,0,,,,Regular
TR_HIST_253,2020-07-28,2020-07-30,721,2022-07-21,6000,0,,,,Regular
TR_HIST_254,2020-08-04,2020-08-06,175,2021-01-28,3000,110,,0.250,,Regular
TR_HIST_255,2020-08-04,2020-08-06,539,2022-01-27,6000,0,,,,Regular
TR_HIST_256,2020-08-11,2020-08-13,364,2021-08-12,3000,0,,,,Regular
TR_HIST_257,2020-08-11,2020-08-13,728,2022-08-11,6000,0,,,,Regular
TR_HIST_258,2020-08-18,2020-08-20,182,2021-02-18,3000,105,,0.250,,Regular
TR_HIST_259,2020-08-18,2020-08-20,539,2022-02-10,6000,0,,,,Regular
TR_HIST_260,2020-08-25,2020-08-27,357,2021-08-19,3000,0,,,,Regular
TR_HIST_261,2020-08-25,2020-08-27,721,2022-08-18,6000,50,,0.370,,Regular
TR_HIST_262,2020-09-01,2020-09-03,175,2021-02-25,3000,120,,0.250,,Regular
TR_HIST_263,2020-09-01,2020-09-03,546,2022-03-03,6000,0,,,,Regular
TR_HIST_264,2020-09-08,2020-09-10,364,2021-09-09,3000,0,,,,Regular
