bond_id,AUC_BOND_S_AUCTION_DATE,AUC_BOND_S_ISIN,AUC_BOND_S_MATURITY_DATE,AUC_BOND_S_COUPON_RATE,AUC_BOND_S_BID_DEADLINE,AUC_BOND_S_SETTLEMENT_DATE,AUC_BOND_S_CUTOFF_SPREAD,AUC_BOND_S_CONVERSION_RATIO,AUC_BOND_S_AMOUNT_REPURCHASED
HIST_BOND_S_174,2002-10-09,CA135087QQ04,2009-03-01,11.500,10:30,2002-10-15,0.0,0.0000,
HIST_BOND_S_172,2002-10-09,CA135087WR13,2009-06-01,5.500,10:30,2002-10-15,0.0,0.0000,
HIST_BOND_S_173,2002-10-09,CA135087RD81,2009-06-01,11.000,10:30,2002-10-15,0.0,0.0000,
HIST_BOND_S_171,2002-10-09,CA135087QV98,2009-10-01,10.750,10:30,2002-10-15,0.0,0.0000,
HIST_BOND_S_170,2002-10-09,CA135087RQ94,2010-03-01,9.750,10:30,2002-10-15,0.0,0.0000,
HIST_BOND_S_169,2002-10-09,CA135087RW62,2010-10-01,8.750,10:30,2002-10-15,0.0,0.0000,
HIST_BOND_S_168,2002-10-09,CA135087RY29,2011-03-01,9.000,10:30,2002-10-15,0.0,0.0000,
HIST_BOND_S_167,2002-10-09,CA135087TH77,2014-03-15,10.250,10:30,2002-10-15,0.0,0.0000,
HIST_BOND_S_166,2002-10-09,CA135087TU88,2015-06-01,11.250,10:30,2002-10-15,0.0,0.0000,
HIST_BOND_S_165,2002-10-09,CA135087TZ75,2021-03-15,10.500,10:30,2002-10-15,0.0,0.0000,
HIST_BOND_S_164,2002-10-09,CA135087UE28,2021-06-01,9.750,10:30,2002-10-15,42.1,0.0000,294.017
HIST_BOND_S_163,2002-10-09,CA135087UM44,2022-06-01,9.250,10:30,2002-10-15,0.0,0.0000,
HIST_BOND_S_7,2002-11-20,CA135087XG49,2033-06-01,5.750,10:30,,,,
HIST_BOND_S_180,2002-11-20,CA135087TZ75,2021-03-15,10.500,10:30,2002-11-25,1.1,1.0400,20.000
HIST_BOND_S_179,2002-11-20,CA135087UE28,2021-06-01,9.750,10:30,2002-11-25,-2.2,1.0400,111.111
HIST_BOND_S_178,2002-11-20,CA135087UM44,2022-06-01,9.250,10:30,2002-11-25,4.0,1.0400,100.000
HIST_BOND_S_177,2002-11-20,CA135087UT96,2023-06-01,8.000,10:30,2002-11-25,6.6,1.0400,48.811
HIST_BOND_S_176,2002-11-20,CA135087VH40,2025-06-01,9.000,10:30,2002-11-25,9.5,1.0400,40.000
HIST_BOND_S_175,2002-11-20,CA135087VW17,2027-06-01,8.000,10:30,2002-11-25,10.0,1.0400,70.000
HIST_BOND_S_8,2002-12-11,CA135087XM17,2013-06-01,5.250,10:30,,,,
HIST_BOND_S_190,2002-12-11,CA135087RQ94,2010-03-01,9.750,10:30,2002-12-16,-33.0,0.8772,24.000
HIST_BOND_S_188,2002-12-11,CA135087WX80,2010-06-01,5.500,10:30,2002-12-16,0.0,0.8772,
HIST_BOND_S_189,2002-12-11,CA135087RS50,2010-06-01,9.500,10:30,2002-12-16,-30.6,0.8772,1.689
HIST_BOND_S_187,2002-12-11,CA135087RW62,2010-10-01,8.750,10:30,2002-12-16,0.0,0.8772,
HIST_BOND_S_186,2002-12-11,CA135087RY29,2011-03-01,9.000,10:30,2002-12-16,-19.0,0.8772,9.870
HIST_BOND_S_185,2002-12-11,CA135087TH77,2014-03-15,10.250,10:30,2002-12-16,0.0,0.8772,
HIST_BOND_S_184,2002-12-11,CA135087TU88,2015-06-01,11.250,10:30,2002-12-16,0.0,0.8772,
HIST_BOND_S_183,2002-12-11,CA135087TZ75,2021-03-15,10.500,10:30,2002-12-16,36.0,0.8772,103.289
HIST_BOND_S_182,2002-12-11,CA135087UE28,2021-06-01,9.750,10:30,2002-12-16,33.1,0.8772,120.374
HIST_BOND_S_181,2002-12-11,CA135087UM44,2022-06-01,9.250,10:30,2002-12-16,39.5,0.8772,70.000
HIST_BOND_S_9,2002-12-18,CA135087XN99,2008-09-01,4.250,10:30,,,,
HIST_BOND_S_203,2002-12-18,CA135087PQ13,2006-10-01,14.000,10:30,2002-12-23,0.0,0.0000,
HIST_BOND_S_202,2002-12-18,CA135087VU50,2006-12-01,7.000,10:30,2002-12-23,-44.6,0.0000,122.000
HIST_BOND_S_201,2002-12-18,CA135087PT51,2007-03-01,13.750,10:30,2002-12-23,0.0,0.0000,
HIST_BOND_S_200,2002-12-18,CA135087WB60,2007-06-01,7.250,10:30,2002-12-23,-31.5,0.0000,244.534
HIST_BOND_S_199,2002-12-18,CA135087PW80,2007-10-01,13.000,10:30,2002-12-23,0.0,0.0000,
HIST_BOND_S_198,2002-12-18,CA135087QB35,2008-03-01,12.750,10:30,2002-12-23,0.0,0.0000,
HIST_BOND_S_196,2002-12-18,CA135087WH31,2008-06-01,6.000,10:30,2002-12-23,0.0,0.0000,
HIST_BOND_S_197,2002-12-18,CA135087RK25,2008-06-01,10.000,10:30,2002-12-23,0.0,0.0000,
HIST_BOND_S_195,2002-12-18,CA135087QL17,2008-10-01,11.750,10:30,2002-12-23,0.0,0.0000,
HIST_BOND_S_194,2002-12-18,CA135087QQ04,2009-03-01,11.500,10:30,2002-12-23,10.5,0.0000,3.000
HIST_BOND_S_192,2002-12-18,CA135087WR13,2009-06-01,5.500,10:30,2002-12-23,0.0,0.0000,
HIST_BOND_S_193,2002-12-18,CA135087RD81,2009-06-01,11.000,10:30,2002-12-23,0.0,0.0000,
HIST_BOND_S_191,2002-12-18,CA135087QV98,2009-10-01,10.750,10:30,2002-12-23,18.5,0.0000,62.950
HIST_BOND_S_10,2003-01-30,CA135087XP48,2005-06-01,3.500,10:30,,,,
HIST_BOND_S_215,2003-01-30,CA135087WU42,2004-09-01,5.000,10:30,2003-02-03,-21.5,0.6994,350.646
HIST_BOND_S_214,2003-01-30,CA135087KU79,2004-10-01,10.500,10:30,2003-02-03,-18.7,0.6994,3.086
HIST_BOND_S_213,2003-01-30,CA135087NZ30,2005-03-01,12.000,10:30,2003-02-03,-8.0,0.6994,98.464
HIST_BOND_S_211,2003-01-30,CA135087WY63,2005-09-01,6.000,10:30,2003-02-03,0.0,0.6994,
HIST_BOND_S_212,2003-01-30,CA135087NV26,2005-09-01,12.250,10:30,2003-02-03,0.0,0.6994,
HIST_BOND_S_210,2003-01-30,CA135087VL51,2005-12-01,8.750,10:30,2003-02-03,0.0,0.6994,
HIST_BOND_S_209,2003-01-30,CA135087PG31,2006-03-01,12.500,10:30,2003-02-03,18.1,0.6994,28.200
HIST_BOND_S_208,2003-01-30,CA135087PQ13,2006-10-01,14.000,10:30,2003-02-03,36.5,0.6994,2.120
HIST_BOND_S_207,2003-01-30,CA135087VU50,2006-12-01,7.000,10:30,2003-02-03,0.0,0.6994,
HIST_BOND_S_206,2003-01-30,CA135087PT51,2007-03-01,13.750,10:30,2003-02-03,0.0,0.6994,
HIST_BOND_S_205,2003-01-30,CA135087WB60,2007-06-01,7.250,10:30,2003-02-03,0.0,0.6994,
HIST_BOND_S_204,2003-01-30,CA135087PW80,2007-10-01,13.000,10:30,2003-02-03,60.0,0.6994,3.700
HIST_BOND_S_11,2003-02-26,CA135087XG49,2033-06-01,5.750,10:30,,,,
HIST_BOND_S_221,2003-02-26,CA135087TZ75,2021-03-15,10.500,10:30,2003-03-03,-2.4,1.0383,29.000
HIST_BOND_S_220,2003-02-26,CA135087UE28,2021-06-01,9.750,10:30,2003-03-03,-5.1,1.0383,10.000
HIST_BOND_S_219,2003-02-26,CA135087UM44,2022-06-01,9.250,10:30,2003-03-03,0.0,1.0383,
HIST_BOND_S_218,2003-02-26,CA135087UT96,2023-06-01,8.000,10:30,2003-03-03,4.2,1.0383,5.000
HIST_BOND_S_217,2003-02-26,CA135087VH40,2025-06-01,9.000,10:30,2003-03-03,7.1,1.0383,30.000
HIST_BOND_S_216,2003-02-26,CA135087VW17,2027-06-01,8.000,10:30,2003-03-03,8.4,1.0383,206.888
HIST_BOND_S_12,2003-03-19,CA135087XM17,2013-06-01,5.250,10:30,,,,
HIST_BOND_S_231,2003-03-19,CA135087RQ94,2010-03-01,9.750,10:30,2003-03-24,0.0,0.0000,
HIST_BOND_S_229,2003-03-19,CA135087WX80,2010-06-01,5.500,10:30,2003-03-24,-25.9,0.0000,70.000
HIST_BOND_S_230,2003-03-19,CA135087RS50,2010-06-01,9.500,10:30,2003-03-24,0.0,0.0000,
HIST_BOND_S_228,2003-03-19,CA135087RW62,2010-10-01,8.750,10:30,2003-03-24,-27.0,0.0000,10.000
HIST_BOND_S_227,2003-03-19,CA135087RY29,2011-03-01,9.000,10:30,2003-03-24,-21.3,0.0000,25.329
HIST_BOND_S_226,2003-03-19,CA135087TH77,2014-03-15,10.250,10:30,2003-03-24,2.4,0.0000,50.870
HIST_BOND_S_225,2003-03-19,CA135087TU88,2015-06-01,11.250,10:30,2003-03-24,4.2,0.0000,267.292
HIST_BOND_S_224,2003-03-19,CA135087TZ75,2021-03-15,10.500,10:30,2003-03-24,33.1,0.0000,20.000
HIST_BOND_S_223,2003-03-19,CA135087UE28,2021-06-01,9.750,10:30,2003-03-24,0.0,0.0000,
HIST_BOND_S_222,2003-03-19,CA135087UM44,2022-06-01,9.250,10:30,2003-03-24,0.0,0.0000,
HIST_BOND_S_13,2003-03-26,CA135087XN99,2008-09-01,4.250,10:30,,,,
HIST_BOND_S_244,2003-03-26,CA135087PQ13,2006-10-01,14.000,10:30,2003-03-31,0.0,0.0000,
HIST_BOND_S_243,2003-03-26,CA135087VU50,2006-12-01,7.000,10:30,2003-03-31,-37.1,0.0000,444.015
HIST_BOND_S_242,2003-03-26,CA135087PT51,2007-03-01,13.750,10:30,2003-03-31,0.0,0.0000,
HIST_BOND_S_241,2003-03-26,CA135087WB60,2007-06-01,7.250,10:30,2003-03-31,0.0,0.0000,
HIST_BOND_S_240,2003-03-26,CA135087PW80,2007-10-01,13.000,10:30,2003-03-31,-20.5,0.0000,1.620
HIST_BOND_S_239,2003-03-26,CA135087QB35,2008-03-01,12.750,10:30,2003-03-31,0.0,0.0000,
HIST_BOND_S_237,2003-03-26,CA135087WH31,2008-06-01,6.000,10:30,2003-03-31,0.0,0.0000,
HIST_BOND_S_238,2003-03-26,CA135087RK25,2008-06-01,10.000,10:30,2003-03-31,0.0,0.0000,
HIST_BOND_S_236,2003-03-26,CA135087QL17,2008-10-01,11.750,10:30,2003-03-31,-2.5,0.0000,10.441
HIST_BOND_S_235,2003-03-26,CA135087QQ04,2009-03-01,11.500,10:30,2003-03-31,0.0,0.0000,
HIST_BOND_S_233,2003-03-26,CA135087WR13,2009-06-01,5.500,10:30,2003-03-31,0.0,0.0000,
HIST_BOND_S_234,2003-03-26,CA135087RD81,2009-06-01,11.000,10:30,2003-03-31,0.0,0.0000,
HIST_BOND_S_232,2003-03-26,CA135087QV98,2009-10-01,10.750,10:30,2003-03-31,14.5,0.0000,35.000
HIST_BOND_S_14,2003-04-09,CA135087XG49,2033-06-01,5.750,10:30,,,,
HIST_BOND_S_250,2003-04-09,CA135087TZ75,2021-03-15,10.500,10:30,2003-04-14,-2.1,1.0402,2.320
HIST_BOND_S_249,2003-04-09,CA135087UE28,2021-06-01,9.750,10:30,2003-04-14,-5.3,1.0402,180.795
HIST_BOND_S_248,2003-04-09,CA135087UM44,2022-06-01,9.250,10:30,2003-04-14,-0.9,1.0402,70.881
HIST_BOND_S_247,2003-04-09,CA135087UT96,2023-06-01,8.000,10:30,2003-04-14,3.4,1.0402,0.932
HIST_BOND_S_246,2003-04-09,CA135087VH40,2025-06-01,9.000,10:30,2003-04-14,6.3,1.0402,31.397
HIST_BOND_S_245,2003-04-09,CA135087VW17,2027-06-01,8.000,10:30,2003-04-14,7.4,1.0402,6.986
HIST_BOND_S_15,2003-04-24,CA135087XN99,2008-09-01,4.250,10:30,,,,
HIST_BOND_S_263,2003-04-24,CA135087PQ13,2006-10-01,14.000,10:30,2003-04-29,0.0,0.0000,
HIST_BOND_S_262,2003-04-24,CA135087VU50,2006-12-01,7.000,10:30,2003-04-29,-39.8,0.0000,25.000
HIST_BOND_S_261,2003-04-24,CA135087PT51,2007-03-01,13.750,10:30,2003-04-29,-40.0,0.0000,8.000
HIST_BOND_S_260,2003-04-24,CA135087WB60,2007-06-01,7.250,10:30,2003-04-29,-29.0,0.0000,148.899
HIST_BOND_S_259,2003-04-24,CA135087PW80,2007-10-01,13.000,10:30,2003-04-29,0.0,0.0000,
HIST_BOND_S_258,2003-04-24,CA135087QB35,2008-03-01,12.750,10:30,2003-04-29,-15.9,0.0000,8.108
HIST_BOND_S_256,2003-04-24,CA135087WH31,2008-06-01,6.000,10:30,2003-04-29,-6.0,0.0000,165.000
HIST_BOND_S_257,2003-04-24,CA135087RK25,2008-06-01,10.000,10:30,2003-04-29,-8.2,0.0000,7.000
HIST_BOND_S_255,2003-04-24,CA135087QL17,2008-10-01,11.750,10:30,2003-04-29,0.0,0.0000,
HIST_BOND_S_254,2003-04-24,CA135087QQ04,2009-03-01,11.500,10:30,2003-04-29,5.7,0.0000,36.329
HIST_BOND_S_252,2003-04-24,CA135087WR13,2009-06-01,5.500,10:30,2003-04-29,0.0,0.0000,
HIST_BOND_S_253,2003-04-24,CA135087RD81,2009-06-01,11.000,10:30,2003-04-29,0.0,0.0000,
HIST_BOND_S_251,2003-04-24,CA135087QV98,2009-10-01,10.750,10:30,2003-04-29,13.0,0.0000,11.875
HIST_BOND_S_16,2003-05-14,CA135087XP48,2005-06-01,3.500,10:30,,,,
HIST_BOND_S_275,2003-05-14,CA135087WU42,2004-09-01,5.000,10:30,2003-05-16,0.0,0.6514,
HIST_BOND_S_274,2003-05-14,CA135087KU79,2004-10-01,10.500,10:30,2003-05-16,0.0,0.6514,
HIST_BOND_S_273,2003-05-14,CA135087NZ30,2005-03-01,12.000,10:30,2003-05-16,0.0,0.6514,
HIST_BOND_S_271,2003-05-14,CA135087WY63,2005-09-01,6.000,10:30,2003-05-16,6.8,0.6514,119.783
HIST_BOND_S_272,2003-05-14,CA135087NV26,2005-09-01,12.250,10:30,2003-05-16,6.0,0.6514,24.000
HIST_BOND_S_270,2003-05-14,CA135087VL51,2005-12-01,8.750,10:30,2003-05-16,11.5,0.6514,175.000
HIST_BOND_S_269,2003-05-14,CA135087PG31,2006-03-01,12.500,10:30,2003-05-16,0.0,0.6514,
HIST_BOND_S_268,2003-05-14,CA135087PQ13,2006-10-01,14.000,10:30,2003-05-16,0.0,0.6514,
HIST_BOND_S_267,2003-05-14,CA135087VU50,2006-12-01,7.000,10:30,2003-05-16,0.0,0.6514,
HIST_BOND_S_266,2003-05-14,CA135087PT51,2007-03-01,13.750,10:30,2003-05-16,0.0,0.6514,
HIST_BOND_S_265,2003-05-14,CA135087WB60,2007-06-01,7.250,10:30,2003-05-16,0.0,0.6514,
HIST_BOND_S_264,2003-05-14,CA135087PW80,2007-10-01,13.000,10:30,2003-05-16,0.0,0.6514,
HIST_BOND_S_17,2003-06-19,CA135087XM17,2013-06-01,5.250,10:30,,,,
HIST_BOND_S_285,2003-06-19,CA135087RQ94,2010-03-01,9.750,10:30,2003-06-25,0.0,0.0000,
HIST_BOND_S_283,2003-06-19,CA135087WX80,2010-06-01,5.500,10:30,2003-06-25,0.0,0.0000,
HIST_BOND_S_284,2003-06-19,CA135087RS50,2010-06-01,9.500,10:30,2003-06-25,0.0,0.0000,
HIST_BOND_S_282,2003-06-19,CA135087RW62,2010-10-01,8.750,10:30,2003-06-25,0.0,0.0000,
HIST_BOND_S_281,2003-06-19,CA135087RY29,2011-03-01,9.000,10:30,2003-06-25,-25.6,0.0000,14.000
HIST_BOND_S_280,2003-06-19,CA135087TH77,2014-03-15,10.250,10:30,2003-06-25,2.1,0.0000,148.000
HIST_BOND_S_279,2003-06-19,CA135087TU88,2015-06-01,11.250,10:30,2003-06-25,3.0,0.0000,256.374
HIST_BOND_S_278,2003-06-19,CA135087TZ75,2021-03-15,10.500,10:30,2003-06-25,0.0,0.0000,
HIST_BOND_S_277,2003-06-19,CA135087UE28,2021-06-01,9.750,10:30,2003-06-25,0.0,0.0000,
HIST_BOND_S_276,2003-06-19,CA135087UM44,2022-06-01,9.250,10:30,2003-06-25,0.0,0.0000,
HIST_BOND_S_18,2003-07-16,CA135087XN99,2008-09-01,4.250,10:30,,,,
HIST_BOND_S_298,2003-07-16,CA135087PQ13,2006-10-01,14.000,10:30,2003-07-21,0.0,0.0000,
HIST_BOND_S_297,2003-07-16,CA135087VU50,2006-12-01,7.000,10:30,2003-07-21,-54.0,0.0000,125.000
HIST_BOND_S_296,2003-07-16,CA135087PT51,2007-03-01,13.750,10:30,2003-07-21,0.0,0.0000,
HIST_BOND_S_295,2003-07-16,CA135087WB60,2007-06-01,7.250,10:30,2003-07-21,-34.0,0.0000,50.000
HIST_BOND_S_294,2003-07-16,CA135087PW80,2007-10-01,13.000,10:30,2003-07-21,0.0,0.0000,
HIST_BOND_S_293,2003-07-16,CA135087QB35,2008-03-01,12.750,10:30,2003-07-21,0.0,0.0000,
HIST_BOND_S_291,2003-07-16,CA135087WH31,2008-06-01,6.000,10:30,2003-07-21,-6.2,0.0000,265.253
HIST_BOND_S_292,2003-07-16,CA135087RK25,2008-06-01,10.000,10:30,2003-07-21,0.0,0.0000,
HIST_BOND_S_290,2003-07-16,CA135087QL17,2008-10-01,11.750,10:30,2003-07-21,0.0,0.0000,
HIST_BOND_S_289,2003-07-16,CA135087QQ04,2009-03-01,11.500,10:30,2003-07-21,0.0,0.0000,
HIST_BOND_S_287,2003-07-16,CA135087WR13,2009-06-01,5.500,10:30,2003-07-21,0.0,0.0000,
HIST_BOND_S_288,2003-07-16,CA135087RD81,2009-06-01,11.000,10:30,2003-07-21,0.0,0.0000,
HIST_BOND_S_286,2003-07-16,CA135087QV98,2009-10-01,10.750,10:30,2003-07-21,17.0,0.0000,1.100
HIST_BOND_S_19,2003-07-30,CA135087XR04,2005-12-01,3.000,10:30,,,,
HIST_BOND_S_308,2003-07-30,CA135087NZ30,2005-03-01,12.000,10:30,2003-08-01,0.0,0.7542,
HIST_BOND_S_306,2003-07-30,CA135087WY63,2005-09-01,6.000,10:30,2003-08-01,0.0,0.7542,
HIST_BOND_S_307,2003-07-30,CA135087NV26,2005-09-01,12.250,10:30,2003-08-01,0.0,0.7542,
HIST_BOND_S_305,2003-07-30,CA135087PG31,2006-03-01,12.500,10:30,2003-08-01,0.0,0.7542,
HIST_BOND_S_304,2003-07-30,CA135087PQ13,2006-10-01,14.000,10:30,2003-08-01,0.0,0.7542,
HIST_BOND_S_303,2003-07-30,CA135087VU50,2006-12-01,7.000,10:30,2003-08-01,39.8,0.7542,75.218
HIST_BOND_S_302,2003-07-30,CA135087PT51,2007-03-01,13.750,10:30,2003-08-01,0.0,0.7542,
HIST_BOND_S_301,2003-07-30,CA135087WB60,2007-06-01,7.250,10:30,2003-08-01,58.9,0.7542,110.000
HIST_BOND_S_300,2003-07-30,CA135087PW80,2007-10-01,13.000,10:30,2003-08-01,0.0,0.7542,
HIST_BOND_S_299,2003-07-30,CA135087QB35,2008-03-01,12.750,10:30,2003-08-01,0.0,0.7542,
HIST_BOND_S_20,2003-08-20,CA135087XG49,2033-06-01,5.750,10:30,,,,
HIST_BOND_S_314,2003-08-20,CA135087TZ75,2021-03-15,10.500,10:30,2003-08-25,-12.3,1.0240,75.000
HIST_BOND_S_313,2003-08-20,CA135087UE28,2021-06-01,9.750,10:30,2003-08-25,-12.6,1.0240,28.000
HIST_BOND_S_312,2003-08-20,CA135087UM44,2022-06-01,9.250,10:30,2003-08-25,-8.0,1.0240,25.182
HIST_BOND_S_311,2003-08-20,CA135087UT96,2023-06-01,8.000,10:30,2003-08-25,-1.3,1.0240,112.615
HIST_BOND_S_310,2003-08-20,CA135087VH40,2025-06-01,9.000,10:30,2003-08-25,2.0,1.0240,58.000
HIST_BOND_S_309,2003-08-20,CA135087VW17,2027-06-01,8.000,10:30,2003-08-25,0.0,1.0240,
HIST_BOND_S_21,2003-09-25,CA135087XM17,2013-06-01,5.250,10:30,,,,
HIST_BOND_S_324,2003-09-25,CA135087RQ94,2010-03-01,9.750,10:30,2003-09-30,0.0,0.0000,
HIST_BOND_S_322,2003-09-25,CA135087WX80,2010-06-01,5.500,10:30,2003-09-30,-37.5,0.0000,100.000
HIST_BOND_S_323,2003-09-25,CA135087RS50,2010-06-01,9.500,10:30,2003-09-30,-41.0,0.0000,11.966
HIST_BOND_S_321,2003-09-25,CA135087RW62,2010-10-01,8.750,10:30,2003-09-30,0.0,0.0000,
HIST_BOND_S_320,2003-09-25,CA135087RY29,2011-03-01,9.000,10:30,2003-09-30,-25.2,0.0000,6.268
HIST_BOND_S_319,2003-09-25,CA135087TH77,2014-03-15,10.250,10:30,2003-09-30,2.7,0.0000,153.219
HIST_BOND_S_318,2003-09-25,CA135087TU88,2015-06-01,11.250,10:30,2003-09-30,4.2,0.0000,166.000
HIST_BOND_S_317,2003-09-25,CA135087TZ75,2021-03-15,10.500,10:30,2003-09-30,0.0,0.0000,
HIST_BOND_S_316,2003-09-25,CA135087UE28,2021-06-01,9.750,10:30,2003-09-30,0.0,0.0000,
HIST_BOND_S_315,2003-09-25,CA135087UM44,2022-06-01,9.250,10:30,2003-09-30,46.4,0.0000,26.829
HIST_BOND_S_22,2003-10-08,CA135087XN99,2008-09-01,4.250,10:30,,,,
