Ministero dell'Economia e delle Finanze;;;;;;;;;
Direzione Debito Pubblico;;;;;;;;;
Scadenze suddivise per anno;;;;;;;;;
(Aggiornamento al 31 maggio 2025);;;;;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro (rivalutato);Circolante Euro (nominale);;
XS0098449456;EMTN;28/06/1999;28/06/2029;Variabile;EUR;905.000.000,00;905.000.000,00;;
US465410BY32;GLOBAL;17/10/2019;17/10/2029;2,875;USD;1.820.830.298,62;1.820.830.298,62;;
IT0005024234;BTP 15;01/03/2014;01/03/2030;3,500;EUR;28.206.449.000,00;28.206.449.000,00;;
IT0005583478 ;BTP Valore;05/03/2024;05/03/2030;"3.250 ""step-up""";EUR;18.316.424.000,00;18.316.424.000,00;;
IT0005383309;BTP 10;01/09/2019;01/04/2030;1,350;EUR;22.758.941.000,00;22.758.941.000,00;;
IT0005594491;BTP Valore;14/05/2024;14/05/2030;"3.350 ""step-up""";EUR;11.226.556.000,00;11.226.556.000,00;;
IT0005387052;BTP�i 10;15/05/2019;15/05/2030; 0,400  Cedola reale;EUR;19.454.763.640,90;15.904.810.039,98;;
IT0005542797;BTP 7;17/04/2023;15/06/2030;3,700;EUR;16.318.312.000,00;16.318.312.000,00;;
IT0005496994;BTP Italia 8;28/06/2022;28/06/2030;1,600 Cedola reale;EUR;9.542.425.010,85;9.463.124.031,47;;
IT0005637399;BTP 5;03/03/2025;01/07/2030;2,950; EUR;12.675.000.000,00;12.675.000.000,00;;
IT0005415283;BTP Futura 10;14/07/2020;14/07/2030;"1,150  ""step-up""";EUR;6.132.260.000,00;6.132.260.000,00;;
IT0005403396;BTP 10;01/03/2020;01/08/2030;0,950;EUR;18.895.169.000,00;18.895.169.000,00;;
SURE;1^ tranche;27/10/2020;04/10/2030;0,000;EUR;5.500.000.000,00;5.500.000.000,00;;
IT0005491250;CCTeu;15/10/2021;15/10/2030;0,226;EUR;17.576.668.000,00;17.576.668.000,00;;
IT0005561888;BTP 7;15/09/2023;15/11/2030;4,000;EUR;15.922.664.000,00;15.922.664.000,00;;
IT0005413171;BTP 10;01/06/2020;01/12/2030;1,650;EUR;23.107.903.000,00;23.107.903.000,00;;
IT0005580094;BTP 7;16/01/2024;15/02/2031;3,500;EUR;19.000.000.000,00;19.000.000.000,00;;
XS0124812503;EMTN;20/02/2001;19/02/2031; - ;EUR;150.000.000,00;150.000.000,00;;
IT0005422891;BTP 10;01/10/2020;01/04/2031;0,900;EUR;24.950.073.000,00;24.950.073.000,00;;
IT0001444378;BTP 30;01/11/1999;01/05/2031;6,000;EUR;31.254.500.000,00;31.254.500.000,00;;
XS1435990863;EMTN;22/06/2016;22/06/2031;1,901;EUR;700.000.000,00;700.000.000,00;;
IT0005595803;BTP 7;15/05/2024;15/07/2031;3,450;EUR;19.200.000.000,00;19.200.000.000,00;;
IT0005436693;BTP 10;01/02/2021;01/08/2031;0,600;EUR;20.300.000.000,00;20.300.000.000,00;;
IT0005554982;CCTeu;15/04/2023;15/10/2031;1,150;EUR;11.725.000.000,00;11.725.000.000,00;;
IT0005542359;BTP GREEN;13/04/2023;30/10/2031;4,000;EUR;13.025.573.000,00;13.025.573.000,00;;
IT0005619546;BTP 7;29/10/2024;15/11/2031;3,150;EUR;21.100.000.000,00;21.100.000.000,00;;
IT0005449969;BTP 10;01/06/2021;01/12/2031;0,950;EUR;19.515.000.000,00;19.515.000.000,00;;
XS1180459395;EMTN;02/02/2015;02/02/2032;2,192;EUR;500.000.000,00;500.000.000,00;;
IT0005094088;BTP 15;01/03/2015;01/03/2032;1,650;EUR;26.451.727.000,00;26.451.727.000,00;;
IT0005594467;CCTeu;15/04/2024;15/04/2032;1,050;EUR;12.380.188.000,00;12.380.188.000,00;;
IT0005466013;BTP 10;01/11/2021;01/06/2032;0,950;EUR;21.600.000.000,00;21.600.000.000,00;;
IT0005647265;BTP 7;25/04/2025;15/07/2032;3,250; EUR;10.617.355.000,00;10.617.355.000,00;;
XS1199008670;EMTN;05/03/2015;05/09/2032;2,000;EUR;500.000.000,00;500.000.000,00;;
NGEU ago.2021/set.2051;1^ rimborso;01/08/2021;10/09/2032;n/d;EUR;796.911.767,60;796.911.767,60;;
IT0005138828;BTP�i 15;15/09/2015;15/09/2032; 1,250  Cedola reale;EUR;20.014.080.377,73;15.852.611.367,62;;
IT0005494239;BTP 10;03/05/2022;01/12/2032;2,500;EUR;21.188.000.000,00;21.188.000.000,00;;
IT0003256820;BTP 30;01/02/2002;01/02/2033;5,750;EUR;26.261.000.000,00;26.261.000.000,00;;
IT0005634792;BTP Pi�;25/02/2025;25/02/2033;"2,850 ""step-up""";EUR;14.905.670.000,00;14.905.670.000,00;;
IT0005620460;CCTeu;15/10/2024;15/04/2033;1,100;EUR;12.610.000.000,00;12.610.000.000,00;;
IT0005518128;BTP 10;01/11/2022;01/05/2033;4,400;EUR;20.350.000.000,00;20.350.000.000,00;;
IT0005482994;BTP�i 10;15/11/2021;15/05/2033;0,100 Cedola reale;EUR;23.336.962.555,40;19.863.273.317,62;;
XS2624502360;EMTN;17/05/2023;17/05/2033;Variabile;EUR;1.270.000.000,00;1.270.000.000,00;;
NGEU apr.2022/mag.2052;1^ rimborso;13/04/2022;20/05/2033;n/d;EUR;550.000.000,00;550.000.000,00;;
