Ministero dell'Economia e delle Finanze;;;;;;;
Debito Pubblico;;;;;;;
Scadenze Titoli di Stato suddivise per anno;;;;;;;
(Dati aggiornati al 31.12.2020);;;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro;
 IT0004695075   ; BTP 10;01-mar-11;01-set-21;4,75; EUR;23.806.088.000,00;
IT0005419855;BOT 12m;14-set-20;14-set-21;-; EUR;7.372.000.000,00;
 IT0004604671   ; BTP?i 10;15-mar-10;15-set-21; 2,100  Cedola reale; EUR;19.266.649.348,86;
IT0005423147;BOT 12m;14-ott-20;14-ott-21;-; EUR;7.160.800.000,00;
 IT0005348443  ; BTP 3;15-ott-18;15-ott-21;2,3; EUR;13.893.845.000,00;
 IT0005216491  ; BTP 5;03-ott-16;01-nov-21;0,35; EUR;14.612.000.000,00;
IT0005426504;BOT 12m;13-nov-20;12-nov-21;-; EUR;5.500.000.000,00;
 IT0005388928   ; CTZ 24;30-ott-19;29-nov-21;  - ; EUR;16.815.179.000,00;
IT0005429342;BOT 12m;14-dic-20;14-dic-21;-; EUR;7.000.000.000,00;
 IT0005028003   ; BTP 7;15-giu-14;15-dic-21;2,15; EUR;16.023.877.000,00;
 XS0572691979   ; EMTN;23-dic-10;23-dic-21;4,45; EUR;150.000.000,00;
 IT0004759673   ; BTP 10;01-set-11;01-mar-22;5; EUR;20.635.579.000,00;
 IT0005244782   ; BTP 5;01-mar-17;01-apr-22;1,2; EUR;16.650.500.000,00;
 IT0005086886   ; BTP 7;16-feb-15;15-apr-22;1,35; EUR;17.784.500.000,00;
 IT0005188120  ; BTP?i 5;15-mag-16;15-mag-22; 0,100  Cedola reale; EUR;10.713.911.488,95;
 IT0005412348   ; CTZ 24;28-mag-20;30-mag-22;  - ; EUR;16.350.500.000,00;
 IT0005104473  ; CCTeu;15-dic-14;15-giu-22;0,55; EUR;14.586.441.000,00;
 IT0005366007  ; BTP 3;15-mar-19;15-lug-22;1; EUR;13.425.891.000,00;
 IT0005277444  ; BTP 5;01-ago-17;01-ago-22;0,9; EUR;18.152.621.000,00;
 IT0004801541   ; BTP 10;01-mar-12;01-set-22;5,5; EUR;19.586.032.000,00;
 XS0573950101   ; EMTN;04-gen-11;01-set-22; 2,850  Cedola reale; EUR;558.570.000,00;
 IT0005135840   ; BTP 7;15-set-15;15-set-22;1,45; EUR;16.299.194.000,00;
IT0005422487;CTZ 24;28-set-20;28-set-22;  - ; EUR;8.326.853.000,00;
 IT0004848831   ; BTP 10;01-mag-12;01-nov-22;5,5; EUR;21.378.388.000,00;
 IT0005351660  ; BTP Italia 4;26-nov-18;26-nov-22; 1,450  Cedola reale; EUR;2.164.127.000,00;
 IT0005137614  ; CCTeu;15-giu-15;15-dic-22;0,7; EUR;13.476.638.000,00;
 IT0005384497   ; BTP 3;16-set-19;15-gen-23;0,05; EUR;15.363.000.000,00;
 IT0005325946  ; BTP 5;01-mar-18;01-mar-23;0,95; EUR;16.667.500.000,00;
 IT0005172322  ; BTP 7;15-mar-16;15-mar-23;0,95; EUR;15.602.343.000,00;
 XS1971572596   ; EMTN;29-mar-19;29-mar-23;0,885; JPY;200.100.000,00;
 IT0005105835  ; BTP Italia 8;20-apr-15;20-apr-23; 0,500  Cedola reale; EUR;9.318.071.000,00;
 IT0004898034   ; BTP 10;01-mar-13;01-mag-23;4,5; EUR;17.664.920.000,00;
 IT0005329344   ; BTP?i 5;28-mar-18;15-mag-23; 0,100  Cedola reale; EUR;10.343.437.784,06;
 IT0005253668  ; BTP Italia 6;22-mag-17;22-mag-23; 0,450  Cedola reale; EUR;8.469.516.000,00;
 IT0005405318   ; BTP 3;16-mar-20;15-giu-23;0,6; EUR;14.278.046.000,00;
 IT0005185456  ; CCTeu;15-gen-16;15-lug-23;0,7; EUR;13.222.796.000,00;
 IT0004356843   ; BTP 15;01-feb-08;01-ago-23;4,75; EUR;22.427.662.000,00;
 IT0005413684   ; BTP 3;15-giu-20;15-ago-23;0,3; EUR;16.493.113.000,00;
 IT0004243512  ; BTP?i 15;15-mar-07;15-set-23; 2,600  Cedola reale; EUR;21.062.335.578,57;
 US465410AH18   ; GLOBAL;27-set-23;27-set-23;6,875; USD;2.855.452.270,77;
 IT0005344335  ; BTP 5;01-ago-18;01-ott-23;2,45; EUR;15.503.845.000,00;
 IT0005215246   ; BTP 7;15-set-16;15-ott-23;0,65; EUR;16.469.000.000,00;
 IT0000366655   ; BTP 30;01-nov-93;01-nov-23;9; EUR;12.226.155.008,68;
 XF0000B49730   ; EUROBOND;06-set-10;01-nov-23;4,1; EUR;125.000.000,00;
 IT0005312134  ; BTP Italia 6;20-nov-17;20-nov-23; 0,250  Cedola reale; EUR;7.107.158.000,00;
 IT0005399230   ; CCTeu;15-dic-19;15-dic-23;0,55; EUR;9.244.873.000,00;
 IT0000366721  ; BTP 30;22-dic-93;22-dic-23;8,5; EUR;3.098.736.000,00;
 IT0005424521; BTP 3;15-lug-20;15-gen-24;0; EUR;11.095.760.000,00;
 IT0000366804  ; BTP 30;01-feb-94;01-feb-24; - ; EUR;213.908.013,46;
 IT0005218968  ; CCTeu;15-ago-16;15-feb-24;0,75; EUR;14.289.833.000,00;
 IT0004953417   ; BTP 10;01-ago-13;01-mar-24;4,5; EUR;23.264.571.000,00;
 IT0005174898  ; BTP Italia 8;11-apr-16;11-apr-24; 0,400  Cedola reale; EUR;8.014.368.000,00;
 IT0005246340   ; BTP 7;15-mar-17;15-mag-24;1,85; EUR;15.281.458.000,00;
 IT0005367492   ; BTP 5;01-apr-19;01-lug-24;1,75; EUR;17.322.620.000,00;
 IT0003621460   ; Ispa Obbl;06-feb-04;31-lug-24;5,125; EUR;3.250.000.000,00;
 IT0005001547   ; BTP 10;01-mar-14;01-set-24;3,75; EUR;19.826.000.000,00;
 IT0005004426   ; BTP?i 10;15-mar-14;15-set-24; 2,350  Cedola reale; EUR;13.905.406.330,40;
 IT0005252520  ; CCTeu;15-apr-17;15-ott-24;1,1; EUR;15.968.411.000,00;
 US465410BX58   ; GLOBAL;17-ott-19;17-ott-24;2,375; USD;2.278.724.640,00;
 IT0005217762  ; BTP Italia 8;24-ott-16;24-ott-24; 0,350  Cedola reale; EUR;5.219.918.000,00;
 IT0005282527   ; BTP 7;15-set-17;15-nov-24;1,45; EUR;16.297.849.000,00;
 IT0005045270   ; BTP 10;01-set-14;01-dic-24;2,5; EUR;20.383.767.000,00;
 XS0747189651   ; EMTN;13-feb-12;31-dic-24;3,444; EUR;15.718.983,00;
 IT0005359846   ; CCTeu;15-gen-19;15-gen-25;1,85; EUR;10.538.065.000,00;
 IT0005386245   ; BTP 5;01-ott-19;01-feb-25;0,35; EUR;19.468.306.000,00;
 IT0004513641   ; BTP 15;01-mar-09;01-mar-25;5; EUR;24.718.669.000,00;
 XF0000B49748   ; EUROBOND;06-set-10;03-mar-25;4,2; EUR;125.000.000,00;
 IT0005311508   ; CCTeu;15-ott-17;15-apr-25;0,95; EUR;18.756.725.000,00;
 IT0005327306  ; BTP 7;15-mar-18;15-mag-25;1,45; EUR;15.419.125.000,00;
 IT0005410904  ; BTP Italia 4;26-mag-20;26-mag-25; 1,400  Cedola reale; EUR;22.297.606.000,00;
 IT0005090318   ; BTP 10;02-mar-15;01-giu-25;1,5; EUR;19.786.723.000,00;
 IT0005408502   ; BTP 5;28-apr-20;01-lug-25;1,85; EUR;18.564.669.000,00;
 IT0005331878  ; CCTeu;15-mar-18;15-set-25;0,55; EUR;13.968.088.000,00;
 XS0233944056   ; EMTN;09-nov-05;09-nov-25; Variabile; EUR;200.000.000,00;
 IT0005345183   ; BTP 7;17-set-18;15-nov-25;2,5; EUR;16.528.597.000,00;
 IT0005127086   ; BTP 10;01-set-15;01-dic-25;2; EUR;19.427.596.000,00;
IT0005419848;BTP 5;01-ago-20;01-feb-26;0,5; EUR;14.351.000.000,00;
US465410CA47; GLOBAL;24-nov-20;17-feb-26;1,25; USD;2.530.085.618,00;
 IT0004644735   ; BTP 15;01-set-10;01-mar-26;4,5; EUR;22.466.898.000,00;
 ITSSD1603026   ; EUROBOND;16-mar-09;16-mar-26;5,26; EUR;258.000.000,00;
 IT0005428617; CCTeu;15-ott-20;15-apr-26;0,5; EUR;2.500.000.000,00;
 XS0253994809   ; EMTN;11-mag-06;11-mag-26; Variabile; EUR;215.000.000,00;
 IT0005415416   ; BTP?i 5;29-giu-20;15-mag-26; 0,650  Cedola reale; EUR;3.339.883.000,00;
 IT0005332827  ; BTP Italia 8;21-mag-18;21-mag-26; 0,550  Cedola reale; EUR;7.709.235.000,00;
 IT0005170839   ; BTP 10;01-mar-16;01-giu-26;1,6; EUR;19.574.500.000,00;
 IT0005370306   ; BTP 7;15-apr-19;15-lug-26;2,1; EUR;16.785.321.000,00;
 IT0004735152   ; BTP?i 15;15-mar-11;15-set-26; 3,100  Cedola reale; EUR;13.933.326.681,56;
 IT0001086567   ; BTP 30;01-nov-96;01-nov-26;7,25; EUR;12.423.130.223,44;
 IT0005210650   ; BTP 10;01-ago-16;01-dic-26;1,25; EUR;18.891.843.000,00;
 IT0005390874   ; BTP 7;15-nov-19;15-gen-27;0,85; EUR;19.141.928.000,00;
 IT0004235559   ; EUROBOND;05-apr-07;05-apr-27;4,49; EUR;160.000.000,00;
 XS1505666815   ; EMTN;17-ott-16;17-apr-27;1,448; EUR;900.000.000,00;
 XS1236858657   ; EMTN;22-mag-15;22-mag-27;2,127; EUR;700.000.000,00;
 IT0005240830   ; BTP 10;01-feb-17;01-giu-27;2,2; EUR;17.325.000.000,00;
 IT0005274805   ; BTP 10;04-lug-17;01-ago-27;2,05; EUR;19.196.628.000,00;
 IT0005416570   ; BTP 7;16-lug-20;15-set-27;0,95; EUR;19.300.395.000,00;
 IT0005388167  ; BTP Italia 8;28-ott-19;28-ott-27; 0,650  Cedola reale; EUR;6.750.000.000,00;
 IT0001174611  ; BTP 30;01-nov-97;01-nov-27;6,5; EUR;26.763.132.147,48;
 XS0644776683   ; EMTN;01-lug-11;31-dic-27;5,97; EUR;1.014.865.975,00;
 IT0005323032   ; BTP 10;01-feb-18;01-feb-28;2; EUR;23.077.136.000,00;
 XS1180157544   ; EMTN;02-feb-15;02-feb-28;1,862; EUR;1.000.000.000,00;
 XS1227831382   ; EMTN;06-mag-15;06-mag-28;1,666; EUR;500.000.000,00;
 IT0005246134   ; BTP?i 10;15-nov-16;15-mag-28; 1,300  Cedola reale; EUR;16.568.224.033,73;
 XS0089572316   ; EMTN;04-ago-98;04-ago-28;6; GBP;2.234.043.931,50;
 IT0004889033   ; BTP 15;22-gen-13;01-set-28;4,75; EUR;23.914.154.000,00;
 XS1121804279   ; EMTN;15-ott-14;15-set-28; 1,510  Cedola reale; EUR;1.048.890.000,00;
IT0005425753; BTP Futura 8;17-nov-20;17-nov-28;\"0,35  \"\"step-up\"\"\"; EUR;5.711.308.000,00;
 IT0005340929   ; BTP 10;01-ago-18;01-dic-28;2,8; EUR;19.844.192.000,00;
 XS1199014306   ; EMTN;05-mar-15;05-mar-29;1,771; EUR;500.000.000,00;
 XS1413812881   ; EMTN;18-mag-16;18-mag-29;1,913; EUR;800.000.000,00;
 XS0098449456   ; EMTN;28-giu-99;28-giu-29; Variabile; EUR;905.000.000,00;
 IT0005365165   ; BTP 10;01-feb-19;01-ago-29;3; EUR;20.262.500.000,00;
 US465410BY32   ; GLOBAL;17-ott-19;17-ott-29;2,875; USD;1.820.830.298,62;
 IT0001278511  ; BTP 30;01-nov-98;01-nov-29;5,25; EUR;28.848.999.208,67;
 IT0005024234   ; BTP 15;01-mar-14;01-mar-30;3,5; EUR;25.156.449.000,00;
 IT0005383309   ; BTP 10;01-set-19;01-apr-30;1,35; EUR;22.272.941.000,00;
 IT0005387052   ; BTP?i 10;15-mag-19;15-mag-30; 0,400  Cedola reale; EUR;9.075.895.760,00;
 IT0003887384   ; EUROBOND;02-giu-05;02-giu-30;3,75; EUR;395.000.000,00;
 IT0005415283  ; BTP Futura 10;14-lug-20;14-lug-30;\"1,150  \"\"step-up\"\"\"; EUR;6.132.260.000,00;
 IT0005403396   ; BTP 10;01-mar-20;01-ago-30;0,95; EUR;17.095.169.000,00;
 IT0005413171   ; BTP 10;01-giu-20;01-dic-30;1,65; EUR;23.107.903.000,00;
 XS0124812503   ; EMTN;20-feb-01;20-feb-31; - ; EUR;150.000.000,00;
 IT0005422891; BTP 10;01-ott-20;01-apr-31;0,9; EUR;11.626.073.000,00;
 IT0001444378   ; BTP 30;01-nov-99;01-mag-31;6; EUR;29.762.750.000,00;
 XS1435990863   ; EMTN;22-giu-16;22-giu-31;1,901; EUR;700.000.000,00;
 XS1180459395   ; EMTN;02-feb-15;02-feb-32;2,192; EUR;500.000.000,00;
 IT0005094088   ; BTP 15;01-mar-15;01-mar-32;1,65; EUR;24.486.727.000,00;
 XS1199008670   ; EMTN;05-mar-15;05-set-32;2; EUR;500.000.000,00;
 IT0005138828   ; BTP?i 15;15-set-15;15-set-32; 1,250  Cedola reale; EUR;15.250.514.158,17;
 IT0003256820   ; BTP 30;01-feb-02;01-feb-33;5,75; EUR;20.761.000.000,00;
 US465410BG26   ; GLOBAL;27-feb-03;15-giu-33;5,375; USD;1.753.655.696,76;
 IT0005240350   ; BTP 15;01-set-16;01-set-33;2,45; EUR;18.808.228.000,00;
 IT0003685093   ; Ispa Obbl;06-lug-04;31-lug-34;5,2; EUR;2.200.000.000,00;
 IT0003535157   ; BTP 30;01-ago-03;01-ago-34;5; EUR;25.110.921.000,00;
 XS0197336968   ; EMTN;29-lug-04;07-dic-34;5,25; GBP;278.374.736,94;
 IT0005358806   ; BTP 15;01-set-18;01-mar-35;3,35; EUR;14.800.000.000,00;
 XS0218274107   ; EMTN;31-mag-05;31-mag-35; Variabile; EUR;300.000.000,00;
 IT0003874523   ; Ispa Obbl;30-giu-05;31-lug-35; Variabile; EUR;300.000.000,00;
 IT0003877310   ; Ispa Obbl;30-giu-05;31-lug-35; Variabile; EUR;100.000.000,00;
 IT0003745541   ; BTP?i 30;15-set-04;15-set-35; 2,350  Cedola reale; EUR;16.340.048.865,00;
 IT0005402117   ; BTP 15;18-feb-20;01-mar-36;1,45; EUR;14.400.000.000,00;
 XS0247541971   ; EMTN;28-mar-06;28-mar-36;4,425; EUR;192.000.000,00;
 IT0005177909   ; BTP 20;01-mar-16;01-set-36;2,25; EUR;15.393.000.000,00;
 IT0003934657   ; BTP 30;01-ago-05;01-feb-37;4; EUR;27.890.758.000,00;
 IT0005321325   ; BTP 20;01-set-17;01-set-38;2,95; EUR;14.963.750.000,00;
 IT0004286966   ; BTP 30;01-ago-07;01-ago-39;5; EUR;22.775.265.000,00;
 XS2088745430   ; EMTN;02-dic-19;01-set-39; 0,913  Cedola reale; EUR;797.712.000,00;
 IT0005377152   ; BTP 20;01-mar-19;01-mar-40;3,1; EUR;13.319.900.000,00;
 IT0004532559   ; BTP 30;01-set-09;01-set-40;5; EUR;22.152.355.000,00;
 XS2265524210 ; EMTN;02-dic-20;02-dic-40; Variabile;EUR;725.000.000,00;
IT0005421703;BTP 20a;15-set-20;01-mar-41;1,8; EUR;10.000.000.000,00;
 IT0004545890   ; BTP?i 30;15-set-09;15-set-41; 2,550  Cedola reale; EUR;13.664.813.254,20;
 XS0740661516   ; EMTN;01-feb-12;25-lug-42; 4,200  Cedola reale; EUR;250.010.000,00;
 XS1192711189   ; EMTN;18-feb-15;18-feb-43; 1,190  Cedola reale; EUR;314.091.000,00;
 XS1022037805   ; EMTN;24-gen-14;24-gen-44; 2,970  Cedola reale; EUR;262.117.500,00;
 IT0004923998   ; BTP 30;01-mar-13;01-set-44;4,75; EUR;18.019.363.000,00;
 IT0003838031   ; Ispa Obbl;25-apr-05;31-lug-45; Variabile; EUR;1.000.000.000,00;
 IT0003805295   ; Ispa Obbl;04-mar-05;31-lug-45; Variabile; EUR;850.000.000,00;
 XS1405801041   ; EMTN;04-mag-16;04-mag-46; 1,483  Cedola reale; EUR;673.110.600,00;
 IT0005083057   ; BTP 30;01-set-14;01-set-46;3,25; EUR;16.404.325.000,00;
 IT0005162828   ; BTP 30;09-feb-16;01-mar-47;2,7; EUR;17.310.969.000,00;
 XS0181673798   ; EMTN;23-gen-20;27-gen-48;5,345; EUR;1.400.000.000,00;
 IT0005273013   ; BTP 30;01-mar-17;01-mar-48;3,45; EUR;16.382.254.000,00;
 IT0005363111   ; BTP 30;01-set-18;01-set-49;3,85; EUR;13.342.136.000,00;
 US465410BZ07   ; GLOBAL;17-ott-19;17-ott-49;4; USD;2.271.092.612,00;
 IT0005398406   ; BTP 30;01-set-19;01-set-50;2,45; EUR;15.834.623.000,00;
 IT0005425233; BTP 30;01-set-20;01-set-51;1,7; EUR;8.000.000.000,00;
 XS0970703772   ; EMTN;01-set-13;11-set-53;5,05; EUR;500.000.000,00;
 XS0280146357   ; EMTN;05-gen-07;15-set-57; 1,850  Cedola reale; EUR;1.196.320.000,00;
 XS0342993747   ; EMTN;23-gen-08;15-set-58; 2,200  Cedola reale; EUR;587.580.000,00;
 XS0515753183   ; EMTN;11-giu-10;11-giu-60;4,85; EUR;250.000.000,00;
 XS0293217799   ; EMTN;30-mar-07;15-set-62; 2,000  Cedola reale; EUR;299.145.000,00;
 XS0936805612   ; EMTN;28-mag-13;28-mag-63;4,75; EUR;500.000.000,00;
 IT0005217390   ; BTP 50;01-set-16;01-mar-67;2,8; EUR;9.633.214.000,00;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;

