date,DTS:W|HHS - Federal Supple Med Insr Trust Fund|fytd
2026-02-02,223901.0
2026-02-03,224634.0
2026-02-04,225636.0
2026-02-05,226629.0
2026-02-06,227503.0
2026-02-09,228404.0
2026-02-10,229265.0
2026-02-11,230278.0
2026-02-12,231249.0
2026-02-13,232052.0
2026-02-17,233318.0
2026-02-18,234599.0
2026-02-19,235904.0
2026-02-20,236998.0
2026-02-23,238066.0
2026-02-24,239170.0
2026-02-25,240462.0
2026-02-26,241494.0
2026-02-27,270733.0
2026-03-02,271635.0
2026-03-03,272341.0
2026-03-04,273562.0
2026-03-05,274369.0
2026-03-06,275187.0
2026-03-09,276079.0
2026-03-10,276936.0
2026-03-11,277973.0
2026-03-12,278977.0
2026-03-13,279796.0
2026-03-16,280813.0
2026-03-17,281839.0
2026-03-18,282886.0
2026-03-19,283861.0
2026-03-20,284895.0
2026-03-23,285995.0
2026-03-24,287104.0
2026-03-25,288370.0
2026-03-26,289400.0
2026-03-27,290324.0
2026-03-30,291294.0
2026-03-31,292269.0
2026-04-01,320011.0
2026-04-02,320812.0
2026-04-03,321703.0
2026-04-06,322611.0
2026-04-07,323531.0
2026-04-08,324448.0
2026-04-09,325419.0
2026-04-10,326277.0
2026-04-13,327485.0
2026-04-14,328463.0
2026-04-15,329448.0
2026-04-16,330323.0
2026-04-17,331232.0
2026-04-20,331985.0
2026-04-21,333036.0
2026-04-22,334294.0
2026-04-23,335338.0
2026-04-24,336384.0
2026-04-27,337673.0
2026-04-28,338817.0
2026-04-29,339828.0
2026-04-30,340784.0
2026-05-01,368529.0
2026-05-04,369484.0
2026-05-05,370400.0
2026-05-06,371019.0
2026-05-07,371540.0
2026-05-08,372751.0
2026-05-11,374268.0
2026-05-12,375359.0
2026-05-13,376503.0
2026-05-14,377250.0
2026-05-15,378330.0
2026-05-18,379428.0
2026-05-19,380513.0
2026-05-20,381775.0
2026-05-21,382896.0
2026-05-22,384025.0
2026-05-26,385629.0
2026-05-27,386709.0
2026-05-28,388309.0
2026-05-29,389259.0
2026-06-01,428274.0
2026-06-02,429209.0
2026-06-03,430367.0
2026-06-04,431271.0
2026-06-05,432116.0
2026-06-08,432722.0
2026-06-09,433387.0
2026-06-10,434193.0
2026-06-11,435421.0
2026-06-12,436306.0
2026-06-15,437384.0
2026-06-16,438372.0
2026-06-17,439591.0
2026-06-18,440667.0
2026-06-22,442410.0
2026-06-23,443664.0
2026-06-24,445144.0
2026-06-25,446120.0
2026-06-26,447099.0
2026-06-29,448146.0
2026-06-30,449088.0
2026-07-01,486324.0
2026-07-02,487274.0
2026-07-03,487566.0
2026-07-06,488868.0
2026-07-07,489749.0
2026-07-08,490885.0
2026-07-09,491698.0
2026-07-10,492603.0
2026-07-13,493599.0
2026-07-14,494512.0
2026-07-15,495627.0
2026-07-16,496514.0
2026-07-17,497194.0
2026-07-20,498008.0
2026-07-21,498855.0
2026-07-22,500052.0
2026-07-23,501171.0
2026-07-24,502363.0
2026-07-27,503500.0
2026-07-28,504823.0
2026-07-29,505967.0
2026-07-30,506950.0
2026-07-31,536346.0
2026-08-03,537293.0
2026-08-04,538262.0
2026-08-05,539242.0
2026-08-06,540083.0
2026-08-07,540990.0
2026-08-10,541958.0
2026-08-11,542863.0
2026-08-12,543973.0
2026-08-13,545411.0
2026-08-14,546287.0
2026-08-17,547349.0
2026-08-18,548367.0
2026-08-19,549457.0
2026-08-20,550504.0
2026-08-21,551589.0
2026-08-24,552793.0
2026-08-25,553891.0
2026-08-26,555125.0
2026-08-27,556176.0
2026-08-28,557134.0
2026-08-31,558156.0
2026-09-01,587623.0
2026-09-02,588590.0
2026-09-03,589508.0
2026-09-04,590462.0
2026-09-08,591999.0
