date,DPSACBW027SBOG
2024-04-17,17444011.900000002
2024-04-24,17555143.400000002
2024-05-01,17561968.400000002
2024-05-08,17548423.900000002
2024-05-15,17584918.8
2024-05-22,17576444.4
2024-05-29,17547116.3
2024-06-05,17583320.2
2024-06-12,17576662.400000002
2024-06-19,17617031.299999997
2024-06-26,17583831.6
2024-07-03,17542479.7
2024-07-10,17565429.9
2024-07-17,17574263.7
2024-07-24,17588797.7
2024-07-31,17660646.400000002
2024-08-07,17616571.3
2024-08-14,17634699.9
2024-08-21,17653313.6
2024-08-28,17655907.200000003
2024-09-04,17708547.7
2024-09-11,17696123.3
2024-09-18,17741905.8
2024-09-25,17733391.599999998
2024-10-02,17779798.7
2024-10-09,17747421.7
2024-10-16,17811422.8
2024-10-23,17808352.200000003
2024-10-30,17856703.099999998
2024-11-06,17850333.299999997
2024-11-13,17845186.6
2024-11-20,17813039.1
2024-11-27,17894371.599999998
2024-12-04,17857682.5
2024-12-11,17866365.099999998
2024-12-18,17834862.3
2024-12-25,17879070.5
2025-01-01,17815345.8
2025-01-08,17910288.7
2025-01-15,17917836.599999998
2025-01-22,17988001.0
2025-01-29,17931505.4
2025-02-05,17941293.5
2025-02-12,17931868.4
2025-02-19,17982571.3
2025-02-26,17972227.7
2025-03-05,17982337.1
2025-03-12,17996547.5
2025-03-19,18034793.8
2025-03-26,18048013.200000003
2025-04-02,18079792.0
2025-04-09,18053926.5
2025-04-16,18080904.900000002
2025-04-23,18087211.599999998
2025-04-30,18102983.9
2025-05-07,18110994.4
2025-05-14,18131526.900000002
2025-05-21,18147455.7
2025-05-28,18156239.6
2025-06-04,18163404.2
2025-06-11,18205930.6
2025-06-18,18168410.7
2025-06-25,18248947.3
2025-07-02,18272315.2
2025-07-09,18241071.7
2025-07-16,18265854.4
2025-07-23,18295847.8
2025-07-30,18289234.7
2025-08-06,18301467.2
2025-08-13,18336785.9
2025-08-20,18328979.599999998
2025-08-27,18357778.2
2025-09-03,18372795.4
2025-09-10,18387006.9
2025-09-17,18377101.4
2025-09-24,18414598.0
2025-10-01,18496409.9
2025-10-08,18442834.4
2025-10-15,18504298.599999998
2025-10-22,18496046.099999998
2025-10-29,18454742.8
2025-11-05,18436750.599999998
2025-11-12,18524580.8
2025-11-19,18476323.0
2025-11-26,18554070.7
2025-12-03,18525618.900000002
2025-12-10,18564049.8
2025-12-17,18580899.2
2025-12-24,18643930.9
2025-12-31,18587737.5
2026-01-07,18645849.0
2026-01-14,18649259.900000002
2026-01-21,18651065.6
2026-01-28,18683276.900000002
2026-02-04,18756708.6
2026-02-11,18797496.599999998
2026-02-18,18825838.0
2026-02-25,18845079.0
2026-03-04,18862619.8
2026-03-11,18903476.1
2026-03-18,18923076.2
2026-03-25,18986077.099999998
2026-04-01,19061250.0
2026-04-08,19041112.400000002
2026-04-15,19086252.1
2026-04-22,19075229.5
2026-04-29,19115920.8
2026-05-06,19202833.4
2026-05-13,19267754.700000003
2026-05-20,19275008.2
2026-05-27,19320269.6
2026-06-03,19284832.6
2026-06-10,19343178.1
2026-06-17,19310566.599999998
2026-06-24,19384036.400000002
2026-07-01,19434497.4
2026-07-08,19364371.5
2026-07-15,19470064.2
2026-07-22,19405384.6
2026-07-29,19368323.9
2026-08-05,19497765.3
2026-08-12,19534106.400000002
2026-08-19,19532126.5
2026-08-26,19559478.4
