date,DTS:D|HHS - Medicare Premiums|mtd
2025-11-13,2004.0
2025-11-14,2348.0
2025-11-17,2644.0
2025-11-18,2739.0
2025-11-19,2962.0
2025-11-20,4424.0
2025-11-21,4653.0
2025-11-24,4866.0
2025-11-25,5080.0
2025-11-26,5567.0
2025-11-28,5609.0
2025-12-01,183.0
2025-12-02,226.0
2025-12-03,449.0
2025-12-04,577.0
2025-12-05,914.0
2025-12-08,979.0
2025-12-09,1007.0
2025-12-10,1415.0
2025-12-11,1703.0
2025-12-12,1752.0
2025-12-15,1839.0
2025-12-16,2063.0
2025-12-17,2445.0
2025-12-18,2728.0
2025-12-19,3071.0
2025-12-22,4290.0
2025-12-23,4576.0
2025-12-24,4786.0
2025-12-26,4917.0
2025-12-29,5103.0
2025-12-30,5136.0
2025-12-31,5411.0
2026-01-02,196.0
2026-01-05,286.0
2026-01-06,301.0
2026-01-07,340.0
2026-01-08,459.0
2026-01-09,824.0
2026-01-12,1210.0
2026-01-13,1788.0
2026-01-14,2048.0
2026-01-15,2225.0
2026-01-16,2302.0
2026-01-20,2898.0
2026-01-21,3363.0
2026-01-22,3456.0
2026-01-23,4839.0
2026-01-26,5014.0
2026-01-27,5122.0
2026-01-28,5180.0
2026-01-29,5736.0
2026-01-30,6008.0
2026-02-02,175.0
2026-02-03,196.0
2026-02-04,249.0
2026-02-05,315.0
2026-02-06,698.0
2026-02-09,774.0
2026-02-10,1350.0
2026-02-11,1699.0
2026-02-12,1769.0
2026-02-13,1831.0
2026-02-17,1979.0
2026-02-18,2335.0
2026-02-19,2956.0
2026-02-20,3527.0
2026-02-23,4788.0
2026-02-24,5064.0
2026-02-25,5636.0
2026-02-26,6008.0
2026-02-27,6485.0
2026-03-02,230.0
2026-03-03,269.0
2026-03-04,318.0
2026-03-05,341.0
2026-03-06,649.0
2026-03-09,806.0
2026-03-10,1355.0
2026-03-11,1744.0
2026-03-12,1883.0
2026-03-13,2166.0
2026-03-16,2430.0
2026-03-17,2597.0
2026-03-18,3152.0
2026-03-19,3465.0
2026-03-20,4202.0
2026-03-23,5550.0
2026-03-24,5802.0
2026-03-25,6022.0
2026-03-26,6068.0
2026-03-27,6167.0
2026-03-30,6651.0
2026-03-31,6973.0
2026-04-01,227.0
2026-04-02,367.0
2026-04-03,382.0
2026-04-06,451.0
2026-04-07,521.0
2026-04-08,596.0
2026-04-09,950.0
2026-04-10,1535.0
2026-04-13,1634.0
2026-04-14,1738.0
2026-04-15,2069.0
2026-04-16,2101.0
2026-04-17,2408.0
2026-04-20,3037.0
2026-04-21,3254.0
2026-04-22,3476.0
2026-04-23,4433.0
2026-04-24,4838.0
2026-04-27,4893.0
2026-04-28,5063.0
2026-04-29,5154.0
2026-04-30,5678.0
2026-05-01,217.0
2026-05-04,309.0
2026-05-05,324.0
2026-05-06,358.0
2026-05-07,416.0
2026-05-08,777.0
2026-05-11,1183.0
2026-05-12,1453.0
2026-05-13,1531.0
2026-05-14,1561.0
2026-05-15,1980.0
2026-05-18,2149.0
2026-05-19,2492.0
2026-05-20,3017.0
2026-05-21,3989.0
2026-05-22,4462.0
2026-05-26,4545.0
2026-05-27,4912.0
2026-05-28,5127.0
2026-05-29,5595.0
2026-06-01,196.0
2026-06-02,210.0
2026-06-03,249.0
2026-06-04,273.0
2026-06-05,411.0
2026-06-08,476.0
2026-06-09,564.0
2026-06-10,887.0
2026-06-11,1232.0
2026-06-12,1290.0
2026-06-15,1351.0
2026-06-16,1634.0
2026-06-17,1897.0
2026-06-18,2458.0
2026-06-22,3748.0
2026-06-23,4013.0
2026-06-24,4292.0
2026-06-25,4587.0
2026-06-26,4882.0
2026-06-29,4921.0
2026-06-30,5222.0
2026-07-01,388.0
2026-07-02,503.0
2026-07-03,514.0
2026-07-06,569.0
2026-07-07,592.0
2026-07-08,651.0
2026-07-09,1009.0
2026-07-10,1361.0
2026-07-13,1399.0
2026-07-14,1556.0
2026-07-15,1692.0
2026-07-16,1832.0
2026-07-17,1926.0
2026-07-20,2618.0
2026-07-21,2974.0
2026-07-22,3089.0
2026-07-23,4450.0
2026-07-24,4891.0
2026-07-27,4983.0
2026-07-28,5067.0
2026-07-29,5142.0
2026-07-30,5457.0
2026-07-31,5838.0
2026-08-03,212.0
2026-08-04,232.0
2026-08-05,313.0
2026-08-06,388.0
2026-08-07,711.0
2026-08-10,1129.0
2026-08-11,1451.0
2026-08-12,1614.0
2026-08-13,1845.0
2026-08-14,2168.0
2026-08-17,2408.0
2026-08-18,2480.0
2026-08-19,2598.0
2026-08-20,3955.0
2026-08-21,4289.0
2026-08-24,4583.0
2026-08-25,4720.0
2026-08-26,4988.0
2026-08-27,5129.0
2026-08-28,5186.0
2026-08-31,5622.0
2026-09-01,228.0
2026-09-02,252.0
2026-09-03,365.0
2026-09-04,413.0
2026-09-08,488.0
2026-09-09,543.0
