date,DTS:debt_total
2026-02-12,38647756.0
2026-02-13,38647355.0
2026-02-17,38720327.0
2026-02-18,38717487.0
2026-02-19,38743578.0
2026-02-20,38749020.0
2026-02-23,38758072.0
2026-02-24,38787782.0
2026-02-25,38764882.0
2026-02-26,38789592.0
2026-02-27,38769806.0
2026-03-02,38824464.0
2026-03-03,38853352.0
2026-03-04,38857671.0
2026-03-05,38873530.0
2026-03-06,38869818.0
2026-03-09,38882801.0
2026-03-10,38918862.0
2026-03-11,38882422.0
2026-03-12,38900879.0
2026-03-13,38902637.0
2026-03-16,38992187.0
2026-03-17,39016763.0
2026-03-18,38976828.0
2026-03-19,39002265.0
2026-03-20,39002071.0
2026-03-23,39006946.0
2026-03-24,38999855.0
2026-03-25,38990599.0
2026-03-26,38990390.0
2026-03-27,39015632.0
2026-03-30,39023028.0
2026-03-31,39065421.0
2026-04-01,39016192.0
2026-04-02,39000264.0
2026-04-03,38981755.0
2026-04-06,38994101.0
2026-04-07,38969942.0
2026-04-08,38949925.0
2026-04-09,38942791.0
2026-04-10,38946542.0
2026-04-13,38954925.0
2026-04-14,38933404.0
2026-04-15,38988471.0
2026-04-16,38985997.0
2026-04-17,38979318.0
2026-04-20,38992782.0
2026-04-21,38979261.0
2026-04-22,38957840.0
2026-04-23,38935487.0
2026-04-24,38953670.0
2026-04-27,38960955.0
2026-04-28,38951792.0
2026-04-29,38952076.0
2026-04-30,38967834.0
2026-05-01,38882148.0
2026-05-04,38905034.0
2026-05-05,38910619.0
2026-05-06,38918838.0
2026-05-07,38931652.0
2026-05-08,38937476.0
2026-05-11,38946800.0
2026-05-12,38968295.0
2026-05-13,38942624.0
2026-05-14,38954467.0
2026-05-15,38997244.0
2026-05-18,39009000.0
2026-05-19,39070752.0
2026-05-20,39049640.0
2026-05-21,39071201.0
2026-05-22,39112192.0
2026-05-26,39171155.0
2026-05-27,39163303.0
2026-05-28,39176302.0
2026-05-29,39207760.0
2026-06-01,39195502.0
2026-06-02,39221984.0
2026-06-03,39204975.0
2026-06-04,39232151.0
2026-06-05,39219582.0
2026-06-08,39230386.0
2026-06-09,39241723.0
2026-06-10,39213267.0
2026-06-11,39220786.0
2026-06-12,39209984.0
2026-06-15,39293074.0
2026-06-16,39289866.0
2026-06-17,39283053.0
2026-06-18,39305294.0
2026-06-22,39323732.0
2026-06-23,39320608.0
2026-06-24,39320509.0
2026-06-25,39311022.0
2026-06-26,39337503.0
2026-06-29,39345341.0
2026-06-30,39462398.0
2026-07-01,39389305.0
2026-07-02,39375254.0
2026-07-03,39375990.0
2026-07-06,39387881.0
2026-07-07,39414977.0
2026-07-08,39394977.0
2026-07-09,39414179.0
2026-07-10,39412981.0
2026-07-13,39417905.0
2026-07-14,39470152.0
2026-07-15,39488616.0
2026-07-16,39518859.0
2026-07-17,39581848.0
2026-07-20,39588243.0
2026-07-21,39660369.0
2026-07-22,39635799.0
2026-07-23,39676938.0
2026-07-24,39692375.0
2026-07-27,39713964.0
2026-07-28,39797153.0
2026-07-29,39799619.0
2026-07-30,39841114.0
2026-07-31,39771617.0
2026-08-03,39739223.0
2026-08-04,39828435.0
2026-08-05,39829652.0
2026-08-06,39890264.0
2026-08-07,39885248.0
2026-08-10,39891774.0
2026-08-11,39941930.0
2026-08-12,39913529.0
2026-08-13,39934816.0
2026-08-14,39933634.0
2026-08-17,39986658.0
2026-08-18,40047426.0
2026-08-19,40012701.0
2026-08-20,40033257.0
2026-08-21,40032877.0
2026-08-24,40035386.0
2026-08-25,40098864.0
2026-08-26,40069752.0
2026-08-27,40077530.0
2026-08-28,40104098.0
2026-08-31,40175641.0
2026-09-01,40112464.0
2026-09-02,40117045.0
2026-09-03,40102964.0
2026-09-04,40094591.0
2026-09-08,40084091.0
