date,DTS:W|SSA - Benefits Payments|fytd
2025-10-01,389.0
2025-10-02,491.0
2025-10-03,26230.0
2025-10-06,26405.0
2025-10-07,26589.0
2025-10-08,57883.0
2025-10-09,58064.0
2025-10-10,58231.0
2025-10-14,58406.0
2025-10-15,88569.0
2025-10-16,88732.0
2025-10-17,88872.0
2025-10-20,89033.0
2025-10-21,89182.0
2025-10-22,119347.0
2025-10-23,119555.0
2025-10-24,119649.0
2025-10-27,119742.0
2025-10-28,119733.0
2025-10-29,119733.0
2025-10-30,119731.0
2025-10-31,119728.0
2025-11-03,146260.0
2025-11-04,146340.0
2025-11-05,146397.0
2025-11-06,146507.0
2025-11-07,146617.0
2025-11-10,146731.0
2025-11-12,178014.0
2025-11-13,178076.0
2025-11-14,178159.0
2025-11-17,178242.0
2025-11-18,178337.0
2025-11-19,208559.0
2025-11-20,208663.0
2025-11-21,208747.0
2025-11-24,208856.0
2025-11-25,208842.0
2025-11-26,238884.0
2025-11-28,238879.0
2025-12-01,239360.0
2025-12-02,239377.0
2025-12-03,265237.0
2025-12-04,265311.0
2025-12-05,265389.0
2025-12-08,265486.0
2025-12-09,265576.0
2025-12-10,296994.0
2025-12-11,297082.0
2025-12-12,297157.0
2025-12-15,297252.0
2025-12-16,297338.0
2025-12-17,327631.0
2025-12-18,327710.0
2025-12-19,327779.0
2025-12-22,327873.0
2025-12-23,327947.0
2025-12-24,358069.0
2025-12-26,358059.0
2025-12-29,358045.0
2025-12-30,358040.0
2025-12-31,358038.0
2026-01-02,384925.0
2026-01-05,384987.0
2026-01-06,384983.0
2026-01-07,385078.0
2026-01-08,385174.0
2026-01-09,385280.0
2026-01-12,385371.0
2026-01-13,385454.0
2026-01-14,417513.0
2026-01-15,417601.0
2026-01-16,417678.0
2026-01-20,417783.0
2026-01-21,448661.0
2026-01-22,448771.0
2026-01-23,448860.0
2026-01-26,448952.0
2026-01-27,449046.0
2026-01-28,479783.0
2026-01-29,479767.0
2026-01-30,479755.0
2026-02-02,480254.0
2026-02-03,506659.0
2026-02-04,506751.0
2026-02-05,506821.0
2026-02-06,506932.0
2026-02-09,507037.0
2026-02-10,507129.0
2026-02-11,539379.0
2026-02-12,539462.0
2026-02-13,539540.0
2026-02-17,539639.0
2026-02-18,570699.0
2026-02-19,570803.0
2026-02-20,570889.0
2026-02-23,570976.0
2026-02-24,571050.0
2026-02-25,601978.0
2026-02-26,601961.0
2026-02-27,601948.0
2026-03-02,602565.0
2026-03-03,628973.0
2026-03-04,629110.0
2026-03-05,629202.0
2026-03-06,629314.0
2026-03-09,629426.0
2026-03-10,629522.0
2026-03-11,661891.0
2026-03-12,661984.0
2026-03-13,662076.0
2026-03-16,662173.0
2026-03-17,662263.0
2026-03-18,693483.0
2026-03-19,693605.0
2026-03-20,693730.0
2026-03-23,693861.0
2026-03-24,693976.0
2026-03-25,725189.0
2026-03-26,725281.0
2026-03-27,725358.0
2026-03-30,725351.0
2026-03-31,725347.0
2026-04-01,725690.0
2026-04-02,725852.0
2026-04-03,752289.0
2026-04-06,752377.0
2026-04-07,752450.0
2026-04-08,784978.0
2026-04-09,785074.0
2026-04-10,785163.0
2026-04-13,785263.0
2026-04-14,785350.0
2026-04-15,816772.0
2026-04-16,816862.0
2026-04-17,816962.0
2026-04-20,817054.0
2026-04-21,817145.0
2026-04-22,848480.0
2026-04-23,848568.0
2026-04-24,848661.0
2026-04-27,848651.0
2026-04-28,848645.0
2026-04-29,848646.0
2026-04-30,848643.0
2026-05-01,875652.0
2026-05-04,875731.0
2026-05-05,875790.0
2026-05-06,875923.0
2026-05-07,876032.0
2026-05-08,876149.0
2026-05-11,876252.0
2026-05-12,876330.0
2026-05-13,908966.0
2026-05-14,909051.0
2026-05-15,909136.0
2026-05-18,909240.0
2026-05-19,909320.0
2026-05-20,940809.0
2026-05-21,940896.0
2026-05-22,940991.0
2026-05-26,941089.0
2026-05-27,972490.0
2026-05-28,972473.0
2026-05-29,972455.0
2026-06-01,972855.0
2026-06-02,972956.0
2026-06-03,999455.0
2026-06-04,999540.0
2026-06-05,999722.0
2026-06-08,999827.0
2026-06-09,999917.0
2026-06-10,1032684.0
2026-06-11,1032776.0
2026-06-12,1032863.0
2026-06-15,1032960.0
2026-06-16,1033044.0
2026-06-17,1064660.0
2026-06-18,1064749.0
2026-06-22,1064829.0
2026-06-23,1064913.0
2026-06-24,1096476.0
2026-06-25,1096580.0
2026-06-26,1096558.0
2026-06-29,1096552.0
2026-06-30,1096553.0
2026-07-01,1097084.0
2026-07-02,1123535.0
2026-07-03,1123535.0
2026-07-06,1123589.0
2026-07-07,1123695.0
2026-07-08,1156553.0
2026-07-09,1156661.0
2026-07-10,1156800.0
2026-07-13,1156893.0
2026-07-14,1156988.0
2026-07-15,1188706.0
2026-07-16,1188797.0
2026-07-17,1188892.0
2026-07-20,1188986.0
2026-07-21,1189073.0
2026-07-22,1220758.0
2026-07-23,1220846.0
2026-07-24,1220941.0
2026-07-27,1221034.0
2026-07-28,1221023.0
2026-07-29,1221018.0
2026-07-30,1221019.0
2026-07-31,1221017.0
2026-08-03,1248017.0
2026-08-04,1248090.0
2026-08-05,1248197.0
2026-08-06,1248299.0
2026-08-07,1248413.0
2026-08-10,1248526.0
2026-08-11,1248616.0
2026-08-12,1281647.0
2026-08-13,1281745.0
2026-08-14,1281825.0
2026-08-17,1281928.0
2026-08-18,1282014.0
2026-08-19,1313838.0
2026-08-20,1313933.0
2026-08-21,1314016.0
2026-08-24,1314128.0
2026-08-25,1314209.0
2026-08-26,1345991.0
2026-08-27,1346075.0
2026-08-28,1346055.0
2026-08-31,1346050.0
2026-09-01,1346411.0
2026-09-02,1346571.0
2026-09-03,1373022.0
2026-09-04,1373112.0
