date,DTS:D|Taxes - Non Withheld Ind/SECA Other|fytd
2025-11-04,26174.0
2025-11-05,27336.0
2025-11-06,27974.0
2025-11-07,28191.0
2025-11-10,28998.0
2025-11-12,29509.0
2025-11-13,30759.0
2025-11-14,31068.0
2025-11-17,31283.0
2025-11-18,31495.0
2025-11-19,31972.0
2025-11-20,32219.0
2025-11-21,32398.0
2025-11-24,32585.0
2025-11-25,32767.0
2025-11-26,33334.0
2025-11-28,33461.0
2025-12-01,33557.0
2025-12-02,33786.0
2025-12-03,34241.0
2025-12-04,34393.0
2025-12-05,34485.0
2025-12-08,34650.0
2025-12-09,34787.0
2025-12-10,35355.0
2025-12-11,35705.0
2025-12-12,35901.0
2025-12-15,36258.0
2025-12-16,36558.0
2025-12-17,37330.0
2025-12-18,37773.0
2025-12-19,38024.0
2025-12-22,38295.0
2025-12-23,38722.0
2025-12-24,40159.0
2025-12-26,40520.0
2025-12-29,40913.0
2025-12-30,41628.0
2025-12-31,43018.0
2026-01-02,43554.0
2026-01-05,43739.0
2026-01-06,44583.0
2026-01-07,46926.0
2026-01-08,47726.0
2026-01-09,48078.0
2026-01-12,49520.0
2026-01-13,51099.0
2026-01-14,54565.0
2026-01-15,58588.0
2026-01-16,60842.0
2026-01-20,63738.0
2026-01-21,67682.0
2026-01-22,81318.0
2026-01-23,92211.0
2026-01-26,94257.0
2026-01-27,94275.0
2026-01-28,95707.0
2026-01-29,99042.0
2026-01-30,101099.0
2026-02-02,103359.0
2026-02-03,104583.0
2026-02-04,105028.0
2026-02-05,105773.0
2026-02-06,106042.0
2026-02-09,106285.0
2026-02-10,106533.0
2026-02-11,107265.0
2026-02-12,107423.0
2026-02-13,107555.0
2026-02-17,107704.0
2026-02-18,107991.0
2026-02-19,108469.0
2026-02-20,108564.0
2026-02-23,108727.0
2026-02-24,108870.0
2026-02-25,109348.0
2026-02-26,109468.0
2026-02-27,109644.0
2026-03-02,111201.0
2026-03-03,111490.0
2026-03-04,112096.0
2026-03-05,112479.0
2026-03-06,112807.0
2026-03-09,113138.0
2026-03-10,113459.0
2026-03-11,114288.0
2026-03-12,114682.0
2026-03-13,114971.0
2026-03-16,115209.0
2026-03-17,115488.0
2026-03-18,116204.0
2026-03-19,116711.0
2026-03-20,117093.0
2026-03-23,117395.0
2026-03-24,117814.0
2026-03-25,118746.0
2026-03-26,119400.0
2026-03-27,119674.0
2026-03-30,120100.0
2026-03-31,120621.0
2026-04-01,122056.0
2026-04-02,122940.0
2026-04-03,123513.0
2026-04-06,124240.0
2026-04-07,125400.0
2026-04-08,127967.0
2026-04-09,129923.0
2026-04-10,131656.0
2026-04-13,133729.0
2026-04-14,138349.0
2026-04-15,145902.0
2026-04-16,150044.0
2026-04-17,154340.0
2026-04-20,160030.0
2026-04-21,178491.0
2026-04-22,187884.0
2026-04-23,197818.0
2026-04-24,207494.0
2026-04-27,214916.0
2026-04-28,232935.0
2026-04-29,237951.0
2026-04-30,241794.0
2026-05-01,243074.0
2026-05-04,243632.0
2026-05-05,244397.0
2026-05-06,245653.0
2026-05-07,246350.0
2026-05-08,246869.0
2026-05-11,247378.0
2026-05-12,247798.0
2026-05-13,248453.0
2026-05-14,248794.0
2026-05-15,249153.0
2026-05-18,249594.0
2026-05-19,249922.0
2026-05-20,250682.0
2026-05-21,251326.0
2026-05-22,251767.0
2026-05-26,252157.0
2026-05-27,252379.0
2026-05-28,253400.0
2026-05-29,253586.0
2026-06-01,253794.0
2026-06-02,254109.0
2026-06-03,255069.0
2026-06-04,255525.0
2026-06-05,255757.0
2026-06-08,256264.0
2026-06-09,257063.0
2026-06-10,259373.0
2026-06-11,260764.0
2026-06-12,261658.0
2026-06-15,263049.0
2026-06-16,265005.0
2026-06-17,270363.0
2026-06-18,275956.0
2026-06-22,278629.0
2026-06-23,282385.0
2026-06-24,292529.0
2026-06-25,295478.0
2026-06-26,296390.0
2026-06-29,297320.0
2026-06-30,297766.0
2026-07-01,298829.0
2026-07-02,299197.0
2026-07-03,299465.0
2026-07-06,299637.0
2026-07-07,299855.0
2026-07-08,300389.0
2026-07-09,300685.0
2026-07-10,300884.0
2026-07-13,301086.0
2026-07-14,301317.0
2026-07-15,301896.0
2026-07-16,302127.0
2026-07-17,302279.0
2026-07-20,302505.0
2026-07-21,302718.0
2026-07-22,303273.0
2026-07-23,303529.0
2026-07-24,303638.0
2026-07-27,303806.0
2026-07-28,304014.0
2026-07-29,304486.0
2026-07-30,304620.0
2026-07-31,304760.0
2026-08-03,304897.0
2026-08-04,305089.0
2026-08-05,305528.0
2026-08-06,305697.0
2026-08-07,305818.0
2026-08-10,305992.0
2026-08-11,306175.0
2026-08-12,306694.0
2026-08-13,306872.0
2026-08-14,306965.0
2026-08-17,307160.0
2026-08-18,307350.0
2026-08-19,307798.0
2026-08-20,308060.0
2026-08-21,308202.0
2026-08-24,308431.0
2026-08-25,308638.0
2026-08-26,309287.0
2026-08-27,309570.0
2026-08-28,309699.0
2026-08-31,309945.0
2026-09-01,310247.0
2026-09-02,311157.0
2026-09-03,311549.0
2026-09-04,311690.0
2026-09-08,312214.0
