date,DTS:debt_redemptions|mtd
2026-07-17,1452057.0
2026-07-20,1453735.0
2026-07-21,1701842.0
2026-07-22,1703441.0
2026-07-23,1952226.0
2026-07-24,1955660.0
2026-07-27,1957571.0
2026-07-28,2191911.0
2026-07-29,2194890.0
2026-07-30,2444295.0
2026-07-31,2694718.0
2026-08-03,10805.0
2026-08-04,253595.0
2026-08-05,255237.0
2026-08-06,556040.0
2026-08-07,561578.0
2026-08-10,564059.0
2026-08-11,825966.0
2026-08-12,829285.0
2026-08-13,1093821.0
2026-08-14,1095658.0
2026-08-17,1226872.0
2026-08-18,1498395.0
2026-08-19,1501336.0
2026-08-20,1774377.0
2026-08-21,1777800.0
2026-08-24,1779435.0
2026-08-25,2052844.0
2026-08-26,2055578.0
2026-08-27,2329784.0
2026-08-28,2331574.0
2026-08-31,2492434.0
2026-09-01,287109.0
2026-09-02,288554.0
2026-09-03,618479.0
2026-09-04,632357.0
2026-09-08,923862.0
2026-09-09,925139.0
2026-09-10,1218054.0
