date,DTS:W|SSA - Benefits Payments
2026-06-22,80.0
2026-06-23,84.0
2026-06-24,31563.0
2026-06-25,104.0
2026-06-26,-22.0
2026-06-29,-6.0
2026-06-30,1.0
2026-07-01,530.0
2026-07-02,26451.0
2026-07-03,0.0
2026-07-06,54.0
2026-07-07,106.0
2026-07-08,32858.0
2026-07-09,107.0
2026-07-10,139.0
2026-07-13,94.0
2026-07-14,94.0
2026-07-15,31718.0
2026-07-16,91.0
2026-07-17,96.0
2026-07-20,93.0
2026-07-21,88.0
2026-07-22,31684.0
2026-07-23,89.0
2026-07-24,95.0
2026-07-27,93.0
2026-07-28,-12.0
2026-07-29,-4.0
2026-07-30,1.0
2026-07-31,-2.0
2026-08-03,27000.0
2026-08-04,73.0
2026-08-05,107.0
2026-08-06,102.0
2026-08-07,113.0
2026-08-10,113.0
2026-08-11,90.0
2026-08-12,33030.0
2026-08-13,98.0
2026-08-14,81.0
2026-08-17,102.0
2026-08-18,86.0
2026-08-19,31824.0
2026-08-20,95.0
2026-08-21,83.0
2026-08-24,112.0
2026-08-25,81.0
2026-08-26,31782.0
2026-08-27,84.0
2026-08-28,-20.0
2026-08-31,-5.0
2026-09-01,360.0
2026-09-02,160.0
2026-09-03,26451.0
2026-09-04,90.0
