date,DTS:debt_limit
2026-04-01,41103996.0
2026-04-02,41103996.0
2026-04-03,41103996.0
2026-04-06,41103996.0
2026-04-07,41103996.0
2026-04-08,41103996.0
2026-04-09,41103996.0
2026-04-10,41103996.0
2026-04-13,41103996.0
2026-04-14,41103996.0
2026-04-15,41103996.0
2026-04-16,41103996.0
2026-04-17,41103996.0
2026-04-20,41103996.0
2026-04-21,41103996.0
2026-04-22,41103996.0
2026-04-23,41103996.0
2026-04-24,41103996.0
2026-04-27,41103996.0
2026-04-28,41103996.0
2026-04-29,41103996.0
2026-04-30,41103996.0
2026-05-01,41103996.0
2026-05-04,41103996.0
2026-05-05,41103996.0
2026-05-06,41103996.0
2026-05-07,41103996.0
2026-05-08,41103996.0
2026-05-11,41103996.0
2026-05-12,41103996.0
2026-05-13,41103996.0
2026-05-14,41103996.0
2026-05-15,41103996.0
2026-05-18,41103996.0
2026-05-19,41103996.0
2026-05-20,41103996.0
2026-05-21,41103996.0
2026-05-22,41103996.0
2026-05-26,41103996.0
2026-05-27,41103996.0
2026-05-28,41103996.0
2026-05-29,41103996.0
2026-06-01,41103996.0
2026-06-02,41103996.0
2026-06-03,41103996.0
2026-06-04,41103996.0
2026-06-05,41103996.0
2026-06-08,41103996.0
2026-06-09,41103996.0
2026-06-10,41103996.0
2026-06-11,41103996.0
2026-06-12,41103996.0
2026-06-15,41103996.0
2026-06-16,41103996.0
2026-06-17,41103996.0
2026-06-18,41103996.0
2026-06-22,41103996.0
2026-06-23,41103996.0
2026-06-24,41103996.0
2026-06-25,41103996.0
2026-06-26,41103996.0
2026-06-29,41103996.0
2026-06-30,41103996.0
2026-07-01,41103996.0
2026-07-02,41103996.0
2026-07-03,41103996.0
2026-07-06,41103996.0
2026-07-07,41103996.0
2026-07-08,41103996.0
2026-07-09,41103996.0
2026-07-10,41103996.0
2026-07-13,41103996.0
2026-07-14,41103996.0
2026-07-15,41103996.0
2026-07-16,41103996.0
2026-07-17,41103996.0
2026-07-20,41103996.0
2026-07-21,41103996.0
2026-07-22,41103996.0
2026-07-23,41103996.0
2026-07-24,41103996.0
2026-07-27,41103996.0
2026-07-28,41103996.0
2026-07-29,41103996.0
2026-07-30,41103996.0
2026-07-31,41103996.0
2026-08-03,41103996.0
2026-08-04,41103996.0
2026-08-05,41103996.0
2026-08-06,41103996.0
2026-08-07,41103996.0
2026-08-10,41103996.0
2026-08-11,41103996.0
2026-08-12,41103996.0
2026-08-13,41103996.0
2026-08-14,41103996.0
2026-08-17,41103996.0
2026-08-18,41103996.0
2026-08-19,41103996.0
2026-08-20,41103996.0
2026-08-21,41103996.0
2026-08-24,41103996.0
2026-08-25,41103996.0
2026-08-26,41103996.0
2026-08-27,41103996.0
2026-08-28,41103996.0
2026-08-31,41103996.0
2026-09-01,41103996.0
2026-09-02,41103996.0
2026-09-03,41103996.0
2026-09-04,41103996.0
2026-09-08,41103996.0
