date,TOTCI
2024-08-14,2760964.1999999997
2024-08-21,2766452.2
2024-08-28,2767841.3
2024-09-04,2772965.9000000004
2024-09-11,2772169.9
2024-09-18,2779764.3
2024-09-25,2784288.5999999996
2024-10-02,2783887.7
2024-10-09,2777658.8000000003
2024-10-16,2788252.5999999996
2024-10-23,2788202.9000000004
2024-10-30,2801763.7
2024-11-06,2794639.8
2024-11-13,2800929.8
2024-11-20,2784801.1
2024-11-27,2796410.1
2024-12-04,2799851.6
2024-12-11,2804969.5
2024-12-18,2791769.6999999997
2024-12-25,2796801.4
2025-01-01,2662673.4
2025-01-08,2671247.8000000003
2025-01-15,2664341.5
2025-01-22,2672564.4000000004
2025-01-29,2669826.8
2025-02-05,2669194.1
2025-02-12,2668324.7
2025-02-19,2679466.8000000003
2025-02-26,2670977.6
2025-03-05,2675550.5
2025-03-12,2675711.5
2025-03-19,2674532.5
2025-03-26,2681567.2
2025-04-02,2649282.7
2025-04-09,2652733.8
2025-04-16,2664281.8000000003
2025-04-23,2662347.3
2025-04-30,2663842.3
2025-05-07,2662959.6999999997
2025-05-14,2672811.9000000004
2025-05-21,2676256.4000000004
2025-05-28,2679564.8000000003
2025-06-04,2676707.5
2025-06-11,2677941.4000000004
2025-06-18,2686067.2
2025-06-25,2691619.2
2025-07-02,2661347.8
2025-07-09,2664520.4
2025-07-16,2663317.7
2025-07-23,2669559.5
2025-07-30,2675618.1
2025-08-06,2681150.8
2025-08-13,2679038.8
2025-08-20,2679148.6
2025-08-27,2683982.3000000003
2025-09-03,2691112.8
2025-09-10,2687685.9
2025-09-17,2692967.7
2025-09-24,2694196.5
2025-10-01,2699528.4000000004
2025-10-08,2695270.1
2025-10-15,2694692.7
2025-10-22,2695174.4
2025-10-29,2693187.5
2025-11-05,2696654.4
2025-11-12,2700974.1
2025-11-19,2700936.6
2025-11-26,2710231.0
2025-12-03,2709832.0
2025-12-10,2705585.5
2025-12-17,2710854.1
2025-12-24,2719297.2
2025-12-31,2710116.7
2026-01-07,2720989.4
2026-01-14,2728243.7
2026-01-21,2744374.8000000003
2026-01-28,2745300.4
2026-02-04,2772478.5
2026-02-11,2779847.8
2026-02-18,2786092.8
2026-02-25,2786944.0
2026-03-04,2812014.4
2026-03-11,2816186.0
2026-03-18,2820282.3
2026-03-25,2822133.2
2026-04-01,2845096.2
2026-04-08,2851415.8000000003
2026-04-15,2855820.3
2026-04-22,2860363.1
2026-04-29,2871312.1
2026-05-06,2872743.1
2026-05-13,2881358.3
2026-05-20,2890550.5
2026-05-27,2898763.5
2026-06-03,2902682.3
2026-06-10,2907276.4000000004
2026-06-17,2906201.9
2026-06-24,2914665.1
2026-07-01,2892501.5
2026-07-08,2885246.7
2026-07-15,2897804.0999999996
2026-07-22,2894829.6999999997
2026-07-29,2913761.7
2026-08-05,2925220.4000000004
2026-08-12,2933613.0
2026-08-19,2945077.0
2026-08-26,2956037.6999999997
2026-09-02,2965131.9
