date,DTS:W|USDA - Supp Nutrition Assist Prog (SNAP)|mtd
2026-03-13,4101.0
2026-03-16,5076.0
2026-03-17,5364.0
2026-03-18,5635.0
2026-03-19,5896.0
2026-03-20,6145.0
2026-03-23,6812.0
2026-03-24,7071.0
2026-03-25,7280.0
2026-03-26,7468.0
2026-03-27,7639.0
2026-03-30,8077.0
2026-03-31,8308.0
2026-04-01,130.0
2026-04-02,315.0
2026-04-03,575.0
2026-04-06,1390.0
2026-04-07,1665.0
2026-04-08,2005.0
2026-04-09,2471.0
2026-04-10,2856.0
2026-04-13,3819.0
2026-04-14,4165.0
2026-04-15,4485.0
2026-04-16,4768.0
2026-04-17,5034.0
2026-04-20,5796.0
2026-04-21,6043.0
2026-04-22,6281.0
2026-04-23,6511.0
2026-04-24,6729.0
2026-04-27,7281.0
2026-04-28,7457.0
2026-04-29,7609.0
2026-04-30,7780.0
2026-05-01,128.0
2026-05-04,811.0
2026-05-05,1112.0
2026-05-06,1427.0
2026-05-07,1764.0
2026-05-08,2083.0
2026-05-11,3172.0
2026-05-12,3491.0
2026-05-13,3819.0
2026-05-14,4156.0
2026-05-15,4504.0
2026-05-18,5333.0
2026-05-19,5576.0
2026-05-20,5840.0
2026-05-21,6069.0
2026-05-22,6315.0
2026-05-26,7094.0
2026-05-27,7259.0
2026-05-28,7449.0
2026-05-29,7629.0
2026-06-01,373.0
2026-06-02,588.0
2026-06-03,806.0
2026-06-04,1101.0
2026-06-05,1385.0
2026-06-08,2258.0
2026-06-09,2668.0
2026-06-10,3007.0
2026-06-11,3323.0
2026-06-12,3636.0
2026-06-15,4502.0
2026-06-16,4778.0
2026-06-17,5043.0
2026-06-18,5345.0
2026-06-22,6276.0
2026-06-23,6486.0
2026-06-24,6689.0
2026-06-25,6887.0
2026-06-26,7055.0
2026-06-29,7524.0
2026-06-30,7675.0
2026-07-01,141.0
2026-07-02,328.0
2026-07-03,534.0
2026-07-06,1327.0
2026-07-07,1616.0
2026-07-08,1938.0
2026-07-09,2370.0
2026-07-10,2703.0
2026-07-13,3640.0
2026-07-14,3934.0
2026-07-15,4244.0
2026-07-16,4564.0
2026-07-17,4821.0
2026-07-20,5562.0
2026-07-21,5804.0
2026-07-22,6037.0
2026-07-23,6254.0
2026-07-24,6445.0
2026-07-27,6965.0
2026-07-28,7157.0
2026-07-29,7305.0
2026-07-30,7468.0
2026-07-31,7614.0
2026-08-03,497.0
2026-08-04,726.0
2026-08-05,992.0
2026-08-06,1322.0
2026-08-07,1628.0
2026-08-10,2673.0
2026-08-11,3017.0
2026-08-12,3350.0
2026-08-13,3651.0
2026-08-14,3972.0
2026-08-17,4824.0
2026-08-18,5091.0
2026-08-19,5337.0
2026-08-20,5606.0
2026-08-21,5830.0
2026-08-24,6449.0
2026-08-25,6663.0
2026-08-26,6836.0
2026-08-27,7008.0
2026-08-28,7158.0
2026-08-31,7560.0
2026-09-01,129.0
2026-09-02,343.0
2026-09-03,588.0
2026-09-04,859.0
2026-09-08,2026.0
