date,DTS:D|Taxes - Corporate Income|mtd
2026-01-07,1094.0
2026-01-08,1299.0
2026-01-09,1742.0
2026-01-12,2137.0
2026-01-13,3035.0
2026-01-14,4395.0
2026-01-15,24547.0
2026-01-16,25134.0
2026-01-20,25268.0
2026-01-21,25455.0
2026-01-22,25649.0
2026-01-23,25759.0
2026-01-26,25957.0
2026-01-27,26358.0
2026-01-28,26966.0
2026-01-29,27048.0
2026-01-30,27176.0
2026-02-02,67.0
2026-02-03,145.0
2026-02-04,192.0
2026-02-05,255.0
2026-02-06,342.0
2026-02-09,419.0
2026-02-10,514.0
2026-02-11,738.0
2026-02-12,1063.0
2026-02-13,3085.0
2026-02-17,4945.0
2026-02-18,5089.0
2026-02-19,5192.0
2026-02-20,5317.0
2026-02-23,5330.0
2026-02-24,5376.0
2026-02-25,5452.0
2026-02-26,5826.0
2026-02-27,5919.0
2026-03-02,81.0
2026-03-03,157.0
2026-03-04,241.0
2026-03-05,387.0
2026-03-06,514.0
2026-03-09,803.0
2026-03-10,1159.0
2026-03-11,1425.0
2026-03-12,2559.0
2026-03-13,8077.0
2026-03-16,11040.0
2026-03-17,11343.0
2026-03-18,11539.0
2026-03-19,11624.0
2026-03-20,12161.0
2026-03-23,12435.0
2026-03-24,12491.0
2026-03-25,12606.0
2026-03-26,13344.0
2026-03-27,13993.0
2026-03-30,14181.0
2026-03-31,14459.0
2026-04-01,208.0
2026-04-02,351.0
2026-04-03,681.0
2026-04-06,1334.0
2026-04-07,2076.0
2026-04-08,2835.0
2026-04-09,4287.0
2026-04-10,10861.0
2026-04-13,19195.0
2026-04-14,34281.0
2026-04-15,74320.0
2026-04-16,76246.0
2026-04-17,78488.0
2026-04-20,79224.0
2026-04-21,79290.0
2026-04-22,79388.0
2026-04-23,79474.0
2026-04-24,79561.0
2026-04-27,79712.0
2026-04-28,79794.0
2026-04-29,79878.0
2026-04-30,80547.0
2026-05-01,130.0
2026-05-04,233.0
2026-05-05,300.0
2026-05-06,410.0
2026-05-07,550.0
2026-05-08,1142.0
2026-05-11,1324.0
2026-05-12,1956.0
2026-05-13,2293.0
2026-05-14,3368.0
2026-05-15,13645.0
2026-05-18,13772.0
2026-05-19,13858.0
2026-05-20,13923.0
2026-05-21,13978.0
2026-05-22,14233.0
2026-05-26,14306.0
2026-05-27,14354.0
2026-05-28,14443.0
2026-05-29,15167.0
2026-06-01,93.0
2026-06-02,209.0
2026-06-03,370.0
2026-06-04,661.0
2026-06-05,1172.0
2026-06-08,2721.0
2026-06-09,4324.0
2026-06-10,7189.0
2026-06-11,13364.0
2026-06-12,30631.0
2026-06-15,68685.0
2026-06-16,71566.0
2026-06-17,72011.0
2026-06-18,72206.0
2026-06-22,72704.0
2026-06-23,72857.0
2026-06-24,72959.0
2026-06-25,73061.0
2026-06-26,73291.0
2026-06-29,73592.0
2026-06-30,74507.0
2026-07-01,315.0
2026-07-02,503.0
2026-07-03,525.0
2026-07-06,572.0
2026-07-07,701.0
2026-07-08,1274.0
2026-07-09,1468.0
2026-07-10,1998.0
2026-07-13,2718.0
2026-07-14,5350.0
2026-07-15,17638.0
2026-07-16,17936.0
2026-07-17,17996.0
2026-07-20,18556.0
2026-07-21,18616.0
2026-07-22,18673.0
2026-07-23,18728.0
2026-07-24,18770.0
2026-07-27,18819.0
2026-07-28,18870.0
2026-07-29,18931.0
2026-07-30,18998.0
2026-07-31,19206.0
2026-08-03,61.0
2026-08-04,164.0
2026-08-05,261.0
2026-08-06,311.0
2026-08-07,354.0
2026-08-10,485.0
2026-08-11,516.0
2026-08-12,641.0
2026-08-13,976.0
2026-08-14,2666.0
2026-08-17,3049.0
2026-08-18,3177.0
2026-08-19,3360.0
2026-08-20,3427.0
2026-08-21,3547.0
2026-08-24,3620.0
2026-08-25,3685.0
2026-08-26,3846.0
2026-08-27,3969.0
2026-08-28,4145.0
2026-08-31,4794.0
2026-09-01,310.0
2026-09-02,646.0
2026-09-03,907.0
2026-09-04,1379.0
