date,DTS:D|Taxes - Non Withheld Ind/SECA Electronic|fytd
2025-10-08,8383.0
2025-10-09,9988.0
2025-10-10,12682.0
2025-10-14,20054.0
2025-10-15,28778.0
2025-10-16,42918.0
2025-10-17,48195.0
2025-10-20,49361.0
2025-10-21,50106.0
2025-10-22,50605.0
2025-10-23,51233.0
2025-10-24,51765.0
2025-10-27,52657.0
2025-10-28,53386.0
2025-10-29,53969.0
2025-10-30,55202.0
2025-10-31,56645.0
2025-11-03,59663.0
2025-11-04,61283.0
2025-11-05,62068.0
2025-11-06,62488.0
2025-11-07,62915.0
2025-11-10,63610.0
2025-11-12,64361.0
2025-11-13,64794.0
2025-11-14,65319.0
2025-11-17,66151.0
2025-11-18,66936.0
2025-11-19,67395.0
2025-11-20,67855.0
2025-11-21,68324.0
2025-11-24,69051.0
2025-11-25,69601.0
2025-11-26,70022.0
2025-11-28,70594.0
2025-12-01,71377.0
2025-12-02,72065.0
2025-12-03,72576.0
2025-12-04,73122.0
2025-12-05,73711.0
2025-12-08,74604.0
2025-12-09,75203.0
2025-12-10,76817.0
2025-12-11,77412.0
2025-12-12,78195.0
2025-12-15,79942.0
2025-12-16,80951.0
2025-12-17,81686.0
2025-12-18,82410.0
2025-12-19,83311.0
2025-12-22,84749.0
2025-12-23,85564.0
2025-12-24,86363.0
2025-12-26,87225.0
2025-12-29,89025.0
2025-12-30,90919.0
2025-12-31,93044.0
2026-01-02,94968.0
2026-01-05,97216.0
2026-01-06,98997.0
2026-01-07,101021.0
2026-01-08,103771.0
2026-01-09,107709.0
2026-01-12,116264.0
2026-01-13,126628.0
2026-01-14,146639.0
2026-01-15,190043.0
2026-01-16,205085.0
2026-01-20,207866.0
2026-01-21,208611.0
2026-01-22,209278.0
2026-01-23,209847.0
2026-01-26,210680.0
2026-01-27,211211.0
2026-01-28,211811.0
2026-01-29,212320.0
2026-01-30,212911.0
2026-02-02,213962.0
2026-02-03,214556.0
2026-02-04,214951.0
2026-02-05,215352.0
2026-02-06,215666.0
2026-02-09,216176.0
2026-02-10,216701.0
2026-02-11,217032.0
2026-02-12,217367.0
2026-02-13,217789.0
2026-02-17,218815.0
2026-02-18,219585.0
2026-02-19,219913.0
2026-02-20,220422.0
2026-02-23,221136.0
2026-02-24,221833.0
2026-02-25,222414.0
2026-02-26,222991.0
2026-02-27,223768.0
2026-03-02,225577.0
2026-03-03,226898.0
2026-03-04,227532.0
2026-03-05,228113.0
2026-03-06,228790.0
2026-03-09,229668.0
2026-03-10,230734.0
2026-03-11,231406.0
2026-03-12,232029.0
2026-03-13,232859.0
2026-03-16,234891.0
2026-03-17,236239.0
2026-03-18,237085.0
2026-03-19,237809.0
2026-03-20,238936.0
2026-03-23,240224.0
2026-03-24,241729.0
2026-03-25,242983.0
2026-03-26,243978.0
2026-03-27,245381.0
2026-03-30,247593.0
2026-03-31,250441.0
2026-04-01,254002.0
2026-04-02,256550.0
2026-04-03,259522.0
2026-04-06,264429.0
2026-04-07,270295.0
2026-04-08,277114.0
2026-04-09,285275.0
2026-04-10,304374.0
2026-04-13,336708.0
2026-04-14,385036.0
2026-04-15,490929.0
2026-04-16,557066.0
2026-04-17,587248.0
2026-04-20,609211.0
2026-04-21,620598.0
2026-04-22,627483.0
2026-04-23,628167.0
2026-04-24,629359.0
2026-04-27,633093.0
2026-04-28,638137.0
2026-04-29,639300.0
2026-04-30,640309.0
2026-05-01,641323.0
2026-05-04,642570.0
2026-05-05,643283.0
2026-05-06,643844.0
2026-05-07,644410.0
2026-05-08,644999.0
2026-05-11,645756.0
2026-05-12,646380.0
2026-05-13,646966.0
2026-05-14,647555.0
2026-05-15,648543.0
2026-05-18,649428.0
2026-05-19,650002.0
2026-05-20,650608.0
2026-05-21,651138.0
2026-05-22,651696.0
2026-05-26,652616.0
2026-05-27,653057.0
2026-05-28,653907.0
2026-05-29,654606.0
2026-06-01,655994.0
2026-06-02,657140.0
2026-06-03,658281.0
2026-06-04,659550.0
2026-06-05,661443.0
2026-06-08,664998.0
2026-06-09,668183.0
2026-06-10,673250.0
2026-06-11,679340.0
2026-06-12,693704.0
2026-06-15,736146.0
2026-06-16,748406.0
2026-06-17,750222.0
2026-06-18,751408.0
2026-06-22,753156.0
2026-06-23,753985.0
2026-06-24,754695.0
2026-06-25,755255.0
2026-06-26,755874.0
2026-06-29,756984.0
2026-06-30,757805.0
2026-07-01,758587.0
2026-07-02,759246.0
2026-07-03,759655.0
2026-07-06,760274.0
2026-07-07,760860.0
2026-07-08,761385.0
2026-07-09,761877.0
2026-07-10,762446.0
2026-07-13,763187.0
2026-07-14,763783.0
2026-07-15,764818.0
2026-07-16,765440.0
2026-07-17,765975.0
2026-07-20,766686.0
2026-07-21,767188.0
2026-07-22,767652.0
2026-07-23,768030.0
2026-07-24,768443.0
2026-07-27,769061.0
2026-07-28,769607.0
2026-07-29,770029.0
2026-07-30,770441.0
2026-07-31,770929.0
2026-08-03,771713.0
2026-08-04,772344.0
2026-08-05,772835.0
2026-08-06,773301.0
2026-08-07,773758.0
2026-08-10,774443.0
2026-08-11,774877.0
2026-08-12,775340.0
2026-08-13,775788.0
2026-08-14,776315.0
2026-08-17,777357.0
2026-08-18,778032.0
2026-08-19,778386.0
2026-08-20,779041.0
2026-08-21,779592.0
2026-08-24,780540.0
2026-08-25,780986.0
2026-08-26,781564.0
2026-08-27,782145.0
2026-08-28,782906.0
2026-08-31,784012.0
2026-09-01,785365.0
2026-09-02,786700.0
2026-09-03,788102.0
2026-09-04,789837.0
2026-09-08,793789.0
2026-09-09,797364.0
