date,DTS:W|Taxes - Individual Tax Refunds (EFT)|mtd
2026-07-02,1259.0
2026-07-03,1259.0
2026-07-06,1346.0
2026-07-07,1472.0
2026-07-08,1655.0
2026-07-09,2834.0
2026-07-10,2948.0
2026-07-13,3057.0
2026-07-14,3177.0
2026-07-15,4346.0
2026-07-16,4419.0
2026-07-17,4500.0
2026-07-20,4592.0
2026-07-21,5148.0
2026-07-22,6706.0
2026-07-23,6768.0
2026-07-24,6852.0
2026-07-27,6946.0
2026-07-28,7058.0
2026-07-29,8128.0
2026-07-30,8210.0
2026-07-31,8278.0
2026-08-03,80.0
2026-08-04,172.0
2026-08-05,1195.0
2026-08-06,1258.0
2026-08-07,1318.0
2026-08-10,1421.0
2026-08-11,1497.0
2026-08-12,2470.0
2026-08-13,2537.0
2026-08-14,2596.0
2026-08-17,2675.0
2026-08-18,2782.0
2026-08-19,3717.0
2026-08-20,3775.0
2026-08-21,3872.0
2026-08-24,3959.0
2026-08-25,4026.0
2026-08-26,5078.0
2026-08-27,5125.0
2026-08-28,5219.0
2026-08-31,5291.0
2026-09-01,23.0
2026-09-02,906.0
2026-09-03,983.0
2026-09-04,1049.0
2026-09-08,1142.0
2026-09-09,1231.0
