date,DTS:W|SSA - Benefits Payments|mtd
2026-02-25,122223.0
2026-02-26,122206.0
2026-02-27,122193.0
2026-03-02,617.0
2026-03-03,27025.0
2026-03-04,27162.0
2026-03-05,27254.0
2026-03-06,27366.0
2026-03-09,27478.0
2026-03-10,27574.0
2026-03-11,59943.0
2026-03-12,60036.0
2026-03-13,60128.0
2026-03-16,60225.0
2026-03-17,60315.0
2026-03-18,91535.0
2026-03-19,91657.0
2026-03-20,91781.0
2026-03-23,91913.0
2026-03-24,92028.0
2026-03-25,123241.0
2026-03-26,123333.0
2026-03-27,123410.0
2026-03-30,123403.0
2026-03-31,123398.0
2026-04-01,343.0
2026-04-02,505.0
2026-04-03,26942.0
2026-04-06,27031.0
2026-04-07,27104.0
2026-04-08,59631.0
2026-04-09,59727.0
2026-04-10,59816.0
2026-04-13,59917.0
2026-04-14,60004.0
2026-04-15,91426.0
2026-04-16,91515.0
2026-04-17,91616.0
2026-04-20,91708.0
2026-04-21,91798.0
2026-04-22,123134.0
2026-04-23,123221.0
2026-04-24,123314.0
2026-04-27,123305.0
2026-04-28,123298.0
2026-04-29,123299.0
2026-04-30,123296.0
2026-05-01,27010.0
2026-05-04,27088.0
2026-05-05,27148.0
2026-05-06,27281.0
2026-05-07,27389.0
2026-05-08,27507.0
2026-05-11,27609.0
2026-05-12,27687.0
2026-05-13,60323.0
2026-05-14,60408.0
2026-05-15,60493.0
2026-05-18,60597.0
2026-05-19,60677.0
2026-05-20,92166.0
2026-05-21,92253.0
2026-05-22,92349.0
2026-05-26,92446.0
2026-05-27,123847.0
2026-05-28,123831.0
2026-05-29,123813.0
2026-06-01,400.0
2026-06-02,501.0
2026-06-03,26999.0
2026-06-04,27085.0
2026-06-05,27267.0
2026-06-08,27371.0
2026-06-09,27461.0
2026-06-10,60228.0
2026-06-11,60320.0
2026-06-12,60407.0
2026-06-15,60505.0
2026-06-16,60588.0
2026-06-17,92205.0
2026-06-18,92294.0
2026-06-22,92373.0
2026-06-23,92457.0
2026-06-24,124021.0
2026-06-25,124124.0
2026-06-26,124102.0
2026-06-29,124097.0
2026-06-30,124098.0
2026-07-01,530.0
2026-07-02,26982.0
2026-07-03,26982.0
2026-07-06,27036.0
2026-07-07,27142.0
2026-07-08,60000.0
2026-07-09,60107.0
2026-07-10,60246.0
2026-07-13,60340.0
2026-07-14,60435.0
2026-07-15,92153.0
2026-07-16,92243.0
2026-07-17,92339.0
2026-07-20,92433.0
2026-07-21,92520.0
2026-07-22,124204.0
2026-07-23,124293.0
2026-07-24,124388.0
2026-07-27,124481.0
2026-07-28,124469.0
2026-07-29,124465.0
2026-07-30,124466.0
2026-07-31,124463.0
2026-08-03,27000.0
2026-08-04,27073.0
2026-08-05,27181.0
2026-08-06,27283.0
2026-08-07,27396.0
2026-08-10,27509.0
2026-08-11,27600.0
2026-08-12,60630.0
2026-08-13,60728.0
2026-08-14,60809.0
2026-08-17,60911.0
2026-08-18,60998.0
2026-08-19,92821.0
2026-08-20,92916.0
2026-08-21,92999.0
2026-08-24,93111.0
2026-08-25,93193.0
2026-08-26,124975.0
2026-08-27,125059.0
2026-08-28,125038.0
2026-08-31,125034.0
2026-09-01,360.0
2026-09-02,521.0
2026-09-03,26972.0
2026-09-04,27061.0
2026-09-08,27151.0
