date,DTS:debt_intragov
2025-12-31,7667293.0
2026-01-02,7591920.0
2026-01-05,7611460.0
2026-01-06,7621388.0
2026-01-07,7622262.0
2026-01-08,7626415.0
2026-01-09,7629457.0
2026-01-12,7634824.0
2026-01-13,7647187.0
2026-01-14,7608911.0
2026-01-15,7641179.0
2026-01-16,7648242.0
2026-01-20,7660445.0
2026-01-21,7647920.0
2026-01-22,7649018.0
2026-01-23,7651987.0
2026-01-26,7674054.0
2026-01-27,7688686.0
2026-01-28,7665925.0
2026-01-29,7670198.0
2026-01-30,7602245.0
2026-02-02,7600224.0
2026-02-03,7607093.0
2026-02-04,7608198.0
2026-02-05,7613428.0
2026-02-06,7618897.0
2026-02-09,7624101.0
2026-02-10,7634899.0
2026-02-11,7611574.0
2026-02-12,7615391.0
2026-02-13,7615434.0
2026-02-17,7632443.0
2026-02-18,7629004.0
2026-02-19,7631028.0
2026-02-20,7635436.0
2026-02-23,7644610.0
2026-02-24,7658382.0
2026-02-25,7638419.0
2026-02-26,7640563.0
2026-02-27,7582841.0
2026-03-02,7580081.0
2026-03-03,7584532.0
2026-03-04,7586399.0
2026-03-05,7591836.0
2026-03-06,7589806.0
2026-03-09,7602178.0
2026-03-10,7620071.0
2026-03-11,7596476.0
2026-03-12,7600704.0
2026-03-13,7602472.0
2026-03-16,7610842.0
2026-03-17,7637056.0
2026-03-18,7612180.0
2026-03-19,7616851.0
2026-03-20,7617466.0
2026-03-23,7621379.0
2026-03-24,7637841.0
2026-03-25,7627369.0
2026-03-26,7629274.0
2026-03-27,7627139.0
2026-03-30,7637099.0
2026-03-31,7634239.0
2026-04-01,7584863.0
2026-04-02,7590901.0
2026-04-03,7572263.0
2026-04-06,7580267.0
2026-04-07,7598021.0
2026-04-08,7576626.0
2026-04-09,7578111.0
2026-04-10,7583331.0
2026-04-13,7590752.0
2026-04-14,7606327.0
2026-04-15,7613943.0
2026-04-16,7626618.0
2026-04-17,7635097.0
2026-04-20,7648823.0
2026-04-21,7661964.0
2026-04-22,7639818.0
2026-04-23,7646237.0
2026-04-24,7664445.0
2026-04-27,7671199.0
2026-04-28,7685187.0
2026-04-29,7687593.0
2026-04-30,7695344.0
2026-05-01,7610190.0
2026-05-04,7630231.0
2026-05-05,7648832.0
2026-05-06,7655454.0
2026-05-07,7669326.0
2026-05-08,7677130.0
2026-05-11,7684692.0
2026-05-12,7699993.0
2026-05-13,7673382.0
2026-05-14,7676715.0
2026-05-15,7681661.0
2026-05-18,7691083.0
2026-05-19,7711687.0
2026-05-20,7690690.0
2026-05-21,7696412.0
2026-05-22,7711374.0
2026-05-26,7723732.0
2026-05-27,7712850.0
2026-05-28,7710257.0
2026-05-29,7692390.0
2026-06-01,7614129.0
2026-06-02,7624098.0
2026-06-03,7605271.0
2026-06-04,7621432.0
2026-06-05,7621701.0
2026-06-08,7630253.0
2026-06-09,7646258.0
2026-06-10,7620897.0
2026-06-11,7626068.0
2026-06-12,7627631.0
2026-06-15,7630513.0
2026-06-16,7647202.0
2026-06-17,7639708.0
2026-06-18,7691810.0
2026-06-22,7698121.0
2026-06-23,7714474.0
2026-06-24,7713572.0
2026-06-25,7716525.0
2026-06-26,7716631.0
2026-06-29,7724011.0
2026-06-30,7781090.0
2026-07-01,7711670.0
2026-07-02,7696351.0
2026-07-03,7699093.0
2026-07-06,7707726.0
2026-07-07,7718177.0
2026-07-08,7699095.0
2026-07-09,7704780.0
2026-07-10,7705664.0
2026-07-13,7710135.0
2026-07-14,7719037.0
2026-07-15,7695139.0
2026-07-16,7700409.0
2026-07-17,7764933.0
2026-07-20,7770602.0
2026-07-21,7785574.0
2026-07-22,7761118.0
2026-07-23,7765019.0
2026-07-24,7769469.0
2026-07-27,7790261.0
2026-07-28,7801874.0
2026-07-29,7804943.0
2026-07-30,7805383.0
2026-07-31,7725753.0
2026-08-03,7701107.0
2026-08-04,7727732.0
2026-08-05,7728473.0
2026-08-06,7741353.0
2026-08-07,7740627.0
2026-08-10,7748708.0
2026-08-11,7759469.0
2026-08-12,7733417.0
2026-08-13,7733845.0
2026-08-14,7733241.0
2026-08-17,7759459.0
2026-08-18,7781627.0
2026-08-19,7749192.0
2026-08-20,7754292.0
2026-08-21,7756735.0
2026-08-24,7760579.0
2026-08-25,7791079.0
2026-08-26,7763982.0
2026-08-27,7763727.0
2026-08-28,7763409.0
2026-08-31,7760652.0
2026-09-01,7691935.0
2026-09-02,7696018.0
2026-09-03,7679329.0
2026-09-04,7683805.0
