date,DTS:debt_issues|fytd
2026-03-09,14309777.0
2026-03-10,14584298.0
2026-03-11,14588220.0
2026-03-12,14861967.0
2026-03-13,14863760.0
2026-03-16,14984073.0
2026-03-17,15251071.0
2026-03-18,15253561.0
2026-03-19,15579267.0
2026-03-20,15581061.0
2026-03-23,15582859.0
2026-03-24,15833601.0
2026-03-25,15835856.0
2026-03-26,16095234.0
2026-03-27,16125035.0
2026-03-30,16126935.0
2026-03-31,16605220.0
2026-04-01,16607362.0
2026-04-02,16863777.0
2026-04-03,16865554.0
2026-04-06,16868928.0
2026-04-07,17100367.0
2026-04-08,17102461.0
2026-04-09,17358691.0
2026-04-10,17360529.0
2026-04-13,17362303.0
2026-04-14,17593712.0
2026-04-15,17734539.0
2026-04-16,18031571.0
2026-04-17,18033329.0
2026-04-20,18035078.0
2026-04-21,18266602.0
2026-04-22,18268528.0
2026-04-23,18522680.0
2026-04-24,18524403.0
2026-04-27,18526131.0
2026-04-28,18758376.0
2026-04-29,18760442.0
2026-04-30,19296907.0
2026-05-01,19298772.0
2026-05-04,19300543.0
2026-05-05,19536705.0
2026-05-06,19539592.0
2026-05-07,19797982.0
2026-05-08,19800433.0
2026-05-11,19802137.0
2026-05-12,20053701.0
2026-05-13,20055824.0
2026-05-14,20371440.0
2026-05-15,20527173.0
2026-05-18,20528855.0
2026-05-19,20809321.0
2026-05-20,20811842.0
2026-05-21,21078832.0
2026-05-22,21105597.0
2026-05-26,21385975.0
2026-05-27,21388520.0
2026-05-28,21650569.0
2026-05-29,21699579.0
2026-06-01,21930006.0
2026-06-02,22177982.0
2026-06-03,22180431.0
2026-06-04,22439174.0
2026-06-05,22440799.0
2026-06-08,22442993.0
2026-06-09,22679216.0
2026-06-10,22680974.0
2026-06-11,22980416.0
2026-06-12,22982074.0
2026-06-15,23102093.0
2026-06-16,23335251.0
2026-06-17,23337322.0
2026-06-18,23588766.0
2026-06-22,23603596.0
2026-06-23,23836191.0
2026-06-24,23838329.0
2026-06-25,24086481.0
2026-06-26,24116103.0
2026-06-29,24117761.0
2026-06-30,24592598.0
2026-07-01,24595261.0
2026-07-02,24862934.0
2026-07-03,24864510.0
2026-07-06,24866100.0
2026-07-07,25121826.0
2026-07-08,25124070.0
2026-07-09,25453411.0
2026-07-10,25454972.0
2026-07-13,25456519.0
2026-07-14,25746222.0
2026-07-15,25878839.0
2026-07-16,26156058.0
2026-07-17,26157607.0
2026-07-20,26159196.0
2026-07-21,26462344.0
2026-07-22,26464011.0
2026-07-23,26746545.0
2026-07-24,26760812.0
2026-07-27,26762416.0
2026-07-28,27065402.0
2026-07-29,27068158.0
2026-07-30,27354087.0
2026-07-31,27615103.0
2026-08-03,27616715.0
2026-08-04,27919184.0
2026-08-05,27921055.0
2026-08-06,28263133.0
2026-08-07,28264642.0
2026-08-10,28266217.0
2026-08-11,28565592.0
2026-08-12,28567400.0
2026-08-13,28849812.0
2026-08-14,28851803.0
2026-08-17,29009215.0
2026-08-18,29316226.0
2026-08-19,29318683.0
2026-08-20,29605010.0
2026-08-21,29606491.0
2026-08-24,29607997.0
2026-08-25,29912539.0
2026-08-26,29914074.0
2026-08-27,30192866.0
2026-08-28,30222769.0
2026-08-31,30456608.0
2026-09-01,30745378.0
2026-09-02,30747926.0
2026-09-03,31076045.0
2026-09-04,31077421.0
2026-09-08,31342905.0
