date,DTS:debt_redemptions
2026-04-27,1908.0
2026-04-28,257482.0
2026-04-29,3099.0
2026-04-30,531389.0
2026-05-01,3746.0
2026-05-04,1891.0
2026-05-05,251171.0
2026-05-06,1758.0
2026-05-07,262926.0
2026-05-08,5787.0
2026-05-11,2876.0
2026-05-12,247576.0
2026-05-13,1755.0
2026-05-14,311838.0
2026-05-15,119296.0
2026-05-18,2329.0
2026-05-19,241470.0
2026-05-20,3496.0
2026-05-21,252449.0
2026-05-22,2164.0
2026-05-26,238777.0
2026-05-27,1681.0
2026-05-28,249222.0
2026-05-29,2204.0
2026-06-01,167836.0
2026-06-02,233210.0
2026-06-03,1921.0
2026-06-04,251010.0
2026-06-05,14345.0
2026-06-08,1750.0
2026-06-09,242064.0
2026-06-10,3372.0
2026-06-11,302653.0
2026-06-12,13862.0
2026-06-15,43726.0
2026-06-16,255220.0
2026-06-17,2332.0
2026-06-18,283847.0
2026-06-22,2113.0
2026-06-23,255220.0
2026-06-24,1702.0
2026-06-25,263058.0
2026-06-26,3183.0
2026-06-29,2410.0
2026-06-30,417773.0
2026-07-01,10240.0
2026-07-02,270272.0
2026-07-03,1690.0
2026-07-06,1724.0
2026-07-07,240553.0
2026-07-08,1850.0
2026-07-09,320935.0
2026-07-10,3992.0
2026-07-13,2803.0
2026-07-14,249187.0
2026-07-15,90561.0
2026-07-16,255273.0
2026-07-17,2977.0
2026-07-20,1678.0
2026-07-21,248107.0
2026-07-22,1600.0
2026-07-23,248784.0
2026-07-24,3434.0
2026-07-27,1912.0
2026-07-28,234339.0
2026-07-29,2979.0
2026-07-30,249406.0
2026-07-31,250423.0
2026-08-03,10805.0
2026-08-04,242790.0
2026-08-05,1643.0
2026-08-06,300802.0
2026-08-07,5539.0
2026-08-10,2481.0
2026-08-11,261907.0
2026-08-12,3319.0
2026-08-13,264535.0
2026-08-14,1837.0
2026-08-17,131214.0
2026-08-18,271523.0
2026-08-19,2941.0
2026-08-20,273041.0
2026-08-21,3423.0
2026-08-24,1634.0
2026-08-25,273410.0
2026-08-26,2734.0
2026-08-27,274205.0
2026-08-28,1791.0
2026-08-31,160859.0
2026-09-01,287109.0
2026-09-02,1445.0
2026-09-03,329925.0
2026-09-04,13877.0
2026-09-08,291506.0
2026-09-09,1277.0
