date,DTS:D|Taxes - Corporate Income
2026-04-16,1927.0
2026-04-17,2241.0
2026-04-20,737.0
2026-04-21,65.0
2026-04-22,99.0
2026-04-23,85.0
2026-04-24,87.0
2026-04-27,151.0
2026-04-28,82.0
2026-04-29,84.0
2026-04-30,669.0
2026-05-01,130.0
2026-05-04,103.0
2026-05-05,67.0
2026-05-06,110.0
2026-05-07,140.0
2026-05-08,592.0
2026-05-11,182.0
2026-05-12,632.0
2026-05-13,337.0
2026-05-14,1074.0
2026-05-15,10277.0
2026-05-18,127.0
2026-05-19,86.0
2026-05-20,65.0
2026-05-21,55.0
2026-05-22,256.0
2026-05-26,72.0
2026-05-27,48.0
2026-05-28,89.0
2026-05-29,724.0
2026-06-01,93.0
2026-06-02,115.0
2026-06-03,161.0
2026-06-04,291.0
2026-06-05,511.0
2026-06-08,1549.0
2026-06-09,1604.0
2026-06-10,2864.0
2026-06-11,6175.0
2026-06-12,17267.0
2026-06-15,38054.0
2026-06-16,2881.0
2026-06-17,445.0
2026-06-18,194.0
2026-06-22,498.0
2026-06-23,153.0
2026-06-24,103.0
2026-06-25,102.0
2026-06-26,230.0
2026-06-29,301.0
2026-06-30,914.0
2026-07-01,315.0
2026-07-02,189.0
2026-07-03,22.0
2026-07-06,36.0
2026-07-07,129.0
2026-07-08,573.0
2026-07-09,194.0
2026-07-10,530.0
2026-07-13,719.0
2026-07-14,2632.0
2026-07-15,12288.0
2026-07-16,298.0
2026-07-17,60.0
2026-07-20,559.0
2026-07-21,61.0
2026-07-22,57.0
2026-07-23,55.0
2026-07-24,42.0
2026-07-27,49.0
2026-07-28,51.0
2026-07-29,61.0
2026-07-30,67.0
2026-07-31,208.0
2026-08-03,61.0
2026-08-04,102.0
2026-08-05,98.0
2026-08-06,49.0
2026-08-07,43.0
2026-08-10,131.0
2026-08-11,31.0
2026-08-12,125.0
2026-08-13,335.0
2026-08-14,1690.0
2026-08-17,383.0
2026-08-18,128.0
2026-08-19,183.0
2026-08-20,67.0
2026-08-21,119.0
2026-08-24,74.0
2026-08-25,65.0
2026-08-26,162.0
2026-08-27,122.0
2026-08-28,176.0
2026-08-31,649.0
2026-09-01,310.0
2026-09-02,336.0
2026-09-03,262.0
2026-09-04,472.0
