date,DTS:W|SSA - Supplemental Security Income|fytd
2026-02-03,27210.0
2026-02-04,27224.0
2026-02-05,27239.0
2026-02-06,27255.0
2026-02-09,27275.0
2026-02-10,27289.0
2026-02-11,27304.0
2026-02-12,27318.0
2026-02-13,27332.0
2026-02-17,27345.0
2026-02-18,27356.0
2026-02-19,27370.0
2026-02-20,27382.0
2026-02-23,27395.0
2026-02-24,27406.0
2026-02-25,27425.0
2026-02-26,27423.0
2026-02-27,32582.0
2026-03-02,32632.0
2026-03-03,32748.0
2026-03-04,32770.0
2026-03-05,32786.0
2026-03-06,32803.0
2026-03-09,32817.0
2026-03-10,32831.0
2026-03-11,32854.0
2026-03-12,32868.0
2026-03-13,32882.0
2026-03-16,32896.0
2026-03-17,32909.0
2026-03-18,32923.0
2026-03-19,32936.0
2026-03-20,32951.0
2026-03-23,32964.0
2026-03-24,32976.0
2026-03-25,32991.0
2026-03-26,33005.0
2026-03-27,33019.0
2026-03-30,33031.0
2026-03-31,33044.0
2026-04-01,38241.0
2026-04-02,38375.0
2026-04-03,38391.0
2026-04-06,38407.0
2026-04-07,38420.0
2026-04-08,38436.0
2026-04-09,38453.0
2026-04-10,38468.0
2026-04-13,38483.0
2026-04-14,38496.0
2026-04-15,38512.0
2026-04-16,38526.0
2026-04-17,38541.0
2026-04-20,38556.0
2026-04-21,38569.0
2026-04-22,38585.0
2026-04-23,38599.0
2026-04-24,38613.0
2026-04-27,38626.0
2026-04-28,38638.0
2026-04-29,38638.0
2026-04-30,38637.0
2026-05-01,43829.0
2026-05-04,43986.0
2026-05-05,43998.0
2026-05-06,44015.0
2026-05-07,44030.0
2026-05-08,44047.0
2026-05-11,44064.0
2026-05-12,44077.0
2026-05-13,44091.0
2026-05-14,44105.0
2026-05-15,44120.0
2026-05-18,44134.0
2026-05-19,44147.0
2026-05-20,44162.0
2026-05-21,44176.0
2026-05-22,44190.0
2026-05-26,44203.0
2026-05-27,44213.0
2026-05-28,44213.0
2026-05-29,44212.0
2026-06-01,49397.0
2026-06-02,49556.0
2026-06-03,49571.0
2026-06-04,49586.0
2026-06-05,49603.0
2026-06-08,49619.0
2026-06-09,49632.0
2026-06-10,49651.0
2026-06-11,49666.0
2026-06-12,49681.0
2026-06-15,49693.0
2026-06-16,49706.0
2026-06-17,49722.0
2026-06-18,49736.0
2026-06-22,49750.0
2026-06-23,49762.0
2026-06-24,49774.0
2026-06-25,49787.0
2026-06-26,49802.0
2026-06-29,49814.0
2026-06-30,49826.0
2026-07-01,54998.0
2026-07-02,55110.0
2026-07-03,55110.0
2026-07-06,55124.0
2026-07-07,55139.0
2026-07-08,55151.0
2026-07-09,55174.0
2026-07-10,55189.0
2026-07-13,55204.0
2026-07-14,55217.0
2026-07-15,55234.0
2026-07-16,55248.0
2026-07-17,55263.0
2026-07-20,55276.0
2026-07-21,55288.0
2026-07-22,55303.0
2026-07-23,55317.0
2026-07-24,55332.0
2026-07-27,55344.0
2026-07-28,55355.0
2026-07-29,55354.0
2026-07-30,55354.0
2026-07-31,60539.0
2026-08-03,60693.0
2026-08-04,60702.0
2026-08-05,60718.0
2026-08-06,60732.0
2026-08-07,60749.0
2026-08-10,60766.0
2026-08-11,60779.0
2026-08-12,60795.0
2026-08-13,60810.0
2026-08-14,60824.0
2026-08-17,60838.0
2026-08-18,60851.0
2026-08-19,60867.0
2026-08-20,60880.0
2026-08-21,60894.0
2026-08-24,60907.0
2026-08-25,60920.0
2026-08-26,60919.0
2026-08-27,60918.0
2026-08-28,60918.0
2026-08-31,60918.0
2026-09-01,66080.0
2026-09-02,66290.0
2026-09-03,66299.0
2026-09-04,66310.0
