date,on_t0,on,1w,2w,3w,1m,3m,6m,1y
2025-12-10,0.5,0.502,0.497,0.518,0.561,0.618,0.682,0.723,0.781
2025-12-11,0.5,0.502,0.497,0.534,0.572,0.624,0.686,0.723,0.781
2025-12-12,0.499,0.503,0.498,0.551,0.58,0.631,0.692,0.728,0.792
2025-12-15,0.499,0.502,0.502,0.57,0.594,0.649,0.696,0.736,0.804
2025-12-16,0.499,0.502,0.526,0.598,0.619,0.663,0.701,0.742,0.814
2025-12-17,0.5,0.501,0.546,0.621,0.644,0.676,0.702,0.745,0.818
2025-12-18,0.497,0.499,0.586,0.637,0.658,0.692,0.709,0.749,0.824
2025-12-19,0.497,0.687,0.696,0.694,0.699,0.709,0.723,0.752,0.837
2025-12-22,0.743,0.74,0.724,0.711,0.719,0.721,0.734,0.757,0.846
2025-12-23,0.735,0.738,0.719,0.709,0.717,0.722,0.733,0.759,0.853
2025-12-24,0.737,0.735,0.711,0.711,0.719,0.724,0.734,0.76,0.858
2025-12-25,0.744,0.743,0.716,0.716,0.723,0.727,0.735,0.761,0.863
2025-12-26,0.741,0.741,0.718,0.718,0.724,0.729,0.736,0.762,0.866
2025-12-29,0.739,0.737,0.729,0.728,0.729,0.733,0.739,0.762,0.872
2025-12-30,0.747,0.752,0.737,0.733,0.733,0.735,0.742,0.766,0.878
2026-01-05,0.742,0.75,0.739,0.736,0.736,0.738,0.744,0.772,0.881
2026-01-06,0.731,0.749,0.739,0.738,0.738,0.739,0.746,0.776,0.884
2026-01-07,0.746,0.745,0.74,0.739,0.739,0.74,0.746,0.78,0.885
2026-01-08,0.739,0.742,0.738,0.738,0.738,0.738,0.745,0.779,0.884
2026-01-09,0.743,0.75,0.739,0.738,0.738,0.739,0.745,0.781,0.885
2026-01-13,0.746,0.749,0.741,0.739,0.739,0.74,0.747,0.781,0.886
2026-01-14,0.74,0.75,0.74,0.739,0.739,0.74,0.745,0.78,0.886
2026-01-15,0.744,0.749,0.741,0.739,0.739,0.74,0.746,0.781,0.886
2026-01-16,0.743,0.75,0.742,0.74,0.74,0.741,0.748,0.787,0.891
2026-01-19,0.746,0.75,0.741,0.741,0.741,0.741,0.747,0.789,0.898
2026-01-20,0.741,0.75,0.742,0.742,0.742,0.742,0.749,0.795,0.907
2026-01-21,0.745,0.75,0.742,0.742,0.742,0.744,0.75,0.802,0.912
2026-01-22,0.746,0.75,0.742,0.742,0.742,0.744,0.752,0.804,0.915
2026-01-23,0.748,0.75,0.742,0.742,0.743,0.744,0.753,0.807,0.917
2026-01-26,0.744,0.75,0.743,0.743,0.743,0.746,0.756,0.816,0.926
2026-01-27,0.744,0.75,0.746,0.745,0.745,0.747,0.758,0.82,0.932
2026-01-28,0.741,0.746,0.745,0.744,0.745,0.747,0.76,0.821,0.935
2026-01-29,0.745,0.741,0.744,0.744,0.744,0.747,0.761,0.824,0.94
2026-01-30,0.738,0.75,0.746,0.745,0.746,0.747,0.761,0.825,0.941
2026-02-02,0.748,0.75,0.745,0.745,0.745,0.747,0.762,0.827,0.943
2026-02-03,0.742,0.747,0.746,0.746,0.746,0.747,0.766,0.828,0.945
2026-02-04,0.747,0.746,0.746,0.746,0.746,0.747,0.77,0.83,0.949
2026-02-05,0.744,0.749,0.746,0.746,0.746,0.748,0.771,0.834,0.953
2026-02-06,0.749,0.75,0.747,0.746,0.746,0.747,0.773,0.842,0.956
2026-02-09,0.748,0.75,0.747,0.747,0.747,0.748,0.783,0.851,0.965
2026-02-10,0.748,0.75,0.747,0.747,0.747,0.748,0.792,0.855,0.969
2026-02-12,0.742,0.749,0.747,0.747,0.747,0.748,0.794,0.861,0.97
2026-02-13,0.747,0.75,0.747,0.748,0.747,0.748,0.797,0.865,0.974
2026-02-16,0.743,0.75,0.746,0.746,0.746,0.747,0.794,0.867,0.979
2026-02-17,0.737,0.746,0.746,0.746,0.746,0.748,0.794,0.868,0.982
2026-02-18,0.743,0.746,0.746,0.746,0.746,0.748,0.793,0.87,0.984
2026-02-19,0.747,0.75,0.746,0.746,0.746,0.747,0.794,0.871,0.986
2026-02-20,0.747,0.75,0.746,0.746,0.746,0.748,0.794,0.872,0.988
2026-02-24,0.749,0.75,0.747,0.747,0.747,0.748,0.801,0.874,0.989
2026-02-25,0.747,0.75,0.747,0.747,0.747,0.748,0.803,0.874,0.989
2026-02-26,0.748,0.747,0.747,0.747,0.747,0.748,0.803,0.874,0.989
2026-02-27,0.748,0.75,0.747,0.747,0.747,0.748,0.805,0.878,0.99
2026-03-02,0.749,0.75,0.747,0.747,0.747,0.748,0.805,0.879,0.989
2026-03-03,0.748,0.75,0.747,0.747,0.747,0.748,0.805,0.88,0.99
