date,FXERD01
2015-06-02,124.87
2015-06-03,124.06
2015-06-04,124.31
2015-06-05,124.4
2015-06-08,125.63
2015-06-09,124.58
2015-06-10,124.36
2015-06-11,122.89
2015-06-12,123.6
2015-06-15,123.3
2015-06-16,123.43
2015-06-17,123.46
2015-06-18,123.57
2015-06-19,123.01
2015-06-22,122.78
2015-06-23,123.42
2015-06-24,123.88
2015-06-25,123.87
2015-06-26,123.6
2015-06-29,122.59
2015-06-30,122.66
2015-07-01,122.43
2015-07-02,123.33
2015-07-03,123.06
2015-07-06,122.43
2015-07-07,122.67
2015-07-08,122.54
2015-07-09,120.9
2015-07-10,121.7
2015-07-13,122.5
2015-07-14,123.61
2015-07-15,123.34
2015-07-16,123.92
2015-07-17,124.17
2015-07-21,124.3
2015-07-22,123.87
2015-07-23,124.06
2015-07-24,123.87
2015-07-27,123.77
2015-07-28,123.27
2015-07-29,123.58
2015-07-30,123.95
2015-07-31,124.09
2015-08-03,124.05
2015-08-04,123.95
2015-08-05,124.29
2015-08-06,124.78
2015-08-07,124.76
2015-08-10,124.34
2015-08-11,124.63
2015-08-12,125.09
2015-08-13,124.3
2015-08-14,124.39
2015-08-17,124.38
2015-08-18,124.43
2015-08-19,124.39
2015-08-20,123.93
2015-08-21,123.45
2015-08-24,121.74
2015-08-25,118.9
2015-08-26,118.58
2015-08-27,120.06
2015-08-28,121.03
2015-08-31,121.3
2015-09-01,121.12
2015-09-02,119.72
2015-09-03,120.63
2015-09-04,120.12
2015-09-07,119.15
2015-09-08,119.44
2015-09-09,120.11
2015-09-10,120.25
2015-09-11,120.65
2015-09-14,120.81
2015-09-15,120.37
2015-09-16,120.42
2015-09-17,120.55
2015-09-18,120.1
2015-09-24,120.24
2015-09-25,120.27
2015-09-28,120.39
2015-09-29,119.83
2015-09-30,119.88
2015-10-01,119.88
2015-10-02,119.84
2015-10-05,120.04
2015-10-06,120.47
2015-10-07,120.26
2015-10-08,119.93
2015-10-09,119.94
2015-10-13,120.05
2015-10-14,119.74
2015-10-15,118.86
2015-10-16,119.09
2015-10-19,119.31
2015-10-20,119.51
2015-10-21,119.8
2015-10-22,119.87
2015-10-23,120.9
2015-10-26,121.32
2015-10-27,120.97
2015-10-28,120.49
2015-10-29,120.88
2015-10-30,121.05
2015-11-02,120.52
2015-11-04,121.09
2015-11-05,121.53
2015-11-06,121.7
2015-11-09,123.2
2015-11-10,123.06
2015-11-11,123.1
2015-11-12,122.76
2015-11-13,122.59
2015-11-16,122.31
2015-11-17,123.27
2015-11-18,123.45
2015-11-19,123.51
2015-11-20,122.91
2015-11-24,122.96
2015-11-25,122.53
2015-11-26,122.69
2015-11-27,122.65
2015-11-30,122.84
2015-12-01,123.21
2015-12-02,122.91
2015-12-03,123.25
2015-12-04,122.65
2015-12-07,123.19
2015-12-08,123.31
2015-12-09,122.93
2015-12-10,121.69
2015-12-11,121.71
2015-12-14,120.89
2015-12-15,121.13
2015-12-16,121.67
2015-12-17,122.49
2015-12-18,122.46
2015-12-21,121.29
2015-12-22,121.21
2015-12-24,120.95
2015-12-25,120.18
2015-12-28,120.25
2015-12-29,120.35
2015-12-30,120.53
2016-01-04,120.32
2016-01-05,119.47
2016-01-06,119.11
2016-01-07,118.62
2016-01-08,117.53
2016-01-12,117.69
2016-01-13,117.83
2016-01-14,117.42
2016-01-15,118.23
2016-01-18,117.01
2016-01-19,117.4
2016-01-20,117.57
2016-01-21,117.21
2016-01-22,117.93
2016-01-25,118.57
2016-01-26,118.23
2016-01-27,118.39
2016-01-28,118.48
2016-01-29,118.94
2016-02-01,121.35
2016-02-02,120.86
2016-02-03,119.86
2016-02-04,118.17
2016-02-05,116.86
2016-02-08,116.95
2016-02-09,115.66
2016-02-10,115.19
2016-02-12,112.5
2016-02-15,113.68
2016-02-16,114.36
2016-02-17,114.13
2016-02-18,114.29
2016-02-19,113.28
2016-02-22,112.53
2016-02-23,112.96
2016-02-24,111.91
2016-02-25,112.07
2016-02-26,113.14
2016-02-29,113.73
2016-03-01,112.43
2016-03-02,113.92
2016-03-03,113.5
2016-03-04,113.69
2016-03-07,113.84
2016-03-08,113.49
2016-03-09,112.69
2016-03-10,113.24
2016-03-11,112.86
2016-03-14,113.78
2016-03-15,113.83
2016-03-16,113.11
2016-03-17,112.8
2016-03-18,111.39
2016-03-22,112.15
2016-03-23,112.28
2016-03-24,112.43
2016-03-25,112.85
2016-03-28,113.47
2016-03-29,113.37
2016-03-30,112.68
2016-03-31,112.4
2016-04-01,112.52
2016-04-04,111.68
2016-04-05,111.23
2016-04-06,110.39
2016-04-07,109.73
2016-04-08,108.48
2016-04-11,108.3
2016-04-12,107.97
2016-04-13,108.7
2016-04-14,109.44
2016-04-15,109.35
2016-04-18,108.08
2016-04-19,109.09
2016-04-20,109.22
2016-04-21,109.85
2016-04-22,109.47
2016-04-25,111.46
2016-04-26,111.13
2016-04-27,111.22
2016-04-28,111.52
2016-05-02,106.46
2016-05-06,107.36
2016-05-09,107.36
2016-05-10,108.37
2016-05-11,109.22
2016-05-12,108.43
2016-05-13,109.1
2016-05-16,108.67
2016-05-17,109.09
2016-05-18,109.03
2016-05-19,110.18
2016-05-20,109.93
2016-05-23,110.04
2016-05-24,109.38
2016-05-25,110.17
2016-05-26,110.14
2016-05-27,109.71
2016-05-30,110.78
2016-05-31,110.85
2016-06-01,110.64
2016-06-02,109.46
2016-06-03,108.87
2016-06-06,106.69
2016-06-07,107.46
2016-06-08,107.29
2016-06-09,106.79
2016-06-10,107.11
2016-06-13,106.5
2016-06-14,106.19
2016-06-15,106.09
2016-06-16,105.9
2016-06-17,104.77
2016-06-20,104.64
2016-06-21,103.82
2016-06-22,104.72
2016-06-23,104.64
2016-06-24,104.93
2016-06-27,102.2
2016-06-28,101.8
2016-06-29,102.69
2016-06-30,102.8
2016-07-01,103.09
2016-07-04,102.49
2016-07-05,102.51
2016-07-06,101.16
2016-07-07,101.15
2016-07-08,100.76
2016-07-11,100.69
2016-07-12,102.51
2016-07-13,104.73
2016-07-14,104.06
2016-07-15,105.15
2016-07-19,106.18
2016-07-20,106.13
2016-07-21,107.19
2016-07-22,105.79
2016-07-25,106.29
2016-07-26,105.59
2016-07-27,104.86
2016-07-28,104.91
2016-07-29,104.81
2016-08-01,102.35
2016-08-02,102.31
2016-08-03,101.09
2016-08-04,101.35
2016-08-05,101.21
2016-08-08,102.06
2016-08-09,102.29
2016-08-10,101.93
2016-08-12,101.85
2016-08-15,101.26
2016-08-16,101.26
2016-08-17,100.18
2016-08-18,99.9
2016-08-19,100.14
2016-08-22,100.56
2016-08-23,100.28
2016-08-24,100.31
2016-08-25,100.57
2016-08-26,100.57
2016-08-29,101.93
2016-08-30,101.84
2016-08-31,102.89
2016-09-01,103.32
2016-09-02,103.26
2016-09-05,103.93
2016-09-06,103.52
2016-09-07,101.59
2016-09-08,101.85
2016-09-09,102.32
2016-09-12,102.47
2016-09-13,101.74
2016-09-14,102.5
2016-09-15,102.56
2016-09-16,102
2016-09-20,101.91
2016-09-21,101.61
2016-09-23,100.85
2016-09-26,100.92
2016-09-27,100.39
2016-09-28,100.5
2016-09-29,100.95
2016-09-30,101.21
2016-10-03,101.54
2016-10-04,101.84
2016-10-05,102.87
2016-10-06,103.45
2016-10-07,103.76
2016-10-11,103.71
2016-10-12,103.36
2016-10-13,104.31
2016-10-14,103.75
2016-10-17,104.05
2016-10-18,103.86
2016-10-19,103.87
2016-10-20,103.4
2016-10-21,104.12
2016-10-24,103.92
2016-10-25,104.33
2016-10-26,104.16
2016-10-27,104.57
2016-10-28,105.23
2016-10-31,104.58
2016-11-01,104.84
2016-11-02,104.11
2016-11-04,103.06
2016-11-07,104.18
2016-11-08,104.46
2016-11-09,104.99
2016-11-10,105.83
2016-11-11,106.83
2016-11-14,106.89
2016-11-15,108.21
2016-11-16,109.02
2016-11-17,108.78
2016-11-18,110.24
2016-11-21,110.95
2016-11-22,110.68
2016-11-24,112.56
2016-11-25,113.28
2016-11-28,112.67
2016-11-29,111.68
2016-11-30,112.47
2016-12-01,114.7
2016-12-02,113.9
2016-12-05,113.53
2016-12-06,113.87
2016-12-07,114.06
2016-12-08,113.74
2016-12-09,114.07
2016-12-12,115.42
2016-12-13,114.99
2016-12-14,115.21
2016-12-15,117.23
2016-12-16,118.26
2016-12-19,117.82
2016-12-20,117.03
2016-12-21,117.84
2016-12-22,117.63
2016-12-26,117.33
2016-12-27,117.21
2016-12-28,117.5
2016-12-29,117.07
2016-12-30,116.33
2017-01-04,117.65
2017-01-05,117.13
2017-01-06,115.34
2017-01-10,115.99
2017-01-11,115.87
2017-01-12,115.1
2017-01-13,114.68
2017-01-16,114.22
2017-01-17,114.16
2017-01-18,112.9
2017-01-19,114.72
2017-01-20,114.94
2017-01-23,113.81
2017-01-24,112.79
2017-01-25,113.86
2017-01-26,113.27
2017-01-27,114.43
2017-01-30,114.67
2017-01-31,113.68
2017-02-01,112.78
2017-02-02,113.3
2017-02-03,112.8
2017-02-06,112.64
2017-02-07,111.82
2017-02-08,112.39
2017-02-09,111.97
2017-02-10,113.46
2017-02-13,113.93
2017-02-14,113.69
2017-02-15,114.29
2017-02-16,114.13
2017-02-17,113.33
2017-02-20,112.92
2017-02-21,113.27
2017-02-22,113.67
2017-02-23,113.41
2017-02-24,112.7
2017-02-27,112.2
2017-02-28,112.75
2017-03-01,113.1
2017-03-02,114.12
2017-03-03,114.35
2017-03-06,113.82
2017-03-07,113.91
2017-03-08,113.92
2017-03-09,114.41
2017-03-10,115.13
2017-03-13,114.76
2017-03-14,114.92
2017-03-15,114.66
2017-03-16,113.39
2017-03-17,113.37
2017-03-21,112.57
2017-03-22,111.53
2017-03-23,111.37
2017-03-24,111
2017-03-27,110.56
2017-03-28,110.77
2017-03-29,111.23
2017-03-30,111.15
2017-03-31,111.74
2017-04-03,111.27
2017-04-04,110.69
2017-04-05,110.85
2017-04-06,110.4
2017-04-07,110.89
2017-04-10,111.22
2017-04-11,110.71
2017-04-12,109.56
2017-04-13,108.89
2017-04-14,109.11
2017-04-17,108.32
2017-04-18,109.14
2017-04-19,108.54
2017-04-20,108.84
2017-04-21,109.39
2017-04-24,110.02
2017-04-25,109.63
2017-04-26,111.08
2017-04-27,111.18
2017-04-28,111.23
2017-05-01,111.31
2017-05-02,111.83
2017-05-08,112.66
2017-05-09,113.22
2017-05-10,113.71
2017-05-11,114.33
2017-05-12,113.82
2017-05-15,113.27
2017-05-16,113.65
2017-05-17,112.7
2017-05-18,111.07
2017-05-19,111.43
2017-05-22,111.29
2017-05-23,110.93
2017-05-24,111.96
2017-05-25,111.55
2017-05-26,111.75
2017-05-29,111.26
2017-05-30,111.2
2017-05-31,110.85
2017-06-01,110.81
2017-06-02,111.44
2017-06-05,110.47
2017-06-06,110.4
2017-06-07,109.5
2017-06-08,109.92
2017-06-09,109.87
2017-06-12,110.31
2017-06-13,109.93
2017-06-14,110.07
2017-06-15,109.45
2017-06-16,110.99
2017-06-19,110.98
2017-06-20,111.7
2017-06-21,111.34
2017-06-22,111.33
2017-06-23,111.3
2017-06-26,111.24
2017-06-27,111.88
2017-06-28,112.2
2017-06-29,112.35
2017-06-30,112.02
2017-07-03,112.24
2017-07-04,113.39
2017-07-05,112.98
2017-07-06,113.21
2017-07-07,113.16
2017-07-10,113.98
2017-07-11,114.07
2017-07-12,113.76
2017-07-13,113.33
2017-07-14,113.43
2017-07-18,112.61
2017-07-19,111.99
2017-07-20,111.89
2017-07-21,111.9
2017-07-24,110.94
2017-07-25,111.25
2017-07-26,112.02
2017-07-27,111.18
2017-07-28,111.1
2017-07-31,110.5
2017-08-01,110.37
2017-08-02,110.44
2017-08-03,110.76
2017-08-04,109.89
2017-08-07,110.81
2017-08-08,110.77
2017-08-09,110.11
2017-08-10,110.04
2017-08-14,109.26
2017-08-15,109.94
2017-08-16,110.6
2017-08-17,110
2017-08-18,109.33
2017-08-21,109.33
2017-08-22,109.02
2017-08-23,109.74
2017-08-24,108.91
2017-08-25,109.52
2017-08-28,109.35
2017-08-29,108.74
2017-08-30,109.78
2017-08-31,110.47
2017-09-01,110.13
2017-09-04,109.82
2017-09-05,109.79
2017-09-06,108.61
2017-09-07,109.15
2017-09-08,108.26
2017-09-11,108.25
2017-09-12,109.4
2017-09-13,110.23
2017-09-14,110.51
2017-09-15,109.94
2017-09-19,111.49
2017-09-20,111.6
2017-09-21,112.55
2017-09-22,112.46
2017-09-25,112.45
2017-09-26,111.74
2017-09-27,112.39
2017-09-28,112.89
2017-09-29,112.49
2017-10-02,112.66
2017-10-03,112.77
2017-10-04,112.85
2017-10-05,112.82
2017-10-06,112.79
2017-10-10,112.68
2017-10-11,112.36
2017-10-12,112.45
2017-10-13,112.24
2017-10-16,111.88
2017-10-17,112.19
2017-10-18,112.22
2017-10-19,113.01
2017-10-20,112.69
2017-10-23,114.05
2017-10-24,113.35
2017-10-25,113.95
2017-10-26,113.59
2017-10-27,114.13
2017-10-30,113.72
2017-10-31,113.02
2017-11-01,113.65
2017-11-02,114.18
2017-11-06,114.17
2017-11-07,113.77
2017-11-08,113.75
2017-11-09,113.91
2017-11-10,113.36
2017-11-13,113.7
2017-11-14,113.61
2017-11-15,113.42
2017-11-16,112.76
2017-11-17,113.05
2017-11-20,112.02
2017-11-21,112.56
2017-11-22,112.34
2017-11-24,111.26
2017-11-27,111.67
2017-11-28,111.14
2017-11-29,111.63
2017-11-30,112.01
2017-12-01,112.59
2017-12-04,112.89
2017-12-05,112.5
2017-12-06,112.47
2017-12-07,112.31
2017-12-08,113.21
2017-12-11,113.57
2017-12-12,113.55
2017-12-13,113.54
2017-12-14,112.77
2017-12-15,112.4
2017-12-18,112.73
2017-12-19,112.58
2017-12-20,113.01
2017-12-21,113.26
2017-12-22,113.32
2017-12-25,113.32
2017-12-26,113.31
2017-12-27,113.21
2017-12-28,113.23
2017-12-29,112.89
2018-01-04,112.62
2018-01-05,112.81
2018-01-09,113.15
2018-01-10,112.78
2018-01-11,111.45
2018-01-12,111.29
2018-01-15,111.15
2018-01-16,110.62
2018-01-17,110.39
2018-01-18,111.35
2018-01-19,111.04
2018-01-22,110.7
2018-01-23,110.98
2018-01-24,110.13
2018-01-25,109.32
2018-01-26,109.68
2018-01-29,108.61
2018-01-30,108.95
2018-01-31,108.76
2018-02-01,109.19
2018-02-02,109.41
2018-02-05,110.03
2018-02-06,109.07
2018-02-07,109.63
2018-02-08,109.15
2018-02-09,108.56
2018-02-13,108.71
2018-02-14,107.77
2018-02-15,106.55
2018-02-16,106.1
2018-02-19,106.28
2018-02-20,106.72
2018-02-21,107.39
2018-02-22,107.58
2018-02-23,106.85
2018-02-26,107.08
2018-02-27,107.07
2018-02-28,107.44
2018-03-01,106.64
2018-03-02,106.17
2018-03-05,105.56
2018-03-06,106.26
2018-03-07,105.58
2018-03-08,106.19
2018-03-09,106.42
2018-03-12,106.89
2018-03-13,106.31
2018-03-14,106.53
2018-03-15,106.17
2018-03-16,106.32
2018-03-19,105.96
2018-03-20,106.02
2018-03-22,105.93
2018-03-23,104.97
2018-03-26,104.84
2018-03-27,105.54
2018-03-28,105.48
2018-03-29,106.82
2018-03-30,106.49
2018-04-02,106.32
2018-04-03,105.8
2018-04-04,106.45
2018-04-05,106.79
2018-04-06,107.1
2018-04-09,106.96
2018-04-10,106.75
2018-04-11,107.14
2018-04-12,106.83
2018-04-13,107.26
2018-04-16,107.52
2018-04-17,107.07
2018-04-18,107.03
2018-04-19,107.36
2018-04-20,107.45
2018-04-23,107.88
2018-04-24,108.78
2018-04-25,108.81
2018-04-26,109.38
2018-04-27,109.31
2018-05-01,109.32
2018-05-02,109.87
2018-05-07,109.14
2018-05-08,108.95
2018-05-09,109.03
2018-05-10,109.85
2018-05-11,109.46
2018-05-14,109.32
2018-05-15,109.74
2018-05-16,110.29
2018-05-17,110.38
2018-05-18,110.86
2018-05-21,110.9
2018-05-22,111
2018-05-23,110.74
2018-05-24,109.89
2018-05-25,109.32
2018-05-28,109.62
2018-05-29,109.4
2018-05-30,108.41
2018-05-31,108.74
2018-06-01,108.78
2018-06-04,109.61
2018-06-05,109.97
2018-06-06,109.89
2018-06-07,110.14
2018-06-08,109.72
2018-06-11,109.48
2018-06-12,110.39
2018-06-13,110.45
2018-06-14,110.24
2018-06-15,110.64
2018-06-18,110.64
2018-06-19,110.15
2018-06-20,110.09
2018-06-21,110.38
2018-06-22,109.96
2018-06-25,109.94
2018-06-26,109.65
2018-06-27,110.13
2018-06-28,110.22
2018-06-29,110.5
2018-07-02,110.74
2018-07-03,110.89
2018-07-04,110.41
2018-07-05,110.51
2018-07-06,110.56
2018-07-09,110.45
2018-07-10,110.96
2018-07-11,110.86
2018-07-12,111.98
2018-07-13,112.67
2018-07-17,112.38
2018-07-18,113.02
2018-07-19,112.81
2018-07-20,112.37
2018-07-23,111.06
2018-07-24,111.47
2018-07-25,111.28
2018-07-26,110.86
2018-07-27,111.17
2018-07-30,110.95
2018-07-31,111
2018-08-01,111.83
2018-08-02,111.64
2018-08-03,111.71
2018-08-06,111.23
2018-08-07,111.34
2018-08-08,111.35
2018-08-09,110.9
2018-08-10,111.1
2018-08-13,110.64
2018-08-14,110.64
2018-08-15,111.26
2018-08-16,110.59
2018-08-17,111.01
2018-08-20,110.49
2018-08-21,109.96
2018-08-22,110.12
2018-08-23,110.59
2018-08-24,111.37
2018-08-27,111.29
2018-08-28,111.13
2018-08-29,111.15
2018-08-30,111.69
2018-08-31,111.02
2018-09-03,111.14
2018-09-04,111.09
2018-09-05,111.47
2018-09-06,111.46
2018-09-07,110.5
2018-09-10,110.93
2018-09-11,111.15
2018-09-12,111.62
2018-09-13,111.22
2018-09-14,112.04
2018-09-18,111.69
2018-09-19,112.29
2018-09-20,112.33
2018-09-21,112.5
2018-09-25,112.79
2018-09-26,112.98
2018-09-27,112.72
2018-09-28,113.4
2018-10-01,113.8
2018-10-02,113.95
2018-10-03,113.57
2018-10-04,114.51
2018-10-05,113.91
2018-10-09,113.13
2018-10-10,113.02
2018-10-11,112.09
2018-10-12,112.09
2018-10-15,112.21
2018-10-16,111.85
2018-10-17,112.35
2018-10-18,112.62
2018-10-19,112.2
2018-10-22,112.46
2018-10-23,112.77
2018-10-24,112.45
2018-10-25,112
2018-10-26,112.37
2018-10-29,111.93
2018-10-30,112.34
2018-10-31,113.07
2018-11-01,112.86
2018-11-02,112.73
2018-11-05,113.14
2018-11-06,113.27
2018-11-07,113.35
2018-11-08,113.57
2018-11-09,113.96
2018-11-12,113.84
2018-11-13,113.69
2018-11-14,113.8
2018-11-15,113.57
2018-11-16,113.57
2018-11-19,112.73
2018-11-20,112.46
2018-11-21,112.71
2018-11-22,113.03
2018-11-26,112.93
2018-11-27,113.51
2018-11-28,113.8
2018-11-29,113.57
2018-11-30,113.42
2018-12-03,113.77
2018-12-04,113.6
2018-12-05,112.7
2018-12-06,113.05
2018-12-07,112.73
2018-12-10,112.53
2018-12-11,113.2
2018-12-12,113.39
2018-12-13,113.29
2018-12-14,113.57
2018-12-17,113.4
2018-12-18,112.84
2018-12-19,112.52
2018-12-20,112.41
2018-12-21,111.18
2018-12-25,110.31
2018-12-26,110.44
2018-12-27,111.21
2018-12-28,110.85
2019-01-04,107.85
2019-01-07,108.55
2019-01-08,108.64
2019-01-09,108.76
2019-01-10,108.19
2019-01-11,108.29
2019-01-15,108.24
2019-01-16,108.66
2019-01-17,109.04
2019-01-18,109.15
2019-01-21,109.68
2019-01-22,109.67
2019-01-23,109.36
2019-01-24,109.5
2019-01-25,109.6
2019-01-28,109.43
2019-01-29,109.25
2019-01-30,109.43
2019-01-31,108.98
2019-02-01,108.86
2019-02-04,109.45
2019-02-05,109.99
2019-02-06,109.95
2019-02-07,110
2019-02-08,109.77
2019-02-12,110.4
2019-02-13,110.52
2019-02-14,110.93
2019-02-15,110.54
2019-02-18,110.57
2019-02-19,110.6
2019-02-20,110.58
2019-02-21,110.76
2019-02-22,110.71
2019-02-25,110.78
2019-02-26,111.05
2019-02-27,110.55
2019-02-28,110.88
2019-03-01,111.36
2019-03-04,111.93
2019-03-05,111.79
2019-03-06,111.87
2019-03-07,111.62
2019-03-08,111.65
2019-03-11,111.08
2019-03-12,111.33
2019-03-13,111.32
2019-03-14,111.21
2019-03-15,111.76
2019-03-18,111.56
2019-03-19,111.39
2019-03-20,111.42
2019-03-22,110.82
2019-03-25,110.11
2019-03-26,110.06
2019-03-27,110.57
2019-03-28,110.51
2019-03-29,110.64
2019-04-01,110.99
2019-04-02,111.45
2019-04-03,111.32
2019-04-04,111.39
2019-04-05,111.66
2019-04-08,111.72
2019-04-09,111.45
2019-04-10,111.09
2019-04-11,111
2019-04-12,111.66
2019-04-15,112.04
2019-04-16,111.95
2019-04-17,111.99
2019-04-18,112.04
2019-04-19,111.99
2019-04-22,111.92
2019-04-23,111.94
2019-04-24,111.88
2019-04-25,112.13
2019-04-26,111.55
2019-05-07,110.81
2019-05-08,110.27
2019-05-09,110.03
2019-05-10,109.83
2019-05-13,109.65
2019-05-14,109.16
2019-05-15,109.68
2019-05-16,109.47
2019-05-17,109.88
2019-05-20,110.18
2019-05-21,110.09
2019-05-22,110.57
2019-05-23,110.23
2019-05-24,109.56
2019-05-27,109.4
2019-05-28,109.52
2019-05-29,109.36
2019-05-30,109.57
2019-05-31,109.34
2019-06-03,108.22
2019-06-04,108.04
2019-06-05,108.26
2019-06-06,108.33
2019-06-07,108.46
2019-06-10,108.44
2019-06-11,108.37
2019-06-12,108.49
2019-06-13,108.49
2019-06-14,108.33
2019-06-17,108.58
2019-06-18,108.55
2019-06-19,108.58
2019-06-20,108.11
2019-06-21,107.31
2019-06-24,107.31
2019-06-25,107.34
2019-06-26,107.18
2019-06-27,107.75
2019-06-28,107.76
2019-07-01,108.38
2019-07-02,108.38
2019-07-03,107.84
2019-07-04,107.78
2019-07-05,107.83
2019-07-08,108.49
2019-07-09,108.74
2019-07-10,108.93
2019-07-11,108.34
2019-07-12,108.61
2019-07-16,107.91
2019-07-17,108.2
2019-07-18,107.94
2019-07-19,107.41
2019-07-22,107.83
2019-07-23,107.9
2019-07-24,108.24
2019-07-25,108.2
2019-07-26,108.68
2019-07-29,108.64
2019-07-30,108.86
2019-07-31,108.56
2019-08-01,108.83
2019-08-02,107.45
2019-08-05,106.57
2019-08-06,105.62
2019-08-07,106.33
2019-08-08,106.11
2019-08-09,105.89
2019-08-13,105.38
2019-08-14,106.61
2019-08-15,105.92
2019-08-16,106.1
2019-08-19,106.43
2019-08-20,106.57
2019-08-21,106.28
2019-08-22,106.6
2019-08-23,106.47
2019-08-26,104.85
2019-08-27,105.97
2019-08-28,105.75
2019-08-29,106.09
2019-08-30,106.46
2019-09-02,106.14
2019-09-03,106.2
2019-09-04,105.86
2019-09-05,106.35
2019-09-06,107.07
2019-09-09,106.95
2019-09-10,107.33
2019-09-11,107.6
2019-09-12,108.02
2019-09-13,108.18
2019-09-17,108.15
2019-09-18,108.11
2019-09-19,108.44
2019-09-20,108.07
2019-09-24,107.61
2019-09-25,107.18
2019-09-26,107.71
2019-09-27,107.75
2019-09-30,107.95
2019-10-01,108.06
2019-10-02,107.75
2019-10-03,107.17
2019-10-04,106.83
2019-10-07,106.77
2019-10-08,107.26
2019-10-09,106.95
2019-10-10,107.23
2019-10-11,107.88
2019-10-15,108.39
2019-10-16,108.81
2019-10-17,108.68
2019-10-18,108.6
2019-10-21,108.41
2019-10-23,108.49
2019-10-24,108.64
2019-10-25,108.61
2019-10-28,108.75
2019-10-29,108.98
2019-10-30,108.88
2019-10-31,108.8
2019-11-01,108.01
2019-11-05,108.71
2019-11-06,109.15
2019-11-07,108.92
2019-11-08,109.28
2019-11-11,109.2
2019-11-12,109.05
2019-11-13,109
2019-11-14,108.8
2019-11-15,108.5
2019-11-18,108.71
2019-11-19,108.68
2019-11-20,108.48
2019-11-21,108.48
2019-11-22,108.58
2019-11-25,108.73
2019-11-26,109
2019-11-27,109.1
2019-11-28,109.38
2019-11-29,109.52
2019-12-02,109.54
2019-12-03,109.02
2019-12-04,108.68
2019-12-05,108.84
2019-12-06,108.73
2019-12-09,108.64
2019-12-10,108.59
2019-12-11,108.78
2019-12-12,108.56
2019-12-13,109.4
2019-12-16,109.39
2019-12-17,109.58
2019-12-18,109.53
2019-12-19,109.55
2019-12-20,109.39
2019-12-23,109.5
2019-12-24,109.4
2019-12-25,109.38
2019-12-26,109.38
2019-12-27,109.53
2019-12-30,109.44
2020-01-06,107.98
2020-01-07,108.42
2020-01-08,108.01
2020-01-09,109.04
2020-01-10,109.5
2020-01-14,110.02
2020-01-15,109.86
2020-01-16,109.88
2020-01-17,110.18
2020-01-20,110.19
2020-01-21,110.18
2020-01-22,109.92
2020-01-23,109.74
2020-01-24,109.57
2020-01-27,108.8
2020-01-28,108.94
2020-01-29,109.14
2020-01-30,109
2020-01-31,108.9
2020-02-03,108.39
2020-02-04,108.63
2020-02-05,109.45
2020-02-06,109.82
2020-02-07,109.97
2020-02-10,109.63
2020-02-12,109.85
2020-02-13,109.87
2020-02-14,109.78
2020-02-17,109.79
2020-02-18,109.84
2020-02-19,109.92
2020-02-20,111.21
2020-02-21,111.97
2020-02-25,110.85
2020-02-26,110.3
2020-02-27,110.39
2020-02-28,109.63
2020-03-02,107.69
2020-03-03,108.52
2020-03-04,107.07
2020-03-05,107.72
2020-03-06,106.27
2020-03-09,103.95
2020-03-10,103.09
2020-03-11,105.03
2020-03-12,104.54
2020-03-13,104.67
2020-03-16,106.49
2020-03-17,106.23
2020-03-18,107.38
2020-03-19,108.37
