date,STRDCLUCV
2018-10-01,52602
2018-10-02,56771
2018-10-03,54025
2018-10-04,53425
2018-10-05,51314
2018-10-09,47721
2018-10-10,53408
2018-10-11,57413
2018-10-12,58260
2018-10-15,64736
2018-10-16,60237
2018-10-17,59083
2018-10-18,58072
2018-10-19,60137
2018-10-22,52211
2018-10-23,56654
2018-10-24,66479
2018-10-25,54057
2018-10-26,55911
2018-10-29,50344
2018-10-30,49212
2018-10-31,34528
2018-11-01,54064
2018-11-02,56623
2018-11-05,42029
2018-11-06,42547
2018-11-07,42017
2018-11-08,43118
2018-11-09,43044
2018-11-12,46298
2018-11-13,45891
2018-11-14,42283
2018-11-15,61953
2018-11-16,58222
2018-11-19,45406
2018-11-20,42987
2018-11-21,49596
2018-11-22,55902
2018-11-26,47796
2018-11-27,52404
2018-11-28,47078
2018-11-29,49033
2018-11-30,38691
2018-12-03,37124
2018-12-04,42961
2018-12-05,46904
2018-12-06,52096
2018-12-07,47090
2018-12-10,52689
2018-12-11,58952
2018-12-12,58476
2018-12-13,54209
2018-12-14,45535
2018-12-17,44649
2018-12-18,41360
2018-12-19,42418
2018-12-20,42463
2018-12-21,39807
2018-12-25,36021
2018-12-26,34855
2018-12-27,36714
2018-12-28,18986
2019-01-04,40732
2019-01-07,49562
2019-01-08,47117
2019-01-09,51161
2019-01-10,51165
2019-01-11,47123
2019-01-15,53894
2019-01-16,44977
2019-01-17,55429
2019-01-18,49898
2019-01-21,47411
2019-01-22,47988
2019-01-23,50601
2019-01-24,49026
2019-01-25,47592
2019-01-28,44413
2019-01-29,45718
2019-01-30,46349
2019-01-31,35115
2019-02-01,56157
2019-02-04,46350
2019-02-05,60987
2019-02-06,61217
2019-02-07,55503
2019-02-08,58183
2019-02-12,48747
2019-02-13,56773
2019-02-14,51985
2019-02-15,50427
2019-02-18,53741
2019-02-19,56725
2019-02-20,54549
2019-02-21,60677
2019-02-22,59120
2019-02-25,56743
2019-02-26,53823
2019-02-27,54327
2019-02-28,48119
2019-03-01,72083
2019-03-04,61649
2019-03-05,59230
2019-03-06,60970
2019-03-07,62419
2019-03-08,61618
2019-03-11,55203
2019-03-12,58120
2019-03-13,59534
2019-03-14,58262
2019-03-15,56293
2019-03-18,67563
2019-03-19,57033
2019-03-20,68202
2019-03-22,66125
2019-03-25,58158
2019-03-26,65800
2019-03-27,64758
2019-03-28,61361
2019-03-29,28623
2019-04-01,46979
2019-04-02,49385
2019-04-03,50349
2019-04-04,44375
2019-04-05,52104
2019-04-08,45913
2019-04-09,46368
2019-04-10,50718
2019-04-11,49163
2019-04-12,44985
2019-04-15,40889
2019-04-16,34326
2019-04-17,32964
2019-04-18,40676
2019-04-19,49945
2019-04-22,41323
2019-04-23,36980
2019-04-24,35191
2019-04-25,33421
2019-04-26,35615
2019-05-07,43927
2019-05-08,50303
2019-05-09,51100
2019-05-10,47055
2019-05-13,46647
2019-05-14,46433
2019-05-15,48658
2019-05-16,53685
2019-05-17,48130
2019-05-20,44806
2019-05-21,48318
2019-05-22,50543
2019-05-23,53902
2019-05-24,51068
2019-05-27,53656
2019-05-28,51604
2019-05-29,51061
2019-05-30,54687
2019-05-31,49601
2019-06-03,46279
2019-06-04,49716
