date,total_assets,jgb_holdings,boj_loans,foreign_currency_assets,gold,banknotes,current_deposits,other_deposits,government_account,repos_payable,loan_support_program,pooled_collateral_loans,etf,corporate_bonds
2023-12-31,7499632.54,5922695.52,998781,97280.28,4412.53,1246080.45,5436785.36,446397.22,169089.13,41782.84,730665,237527,371861.78,60415.85
2024-01-10,7490181.27,5917625.93,994591,97551.72,4412.53,1234817.19,5429866.43,411195.99,219371.97,35177.4,730665,233337,371861.78,60349.84
2024-01-20,7503753.84,5929468.12,994591,97794.18,4412.53,1222013.02,5362402.16,422401.31,304060.92,32578.05,730665,233337,371861.78,60152.63
2024-01-31,7564336.32,5968971.68,1013629,98623.3,4412.53,1216362.28,5436877.78,427408.22,286550.45,36238.82,730665,252375,371861.78,60654.1
2024-02-10,7600208.66,5976775.19,1012649,98579.2,4412.53,1211942.51,5353604.45,420677.35,419540.65,33425.48,730665,251395,371861.78,60601.75
2024-02-20,7582774.89,5986386.44,1012359,99100.29,4412.53,1211526.99,5360238.77,430307.08,384017.71,34959.04,730359,251395,371861.78,60512.03
2024-02-29,7604307.27,6007696.21,1011994,99458.11,4412.53,1212928.09,5385287.78,419445.2,387430.28,36727.9,730359,251045,371861.78,61097.62
2024-03-10,7590609.96,5995788.52,1011335,100058.75,4412.53,1211059.39,5301836.51,394226.03,490598.88,29792.91,730359,252265,371861.78,60774.58
2024-03-20,7711128.84,6017991.71,1079079,99934.37,4412.53,1209580.37,5434709.36,359833.92,500807.96,42568.88,782979,267389,371861.78,59905.77
2024-03-31,7556780.08,5896634.78,1079079,100566.51,4412.53,1208798.66,5611820.06,378433.58,157103.28,42585.92,782979,267389,371861.78,60727.5
2024-04-10,7543773.86,5899266.37,1063615,100961.98,4412.53,1204878.52,5583640.08,336494.32,211477.65,48248.21,782979,251925,371861.78,60727.5
2024-04-20,7570882.96,5926144.06,1062631,101213.53,4412.53,1206010.85,5710424.62,331951.75,20320.44,142624.57,782979,250940,371861.78,59263.44
2024-04-30,7583199.28,5937579.12,1062630,102109.92,4412.53,1211914.53,5703371.18,345842.97,25202.24,136562.98,782979,250940,371861.78,59049.8
2024-05-10,7576961.4,5933894.62,1062120,102611.31,4412.53,1204804.08,5534281.6,341797.81,144932.27,190357.41,782979,250430,371861.78,59031.8
2024-05-20,7600069.48,5955356.81,1062570,102588.84,4412.53,1198302.33,5517112,347812.38,71434.6,304603.71,782979,250880,371861.78,59007.79
2024-05-31,7610851.16,5967126.14,1062769,102862.49,4412.53,1194694.75,5515243.94,354600.74,113322.73,298790.29,782979,251079,371861.78,59001.8
2024-06-10,7617816.74,5975681.03,1061134,104375.6,4412.53,1190803.77,5391040.53,363791.14,229468.09,306984.22,782979,251079,371861.78,58797.63
2024-06-20,7525095.28,5872801.81,1069648,104940.34,4412.53,1188837.09,5570858.4,378038.59,82032.28,161823.48,790646,251926,371861.78,57978.92
2024-06-30,7536709.69,5884969.4,1069647,105182.87,4412.53,1189098.03,5517714.46,429174.28,75330.35,181659.68,790646,251925,371861.78,58235.51
2024-07-10,7538682.85,5887990.21,1069648,105949.97,4412.53,1205870.22,5443758.69,393656.9,47503.33,303231.91,790646,251925,371861.78,57858.2
2024-07-20,7600332.07,5910450.86,1107610,105913.46,4412.53,1199631.56,5441890.62,385507.25,112861.11,315622.64,790646,289888,371861.78,57190.94
2024-07-31,7617141.81,5927967.45,1107612,104912.52,4412.53,1199336.91,5484748.7,389992.82,79461.44,320310.9,790646,289890,371861.78,57043.81
2024-08-10,7619789.08,5933202.48,1107609,104238.09,4412.53,1198768.96,5420830.9,383995.53,132366.41,341276.57,790646,289887,371861.78,56948.75
2024-08-20,7624974.69,5940027.41,1107507,103506.79,4412.53,1196288.49,5496415.91,394425.14,46287.72,340033.25,790646,289785,371861.78,56912.64
2024-08-31,7648115.53,5961587.09,1107509,103310.09,4412.53,1197292.37,5504335.83,400733.25,45263.67,348696.97,790646,289787,371861.78,57157.96
2024-09-10,7645034.93,5961324.47,1105999,103485.34,4412.53,1194274.9,5442696.42,412693.15,49506.2,393744.4,790646,289785,371861.78,56055.33
2024-09-20,7522011.74,5847712.06,1099167,103060.7,4412.53,1194114.6,5479816.9,426075.37,25493.54,236736.71,783814,289787,371861.78,55354.72
2024-09-30,7528468.74,5854538.28,1099167,103052,4412.53,1193371.75,5494207.28,438806.4,36023.33,212888.18,783814,289787,371861.78,55000.43
2024-10-10,7539358.24,5865595.05,1099167,103821.6,4412.53,1193123.64,5408826.74,435083.88,80328.79,261405.87,783814,289787,371861.78,54696.88
2024-10-20,7547795.89,5874039.01,1099167,104677.43,4412.53,1193445.8,5476987.14,443428.1,22679.97,249585.32,783814,289787,371861.78,54427.7
2024-10-31,7568635.77,5893327.8,1099168,105769.86,4412.53,1196560.19,5483546.23,469877.47,32115.83,224968.8,783814,289788,371861.78,53521.15
2024-11-10,7563343.75,5888780.16,1099168,106318.58,4412.53,1195752.45,5463129.23,468734.92,67642.82,205891.54,783814,289788,371861.78,53511.15
2024-11-20,7582315.33,5908034.75,1099133,106959.41,4412.53,1195266.32,5444736.54,481994.96,41589.71,256487.25,783814,289751,371861.78,53511.15
2024-11-30,7599596.12,5925952.37,1099130,106989.75,4412.53,1200394.61,5431268.28,505271.54,48468.93,252092.33,783814,289750,371861.78,53410.98
2024-12-10,7599571.17,5928818.15,1097594.01,106650.79,4412.53,1209302.38,5278357.35,520030.49,91995.95,338133.91,783814,289750,371861.78,52697.55
2024-12-20,7463064.1,5806255.91,1085246,107203.95,4412.53,1228091.91,5336827.44,540916.39,41741.2,146717.89,771475,289753,371861.78,51444.42
2024-12-31,7479920.66,5823627.07,1085243,108269.27,4412.53,1240778.93,5315098.99,579377.34,63023.62,112023.65,771475,289750,371861.78,50956.99
2025-01-10,7433609.1,5826982.34,1035203,108731.72,4412.53,1225970.25,5240333.67,542335.28,80704.61,174166.69,771475,239710,371861.78,50956.99
2025-01-20,7400224.12,5835158.35,994023,108811.26,4412.53,1214311.65,5189282.89,523569.23,33943.23,269929.24,771475,198530,371861.78,50717.99
2025-01-31,7443455.63,5855453.05,1016462,108678.23,4412.53,1203151.87,5284411.51,478496.81,31562,276867.31,771475,220969,371861.78,49970.07
2025-02-10,7451875.96,5864392.99,1016463,108378.86,4412.53,1197306.52,5194396.36,454317.68,113511.71,323737.22,771475,220970,371861.78,49703.79
2025-02-20,7466689.63,5879840.55,1016120.01,108454.55,4412.53,1193851.77,5307094.71,424671.58,34830.31,338318.87,771475,220626,371861.78,49674.76
2025-02-28,7470520.68,5885077.17,1016119,108107.9,4412.53,1193680.24,5312461.59,426055.02,24297.19,346200.25,771475,220626,371861.78,49312.11
2025-03-10,7452312.88,5875144.85,1009404,107929.65,4412.53,1189858.19,5202673.53,434933.05,93489.19,363423,771475,220622,371861.78,49041.72
2025-03-20,7427618.92,5892160.5,968126,107959.72,4412.53,1187581.65,5152965.42,437016.03,114210.59,367544.91,730190,220629,371861.78,48668.73
2025-03-31,7292385.97,5759308.83,968126,108273.05,4412.53,1186685.95,5304326.37,470174.36,39380.57,128331.12,730190,220629,371861.78,48537.17
2025-04-10,7289542.79,5756911.97,968119,108297.81,4412.53,1181580.32,5282986.72,448996.49,21833.8,190965.04,730190,220622,371861.78,48537.17
2025-04-20,7297680.36,5766029.19,968118,107782.02,4412.53,1179744.57,5380405.94,419537.08,30783.81,124344.04,730190,220621,371861.78,48297.16
2025-04-30,7312029.36,5782800.11,968117,107052.91,4412.53,1185939.98,5431559.22,404764.2,25722.56,102046.21,730190,220620,371861.78,46042.01
2025-05-10,7304040.53,5774461.16,968117,107525.15,4412.53,1181660.4,5341639.55,412363.61,54485.33,151477.45,730190,220620,371861.78,46042.01
2025-05-20,7320173.35,5790345.24,967938,108108.4,4412.53,1174745.48,5315369.12,427520.45,36800.02,204496.22,730190,220441,371861.78,46042.01
2025-05-31,7336035.15,5807331.65,967938,107993.13,4412.53,1172896.15,5322552.07,427854.4,66544.99,206875.98,730190,220441,371861.78,45490.87
2025-06-10,7331735.65,5808955.18,965856,107601,4412.53,1169655.95,5209628.72,412874.08,110674.02,289967.87,730190,220441,371861.78,44464.8
2025-06-20,7161139.02,5661068.67,945696,108092.91,4412.53,1169423.84,5299017.56,435177.18,18797.21,93590.54,710030,220441,371861.78,41949.64
2025-06-30,7174942.74,5675116.56,945700,108325.66,4412.53,1172196.48,5291143.78,456551.85,21301.71,88559.44,710030,220445,371861.78,41384.54
2025-07-10,7160527.41,5661657.11,945697,108226.04,4412.53,1172112.25,5210167.2,424612.68,59280.65,149373.53,710030,220442,371861.78,40906.43
2025-07-20,7198795.37,5672237.79,974930,108790.84,4412.53,1171348,5216122.88,426317.72,33485.64,205991.03,710030,249675,371861.78,38829.66
2025-07-31,7214098.11,5688986.81,974933,109052.98,4412.53,1172415.79,5244375.36,434113.84,90985.82,128714.35,710030,249678,371861.78,37718.01
2025-08-10,7214879.47,5689316.06,974929,109613.59,4412.53,1173255.93,5186182.2,427465.15,36790.56,247375.29,710030,249674,371861.78,37655.99
2025-08-20,7222590.15,5697798.26,974781,109392.24,4412.53,1172937.36,5221812,438330.25,46274.39,190087.53,710030,249525,371861.78,37460.88
2025-08-31,7240302.75,5716487.92,974780,109699.51,4412.53,1173184.32,5236394.5,451398.99,31083.08,194240.41,710030,249525,371861.78,36944.41
2025-09-10,7234180.33,5713075.55,972352,110004.24,4412.53,1169882.48,5134775,448884.83,79316.91,247188.96,710030,249531,371861.78,36409.16
2025-09-20,7107017.61,5721479.5,838089,110312.4,4412.53,1168645.31,4985237.15,449637.74,19721.69,328664.24,575775,249523,371861.78,35362.39
2025-09-30,6952129.29,5567576.19,838089,110435.53,4412.53,1166246.35,5020768.43,475810.64,24006.16,108521.75,575775,249523,371861.78,34921.56
