date,tenor,offered_100m,competitive_bids,accepted,bid_to_cover,highest_accepted_yield
2025-01-29,gx5y,3500.0,11164.0,3498.0,3.192,0.888
2025-01-31,2y,26000.0,79762.0,19644.0,4.06,0.727
2025-02-04,10y,26000.0,62447.0,19632.0,3.181,1.26
2025-02-06,30y,9000.0,25286.0,6757.0,3.742,2.29
2025-02-14,5y,23000.0,61103.0,17377.0,3.516,0.982
2025-02-18,20y,10000.0,23312.0,7629.0,3.056,2.028
2025-02-27,2y,26000.0,63192.0,19974.0,3.164,0.826
2025-03-04,10y,26000.0,52675.0,19828.0,2.657,1.404
2025-03-06,30y,9000.0,23651.0,6758.0,3.5,2.5
2025-03-10,5y,23000.0,55439.0,17512.0,3.166,1.157
2025-03-12,20y,10000.0,25959.0,7504.0,3.459,2.278
2025-03-27,40y,7000.0,20436.0,6998.0,2.92,2.71
2025-03-31,2y,26000.0,67447.0,19788.0,3.408,0.863
2025-04-03,10y,26000.0,61886.0,19662.0,3.147,1.405
2025-04-08,30y,8000.0,17767.0,6006.0,2.958,2.414
2025-04-10,5y,24000.0,70095.0,18274.0,3.836,0.938
2025-04-15,20y,10000.0,22256.0,7509.0,2.964,2.349
2025-04-24,2y,26000.0,70349.0,19650.0,3.58,0.691
2025-05-08,10y,26000.0,49896.0,19613.0,2.544,1.274
2025-05-13,30y,8000.0,18591.0,6048.0,3.074,2.941
2025-05-15,5y,24000.0,58535.0,18353.0,3.189,0.98
2025-05-20,20y,10000.0,18778.0,7509.0,2.501,2.453
2025-05-28,40y,5000.0,11066.0,4999.0,2.214,3.135
2025-05-30,2y,26000.0,74889.0,19869.0,3.769,0.752
2025-06-03,10y,26000.0,71866.0,19621.0,3.663,1.512
2025-06-05,30y,8000.0,17669.0,6048.0,2.921,2.904
2025-06-19,5y,24000.0,83567.0,18253.0,4.578,0.982
2025-06-24,20y,10000.0,23570.0,7586.0,3.107,2.364
2025-06-26,2y,26000.0,77167.0,19772.0,3.903,0.729
2025-07-01,10y,26000.0,69354.0,19776.0,3.507,1.442
2025-07-03,30y,7000.0,18947.0,5293.0,3.58,2.808
2025-07-08,5y,24000.0,64635.0,18253.0,3.541,0.989
2025-07-10,20y,8000.0,18890.0,6004.0,3.146,2.482
2025-07-15,gx5y,3000.0,11936.0,2998.0,3.981,1.098
2025-07-23,40y,4000.0,8505.0,3998.0,2.127,3.375
2025-07-29,2y,26000.0,88343.0,19779.0,4.467,0.841
2025-08-05,10y,26000.0,61408.0,20073.0,3.059,1.462
2025-08-07,30y,7000.0,18325.0,5343.0,3.43,3.089
2025-08-13,5y,24000.0,54555.0,18421.0,2.962,1.056
2025-08-19,20y,8000.0,18700.0,6061.0,3.085,2.581
2025-08-28,2y,26000.0,57943.0,20396.0,2.841,0.863
2025-09-02,10y,26000.0,79118.0,20206.0,3.916,1.612
2025-09-04,30y,7000.0,17552.0,5306.0,3.308,3.264
2025-09-10,5y,24000.0,70060.0,18955.0,3.696,1.119
2025-09-17,20y,8000.0,24580.0,6149.0,3.997,2.654
2025-09-25,40y,4000.0,10402.0,3994.0,2.604,3.3
2025-09-30,2y,27000.0,59344.0,21089.0,2.814,0.949
2025-10-02,10y,26000.0,67043.0,20099.0,3.336,1.635
2025-10-07,30y,7000.0,18310.0,5368.0,3.411,3.248
2025-10-09,5y,24000.0,69214.0,18734.0,3.695,1.233
2025-10-15,20y,8000.0,21370.0,6003.0,3.56,2.674
2025-10-21,gx10y,3000.0,10675.0,2998.0,3.561,1.68
2025-10-31,2y,27000.0,91698.0,21076.0,4.351,0.932
2025-11-05,10y,26000.0,61387.0,20645.0,2.973,1.658
2025-11-11,30y,7000.0,16430.0,5258.0,3.125,3.166
2025-11-13,5y,24000.0,62305.0,18734.0,3.326,1.245
2025-11-19,20y,8000.0,19718.0,6007.0,3.283,2.809
2025-11-26,40y,4000.0,10330.0,3996.0,2.585,3.555
2025-11-28,2y,27000.0,74649.0,21141.0,3.531,0.993
