date,NZDM:bond_tail_bp
2022-09-22,1.7
2022-09-29,3.3
2022-10-06,1.8
2022-10-13,1.4
2022-10-20,2.5
2022-10-27,1.5
2022-11-03,10.1
2022-11-10,0.7
2022-11-24,8.1
2022-12-01,5.5
2022-12-08,2.6
2022-12-15,3.4
2023-01-19,1.5
2023-01-26,3.4
2023-02-02,1.4
2023-02-09,5.3
2023-02-16,2.5
2023-02-23,3.3
2023-03-02,3.6
2023-03-16,4.6
2023-03-23,1.6
2023-03-30,6.6
2023-04-06,1.8
2023-04-13,1.6
2023-04-20,1.4
2023-04-27,1.2
2023-05-04,2.5
2023-05-11,0.9
2023-05-19,3.8
2023-05-25,1.5
2023-06-01,2.0
2023-06-08,1.8
2023-06-15,1.4
2023-06-22,1.0
2023-06-29,1.3
2023-07-13,1.2
2023-07-20,1.5
2023-07-27,1.0
2023-08-03,2.2
2023-08-10,1.5
2023-08-17,2.1
2023-08-24,3.2
2023-08-31,2.1
2023-09-07,1.1
2023-09-14,1.5
2023-09-21,1.0
2023-09-28,1.4
2023-10-05,2.9
2023-10-12,0.9
2023-10-20,1.1
2023-10-26,1.1
2023-11-02,1.2
2023-11-09,0.9
2023-11-16,2.0
2023-11-23,0.6
2023-11-30,1.7
2023-12-07,3.4
2023-12-14,2.1
2024-01-18,1.8
2024-01-25,1.8
2024-02-01,3.0
2024-02-08,1.0
2024-02-15,0.7
2024-02-29,1.5
2024-03-07,1.5
2024-03-14,1.4
2024-03-21,1.8
2024-03-28,0.7
2024-04-11,2.2
2024-04-18,1.5
2024-04-24,0.6
2024-05-02,0.9
2024-05-09,1.1
2024-05-16,2.2
2024-05-23,2.5
2024-05-31,0.6
2024-06-13,1.3
2024-06-20,2.0
2024-06-27,1.3
2024-07-04,5.7
2024-07-11,0.7
2024-07-18,0.8
2024-07-25,1.5
2024-08-01,0.6
2024-08-08,2.1
2024-08-15,2.4
2024-08-29,2.0
2024-09-05,1.7
2024-09-12,1.0
2024-09-19,1.3
2024-09-26,2.0
2024-10-03,2.9
2024-10-10,2.6
2024-10-17,0.8
2024-10-31,1.6
2024-11-07,1.6
2024-11-14,1.0
2024-11-21,2.6
2024-11-28,0.7
2024-12-05,2.9
2024-12-12,2.4
2025-01-16,1.4
2025-01-23,1.1
2025-01-30,0.9
2025-02-05,0.4
2025-02-20,0.5
2025-02-27,2.1
2025-03-06,1.9
2025-03-13,0.4
2025-03-20,0.5
2025-03-27,1.2
2025-04-10,1.7
2025-04-17,1.2
2025-04-24,0.9
2025-05-01,0.8
2025-05-08,2.0
2025-05-15,0.6
2025-05-23,1.1
2025-05-29,1.1
2025-06-05,1.0
2025-06-12,0.8
2025-06-19,0.6
2025-06-26,0.8
2025-07-10,0.8
2025-07-17,1.1
2025-07-24,1.2
2025-07-31,0.9
2025-08-07,0.9
2025-08-14,0.5
2025-08-21,1.4
2025-08-28,0.4
2025-09-04,0.6
2025-09-18,1.2
2025-09-25,0.3
2025-10-02,1.1
2025-10-09,0.6
2025-10-16,0.7
2025-10-23,0.7
2025-10-30,0.7
2025-11-06,1.0
2025-11-13,1.0
2025-11-27,0.7
2025-12-04,0.7
2025-12-11,1.0
2026-01-15,0.6
2026-01-22,0.7
2026-01-29,1.4
2026-02-05,0.7
2026-02-12,0.8
2026-02-19,1.2
2026-02-26,0.7
2026-03-05,1.0
2026-03-12,0.6
2026-03-19,1.0
2026-03-26,1.2
2026-04-02,1.4
2026-04-09,1.2
2026-04-16,0.8
2026-04-23,1.2
2026-04-30,1.1
2026-05-07,1.0
2026-05-14,0.5
2026-05-21,0.7
2026-05-29,1.0
2026-06-04,0.5
2026-06-11,0.6
2026-06-18,0.5
2026-06-25,0.6
2026-07-02,0.7
2026-07-09,0.5
2026-07-23,0.6
2026-07-30,0.8
2026-08-06,1.0
2026-08-13,0.9
2026-08-20,0.5
2026-08-27,0.6
2026-09-03,0.8
2026-09-10,1.0
