date,NZDM:bond_coverage
2025-01-16,3.334
2025-01-23,3.52
2025-01-30,3.448
2025-02-05,4.696
2025-02-20,4.97
2025-02-27,3.396
2025-03-06,3.536
2025-03-13,4.974
2025-03-20,4.146
2025-03-27,2.87
2025-04-10,3.228
2025-04-17,3.562
2025-04-24,3.85
2025-05-01,3.429
2025-05-08,3.764
2025-05-15,4.658
2025-05-23,3.069
2025-05-29,3.404
2025-06-05,3.929
2025-06-12,3.82
2025-06-19,3.589
2025-06-26,4.173
2025-07-10,3.022
2025-07-17,3.298
2025-07-24,3.427
2025-07-31,4.44
2025-08-07,4.573
2025-08-14,3.949
2025-08-21,3.582
2025-08-28,5.322
2025-09-04,3.673
2025-09-18,3.318
2025-09-25,4.536
2025-10-02,3.749
2025-10-09,4.329
2025-10-16,4.2
2025-10-23,3.949
2025-10-30,4.833
2025-11-06,3.842
2025-11-13,3.722
2025-11-27,4.66
2025-12-04,3.762
2025-12-11,4.087
2026-01-15,4.96
2026-01-22,4.027
2026-01-29,4.107
2026-02-05,3.998
2026-02-12,3.967
2026-02-19,3.929
2026-02-26,4.804
2026-03-05,4.356
2026-03-12,4.093
2026-03-19,3.111
2026-03-26,3.598
2026-04-02,3.031
2026-04-09,2.864
2026-04-16,4.638
2026-04-23,3.68
2026-04-30,3.54
2026-05-07,4.211
2026-05-14,3.967
2026-05-21,2.458
2026-05-29,3.087
2026-06-04,5.013
2026-06-11,5.244
2026-06-18,3.511
2026-06-25,3.476
2026-07-02,4.371
2026-07-09,4.258
2026-07-23,3.751
2026-07-30,4.247
2026-08-06,5.258
2026-08-13,3.82
2026-08-20,4.758
2026-08-27,3.964
2026-09-03,4.182
2026-09-10,3.198
