date,NZDM:bond_offered
2021-07-29,500.0
2021-08-05,500.0
2021-08-12,500.0
2021-08-19,500.0
2021-08-26,500.0
2021-09-02,500.0
2021-09-09,500.0
2021-09-23,500.0
2021-09-30,500.0
2021-10-07,500.0
2021-10-14,500.0
2021-10-21,500.0
2021-10-28,500.0
2021-11-04,500.0
2021-11-11,500.0
2021-11-16,500.0
2021-11-25,500.0
2021-12-02,500.0
2021-12-09,500.0
2021-12-16,500.0
2022-01-20,200.0
2022-01-27,200.0
2022-02-03,200.0
2022-02-10,200.0
2022-02-17,200.0
2022-02-24,200.0
2022-03-03,200.0
2022-03-10,200.0
2022-03-17,200.0
2022-03-24,200.0
2022-03-31,200.0
2022-04-07,200.0
2022-04-21,200.0
2022-04-28,200.0
2022-05-05,200.0
2022-05-12,200.0
2022-05-20,200.0
2022-05-26,200.0
2022-06-02,200.0
2022-06-09,200.0
2022-06-16,200.0
2022-06-23,200.0
2022-06-30,200.0
2022-07-07,400.0
2022-07-14,400.0
2022-07-21,400.0
2022-07-28,400.0
2022-08-04,400.0
2022-08-11,400.0
2022-08-18,400.0
2022-09-01,400.0
2022-09-08,400.0
2022-09-15,400.0
2022-09-22,400.0
2022-09-29,400.0
2022-10-06,400.0
2022-10-13,400.0
2022-10-20,400.0
2022-10-27,400.0
2022-11-03,400.0
2022-11-10,400.0
2022-11-24,400.0
2022-12-01,400.0
2022-12-08,400.0
2022-12-15,400.0
2023-01-19,400.0
2023-01-26,400.0
2023-02-02,400.0
2023-02-09,400.0
2023-02-16,400.0
2023-02-23,400.0
2023-03-02,400.0
2023-03-16,400.0
2023-03-23,400.0
2023-03-30,400.0
2023-04-06,400.0
2023-04-13,400.0
2023-04-20,400.0
2023-04-27,400.0
2023-05-04,400.0
2023-05-11,400.0
2023-05-19,400.0
2023-05-25,400.0
2023-06-01,400.0
2023-06-08,400.0
2023-06-15,400.0
2023-06-22,400.0
2023-06-29,400.0
2023-07-13,500.0
2023-07-20,500.0
2023-07-27,500.0
2023-08-03,500.0
2023-08-10,500.0
2023-08-17,500.0
2023-08-24,500.0
2023-08-31,500.0
2023-09-07,500.0
2023-09-14,500.0
2023-09-21,500.0
2023-09-28,500.0
2023-10-05,500.0
2023-10-12,500.0
2023-10-20,500.0
2023-10-26,500.0
2023-11-02,500.0
2023-11-09,500.0
2023-11-16,500.0
2023-11-23,500.0
2023-11-30,500.0
2023-12-07,500.0
2023-12-14,500.0
2024-01-18,500.0
2024-01-25,500.0
2024-02-01,500.0
2024-02-08,500.0
2024-02-15,500.0
2024-02-29,500.0
2024-03-07,500.0
2024-03-14,500.0
2024-03-21,500.0
2024-03-28,500.0
2024-04-11,500.0
2024-04-18,500.0
2024-04-24,500.0
2024-05-02,500.0
2024-05-09,500.0
2024-05-16,500.0
2024-05-23,500.0
2024-05-31,500.0
2024-06-13,500.0
2024-06-20,500.0
2024-06-27,500.0
2024-07-04,500.0
2024-07-11,500.0
2024-07-18,500.0
2024-07-25,500.0
2024-08-01,500.0
2024-08-08,500.0
2024-08-15,500.0
2024-08-29,500.0
2024-09-05,500.0
2024-09-12,500.0
2024-09-19,500.0
2024-09-26,500.0
2024-10-03,500.0
2024-10-10,500.0
2024-10-17,500.0
2024-10-31,500.0
2024-11-07,500.0
2024-11-14,500.0
2024-11-21,500.0
2024-11-28,500.0
2024-12-05,500.0
2024-12-12,500.0
2025-01-16,500.0
2025-01-23,500.0
2025-01-30,500.0
2025-02-05,500.0
2025-02-20,500.0
2025-02-27,500.0
2025-03-06,500.0
2025-03-13,500.0
2025-03-20,500.0
2025-03-27,500.0
2025-04-10,500.0
2025-04-17,500.0
2025-04-24,500.0
2025-05-01,450.0
2025-05-08,450.0
2025-05-15,450.0
2025-05-23,450.0
2025-05-29,450.0
2025-06-05,450.0
2025-06-12,450.0
2025-06-19,450.0
2025-06-26,450.0
2025-07-10,450.0
2025-07-17,450.0
2025-07-24,450.0
2025-07-31,450.0
2025-08-07,450.0
2025-08-14,450.0
2025-08-21,450.0
2025-08-28,450.0
2025-09-04,450.0
2025-09-18,450.0
2025-09-25,450.0
2025-10-02,450.0
2025-10-09,450.0
2025-10-16,450.0
2025-10-23,450.0
2025-10-30,450.0
2025-11-06,450.0
2025-11-13,450.0
2025-11-27,450.0
2025-12-04,450.0
2025-12-11,450.0
2026-01-15,450.0
2026-01-22,450.0
2026-01-29,450.0
2026-02-05,450.0
2026-02-12,450.0
2026-02-19,450.0
2026-02-26,450.0
2026-03-05,450.0
2026-03-12,450.0
2026-03-19,450.0
2026-03-26,450.0
2026-04-02,450.0
2026-04-09,450.0
2026-04-16,450.0
2026-04-23,450.0
2026-04-30,450.0
2026-05-07,450.0
2026-05-14,450.0
2026-05-21,450.0
2026-05-29,450.0
2026-06-04,450.0
2026-06-11,450.0
2026-06-18,450.0
2026-06-25,450.0
2026-07-02,450.0
2026-07-09,450.0
2026-07-23,450.0
2026-07-30,450.0
2026-08-06,450.0
2026-08-13,450.0
2026-08-20,450.0
2026-08-27,450.0
2026-09-03,450.0
2026-09-10,450.0
