date,req_cum
2026-04-01,4128900.0
2026-04-02,4128900.0
2026-04-03,4128900.0
2026-04-06,4128900.0
2026-04-07,4143500.0
2026-04-08,4143500.0
2026-04-09,4143500.0
2026-04-10,4143500.0
2026-04-13,4143500.0
2026-04-14,4143500.0
2026-04-15,4143500.0
2026-04-16,4050100.0
2026-04-17,4050100.0
2026-04-20,4050100.0
2026-04-21,4050100.0
2026-04-22,4050100.0
2026-04-23,4050100.0
2026-04-24,4050100.0
2026-04-27,4050100.0
2026-04-28,4050100.0
2026-04-30,4050100.0
2026-05-01,4050100.0
2026-05-07,4050100.0
2026-05-08,4050100.0
2026-05-11,4070400.0
2026-05-12,4070400.0
2026-05-13,4070400.0
2026-05-14,4070400.0
2026-05-15,4070400.0
2026-05-18,4197500.0
2026-05-19,4197500.0
2026-05-20,4197500.0
2026-05-21,4197500.0
2026-05-22,4197500.0
2026-05-25,4197500.0
2026-05-26,4197500.0
2026-05-27,4197500.0
2026-05-28,4197500.0
2026-05-29,4197500.0
2026-06-01,4197500.0
2026-06-02,4197500.0
2026-06-03,4197500.0
2026-06-04,4197500.0
2026-06-05,4212200.0
2026-06-08,4212200.0
2026-06-09,4212200.0
2026-06-10,4212200.0
2026-06-11,4212200.0
2026-06-12,4211700.0
2026-06-15,4211700.0
2026-06-16,4080800.0
2026-06-17,4080800.0
2026-06-18,4080800.0
2026-06-19,4080800.0
2026-06-22,4080800.0
2026-06-23,4080800.0
2026-06-24,4080800.0
2026-06-25,4080800.0
2026-06-26,4080800.0
2026-06-29,4080800.0
2026-06-30,4080800.0
2026-07-01,4080800.0
2026-07-02,4080800.0
2026-07-03,4080800.0
2026-07-06,4080800.0
2026-07-07,4062000.0
2026-07-08,4062000.0
2026-07-09,4062000.0
2026-07-10,4062000.0
2026-07-13,4062000.0
2026-07-14,4062000.0
2026-07-15,4062000.0
2026-07-16,4195400.0
2026-07-17,4195400.0
2026-07-21,4195400.0
2026-07-22,4195400.0
2026-07-23,4195400.0
2026-07-24,4195400.0
2026-07-27,4195400.0
2026-07-28,4195400.0
2026-07-29,4195400.0
2026-07-30,4195400.0
2026-07-31,4195400.0
2026-08-03,4195400.0
2026-08-04,4195400.0
2026-08-05,4195400.0
2026-08-06,4195400.0
2026-08-07,4190300.0
2026-08-10,4190300.0
2026-08-12,4190300.0
2026-08-13,4190300.0
2026-08-14,4190300.0
2026-08-17,4169900.0
2026-08-18,4169900.0
2026-08-19,4169900.0
2026-08-20,4169900.0
2026-08-21,4169900.0
2026-08-24,4169900.0
2026-08-25,4169900.0
2026-08-26,4169900.0
2026-08-27,4169900.0
2026-08-28,4169900.0
2026-08-31,4169900.0
2026-09-01,4169900.0
2026-09-02,4169900.0
2026-09-03,4169900.0
2026-09-04,4169900.0
2026-09-07,4178800.0
2026-09-08,4178800.0
2026-09-09,4178800.0
2026-09-10,4178800.0
