date,net_issuance_private_daily
2021-04-08,0.0
2021-04-09,-26482.0
2021-04-12,12000.5
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,0.0
2021-04-16,0.0
2021-04-19,2000.2
2021-04-20,-15999.7
2021-04-21,-12252.0
2021-04-22,0.0
2021-04-23,0.0
2021-04-26,5999.8
2021-04-27,0.0
2021-04-28,0.0
2021-04-29,0.0
2021-04-30,0.0
2021-05-03,19991.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,-30141.0
2021-05-07,0.0
2021-05-10,6000.0
2021-05-11,0.0
2021-05-12,-27451.0
2021-05-13,0.0
2021-05-14,-8990.0
2021-05-17,2000.1
2021-05-18,-1999.0
2021-05-19,0.0
2021-05-20,-24100.6
2021-05-21,0.0
2021-05-24,-8187.6
2021-05-25,4000.3
2021-05-26,0.0
2021-05-27,0.0
2021-05-28,-6583.0
2021-05-31,3999.7
2021-06-01,-10924.0
2021-06-02,0.0
2021-06-03,0.0
2021-06-04,-25978.0
2021-06-07,4000.1
2021-06-08,0.0
2021-06-09,-9796.0
2021-06-10,4000.5
2021-06-11,0.0
2021-06-14,7000.1
2021-06-15,0.0
2021-06-16,4000.5
2021-06-17,0.0
2021-06-18,0.0
2021-06-21,153966.6
2021-06-22,0.0
2021-06-23,-25071.0
2021-06-24,0.0
2021-06-25,-12955.0
2021-06-28,7000.7
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,-9947.0
2021-07-02,-28472.0
2021-07-05,7000.1
2021-07-06,0.0
2021-07-07,-9834.0
2021-07-08,0.0
2021-07-09,-25092.0
2021-07-12,17999.4
2021-07-13,0.0
2021-07-14,-12662.0
2021-07-15,0.0
2021-07-16,0.0
2021-07-19,11999.4
2021-07-20,11512.0
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,0.0
2021-07-26,16000.0
2021-07-27,0.0
2021-07-28,-6432.0
2021-07-29,0.0
2021-07-30,0.0
2021-08-02,2898.3
2021-08-03,0.0
2021-08-04,-28189.0
2021-08-05,0.0
2021-08-06,-1996.0
2021-08-09,0.0
2021-08-10,15000.1
2021-08-11,0.0
2021-08-12,-9453.0
2021-08-13,0.0
2021-08-16,14999.6
2021-08-17,0.0
2021-08-18,0.0
2021-08-19,0.0
2021-08-20,0.0
2021-08-23,13000.1
2021-08-24,0.0
2021-08-25,-25605.3
2021-08-26,0.0
2021-08-27,-12819.0
2021-08-30,12999.7
2021-08-31,0.0
2021-09-01,-9954.0
2021-09-02,0.0
2021-09-03,-25973.0
2021-09-06,12999.8
2021-09-07,0.0
2021-09-08,-9701.0
2021-09-09,0.0
2021-09-10,-26836.1
2021-09-13,9999.7
2021-09-14,0.0
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,-11990.0
2021-09-20,157129.0
2021-09-21,14987.5
2021-09-22,0.0
2021-09-23,0.0
2021-09-24,0.0
2021-09-27,9999.4
2021-09-28,0.0
2021-09-29,-6465.0
2021-09-30,0.0
2021-10-01,-11002.0
2021-10-04,9999.7
2021-10-05,0.0
2021-10-06,-25969.0
2021-10-07,0.0
