date,trr_2w
2023-09-21,-0.209
2023-09-22,-0.274
2023-09-25,-0.234
2023-09-26,-0.252
2023-09-27,-0.278
2023-09-28,-0.263
2023-09-29,-0.156
2023-10-02,-0.154
2023-10-03,-0.163
2023-10-04,-0.162
2023-10-05,-0.161
2023-10-06,-0.164
2023-10-10,-0.161
2023-10-11,-0.168
2023-10-12,-0.175
2023-10-13,-0.166
2023-10-16,-0.161
2023-10-17,-0.161
2023-10-18,-0.162
2023-10-19,-0.157
2023-10-20,-0.152
2023-10-23,-0.151
2023-10-24,-0.152
2023-10-25,-0.157
2023-10-26,-0.157
2023-10-27,-0.155
2023-10-30,-0.167
2023-10-31,-0.169
2023-11-01,-0.163
2023-11-02,-0.164
2023-11-06,-0.168
2023-11-07,-0.168
2023-11-08,-0.168
2023-11-09,-0.159
2023-11-10,-0.158
2023-11-13,-0.157
2023-11-14,-0.157
2023-11-15,-0.175
2023-11-16,-0.17
2023-11-17,-0.169
2023-11-20,-0.161
2023-11-21,-0.162
2023-11-22,-0.157
2023-11-24,-0.147
2023-11-27,-0.142
2023-11-28,-0.143
2023-11-29,-0.143
2023-11-30,-0.136
2023-12-01,-0.136
2023-12-04,-0.134
2023-12-05,-0.131
2023-12-06,-0.131
2023-12-07,-0.126
2023-12-08,-0.123
2023-12-11,-0.121
2023-12-12,-0.122
2023-12-13,-0.124
2023-12-14,-0.149
2023-12-15,-0.184
2023-12-18,-0.228
2023-12-19,-0.241
2023-12-20,-0.245
2023-12-21,-0.245
2023-12-22,-0.234
2023-12-25,-0.232
2023-12-26,-0.197
2023-12-27,-0.191
2023-12-28,-0.157
2023-12-29,-0.14
2024-01-04,-0.127
2024-01-05,-0.124
2024-01-09,-0.126
2024-01-10,-0.138
2024-01-11,-0.129
2024-01-12,-0.13
2024-01-15,-0.131
2024-01-16,-0.126
2024-01-17,-0.119
2024-01-18,-0.114
2024-01-19,-0.114
2024-01-22,-0.108
2024-01-23,-0.104
2024-01-24,-0.102
2024-01-25,-0.1
2024-01-26,-0.097
2024-01-29,-0.099
2024-01-30,-0.098
2024-01-31,-0.097
2024-02-01,-0.094
2024-02-02,-0.088
2024-02-05,-0.092
2024-02-06,-0.091
2024-02-07,-0.093
2024-02-08,-0.089
2024-02-09,-0.083
2024-02-13,-0.08
2024-02-14,-0.079
2024-02-15,-0.087
2024-02-16,-0.089
2024-02-19,-0.094
2024-02-20,-0.098
2024-02-21,-0.104
2024-02-22,-0.104
2024-02-26,-0.101
2024-02-27,-0.1
2024-02-28,-0.099
2024-02-29,-0.099
2024-03-01,-0.099
2024-03-04,-0.102
2024-03-05,-0.103
2024-03-06,-0.1
2024-03-07,-0.101
2024-03-08,-0.096
2024-03-11,-0.094
2024-03-12,-0.093
2024-03-13,-0.084
2024-03-14,-0.06
2024-03-15,-0.035
2024-03-18,-0.023
2024-03-19,-0.011
2024-03-21,-0.016
2024-03-22,-0.035
2024-03-25,-0.023
2024-03-26,-0.002
2024-03-27,0.003
2024-03-28,0.011
2024-03-29,0.018
2024-04-01,0.023
2024-04-02,0.023
2024-04-03,0.025
2024-04-04,0.029
2024-04-05,0.037
2024-04-08,0.036
2024-04-09,0.034
2024-04-10,0.038
2024-04-11,0.043
2024-04-12,0.051
2024-04-15,0.051
2024-04-16,0.047
2024-04-17,0.035
2024-04-18,0.031
2024-04-19,0.031
2024-04-22,0.038
2024-04-23,0.041
2024-04-24,0.036
2024-04-25,0.031
2024-04-26,0.031
2024-04-30,0.031
2024-05-01,0.034
2024-05-02,0.043
2024-05-07,0.048
2024-05-08,0.051
2024-05-09,0.051
2024-05-10,0.067
2024-05-13,0.062
2024-05-14,0.061
2024-05-15,0.062
2024-05-16,0.059
2024-05-17,0.06
2024-05-20,0.062
2024-05-21,0.057
2024-05-22,0.062
2024-05-23,0.061
2024-05-24,0.062
2024-05-27,0.06
2024-05-28,0.057
2024-05-29,0.058
2024-05-30,0.058
2024-05-31,0.058
2024-06-03,0.059
2024-06-04,0.059
2024-06-05,0.059
2024-06-06,0.058
2024-06-07,0.058
2024-06-10,0.052
2024-06-11,0.051
2024-06-12,0.052
2024-06-13,0.049
2024-06-14,0.043
2024-06-17,0.044
2024-06-18,0.044
2024-06-19,0.042
2024-06-20,0.044
2024-06-21,0.05
2024-06-24,0.053
2024-06-25,0.052
2024-06-26,0.052
2024-06-27,0.038
2024-06-28,0.049
2024-07-01,0.051
2024-07-02,0.051
2024-07-03,0.051
2024-07-04,0.05
2024-07-05,0.051
2024-07-08,0.051
2024-07-09,0.052
2024-07-10,0.054
2024-07-11,0.053
2024-07-12,0.054
2024-07-16,0.055
2024-07-17,0.053
2024-07-18,0.049
2024-07-19,0.052
2024-07-22,0.056
2024-07-23,0.054
2024-07-24,0.054
2024-07-25,0.056
2024-07-26,0.07
2024-07-29,0.077
2024-07-30,0.077
2024-07-31,0.111
2024-08-01,0.186
2024-08-02,0.192
2024-08-05,0.171
2024-08-06,0.165
2024-08-07,0.164
2024-08-08,0.167
2024-08-09,0.172
2024-08-13,0.176
2024-08-14,0.181
2024-08-15,0.182
2024-08-16,0.184
2024-08-19,0.186
2024-08-20,0.188
2024-08-21,0.189
2024-08-22,0.193
2024-08-23,0.193
2024-08-26,0.193
2024-08-27,0.193
2024-08-28,0.184
2024-08-29,0.17
2024-08-30,0.187
2024-09-02,0.187
2024-09-03,0.189
2024-09-04,0.19
2024-09-05,0.193
2024-09-06,0.198
2024-09-09,0.2
2024-09-10,0.201
2024-09-11,0.201
2024-09-12,0.199
2024-09-13,0.198
2024-09-17,0.197
2024-09-18,0.197
2024-09-19,0.197
2024-09-20,0.197
2024-09-24,0.2
2024-09-25,0.2
2024-09-26,0.199
2024-09-27,0.198
2024-09-30,0.199
2024-10-01,0.2
2024-10-02,0.2
2024-10-03,0.2
2024-10-04,0.2
2024-10-07,0.2
2024-10-08,0.2
2024-10-09,0.2
2024-10-10,0.2
2024-10-11,0.202
2024-10-15,0.201
2024-10-16,0.201
2024-10-17,0.201
2024-10-18,0.201
2024-10-21,0.201
2024-10-22,0.202
2024-10-23,0.202
2024-10-24,0.203
2024-10-25,0.203
2024-10-28,0.203
2024-10-29,0.203
2024-10-30,0.201
2024-10-31,0.201
2024-11-01,0.203
2024-11-05,0.204
2024-11-06,0.204
2024-11-07,0.204
2024-11-08,0.204
2024-11-11,0.207
2024-11-12,0.207
2024-11-13,0.207
2024-11-14,0.206
2024-11-15,0.208
2024-11-18,0.208
2024-11-19,0.209
2024-11-20,0.211
2024-11-21,0.212
2024-11-22,0.212
2024-11-25,0.212
2024-11-26,0.206
2024-11-27,0.202
2024-11-28,0.2
2024-11-29,0.211
2024-12-02,0.212
2024-12-03,0.213
2024-12-04,0.213
2024-12-05,0.215
2024-12-06,0.22
2024-12-09,0.234
2024-12-10,0.237
2024-12-11,0.238
2024-12-12,0.238
2024-12-13,0.237
2024-12-16,0.233
2024-12-17,0.233
2024-12-18,0.23
2024-12-19,0.231
2024-12-20,0.228
2024-12-23,0.218
2024-12-24,0.209
2024-12-25,0.207
2024-12-26,0.206
2024-12-27,0.218
2024-12-30,0.223
2025-01-06,0.229
2025-01-07,0.233
2025-01-08,0.235
2025-01-09,0.237
2025-01-10,0.239
2025-01-14,0.241
2025-01-15,0.244
2025-01-16,0.255
2025-01-17,0.289
2025-01-20,0.304
2025-01-21,0.317
2025-01-22,0.327
2025-01-23,0.361
2025-01-24,0.412
2025-01-27,0.342
2025-01-28,0.286
2025-01-29,0.373
2025-01-30,0.343
2025-01-31,0.386
2025-02-03,0.422
2025-02-04,0.437
2025-02-05,0.435
2025-02-06,0.429
2025-02-07,0.429
2025-02-10,0.435
2025-02-12,0.436
2025-02-13,0.419
2025-02-14,0.421
2025-02-17,0.42
2025-02-18,0.423
2025-02-19,0.425
2025-02-20,0.431
2025-02-21,0.441
2025-02-25,0.441
2025-02-26,0.442
2025-02-27,0.439
2025-02-28,0.439
2025-03-03,0.439
2025-03-04,0.439
2025-03-05,0.446
2025-03-06,0.442
2025-03-07,0.443
2025-03-10,0.445
2025-03-11,0.444
2025-03-12,0.444
2025-03-13,0.444
2025-03-14,0.444
2025-03-17,0.436
2025-03-18,0.435
2025-03-19,0.441
2025-03-21,0.444
2025-03-24,0.448
2025-03-25,0.45
2025-03-26,0.45
2025-03-27,0.445
2025-03-28,0.436
2025-03-31,0.44
2025-04-01,0.443
2025-04-02,0.449
2025-04-03,0.451
2025-04-04,0.452
2025-04-07,0.455
2025-04-08,0.453
2025-04-09,0.45
2025-04-10,0.454
2025-04-11,0.457
2025-04-14,0.455
2025-04-15,0.456
2025-04-16,0.457
2025-04-17,0.457
2025-04-18,0.458
2025-04-21,0.459
2025-04-22,0.46
2025-04-23,0.456
2025-04-24,0.457
2025-04-25,0.457
2025-04-28,0.453
2025-04-30,0.432
2025-05-01,0.445
2025-05-02,0.454
2025-05-07,0.455
2025-05-08,0.457
2025-05-09,0.46
2025-05-12,0.463
2025-05-13,0.464
2025-05-14,0.464
2025-05-15,0.466
2025-05-16,0.466
2025-05-19,0.467
2025-05-20,0.469
2025-05-21,0.47
2025-05-22,0.472
2025-05-23,0.471
2025-05-26,0.474
2025-05-27,0.474
2025-05-28,0.474
2025-05-29,0.473
2025-05-30,0.474
2025-06-02,0.474
2025-06-03,0.477
2025-06-04,0.477
2025-06-05,0.478
2025-06-06,0.478
2025-06-09,0.478
2025-06-10,0.478
2025-06-11,0.478
2025-06-12,0.478
2025-06-13,0.478
2025-06-16,0.478
2025-06-17,0.479
2025-06-18,0.477
2025-06-19,0.478
2025-06-20,0.477
2025-06-23,0.476
2025-06-24,0.476
2025-06-25,0.476
2025-06-26,0.476
2025-06-27,0.475
2025-06-30,0.477
2025-07-01,0.479
2025-07-02,0.48
2025-07-03,0.48
2025-07-04,0.48
2025-07-07,0.48
2025-07-08,0.481
2025-07-09,0.48
2025-07-10,0.481
2025-07-11,0.481
2025-07-14,0.481
2025-07-15,0.481
2025-07-16,0.481
2025-07-17,0.48
2025-07-18,0.481
2025-07-22,0.481
2025-07-23,0.482
2025-07-24,0.481
2025-07-25,0.482
2025-07-28,0.481
2025-07-29,0.481
2025-07-30,0.481
2025-07-31,0.481
2025-08-01,0.482
2025-08-04,0.482
2025-08-05,0.482
2025-08-06,0.482
2025-08-07,0.482
2025-08-08,0.482
2025-08-12,0.482
2025-08-13,0.482
2025-08-14,0.482
2025-08-15,0.482
2025-08-18,0.482
2025-08-19,0.482
2025-08-20,0.482
2025-08-21,0.482
2025-08-22,0.483
2025-08-25,0.482
2025-08-26,0.483
2025-08-27,0.482
2025-08-28,0.478
2025-08-29,0.482
2025-09-01,0.482
2025-09-02,0.482
2025-09-03,0.482
2025-09-04,0.482
2025-09-05,0.482
2025-09-08,0.482
2025-09-09,0.482
2025-09-10,0.482
2025-09-11,0.482
2025-09-12,0.482
2025-09-16,0.482
2025-09-17,0.481
2025-09-18,0.481
2025-09-19,0.48
2025-09-22,0.479
2025-09-24,0.479
2025-09-25,0.478
2025-09-26,0.478
2025-09-29,0.476
2025-09-30,0.481
2025-10-01,0.482
2025-10-02,0.483
2025-10-03,0.482
2025-10-06,0.483
2025-10-07,0.483
2025-10-08,0.483
2025-10-09,0.483
2025-10-10,0.485
2025-10-14,0.487
2025-10-15,0.488
2025-10-16,0.488
2025-10-17,0.489
2025-10-20,0.492
2025-10-21,0.493
2025-10-22,0.492
2025-10-23,0.491
2025-10-24,0.492
2025-10-27,0.491
2025-10-28,0.491
2025-10-29,0.491
2025-10-30,0.491
2025-10-31,0.491
2025-11-04,0.491
2025-11-05,0.491
2025-11-06,0.491
2025-11-07,0.491
2025-11-10,0.491
2025-11-11,0.491
2025-11-12,0.491
2025-11-13,0.491
2025-11-14,0.491
2025-11-17,0.491
2025-11-18,0.491
2025-11-19,0.491
2025-11-20,0.492
2025-11-21,0.494
2025-11-25,0.494
2025-11-26,0.495
2025-11-27,0.494
2025-11-28,0.495
2025-12-01,0.496
2025-12-02,0.496
2025-12-03,0.496
2025-12-04,0.496
2025-12-05,0.497
2025-12-08,0.501
2025-12-09,0.507
2025-12-10,0.518
2025-12-11,0.534
2025-12-12,0.551
2025-12-15,0.57
2025-12-16,0.598
2025-12-17,0.621
2025-12-18,0.637
2025-12-19,0.694
2025-12-22,0.711
2025-12-23,0.709
2025-12-24,0.711
2025-12-25,0.716
2025-12-26,0.718
2025-12-29,0.728
2025-12-30,0.733
2026-01-05,0.736
2026-01-06,0.738
2026-01-07,0.739
2026-01-08,0.738
2026-01-09,0.738
2026-01-13,0.739
2026-01-14,0.739
2026-01-15,0.739
2026-01-16,0.74
2026-01-19,0.741
2026-01-20,0.742
2026-01-21,0.742
2026-01-22,0.742
2026-01-23,0.742
2026-01-26,0.743
2026-01-27,0.745
2026-01-28,0.744
2026-01-29,0.744
2026-01-30,0.745
2026-02-02,0.745
2026-02-03,0.746
2026-02-04,0.746
2026-02-05,0.746
2026-02-06,0.746
2026-02-09,0.747
2026-02-10,0.747
2026-02-12,0.747
2026-02-13,0.748
2026-02-16,0.746
2026-02-17,0.746
2026-02-18,0.746
2026-02-19,0.746
2026-02-20,0.746
2026-02-24,0.747
2026-02-25,0.747
2026-02-26,0.747
2026-02-27,0.747
2026-03-02,0.747
2026-03-03,0.747
2026-03-04,0.747
2026-03-05,0.747
2026-03-06,0.747
2026-03-09,0.747
2026-03-10,0.748
2026-03-11,0.748
2026-03-12,0.749
2026-03-13,0.749
2026-03-16,0.75
2026-03-17,0.75
2026-03-18,0.749
2026-03-19,0.75
2026-03-23,0.749
2026-03-24,0.749
2026-03-25,0.746
2026-03-26,0.745
2026-03-27,0.745
2026-03-30,0.747
2026-03-31,0.747
2026-04-01,0.747
2026-04-02,0.747
2026-04-03,0.748
2026-04-06,0.75
2026-04-07,0.75
2026-04-08,0.75
2026-04-09,0.75
2026-04-10,0.75
2026-04-13,0.75
2026-04-14,0.75
2026-04-15,0.75
2026-04-16,0.751
2026-04-17,0.75
2026-04-20,0.751
2026-04-21,0.751
2026-04-22,0.751
2026-04-23,0.75
2026-04-24,0.75
2026-04-27,0.75
2026-04-28,0.75
2026-04-30,0.75
2026-05-01,0.75
2026-05-07,0.75
2026-05-08,0.75
2026-05-11,0.75
2026-05-12,0.75
2026-05-13,0.75
2026-05-14,0.75
2026-05-15,0.75
2026-05-18,0.75
2026-05-19,0.75
2026-05-20,0.75
2026-05-21,0.75
2026-05-22,0.75
2026-05-25,0.75
2026-05-26,0.75
2026-05-27,0.75
2026-05-28,0.75
2026-05-29,0.75
2026-06-01,0.751
2026-06-02,0.752
2026-06-03,0.752
2026-06-04,0.769
2026-06-05,0.794
2026-06-08,0.824
2026-06-09,0.847
2026-06-10,0.878
2026-06-11,0.898
2026-06-12,0.937
2026-06-15,0.968
2026-06-16,0.998
2026-06-17,1.0
2026-06-18,1.0
2026-06-19,1.0
2026-06-22,1.0
2026-06-23,1.0
2026-06-24,1.0
2026-06-25,1.0
2026-06-26,1.0
2026-06-29,1.0
2026-06-30,1.0
2026-07-01,1.0
2026-07-02,1.0
2026-07-03,1.0
2026-07-06,1.0
2026-07-07,1.0
2026-07-08,1.0
2026-07-09,1.0
2026-07-10,1.0
2026-07-13,1.0
2026-07-14,1.0
2026-07-15,1.0
2026-07-16,1.0
2026-07-17,1.0
2026-07-21,1.0
2026-07-22,1.0
2026-07-23,1.0
2026-07-24,1.0
2026-07-27,1.0
2026-07-28,1.0
2026-07-29,1.0
2026-07-30,1.0
2026-07-31,1.0
2026-08-03,1.0
2026-08-04,1.0
2026-08-05,1.0
2026-08-06,1.0
2026-08-07,1.0
2026-08-10,1.0
2026-08-12,1.0
2026-08-13,1.0
2026-08-14,1.0
2026-08-17,1.0
2026-08-18,1.0
2026-08-19,1.0
2026-08-20,1.0
2026-08-21,1.0
2026-08-24,1.0
2026-08-25,1.0
2026-08-26,1.0
2026-08-27,1.0
2026-08-28,1.0
2026-08-31,1.0
2026-09-01,1.0
2026-09-02,1.0
2026-09-03,1.0
2026-09-04,1.0
2026-09-07,1.0
2026-09-08,1.0
2026-09-09,1.001
2026-09-10,1.015
