date,STRDCLUCV
2025-11-13,29107.0
2025-11-14,29961.0
2025-11-17,29820.0
2025-11-18,29879.0
2025-11-19,30273.0
2025-11-20,29161.0
2025-11-21,35585.0
2025-11-25,37097.0
2025-11-26,35324.0
2025-11-27,34834.0
2025-11-28,35930.0
2025-12-01,34371.0
2025-12-02,34401.0
2025-12-03,35938.0
2025-12-04,34702.0
2025-12-05,28411.0
2025-12-08,28221.0
2025-12-09,30907.0
2025-12-10,30291.0
2025-12-11,31213.0
2025-12-12,27274.0
2025-12-15,28948.0
2025-12-16,31323.0
2025-12-17,29649.0
2025-12-18,29425.0
2025-12-19,27673.0
2025-12-22,29897.0
2025-12-23,29562.0
2025-12-24,27014.0
2025-12-25,28280.0
2025-12-26,26605.0
2025-12-29,27865.0
2025-12-30,29002.0
2026-01-05,30221.0
2026-01-06,27355.0
2026-01-07,28871.0
2026-01-08,29779.0
2026-01-09,29291.0
2026-01-13,30629.0
2026-01-14,30545.0
2026-01-15,31063.0
2026-01-16,30740.0
2026-01-19,34630.0
2026-01-20,37280.0
2026-01-21,32779.0
2026-01-22,33524.0
2026-01-23,41085.0
2026-01-26,42219.0
2026-01-27,48876.0
2026-01-28,38919.0
2026-01-29,40097.0
2026-01-30,38634.0
2026-02-02,45804.0
2026-02-03,45692.0
2026-02-04,34135.0
2026-02-05,38831.0
2026-02-06,36880.0
2026-02-09,35399.0
2026-02-10,34334.0
2026-02-12,33805.0
2026-02-13,37521.0
2026-02-16,43454.0
2026-02-17,42679.0
2026-02-18,41799.0
2026-02-19,41297.0
2026-02-20,45934.0
2026-02-24,41366.0
2026-02-25,42830.0
2026-02-26,42504.0
2026-02-27,41115.0
2026-03-02,41237.0
2026-03-03,41951.0
2026-03-04,43549.0
2026-03-05,41910.0
2026-03-06,41094.0
2026-03-09,39650.0
2026-03-10,38123.0
2026-03-11,36595.0
2026-03-12,39161.0
2026-03-13,39012.0
2026-03-16,33749.0
2026-03-17,35090.0
2026-03-18,35067.0
2026-03-19,35227.0
2026-03-23,35721.0
2026-03-24,36286.0
2026-03-25,34549.0
2026-03-26,34393.0
2026-03-27,35915.0
2026-03-30,36289.0
2026-03-31,29045.0
2026-04-01,40571.0
2026-04-02,39509.0
2026-04-03,41864.0
2026-04-06,39158.0
2026-04-07,38659.0
2026-04-08,40603.0
2026-04-09,38402.0
2026-04-10,34979.0
2026-04-13,32823.0
2026-04-14,32022.0
2026-04-15,30613.0
2026-04-16,32186.0
2026-04-17,30241.0
2026-04-20,30683.0
2026-04-21,29114.0
2026-04-22,27918.0
2026-04-23,28694.0
2026-04-24,28301.0
2026-04-27,25251.0
2026-04-28,25781.0
2026-04-30,28562.0
2026-05-01,28710.0
2026-05-07,38659.0
2026-05-08,27342.0
2026-05-11,30675.0
2026-05-12,28842.0
2026-05-13,29914.0
2026-05-14,31757.0
2026-05-15,31392.0
2026-05-18,30309.0
2026-05-19,32442.0
2026-05-20,33227.0
2026-05-21,32882.0
2026-05-22,30511.0
2026-05-25,31329.0
2026-05-26,31502.0
2026-05-27,30399.0
2026-05-28,35216.0
2026-05-29,30311.0
2026-06-01,33203.0
2026-06-02,33925.0
2026-06-03,34683.0
2026-06-04,33086.0
2026-06-05,34315.0
2026-06-08,32964.0
2026-06-09,33162.0
2026-06-10,32291.0
2026-06-11,33752.0
2026-06-12,33155.0
2026-06-15,35969.0
