date,mbase
2026-02-16,5831100.0
2026-02-17,5836700.0
2026-02-18,5801300.0
2026-02-19,5813800.0
2026-02-20,5818000.0
2026-02-24,5812900.0
2026-02-25,5821500.0
2026-02-26,5817000.0
2026-02-27,5826800.0
2026-03-02,5780900.0
2026-03-03,5758600.0
2026-03-04,5687900.0
2026-03-05,5701900.0
2026-03-06,5705700.0
2026-03-09,5694700.0
2026-03-10,5697900.0
2026-03-11,5700100.0
2026-03-12,5672900.0
2026-03-13,5674600.0
2026-03-16,5615900.0
2026-03-17,5631100.0
2026-03-18,5620400.0
2026-03-19,5644000.0
2026-03-23,5719100.0
2026-03-24,5718700.0
2026-03-25,5748300.0
2026-03-26,5765300.0
2026-03-27,5764500.0
2026-03-30,5796100.0
2026-03-31,5807000.0
2026-04-01,5777900.0
2026-04-02,5794100.0
2026-04-03,5776100.0
2026-04-06,5777100.0
2026-04-07,5780600.0
2026-04-08,5785900.0
2026-04-09,5792400.0
2026-04-10,5766200.0
2026-04-13,5761200.0
2026-04-14,5760900.0
2026-04-15,5832400.0
2026-04-16,5854800.0
2026-04-17,5862500.0
2026-04-20,5852100.0
2026-04-21,5858500.0
2026-04-22,5859900.0
2026-04-23,5871400.0
2026-04-24,5903000.0
2026-04-27,5889000.0
2026-04-28,5903200.0
2026-04-30,5909100.0
2026-05-01,5878600.0
2026-05-07,5799700.0
2026-05-08,5754000.0
2026-05-11,5744800.0
2026-05-12,5747100.0
2026-05-13,5725500.0
2026-05-14,5735400.0
2026-05-15,5732300.0
2026-05-18,5734400.0
2026-05-19,5699100.0
2026-05-20,5703100.0
2026-05-21,5695800.0
2026-05-22,5714100.0
2026-05-25,5718400.0
2026-05-26,5722600.0
2026-05-27,5720500.0
2026-05-28,5721100.0
2026-05-29,5719100.0
2026-06-01,5662300.0
2026-06-02,5601000.0
2026-06-03,5560700.0
2026-06-04,5569400.0
2026-06-05,5568900.0
2026-06-08,5569800.0
2026-06-09,5569400.0
2026-06-10,5558200.0
2026-06-11,5542200.0
2026-06-12,5568600.0
2026-06-15,5647000.0
2026-06-16,5645200.0
2026-06-17,5663900.0
2026-06-18,5597300.0
2026-06-19,5581600.0
2026-06-22,5624700.0
2026-06-23,5622400.0
2026-06-24,5593500.0
2026-06-25,5599900.0
2026-06-26,5596400.0
2026-06-29,5600200.0
2026-06-30,5600300.0
2026-07-01,5579600.0
2026-07-02,5545500.0
2026-07-03,5523400.0
2026-07-06,5540700.0
2026-07-07,5554200.0
2026-07-08,5547200.0
2026-07-09,5561600.0
2026-07-10,5543100.0
2026-07-13,5523200.0
2026-07-14,5510900.0
2026-07-15,5501600.0
2026-07-16,5513000.0
2026-07-17,5512400.0
2026-07-21,5563300.0
2026-07-22,5559700.0
2026-07-23,5574400.0
2026-07-24,5589900.0
2026-07-27,5600500.0
2026-07-28,5597400.0
2026-07-29,5587000.0
2026-07-30,5588100.0
2026-07-31,5576200.0
2026-08-03,5495500.0
2026-08-04,5383600.0
2026-08-05,5350400.0
2026-08-06,5379000.0
2026-08-07,5384700.0
2026-08-10,5388300.0
2026-08-12,5371600.0
2026-08-13,5367800.0
2026-08-14,5452900.0
2026-08-17,5446100.0
2026-08-18,5440300.0
2026-08-19,5417400.0
2026-08-20,5443300.0
2026-08-21,5434800.0
2026-08-24,5446800.0
2026-08-25,5443700.0
2026-08-26,5434200.0
2026-08-27,5428600.0
2026-08-28,5438800.0
2026-08-31,5438200.0
2026-09-01,5383600.0
2026-09-02,5349400.0
2026-09-03,5351000.0
2026-09-04,5351100.0
2026-09-07,5353400.0
2026-09-08,5343200.0
2026-09-09,5307300.0
2026-09-10,5317700.0
