Ministero dell'Economia e delle Finanze;;;;;;
Direzione Debito Pubblico;;;;;;
Scadenze suddivise per anno;;;;;;
(Aggiornato al 31/12/2022);;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro
 IT0005282527   ; BTP 7;15/09/2017;15/11/2024;1,450; EUR;17.797.849.000,00
 IT0005045270   ; BTP 10;01/09/2014;01/12/2024;2,500; EUR;20.383.767.000,00
IT0005474330;BTP 3a;16/12/2021;15/12/2024;0,000; EUR;15.298.488.000,00
 IT0005174898; BTP Italia 8;11/04/2016;11/04/2024; 0,400  Cedola reale; EUR;7.517.675.195,84
 IT0005217762; BTP Italia 8;24/10/2016;24/10/2024; 0,350  Cedola reale; EUR;5.389.247.014,38
 IT0005004426   ; BTP€i 10;15/03/2014;15/09/2024; 2,350  Cedola reale; EUR;16.031.064.264,97
 IT0005218968; CCTeu;15/08/2016;15/02/2024;0,750; EUR;14.289.833.000,00
 IT0005252520; CCTeu;15/04/2017;15/10/2024;1,100; EUR;15.968.411.000,00
 XS0747189651   ; EMTN;13/02/2012;31/12/2024;3,444; EUR;1.479.751,00
US465410CD85; GLOBAL;06/05/2021;06/05/2024;0,875; USD;1.657.412.779,00
 US465410BX58   ; GLOBAL;17/10/2019;17/10/2024;2,375; USD;2.278.724.640,00
 IT0003621460   ; Ispa Obbl;06/02/2004;31/07/2024;5,125; EUR;3.250.000.000,00
 IT0005386245   ; BTP 5;01/10/2019;01/02/2025;0,350; EUR;18.216.306.000,00
 IT0004513641   ; BTP 15;01/03/2009;01/03/2025;5,000; EUR;24.718.669.000,00
 IT0005327306; BTP 7;15/03/2018;15/05/2025;1,450; EUR;15.419.125.000,00
 IT0005090318   ; BTP 10;02/03/2015;01/06/2025;1,500; EUR;19.130.723.000,00
 IT0005408502   ; BTP 5;28/04/2020;01/07/2025;1,850; EUR;17.472.669.000,00
IT0005493298; BTP 3;19/04/2022;15/08/2025;1,200; EUR;15.275.000.000,00
 IT0005345183; BTP 7;17/09/2018;15/11/2025;2,500; EUR;16.343.597.000,00
 IT0005127086   ; BTP 10;01/09/2015;01/12/2025;2,000; EUR;19.427.596.000,00
 IT0005410904; BTP Italia 4;26/05/2020;26/05/2025; 1,400  Cedola reale; EUR;20.995.633.392,00
 IT0005359846; CCTeu;15/01/2019;15/01/2025;1,850; EUR;10.538.065.000,00
 IT0005311508   ; CCTeu;15/10/2017;15/04/2025;0,950; EUR;16.814.842.000,00
 IT0005331878; CCTeu;15/03/2018;15/09/2025;0,550; EUR;13.968.088.000,00
 XS0233944056   ; EMTN;09/11/2005;09/11/2025;  Variabile; EUR;200.000.000,00
 XF0000B49748   ; EUROBOND;06/09/2010;03/03/2025;4,200; EUR;125.000.000,00
SURE;3^ tranche;17/11/2020;04/11/2025;0,000; EUR;3.100.000.000,00
IT0005514473;BTP 3;17/10/2022;15/01/2026;3,5; EUR;9.625.000.000,00
IT0005419848;BTP 5;01/08/2020;01/02/2026;0,500; EUR;19.551.000.000,00
 IT0004644735   ;BTP 15;01/09/2010;01/03/2026;4,500; EUR;22.466.898.000,00
IT0005437147;BTP 5;01/03/2021;01/04/2026;0,000; EUR;20.796.003.000,00
 IT0005170839   ; BTP 10;01/03/2016;01/06/2026;1,600; EUR;21.674.500.000,00
 IT0005370306   ; BTP 7;15/04/2019;15/07/2026;2,100; EUR;16.785.321.000,00
 IT0005454241; BTP 5;01/08/2021;01/08/2026;0,000; EUR;17.559.122.000,00
 IT0001086567   ; BTP 30;01/11/1996;01/11/2026;7,250; EUR;12.423.130.223,44
 IT0005210650   ; BTP 10;01/08/2016;01/12/2026;1,250; EUR;19.396.843.000,00
 IT0005332827; BTP Italia 8;21/05/2018;21/05/2026; 0,550  Cedola reale; EUR;7.401.948.368,10
 IT0005415416   ; BTP€i 5;29/06/2020;15/05/2026; 0,650  Cedola reale; EUR;10.909.544.859,64
 IT0004735152   ; BTP€i 15;15/03/2011;15/09/2026; 3,100  Cedola reale; EUR;16.063.185.109,40
 IT0005428617; CCTeu;15/10/2020;15/04/2026;0,500; EUR;13.882.430.000,00
 US465410CA47; GLOBAL;24/11/2020;17/02/2026;1,250; USD;2.530.085.618,00
 XS0253994809   ; EMTN;11/05/2006;11/05/2026;Variabile; EUR;215.000.000,00
 ITSSD1603026   ; EUROBOND;16/03/2009;16/03/2026;5,260; EUR;258.000.000,00
SURE;7^ tranche;30/03/2021;04/03/2026;0,000; EUR;670.000.000,00
