Ministero dell'Economia e delle Finanze;;;;;;;;;;;;
Debito Pubblico;;;;;;;;;;;;
Scadenze  suddivise per anno;;;;;;;;;;;;
(Dati aggiornati al 31.12.2021);;;;;;;;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro;;;;;;
 IT0005370306   ; BTP 7;15/04/2019;15/07/2026;2,1; EUR;16,785,321,000.00;;;;;;
 IT0005454241; BTP 5;01/08/2021;01/08/2026;0; EUR;14,350,000,000.00;;;;;;
 IT0004735152   ; BTP€i 15;15/03/2011;15/09/2026; 3,100  Cedola reale; EUR;14,496,964,853.80;;;;;;
 IT0001086567   ; BTP 30;01/11/1996;01/11/2026;7,25; EUR;12,423,130,223.44;;;;;;
 IT0005210650   ; BTP 10;01/08/2016;01/12/2026;1,25; EUR;19,396,843,000.00;;;;;;
 IT0005390874   ; BTP 7;15/11/2019;15/01/2027;0,85; EUR;19,141,928,000.00;;;;;;
 XS1505666815   ; EMTN;17/10/2016;17/04/2027;1,448; EUR;900,000,000.00;;;;;;
 XS1236858657   ; EMTN;22/05/2015;22/05/2027;2,127; EUR;700,000,000.00;;;;;;
 IT0005240830   ; BTP 10;01/02/2017;01/06/2027;2,2; EUR;17,325,000,000.00;;;;;;
 IT0005274805   ; BTP 10;04/07/2017;01/08/2027;2,05; EUR;19,196,628,000.00;;;;;;
 IT0005416570   ; BTP 7;16/07/2020;15/09/2027;0,95; EUR;21,550,395,000.00;;;;;;
 IT0005388167  ; BTP Italia 8;28/10/2019;28/10/2027; 0,650  Cedola reale; EUR;6,778,687,500.00;;;;;;
 IT0001174611  ; BTP 30;01/11/1997;01/11/2027;6,5; EUR;26,763,132,147.48;;;;;;
 XS0644776683   ; EMTN;01/07/2011;31/12/2027;5,97; EUR;698,065,756.00;;;;;;
 IT0005323032   ; BTP 10;01/02/2018;01/02/2028;2; EUR;23,077,136,000.00;;;;;;
