Issuer,"ISIN code",Instrument,Type,Pricing/Auction,"Amount bn",Currency,Tenor,Maturity,"Coupon %","Weighted average yield %","Average Price %",Bid/Cover
EFSF,EU000A1G0DN3,Bond,Tap,18/07/2017,1.5,EUR,"39 year",28/02/2056,2.00,,,
,EU000A1G0DW4,,New,04/07/2017,3.5,EUR,"31 year",10/07/2048,1.80,,,
,EU000A1Z99A1,,Tap,07/06/2017,1.5,EUR,"30 year",02/11/2046,1.80,,,
,EU000A1G0DT0,,New,17/05/2017,6,EUR,"16 year",24/05/2033,1.25,,,
,EU000A1G0DR4,,New,25/04/2017,6,EUR,"10 year",03/05/2027,0.75,,,
,EU000A1G0DL7,,Tap,25/04/2017,2,EUR,"26 year",13/02/2043,1.70,,,
,EU000A1G0DD4,,Tap,04/04/2017,1,EUR,"30 year",17/02/2045,1.20,,,
,EU000A1Z99B9,,New,07/03/2017,3,EUR,"10 year",15/03/2027,0.75,,,
,EU000A1G0DN3,,New,21/02/2017,1,EUR,"39 year",28/02/2056,2.00,,,
,EU000A1G0DL7,,New,06/02/2017,1.5,EUR,"26 year",13/02/2043,1.70,,,
,EU000A1Z99A1,,New,25/01/2017,3.5,EUR,"30 year",02/11/2046,1.80,,,
,EU000A1U9969,,Tap,11/10/2016,1,EUR,"16 year",03/05/2032,1.125,,,
,EU000A1G0DJ1,,Tap,06/09/2016,1,EUR,"31 year",31/05/2047,1.375,,,
,EU000A1U9977,,New,12/07/2016,2.5,EUR,"26 year",18/07/2042,0.875,,,
,EU000A1G0DJ1,,New,23/05/2016,2,EUR,"31 year",31/05/2047,1.375,,,
,EU000A1U9969,,New,26/04/2016,3,EUR,"16 year",03/05/2032,1.125,,,
,EU000A1U9928,,Tap,22/03/2016,1,EUR,"21 year",17/11/2036,1.625,,,
,EU000A1U9936,,Tap,23/02/2016,1,EUR,"40 year",02/12/2055,1.85,,,
EFSF,EU000A1G0DD4,Bond,Tap,26/01/2016,1.25,EUR,"30 year",17/02/2045,1.20,,,
,EU000A1U9936,,New,24/11/2015,1,EUR,"40 year",01/12/2055,1.85,,,
,EU000A1U9928,,New,10/11/2015,1.5,EUR,"21 year",17/11/2036,1.625,,,
,EU000A1U9902,,New,13/10/2015,3,EUR,"30 year",20/10/2045,1.75,,,
,EU000A1G0DD4,,Tap,13/05/2015,0.75,EUR,"30 year",17/02/2045,1.20,,,
EFSF,EU000A1G0DD4,Bond,New,10/02/2015,1.5,EUR,"30 year",17/02/2045,1.20,,,
EFSF,EU000A1G0DB8,Bond,New,22/07/2014,4,EUR,"30 year",29/07/2044,2.35,,,
,EU000A1G0BL1,,New,26/11/2013,1.5,EUR,"16 year",03/12/2029,2.75,,,
,EU000A1G0BJ5,,New,04/09/2013,3,EUR,"21 year",04/09/2034,3.000,,,
,EU000A1G0AT6,,Tap,14/02/2013,1,EUR,"25 year",03/04/2037,3.375,,,
,EU000A1G0AT6,,Tap,04/07/2012,1,EUR,"25 year",03/04/2037,3.375,,,
,EU000A1G0AT6,,New,12/06/2012,1.5,EUR,"25 year",03/04/2037,3.375,,,
,EU000A1G0AJ7,,Tap,26/04/2012,1.0,EUR,"20 year",30/03/2032,3.875,,,
,EU000A1G0AJ7,,New,19/03/2012,1.5,EUR,"20 year",30/03/2032,3.875,,,
