Series ID,DGFACHM,DGFACH12,DGFACOHM,DGFACOH12,DGFACIHM,DGFACIH12,DGFACOPM,DGFACOP12,DGFACBNFM,DGFACBNF12,DGFACBM,DGFACB12,DGFACBNWM,DGFACBNW12,DGFACNFM,DGFACNF12,DGFACM,DGFAC12,DGFACNWM,DGFACNW12,DGFAM3M,DGFAM312,DGFABMM,DGFABM12
31/05/1982,0.6,9.6,,,,,1.2,20.5,,,0.5,22.4,,,,,0.6,18.3,,,1.8,12.3,1.5,16.5
30/06/1982,0.7,8.8,,,,,1.3,19.7,,,0.8,22.0,,,,,0.9,17.7,,,0.2,11.2,0.9,15.8
31/07/1982,0.8,8.2,,,,,1.1,18.7,,,1.6,21.6,,,,,1.3,17.2,,,0.6,11.0,1.3,15.7
31/08/1982,0.4,7.8,,,,,1.1,17.8,,,1.3,21.3,,,,,1.1,16.8,,,0.6,10.9,0.7,14.7
30/09/1982,0.4,7.5,,,,,1.2,17.2,,,1.2,21.0,,,,,1.0,16.5,,,1.1,11.1,1.1,14.6
31/10/1982,0.5,7.4,,,,,0.7,16.0,,,0.7,19.8,,,,,0.7,15.7,,,0.3,10.5,1.1,14.6
30/11/1982,0.5,7.4,,,,,1.1,15.6,,,0.8,19.0,,,,,0.7,15.2,,,1.2,10.9,1.0,14.6
31/12/1982,0.4,7.2,,,,,1.0,15.0,,,0.1,16.6,,,,,0.3,13.7,,,1.2,11.5,1.2,14.4
31/01/1983,0.5,7.1,,,,,0.9,14.1,,,1.0,14.9,,,,,0.9,12.6,,,0.7,11.1,1.4,14.5
28/02/1983,0.6,7.1,,,,,1.7,14.3,,,2.5,16.0,,,,,1.9,13.2,,,1.2,11.5,1.4,14.6
31/03/1983,1.0,7.6,,,,,1.7,15.1,,,1.4,15.6,,,,,1.4,13.3,,,2.0,12.8,1.5,15.2
30/04/1983,0.9,7.8,,,,,1.4,15.5,,,-0.1,12.3,,,,,0.3,11.5,,,0.6,12.3,1.0,14.7
31/05/1983,0.6,7.7,,,,,1.2,15.6,,,0.4,12.2,,,,,0.6,11.4,,,1.3,11.8,1.3,14.4
30/06/1983,0.7,7.6,,,,,0.9,15.2,,,0.5,11.9,,,,,0.6,11.1,,,1.1,12.8,1.2,14.8
31/07/1983,0.8,7.6,,,,,1.3,15.4,,,-0.1,9.9,,,,,0.3,10.0,,,1.0,13.3,0.7,14.2
31/08/1983,0.8,8.2,,,,,1.0,15.3,,,0.2,8.7,,,,,0.5,9.4,,,1.0,13.7,1.0,14.6
30/09/1983,1.0,8.8,,,,,1.5,15.6,,,0.1,7.5,,,,,0.6,9.0,,,1.0,13.6,0.8,14.3
31/10/1983,0.8,9.1,,,,,1.2,16.1,,,-0.2,6.6,,,,,0.3,8.5,,,0.9,14.3,0.1,13.1
30/11/1983,0.8,9.4,,,,,1.8,17.0,,,1.7,7.6,,,,,1.5,9.4,,,1.1,14.2,1.1,13.2
31/12/1983,1.0,10.0,,,,,1.5,17.5,,,2.0,9.7,,,,,1.6,10.8,,,1.3,14.4,1.9,14.1
31/01/1984,1.0,10.5,,,,,1.7,18.4,,,0.7,9.4,,,,,1.0,10.9,,,1.2,14.9,1.0,13.6
29/02/1984,1.0,10.9,,,,,1.6,18.3,,,0.4,7.1,,,,,0.8,9.7,,,1.4,15.1,1.0,13.2
31/03/1984,1.1,11.0,,,,,1.3,17.9,,,2.0,7.8,,,,,1.7,10.1,,,0.8,13.7,1.4,13.2
30/04/1984,1.2,11.2,,,,,2.5,19.1,,,1.7,9.8,,,,,1.6,11.5,,,0.5,13.5,1.3,13.6
31/05/1984,1.5,12.2,,,,,1.8,19.8,,,-0.1,9.3,,,,,0.7,11.6,,,0.7,12.8,0.3,12.4
