A1 RESERVE BANK OF AUSTRALIA - BALANCE SHEET
Title,Notes on issue,Exchange settlement balances,Deposits of overseas institutions,Australian Government Deposits,State Governments Deposits,Other Deposits,Other liabilities,Other reserves and current year earnings,Capital and Reserve Bank Reserve Fund,Total liabilities and equity,Gold and foreign exchange,Australian dollar investments,Other assets (including clearing items),Total assets
25-Sep-2013,58571,866,830,18387,115,15,7364,8230,1954,96332,57360,37250,1722,96332
02-Oct-2013,58749,1004,1004,17105,59,15,4870,8341,1954,93101,54432,37194,1475,93101
09-Oct-2013,58856,989,913,13052,254,16,7139,8053,1954,91226,54547,35466,1213,91226
16-Oct-2013,58945,1016,1672,11732,159,16,11276,7414,1954,94184,56916,35691,1577,94184
23-Oct-2013,58992,990,833,26826,90,15,5440,6755,2542,102483,58455,42000,2028,102483
30-Oct-2013,59092,1131,700,28838,151,15,3966,7600,2542,104035,58233,44099,1703,104035
06-Nov-2013,59119,984,735,28550,78,15,5858,7046,2542,104927,59480,43929,1518,104927
13-Nov-2013,59164,12985,832,24378,279,14,4610,7850,2542,112654,57429,53681,1544,112654
20-Nov-2013,59185,22322,985,26932,123,15,10213,7433,2542,129750,62724,64404,2622,129750
27-Nov-2013,59302,21805,881,36371,194,15,5358,8844,2542,135312,60934,73272,1106,135312
04-Dec-2013,60738,22029,805,40235,174,15,7008,9035,2542,142581,64326,77138,1117,142581
11-Dec-2013,61852,21892,927,36293,373,20,4300,8981,2542,137180,62183,73931,1066,137180
18-Dec-2013,62638,21868,1316,27274,349,20,6939,10142,2542,133088,62776,69096,1216,133088
25-Dec-2013,62998,21909,1162,24729,195,24,4568,9830,2542,127957,60324,66695,938,127957
01-Jan-2014,63018,23546,1333,24502,163,19,4012,9807,2542,128942,60243,67436,1263,128942
08-Jan-2014,62007,21558,859,14719,562,19,4887,9744,2542,116897,56575,59240,1082,116897
15-Jan-2014,61172,21699,788,10634,208,20,9186,9905,2542,116154,57618,57292,1244,116154
22-Jan-2014,60727,21426,1100,23117,202,19,7882,10115,2542,127130,60110,65861,1159,127130
29-Jan-2014,60675,21560,933,16994,199,19,6258,10662,2542,119842,56039,62605,1198,119842
05-Feb-2014,60505,22047,994,17083,175,20,7538,10077,2542,120981,56218,63660,1103,120981
12-Feb-2014,60371,21918,881,14744,348,19,5482,9440,2542,115745,53436,61088,1221,115745
19-Feb-2014,60196,21614,1102,14284,207,19,7117,9909,2542,116990,54401,61418,1171,116990
26-Feb-2014,60180,20938,808,19805,191,19,9295,9932,2542,123710,56531,65815,1364,123710
05-Mar-2014,60176,21438,1125,29295,207,20,5019,10236,2542,130058,56448,72435,1175,130058
12-Mar-2014,60165,21671,1010,25199,392,23,6650,10405,2542,128057,57183,69757,1117,128057
19-Mar-2014,60221,21265,887,31391,260,19,5897,9609,2542,132091,60149,70808,1134,132091
26-Mar-2014,60207,21686,741,36454,184,19,7635,8974,2542,138442,65158,72090,1194,138442
02-Apr-2014,60373,21582,824,35773,214,18,7928,8698,2542,137952,66075,70757,1120,137952
09-Apr-2014,61037,21714,842,32261,414,19,3526,8147,2542,130502,60346,69032,1124,130502
16-Apr-2014,61631,20983,895,31521,278,18,6976,8157,2542,133001,61628,70027,1346,133001
23-Apr-2014,61619,21039,967,38967,228,20,7200,8557,2542,141139,64995,74678,1466,141139
30-Apr-2014,61487,21189,939,43564,202,19,6812,8550,2542,145304,64593,79323,1388,145304
07-May-2014,60995,21200,1161,32193,1089,19,6696,17306,2542,143201,65215,76783,1203,143201
14-May-2014,60798,20791,982,34460,347,18,5629,16851,2542,142418,62436,78805,1177,142418
21-May-2014,60676,17549,950,40714,217,19,6022,17667,2542,146356,65879,79194,1283,146356
28-May-2014,60688,20942,1226,44437,151,18,7058,17386,2542,154448,68473,84783,1192,154448
04-Jun-2014,60818,20865,915,48044,78,18,9893,17237,2542,160410,74511,84712,1187,160410
11-Jun-2014,60817,21168,561,45712,181,18,6303,16694,2542,153996,71103,81657,1236,153996
18-Jun-2014,60797,21029,753,35401,75,19,6863,16993,2542,144472,67966,75296,1210,144472
25-Jun-2014,60809,21576,794,37956,30,17,6072,17157,2542,146953,68421,77049,1483,146953
02-Jul-2014,60778,21860,778,29764,1,19,7685,16897,2542,140324,67300,71908,1116,140324
09-Jul-2014,60859,21743,1634,22084,612,19,5659,17147,2542,132299,65681,65540,1078,132299
16-Jul-2014,60907,21870,1063,20020,114,18,7834,17338,2542,131706,66430,64107,1169,131706
23-Jul-2014,61148,21554,1086,26489,154,18,5441,16802,2542,135234,65207,68838,1189,135234
30-Jul-2014,61217,21470,702,29842,115,18,4270,16926,2542,137102,64406,71303,1393,137102
06-Aug-2014,61521,21534,709,27394,96,18,5916,17272,2542,137002,65220,70701,1081,137002
13-Aug-2014,61604,21717,741,21628,352,19,5725,17355,2542,131683,63129,67370,1184,131683
20-Aug-2014,61636,21102,832,21710,193,19,6335,17339,2542,131708,62691,67875,1142,131708
27-Aug-2014,61648,21372,723,29649,171,18,9657,16362,2542,142142,66756,74105,1281,142142
03-Sep-2014,61754,21472,662,28393,160,18,6114,16400,2542,137515,62263,74053,1199,137515
10-Sep-2014,61790,21521,700,26415,398,19,6159,16757,2542,136301,60691,74489,1121,136301
17-Sep-2014,61843,21410,941,26927,256,18,4708,17196,2542,135841,60426,74403,1012,135841
24-Sep-2014,62003,21443,699,31103,215,18,6035,18039,2542,142097,63207,77666,1224,142097
01-Oct-2014,62276,21748,764,29134,214,19,5084,9502,11199,139940,62589,76190,1161,139940
08-Oct-2014,62415,21924,755,22856,764,20,5999,9155,11199,135087,58897,74985,1205,135087
15-Oct-2014,62530,21978,1180,20887,245,19,3360,9532,11199,130930,56345,73456,1129,130930
22-Oct-2014,62665,21591,1348,22178,195,19,4500,9308,11199,133003,54417,77471,1115,133003
29-Oct-2014,62852,21125,932,23733,102,18,5282,8830,11199,134073,55537,76899,1637,134073
05-Nov-2014,62999,21336,847,25021,108,19,6494,8986,11199,137009,56353,79270,1386,137009
12-Nov-2014,63104,21220,807,25283,246,18,5873,9240,11199,136990,56831,77980,2179,136990
19-Nov-2014,63187,20787,794,27848,130,19,7491,9439,11199,140894,59705,80011,1178,140894
26-Nov-2014,63234,20995,841,33701,181,19,6523,10156,11199,146849,63664,81900,1285,146849
03-Dec-2014,63845,21141,907,39470,156,18,7172,10806,11199,154714,67027,83222,4465,154714
10-Dec-2014,65018,21101,1039,31310,316,17,6013,11401,11199,147414,64349,81727,1338,147414
17-Dec-2014,66102,21253,1098,30724,412,15,6367,12482,11199,149652,67822,80469,1361,149652
24-Dec-2014,66951,22149,1023,29751,236,24,5527,12269,11199,149129,68365,79407,1357,149129
31-Dec-2014,66854,23055,978,29322,194,15,6157,11788,11199,149562,68285,80040,1237,149562
07-Jan-2015,66108,22414,1181,20004,1158,15,6513,12331,11199,140923,62856,76903,1164,140923
14-Jan-2015,65396,21906,1229,16226,447,15,6436,12196,11199,135050,61137,72691,1222,135050
21-Jan-2015,64842,17279,1352,21938,226,14,8093,11395,11199,136338,62326,72849,1163,136338
28-Jan-2015,64631,21977,1285,21358,165,16,6786,12427,11199,139844,64977,73497,1370,139844
04-Feb-2015,64593,22058,1567,20177,150,14,5621,13743,11199,139122,65646,72314,1162,139122
11-Feb-2015,64633,22073,1897,18045,407,15,6570,13699,11199,138538,66913,70329,1296,138538
18-Feb-2015,64599,22024,1191,17186,210,17,5080,13436,11199,134942,65732,68014,1196,134942
25-Feb-2015,64555,21981,1254,24467,183,15,9935,12960,11199,146549,72646,72520,1383,146549
04-Mar-2015,64672,20763,1135,31161,165,15,6244,13211,11199,148565,70981,76002,1582,148565
11-Mar-2015,64875,21602,1293,30220,395,21,9121,13782,11199,152508,74195,77041,1272,152508
18-Mar-2015,65100,21659,1204,29672,246,15,5510,13526,11199,148131,71024,75941,1166,148131
25-Mar-2015,65623,21493,1477,33006,189,16,11230,12497,11199,156730,76173,79231,1326,156730
01-Apr-2015,66246,22432,1508,33448,251,15,6882,13955,11199,155936,77438,77271,1227,155936
08-Apr-2015,66099,21671,1740,30202,905,17,5266,13868,11199,150967,74481,75158,1328,150967
15-Apr-2015,65707,22653,1928,19364,290,16,4292,14118,11199,139567,68025,70021,1521,139567
22-Apr-2015,65315,21701,1559,25530,193,16,4868,13117,11199,143498,69618,72454,1426,143498
29-Apr-2015,65186,21722,1681,28272,257,17,6592,12080,11199,147006,71607,73612,1787,147006
06-May-2015,65097,22204,1299,30014,206,16,7733,12500,11199,150268,73387,75622,1259,150268
13-May-2015,65054,21958,1640,30589,392,16,6095,12619,11199,149562,69252,78791,1519,149562
20-May-2015,64984,21459,1448,33399,254,16,8021,12763,11199,153543,71424,80821,1298,153543
27-May-2015,65061,22216,1401,36646,158,16,8270,13457,11199,158424,76516,80259,1649,158424
03-Jun-2015,65351,22477,1635,41890,90,16,8147,13444,11199,164249,76914,86050,1285,164249
10-Jun-2015,65388,22262,1586,39066,252,15,8758,14091,11199,162617,75894,85035,1688,162617
17-Jun-2015,65422,22526,1403,37804,222,15,9651,14141,11199,162383,77067,84057,1259,162383
24-Jun-2015,65508,22591,1420,42005,74,16,8326,14092,11199,165231,75904,87635,1692,165231
01-Jul-2015,65542,23122,747,35077,613,16,7171,14278,11199,157765,70321,86200,1244,157765
08-Jul-2015,65635,22715,818,28567,660,16,5804,16281,11199,151695,68304,81807,1584,151695
15-Jul-2015,65900,22640,1059,26450,545,20,7441,15826,11199,151080,67072,82467,1541,151080
22-Jul-2015,66180,21851,1506,32111,221,16,8160,15890,11199,157134,71548,83926,1660,157134
29-Jul-2015,66497,21890,1160,36143,171,17,6276,16771,11199,160124,72222,86269,1633,160124
05-Aug-2015,66814,22359,1224,33021,131,15,5411,16232,11199,156406,70749,84090,1567,156406
12-Aug-2015,66902,22447,1691,28001,461,15,7788,17231,11199,155735,69688,84716,1331,155735
19-Aug-2015,67043,21937,1135,27466,238,16,9675,16810,11199,155519,71532,82468,1519,155519
26-Aug-2015,67130,22333,1669,34541,203,16,8598,18929,11199,164618,76885,86215,1518,164618
02-Sep-2015,67221,23362,838,34022,214,13,7287,19703,11199,163859,76286,86107,1466,163859
09-Sep-2015,67276,22883,528,32382,527,14,7935,18210,11199,160954,76727,82951,1276,160954
16-Sep-2015,67416,22607,543,31065,340,13,8779,17733,11199,159695,75296,82883,1516,159695
23-Sep-2015,67712,22761,669,36272,270,14,10516,18501,11199,167914,80029,86524,1361,167914
30-Sep-2015,68056,23103,670,35842,255,15,6680,18733,11199,164553,76902,86183,1468,164553
07-Oct-2015,68193,22954,758,28369,1381,14,6645,17617,11199,157130,72700,83102,1328,157130
14-Oct-2015,68250,22724,668,28932,491,14,7087,17558,11199,156923,71895,83508,1520,156923
21-Oct-2015,68255,18364,876,23706,424,16,10051,14668,12769,149129,68643,79080,1406,149129
28-Oct-2015,68364,20896,773,25230,281,14,9841,15478,12769,153646,68067,83718,1861,153646
04-Nov-2015,68421,22684,946,26326,204,14,8850,14501,12769,154715,69084,84339,1292,154715
11-Nov-2015,68626,22939,876,23828,513,24,6961,15104,12769,151640,67329,82732,1579,151640
18-Nov-2015,68691,24015,893,23352,436,14,8492,14640,12769,153302,69116,82841,1345,153302
25-Nov-2015,68858,22639,961,32220,215,14,12293,13348,12769,163317,74545,87105,1667,163317
02-Dec-2015,69256,24697,840,35004,207,12,8633,12947,12769,164365,74361,88663,1341,164365
09-Dec-2015,70162,24199,872,29740,575,12,7434,14044,12769,159807,73292,85006,1509,159807
16-Dec-2015,71286,24665,1267,24263,557,13,8606,14196,12769,157622,72991,83306,1325,157622
23-Dec-2015,72179,25393,914,25008,277,21,7320,13914,12769,157795,72198,83919,1678,157795
30-Dec-2015,71948,25067,886,23753,249,22,6426,13493,12769,154613,70844,82216,1553,154613
06-Jan-2016,71331,24886,1190,23065,214,12,6341,14700,12769,154508,72310,80669,1529,154508
13-Jan-2016,70262,24882,1228,9883,517,14,6960,15482,12769,141997,63140,77514,1343,141997
20-Jan-2016,69927,24158,1305,11379,423,12,5640,17032,12769,142645,63558,77496,1591,142645
27-Jan-2016,69946,24308,1396,15426,272,13,8420,15742,12769,148292,65744,81075,1473,148292
03-Feb-2016,69887,24240,1404,19124,254,12,5771,16003,12769,149464,64975,82882,1607,149464
10-Feb-2016,69618,24698,1368,15571,561,12,8372,16539,12769,149508,64771,83295,1442,149508
17-Feb-2016,69614,24544,3856,12188,413,12,5393,16188,12769,144977,63960,79355,1662,144977
24-Feb-2016,69597,24098,4017,20247,265,13,8633,15431,12769,155070,69026,84442,1602,155070
02-Mar-2016,69714,25121,4172,26846,267,12,5420,14866,12769,159187,65690,91708,1789,159187
09-Mar-2016,69941,24529,4025,27126,635,12,7588,13577,12769,160202,66539,92265,1398,160202
16-Mar-2016,70055,24200,4003,25840,524,12,8287,13487,12769,159177,66713,90858,1606,159177
23-Mar-2016,70581,24219,3954,32888,466,12,8139,12529,12769,165557,69962,94222,1373,165557
30-Mar-2016,70472,24296,4077,32429,386,12,6899,12736,12769,164076,69253,93067,1756,164076
06-Apr-2016,70081,24392,4143,31941,308,43,7150,13272,12769,164099,69554,93222,1323,164099
13-Apr-2016,69789,24890,3991,28999,485,13,5138,12646,12769,158720,66932,90222,1566,158720
20-Apr-2016,69813,23671,4235,32792,361,12,7651,11978,12769,163282,68815,92901,1566,163282
27-Apr-2016,69905,23108,4457,34442,300,12,7045,12962,12769,165000,67699,95193,2108,165000
04-May-2016,69944,24707,4430,37757,249,13,10295,14425,12769,174589,77270,95630,1689,174589
11-May-2016,69847,24395,4501,35138,610,12,6999,15273,12769,169544,76049,91708,1787,169544
18-May-2016,69729,24301,4661,35926,435,13,11157,15768,12769,174759,79393,93739,1627,174759
25-May-2016,69855,23663,4893,49517,384,12,8853,16041,12769,185987,84212,99938,1837,185987
01-Jun-2016,69967,24135,4921,55046,213,13,7771,15451,12769,190286,86868,101813,1605,190286
08-Jun-2016,70052,24274,5800,42786,762,12,5623,14665,12769,176743,83427,91574,1742,176743
15-Jun-2016,70077,24143,6199,28706,198,13,8991,15110,12769,166206,80527,83888,1791,166206
22-Jun-2016,70122,23913,4760,33312,134,13,6740,14630,12769,166393,78104,86516,1773,166393
29-Jun-2016,70200,24694,4935,32382,121,14,8174,14952,12769,168241,79064,87647,1530,168241
06-Jul-2016,70240,24947,4612,30061,77,14,7666,14402,12769,164788,73008,90070,1710,164788
13-Jul-2016,70298,24704,4660,24464,801,13,6501,13074,12769,157284,66981,88748,1555,157284
20-Jul-2016,70362,23511,4698,24058,148,13,7603,13655,12769,156817,66377,88579,1861,156817
27-Jul-2016,70559,23438,4967,31068,87,12,7168,13843,12769,163911,70138,92001,1772,163911
03-Aug-2016,70681,24310,5014,30221,34,12,6531,13622,12769,163194,70639,90622,1933,163194
10-Aug-2016,70795,24394,4597,26179,354,13,7990,12754,12769,159845,69343,88952,1550,159845
17-Aug-2016,70807,24383,5015,22234,142,12,5050,13082,12769,153494,65550,86159,1785,153494
24-Aug-2016,70842,23833,4772,32000,123,13,6299,10345,12769,160996,70365,88991,1640,160996
31-Aug-2016,70870,24166,4702,29395,183,13,4921,10693,12769,157712,66092,89885,1735,157712
07-Sep-2016,71085,24499,4610,26242,1431,13,5490,9941,12769,156080,64289,90200,1591,156080
14-Sep-2016,71110,24338,4677,26267,341,13,4212,11136,12769,154863,64641,88488,1734,154863
21-Sep-2016,71391,21069,4701,29085,146,12,7021,10441,12769,156635,67398,87698,1539,156635
28-Sep-2016,71769,24495,4567,29666,197,12,3897,9721,12769,157093,67910,87414,1769,157093
05-Oct-2016,71929,25001,4702,27871,125,13,5074,9773,12769,157257,69375,86389,1493,157257
12-Oct-2016,71903,24445,4608,22251,378,13,7440,8445,14159,153642,64566,87343,1733,153642
19-Oct-2016,71839,24185,4888,28904,224,14,4312,7759,14159,156284,63674,91015,1595,156284
26-Oct-2016,71966,23454,4673,32696,230,12,4379,7447,14159,159016,65532,91503,1981,159016
02-Nov-2016,72097,25522,4592,33204,174,13,8149,8183,14159,166093,72979,91470,1644,166093
09-Nov-2016,72259,24277,4588,29434,413,12,5100,8592,14159,158834,67191,89833,1810,158834
16-Nov-2016,72342,24184,4464,29097,200,12,4887,7911,14159,157256,65215,90432,1609,157256
23-Nov-2016,72664,23962,4572,34845,251,11,6155,8473,14159,165092,71039,92195,1858,165092
30-Nov-2016,72959,23742,4449,40097,205,14,6793,8051,14159,170469,74912,94040,1517,170469
07-Dec-2016,73793,24155,4461,38161,1455,11,6015,8589,14159,170799,75865,93193,1741,170799
14-Dec-2016,74943,24370,4901,37430,556,13,7713,7956,14159,172041,77313,93197,1531,172041
21-Dec-2016,75686,22027,4860,39587,340,12,9541,9183,14159,175395,81037,92547,1811,175395
28-Dec-2016,75870,24301,4728,36612,299,14,7085,9629,14159,172697,81202,89737,1758,172697
04-Jan-2017,75760,24396,5328,36759,227,12,5064,9444,14159,171149,77464,91792,1893,171149
11-Jan-2017,74974,24559,5550,23993,612,16,7009,8694,14159,159566,70378,87697,1491,159566
18-Jan-2017,74311,24263,5671,21450,396,14,5875,7923,14159,154062,67192,85162,1708,154062
25-Jan-2017,74139,24218,5587,26867,344,12,6653,7966,14159,159945,71362,87039,1544,159945
01-Feb-2017,74007,28332,5237,31526,426,12,6374,7969,14159,168042,73194,93175,1673,168042
08-Feb-2017,73687,28460,5790,29903,1135,11,5903,7545,14159,166593,71444,93656,1493,166593
15-Feb-2017,73382,28142,6477,17049,469,12,5132,7097,14159,151919,62722,87467,1730,151919
22-Feb-2017,73274,27489,6074,25015,401,12,7183,6982,14159,160589,69724,89294,1571,160589
01-Mar-2017,73202,26633,6249,31233,495,12,10154,7272,14159,169409,79473,87878,2058,169409
08-Mar-2017,73168,28002,5770,38293,1164,13,5305,7543,14159,173417,80796,90947,1674,173417
15-Mar-2017,73082,27662,5794,37390,581,12,5298,7641,14159,171619,79478,90387,1754,171619
22-Mar-2017,73006,27613,5850,43856,496,9,9776,7573,14159,182338,87908,92939,1491,182338
29-Mar-2017,73070,27793,6066,42934,579,10,4887,7827,14159,177325,83950,91651,1724,177325
05-Apr-2017,73344,28738,5291,43093,482,10,7608,8170,14159,180895,85588,93868,1439,180895
12-Apr-2017,73892,27842,5504,41041,665,10,6529,8843,14159,178485,83644,93069,1772,178485
19-Apr-2017,73949,27776,5326,41479,472,10,8137,8914,14159,180222,85596,92968,1658,180222
26-Apr-2017,74025,26726,5995,46806,413,10,9980,9062,14159,187176,88453,96634,2089,187176
03-May-2017,73924,27951,5376,48888,340,10,6050,9116,14159,185814,86866,97304,1644,185814
10-May-2017,73704,27867,5068,46878,482,11,4390,9991,14159,182550,84444,96382,1724,182550
17-May-2017,73583,27742,5056,49406,293,10,5467,9943,14159,185659,85572,98511,1576,185659
24-May-2017,73461,27373,5502,56523,247,10,5464,9905,14159,192644,89077,101753,1814,192644
31-May-2017,73387,27230,5542,61265,210,10,5554,9976,14159,197333,92213,103616,1504,197333
07-Jun-2017,73465,27404,5653,60603,1511,10,5050,9578,14159,197433,91661,103965,1807,197433
14-Jun-2017,73597,27368,5336,62240,424,10,6128,9387,14159,198649,94027,102922,1700,198649
21-Jun-2017,73613,23617,4924,68529,141,10,5592,9010,14159,199595,93293,104559,1743,199595
28-Jun-2017,73630,27621,5146,63357,82,10,7383,8938,14159,200326,97625,101154,1547,200326
05-Jul-2017,73623,27635,4906,54065,152,10,5236,9287,14159,189073,86510,100726,1837,189073
12-Jul-2017,73599,27644,4893,46434,894,11,6081,9127,14159,182842,83200,97895,1747,182842
19-Jul-2017,73666,26994,4949,43573,280,10,5086,7472,14159,176189,79310,95006,1873,176189
26-Jul-2017,73894,26695,5131,39107,176,10,6857,7948,14159,173977,79817,92412,1748,173977
02-Aug-2017,74005,28522,5017,39206,203,9,4162,7799,14159,173082,78988,90743,3351,173082
09-Aug-2017,74068,27712,4947,35798,530,9,7940,8248,14159,173411,80958,89629,2824,173411
16-Aug-2017,74130,27511,5534,34192,185,9,4681,8504,14159,168905,76304,90119,2482,168905
23-Aug-2017,74106,27231,5192,44013,119,8,7063,7215,14159,179106,83751,93450,1905,179106
30-Aug-2017,74193,27409,5333,42454,203,8,4996,6983,14159,175738,80410,93428,1900,175738
06-Sep-2017,74306,27856,4822,41816,118,8,5961,7058,14159,176104,81413,92874,1817,176104
13-Sep-2017,74378,27639,4621,38064,333,8,3032,6928,14159,169162,74315,92862,1985,169162
20-Sep-2017,74618,26848,4515,37895,128,7,4689,6849,14159,169708,74489,93510,1709,169708
27-Sep-2017,74694,27687,4352,38066,161,6,5779,7656,14159,172560,78990,91621,1949,172560
04-Oct-2017,74869,27342,4423,35438,71,6,5144,7558,14159,169010,77167,90202,1641,169010
11-Oct-2017,74760,27494,4263,25193,303,5,4063,8038,14159,158278,73670,82667,1941,158278
18-Oct-2017,74620,27370,4282,25618,105,5,5761,7518,14159,159438,75909,81793,1736,159438
25-Oct-2017,74641,26943,4702,30393,89,3,3842,8344,14159,163116,76511,84558,2047,163116
01-Nov-2017,74856,27314,4419,32953,51,2,4892,8737,14159,167383,81808,83800,1775,167383
08-Nov-2017,75020,27196,4434,29047,750,1,4604,8809,14159,164020,78716,83393,1911,164020
15-Nov-2017,75199,27536,4492,29136,110,1,6555,9533,14159,166721,81785,83205,1731,166721
22-Nov-2017,75400,26860,4739,35504,221,1,10264,9750,14159,176898,91058,83758,2082,176898
29-Nov-2017,75919,27454,4367,38275,134,1,6908,9800,14159,177017,91241,84025,1751,177017
06-Dec-2017,76753,27487,4312,48050,88,1,9088,9812,14159,189750,98983,88855,1912,189750
13-Dec-2017,77367,27747,4411,42285,427,2,8346,9652,14159,184396,96560,86102,1734,184396
20-Dec-2017,77993,28449,4157,42626,193,1,5175,9192,14159,181945,93532,86283,2130,181945
27-Dec-2017,78193,28465,4322,43746,207,1,4924,8657,14159,182674,91293,89520,1861,182674
03-Jan-2018,78080,27724,6223,44619,134,1,3628,8697,14159,183265,89483,91621,2161,183265
10-Jan-2018,77134,28024,4981,31649,541,1,5156,8517,14159,170162,81867,86623,1672,170162
17-Jan-2018,76379,27532,4586,28097,294,1,4382,8084,14159,163514,77484,84095,1935,163514
24-Jan-2018,76055,27522,4934,24695,234,0,5426,7865,14159,160890,74023,85247,1620,160890
31-Jan-2018,75863,27596,4698,29146,302,0,2513,7657,14159,161934,71651,88371,1912,161934
07-Feb-2018,75677,27928,4459,24356,1556,1,5983,8873,14159,162992,74192,87093,1707,162992
14-Feb-2018,75467,27401,4429,24623,479,1,5413,8959,14159,160931,73053,85893,1985,160931
21-Feb-2018,75361,23553,4428,32001,274,0,8004,9078,14159,166858,77502,87580,1776,166858
28-Feb-2018,75422,24408,4244,39197,316,0,6478,9384,14159,173608,81933,89479,2196,173608
07-Mar-2018,75608,28135,4054,38168,1561,1,9791,9592,14159,181069,87546,91605,1918,181069
14-Mar-2018,75757,27948,4058,38395,409,1,5444,9107,14159,175278,80569,92657,2052,175278
21-Mar-2018,76170,23905,4335,44339,258,0,7223,10262,14159,180651,83849,95031,1771,180651
28-Mar-2018,76386,30323,4043,42895,327,1,4612,10622,14159,183368,84222,97139,2007,183368
04-Apr-2018,76421,28221,4454,44391,238,0,8646,10511,14159,187041,86214,99016,1811,187041
11-Apr-2018,76270,28533,4157,41141,465,1,5523,10319,14159,180568,79742,98840,1986,180568
18-Apr-2018,76060,28192,5578,40456,272,1,5531,10207,14159,180456,80152,98560,1744,180456
25-Apr-2018,75873,27844,4416,45630,274,1,4676,11010,14159,183883,83668,97964,2251,183883
02-May-2018,75896,29459,4517,48810,270,0,5278,11499,14159,189888,89263,98850,1775,189888
09-May-2018,75666,28221,4408,46300,475,1,4660,11919,14159,185809,86407,97446,1956,185809
16-May-2018,75496,28064,4481,48118,253,2,8387,11465,14159,190425,90184,98477,1764,190425
23-May-2018,75466,27951,4681,54685,192,0,6188,10928,14159,194250,93420,98785,2045,194250
30-May-2018,75426,27517,4412,58199,156,1,11733,11060,14159,202663,100982,99823,1858,202663
06-Jun-2018,75541,28161,4443,64266,90,1,3092,10058,14159,199811,93906,103921,1984,199811
13-Jun-2018,75598,28240,4389,61254,557,1,4143,10730,14159,199071,92978,104164,1929,199071
20-Jun-2018,75602,27716,4219,61676,262,0,4036,11671,14159,199341,93926,103380,2035,199341
27-Jun-2018,75577,28989,3784,59988,150,2,4705,11834,14159,199188,92990,104323,1875,199188
04-Jul-2018,75617,29261,3738,46472,215,237,4373,11719,14159,185791,79666,104085,2040,185791
11-Jul-2018,75636,29041,3691,34113,1054,1,3801,11713,14159,173209,73235,98114,1860,173209
18-Jul-2018,75677,28635,4242,30647,366,1,2600,11808,14159,168135,66404,99623,2108,168135
25-Jul-2018,75962,27827,4021,38129,268,0,5079,11595,14159,177040,73754,101262,2024,177040
01-Aug-2018,76070,28306,3829,39354,277,0,2150,11521,14159,175666,72891,100606,2169,175666
