date,D30:ROSI.MAA1.P,D30:ROSI.MAA1.P1,D30:ROSN.MAB2.P1ZZC,D30:ROSN.MAB2.P1ZZD,D30:ROSN.MAB2.P1ZZE,D30:ROSN.MAB2.P1ZZB,D30:ROSN.MAB2.P1ZZP,D30:ROSN.MAB2.P1ZZP7,D30:ROSN.MAB2.P1ZZR,D30:ROSN.MAB2.P1ZZS,D30:ROSN.MAB2.P1ZZT,D30:ROSN.MAB2.P1ZZW,D30:ROSN.MAB2.P1ZZU,D30:ROSN.MAD2.P1ZZA2,D30:ROSN.MAD2.P1ZZW,D30:ROSI.MAA1.P2,D30:ROSN.MAB2.P2ZZC,D30:ROSN.MAB2.P2ZZD,D30:ROSN.MAB2.P2ZZE,D30:ROSN.MAB2.P2ZZB,D30:ROSN.MAB2.P2ZZP,D30:ROSN.MAB2.P2ZZP7,D30:ROSN.MAB2.P2ZZR,D30:ROSN.MAB2.P2ZZS,D30:ROSN.MAB2.P2ZZT,D30:ROSN.MAB2.P2ZZW,D30:ROSN.MAB2.P2ZZU,D30:ROSN.MAD2.P2ZZA2,D30:ROSN.MAD2.P2ZZW,D30:ROSI.MAA1.P4,D30:ROSN.MAB2.P4ZZC,D30:ROSN.MAB2.P4ZZD,D30:ROSN.MAB2.P4ZZE,D30:ROSN.MAB2.P4ZZB,D30:ROSN.MAB2.P4ZZP,D30:ROSN.MAB2.P4ZZP7,D30:ROSN.MAB2.P4ZZR,D30:ROSN.MAB2.P4ZZT,D30:ROSN.MAB2.P4ZZW,D30:ROSN.MAB2.P4ZZU,D30:ROSN.MAD1.P4,D30:ROSI.MAA1.P3,D30:ROSN.MAB2.P3ZZC,D30:ROSN.MAB2.P3ZZB,D30:ROSN.MAB2.P3ZZP,D30:ROSN.MAB2.P3ZZR,D30:ROSN.MAB2.P3ZZS,D30:ROSN.MAB2.P3ZZT,D30:ROSN.MAB2.P3ZZU,D30:ROSI.MAA1.P9,D30:ROSN.MAB2.P9ZZC,D30:ROSN.MAB2.P9ZZE,D30:ROSN.MAB2.P9ZZB,D30:ROSN.MAB2.P9ZZP,D30:ROSN.MAB2.P9ZZR,D30:ROSN.MAB2.P9ZZS,D30:ROSN.MAB2.P9ZZT,D30:ROSN.MAB2.P9ZZW,D30:ROSN.MAB2.P9ZZU,D30:ROSN.MAD1.P9,D30:ROSN.MAF1.P,D30:ROSN.MAF1.P1,D30:ROSN.MAF1.P2,D30:ROSN.MAF1.P4,D30:ROSN.MAF1.P3,D30:ROSN.MAF1.P9,D30:ROSN.MAB2.PZZW,D30:ROSN.MAB2.P1ZZW,D30:ROSN.MAB2.P2ZZW,D30:ROSN.MAB2.P4ZZW,D30:ROSN.MAB2.P9ZZW,D30:ROSN.MAG1.P,D30:ROSN.MAG1.P1,D30:ROSN.MAG1.P2,D30:ROSN.MAG1.P4,D30:ROSN.MAG1.P9
2019-11-30,84571,60884,21081,2420,11081,1,5726,,30,2,339,33704,0,971,2866,18250,1932,1000,296,1,10083,,1,2,52,6178,1,-115,498,2395,2117,,1988,,,,30,,249,0,,167,2,1,,,0,164,0,2875,2664,2058,4,15,,2,7,158,25,,81151,58464,17250,2395,167,2875,40289,33704,6178,249,158,49.6,57.6,35.8,10.4,5.5
2019-12-31,85219,61384,21884,2545,11861,1,5601,,60,2,288,33549,0,941,1304,18300,1928,1000,260,1,10238,,1,2,52,6077,1,32,464,2345,2166,,2068,,,,,,179,0,,165,2,1,,,0,162,0,3025,2794,2036,3,50,,1,7,163,6,-2,81674,58839,17300,2345,165,3025,39968,33549,6077,179,163,48.9,57,35.1,7.6,5.4
2020-01-31,85394,61784,22021,3217,11311,1,5375,,60,2,293,34031,0,794,2143,18300,1891,1000,189,1,10238,,1,2,53,6113,1,19,584,2185,2095,,2018,,,,,,90,0,,165,2,1,,,0,162,0,2960,2666,1855,3,100,,1,7,176,6,,81177,58567,17300,2185,165,2960,40410,34031,6113,90,176,49.8,58.1,35.3,4.1,5.9
2020-02-29,86318,62484,22724,3507,11480,1,5639,,85,2,331,33702,0,864,2900,18350,1997,1000,282,1,10236,,1,2,53,6060,1,0,694,2285,2239,0,2196,,0,,,,46,0,,164,2,1,,,0,161,0,3035,2731,1939,3,100,,4,7,183,6,,81811,58977,17350,2285,164,3035,39991,33702,6060,46,183,48.9,57.1,34.9,2,6
2020-03-31,88045,63384,26538,4888,13744,6,4600,,111,2,352,31775,0,1104,2208,18400,2003,1000,305,1,10274,,1,2,52,6066,1,17,710,2910,2812,0,2711,,0,,,,99,0,0,191,2,1,,,0,186,0,3160,2871,2077,3,100,,4,7,169,6,,82157,58496,17400,2910,191,3160,38108,31775,6066,99,169,46.4,54.3,34.9,3.4,5.3
2020-04-30,93642,63504,29708,11133,11062,6,3968,,55,1,345,29418,1,421,1555,18400,1676,1000,-18,1,10274,,1,1,51,6395,1,0,1059,7360,7131,0,6588,,0,,37,11,182,0,0,218,3,2,,,0,213,0,4160,3483,2446,3,288,20,4,7,348,6,20,81509,52371,17400,7360,218,4160,36343,29418,6395,182,348,44.6,56.2,36.8,2.5,8.4
2020-05-31,100812,67454,34365,17185,9634,6,3608,,55,1,376,29042,1,547,1770,18400,2126,1170,251,1,10274,,1,1,52,5944,1,0,791,10260,9536,0,8852,50,454,,37,14,169,0,25,238,3,4,,,0,230,0,4460,3525,2350,3,588,20,4,16,298,6,20,82457,50269,17230,10260,238,4460,35452,29042,5944,169,298,43,57.8,34.5,1.6,6.7
2020-06-30,113665,78804,43876,21580,14347,6,3124,,55,2,402,31338,1,282,1031,18400,2391,1480,232,1,10274,,1,1,53,5678,1,30,668,11885,10776,0,10026,,859,,66,14,170,0,56,241,3,4,,,0,234,0,4335,3372,2187,3,620,20,4,16,294,6,,90605,57224,16920,11885,241,4335,37481,31338,5678,170,294,41.4,54.8,33.6,1.4,6.8
2020-07-31,120111,86154,48769,26243,14274,6,2945,,55,2,396,33981,1,147,1097,18450,2537,1750,114,1,10302,,1,1,65,5542,1,22,750,11035,9725,0,9000,137,999,,69,1,104,0,28,247,3,4,,,0,239,0,4225,3322,2187,3,620,20,14,16,225,6,,92118,59911,16700,11035,247,4225,39852,33981,5542,104,225,43.3,56.7,33.2,0.9,5.3
2020-08-31,123648,89804,53795,30050,15633,6,3193,,55,2,410,32343,1,342,13,18550,2832,1993,144,1,10242,,1,1,64,5407,1,24,265,10925,9676,0,9234,137,644,,69,1,398,0,192,244,3,4,,,0,237,0,4125,3156,2090,3,640,20,14,27,259,6,,91605,59754,16557,10925,244,4125,38406,32343,5407,398,259,41.9,54.1,32.7,3.6,6.3
2020-09-30,131970,97604,61036,35720,17273,6,2718,,55,2,420,33366,1,652,363,18650,3288,2493,96,1,10077,,1,1,68,5213,1,12,209,10825,10096,0,9662,,534,,49,1,145,0,68,241,3,4,,,0,234,0,4650,3463,2215,4,705,20,14,30,408,6,,93757,61884,16157,10825,241,4650,39131,33366,5213,145,408,41.7,53.9,32.3,1.3,8.8
2020-10-31,133355,100004,65168,39720,17740,6,2523,,55,2,428,31821,1,269,-514,18750,3609,2737,162,1,9690,,1,1,67,5379,1,2,312,9725,9154,0,8873,,465,,21,1,84,0,,226,2,4,,,0,220,0,4650,3501,2182,4,705,20,1,28,385,6,,90898,60284,16013,9725,226,4650,37669,31821,5379,84,385,41.4,52.8,33.6,0.9,8.3
2020-11-30,138046,105954,69290,43180,18055,5,2409,,55,2,441,33751,1,201,-317,18850,3713,2862,220,1,9644,,1,1,70,5419,1,7,240,8475,8070,,7821,,202,,21,1,181,0,,217,2,2,,,0,213,0,4550,3363,2023,4,727,20,1,30,399,6,,92004,62774,15988,8475,217,4550,39749,33751,5419,181,399,43.2,53.8,33.9,2.1,8.8
2020-12-31,139693,108354,71974,45970,17999,7,2482,,55,2,444,33389,1,221,-92,18950,3853,2967,233,1,9419,,1,1,71,5602,1,13,252,7750,7242,,7051,,107,,12,1,388,0,,214,2,2,,,0,210,0,4425,3196,1970,10,773,20,1,30,396,0,,90756,62384,15983,7750,214,4425,39775,33389,5602,388,396,43.8,53.5,35,5,8.9
2021-01-31,140268,109254,72451,47030,17373,7,2008,,55,2,451,34279,1,56,-652,19000,3885,3012,210,1,9416,,1,1,73,5621,1,0,227,7300,5705,,5537,,96,,12,1,1486,0,,214,2,2,,,0,210,0,4500,3215,1980,7,827,20,1,30,400,0,,90226,62224,15988,7300,214,4500,41787,34279,5621,1486,400,46.3,55.1,35.2,20.4,8.9
2021-02-28,145665,114254,75635,49410,17994,5,2046,,55,3,431,36076,1,0,-516,19050,3951,3097,241,1,9350,,1,1,73,5672,1,0,241,7550,5375,,5193,,68,,12,1,2094,0,,211,2,1,,,0,207,0,4600,3312,2097,7,827,20,1,30,403,0,,93158,64844,15953,7550,211,4600,44244,36076,5672,2094,403,47.5,55.6,35.6,27.7,8.8
2021-03-31,148523,116504,78069,51962,17856,5,1978,,55,3,455,35938,1,81,-85,19150,4092,3167,323,1,9409,,1,1,73,5571,1,-42,347,8150,6175,,5996,,,,12,1,1962,0,22,194,2,1,,,0,191,0,4525,3220,1984,7,827,20,1,31,418,0,,93394,64542,15983,8150,194,4525,43889,35938,5571,1962,418,47,55.7,34.9,24.1,9.2
2021-04-30,150953,117704,80567,53974,18322,5,2261,,55,3,489,34323,1,9,-668,19250,4080,3167,290,1,9411,,1,1,67,5688,1,0,338,8562,6177,,6049,,812,,,,1573,0,40,187,2,1,,,0,183,0,5250,3708,2391,10,946,20,1,38,527,0,,93812,63730,16083,8562,187,5250,42110,34323,5688,1573,527,44.9,53.9,35.4,18.4,10
2021-05-31,140890,107595,73773,50383,14979,1,2138,,,2,460,31220,0,429,-1722,19350,4169,3167,392,1,9435,,1,1,65,5677,1,-59,142,8412,6437,,6340,,812,,,,1163,0,,183,1,1,,,0,181,0,5350,3778,2440,10,933,20,1,44,565,0,,87340,57212,16183,8412,183,5350,38626,31220,5677,1163,565,44.2,54.6,35.1,13.8,10.6
2021-06-30,144688,111195,75475,51773,15034,1,2272,,,2,491,32954,0,314,-928,19450,4184,3167,408,1,9495,,1,1,59,5708,1,-90,215,8412,6455,,6381,,812,,,,1145,0,10,181,1,1,,,0,179,0,5450,3820,2384,10,904,20,1,44,652,0,,89748,59422,16283,8412,181,5450,40458,32954,5708,1145,652,45.1,55.5,35.1,13.6,12
2021-07-31,146913,113195,75689,52493,13691,1,2016,,,2,485,35002,0,151,-632,19550,4217,3167,441,9,9452,,1,1,53,5816,1,-55,139,8440,6650,,6591,2,740,,6,,1042,0,25,178,1,1,,,0,176,0,5550,3896,2498,10,889,20,1,55,679,0,,91253,60702,16383,8440,178,5550,42539,35002,5816,1042,679,46.6,57.7,35.5,12.3,12.2
2021-08-31,149507,115695,76749,52493,14025,1,1888,,,2,493,36562,0,181,-1305,19650,4231,3167,420,9,9467,,1,1,55,5885,1,-142,234,8340,5978,,5939,2,740,,6,,1614,0,,172,1,1,,,0,170,0,5650,3969,2576,10,889,20,1,56,706,0,,93847,63202,16483,8340,172,5650,44767,36562,5885,1614,706,47.7,57.9,35.7,19.3,12.5
2021-09-30,154404,120345,78054,52643,14236,1,2030,,20,2,523,39714,0,58,-604,19650,4172,3167,382,9,9459,,1,1,54,5952,1,-33,82,8490,6180,,6136,12,740,,6,,1552,0,15,169,1,1,,,0,168,0,5750,4080,2663,10,889,20,1,56,695,0,,98594,67702,16483,8490,169,5750,47913,39714,5952,1552,695,48.6,58.7,36.1,18.3,12.1
2021-10-31,156047,122345,76794,52666,13473,1,2380,,155,2,542,42471,0,-2,-383,19650,4376,3167,566,9,9315,,1,1,53,5893,1,0,38,8035,6399,,6358,23,485,,6,,1123,0,,167,0,1,,,0,166,0,5850,4180,2760,10,889,22,1,56,692,1,,100214,69679,16483,8035,167,5850,50178,42471,5893,1123,692,50.1,61,35.8,14,11.8
2021-11-30,158444,124845,76837,52643,13032,1,2715,,195,3,567,44527,0,61,-453,19650,4447,3167,659,9,9005,,1,1,43,6142,1,-65,-78,7835,6444,,6415,23,485,,6,,877,0,,164,0,1,,,0,163,0,5950,4058,2595,10,1053,22,11,59,737,1,,102634,72202,16483,7835,164,5950,52284,44527,6142,877,737,50.9,61.7,37.3,11.2,12.4
2021-12-31,159668,126345,76721,52643,12868,1,2617,,235,3,632,46137,0,237,-255,19650,4609,3167,771,9,8902,,1,1,42,6084,1,7,-43,7485,6145,,6115,20,485,,6,,829,0,,163,0,1,,,0,161,0,6025,4048,2563,10,1107,22,1,72,764,1,,103858,73702,16483,7485,163,6025,53814,46137,6084,829,764,51.8,62.6,36.9,11.1,12.7
2022-01-31,158565,126545,76346,52643,12417,1,2681,,235,3,634,46646,0,282,-837,19650,4782,3167,904,9,8855,,1,1,42,5958,1,0,-60,6135,4950,,4923,20,485,,,,680,0,,160,0,1,,,0,159,0,6075,4083,2580,10,1107,22,1,72,779,1,,102755,73902,16483,6135,160,6075,54063,46646,5958,680,779,52.6,63.1,36.1,11.1,12.8
2022-02-28,159139,127345,75688,52643,11665,1,2539,,235,3,626,48254,0,344,109,19650,4839,3167,868,9,8855,,1,1,42,5902,1,0,65,5435,4387,,4362,19,485,,,,545,0,,159,0,1,,,0,158,0,6550,4489,2917,10,1107,22,1,79,840,3,,103329,74702,16483,5435,159,6550,55541,48254,5902,545,840,53.8,64.6,35.8,10,12.8
2022-03-31,159756,128345,76318,52643,12267,1,2441,,235,3,601,48746,0,86,189,19730,5120,3167,900,9,8855,,1,1,47,5697,1,15,-159,4835,3854,,3813,19,485,,,,478,0,,156,0,1,,,0,154,0,6690,4398,2868,10,1263,22,1,81,914,3,,103946,75702,16563,4835,156,6690,55834,48746,5697,478,914,53.7,64.4,34.4,9.9,13.7
2022-04-30,160219,128945,77171,52643,12831,1,2218,,235,3,610,48707,0,148,-1474,19730,5154,3167,856,9,8854,,1,1,45,5666,1,-41,-290,4550,3577,,3518,19,400,,,,554,0,10,154,0,0,,,0,153,0,6840,4499,2901,10,1270,51,1,81,924,3,,104409,76302,16563,4550,154,6840,55851,48707,5666,554,924,53.5,63.8,34.2,12.2,13.5
2022-05-31,161712,129945,77461,52643,12918,1,2538,,235,3,621,49086,0,282,-824,19780,5074,3167,728,9,9004,,1,1,39,5651,1,26,39,4200,3038,,2944,19,400,,,,743,0,,152,0,0,,,0,151,0,7635,4972,3252,11,1442,69,1,104,1032,4,,105902,77302,16613,4200,152,7635,56513,49086,5651,743,1032,53.4,63.5,34,17.7,13.5
2022-06-30,162327,130745,77346,52643,12820,1,2885,,235,3,590,49685,0,157,-926,19810,5476,3167,1106,9,8662,,1,1,40,5620,1,236,-256,3910,2766,,2548,21,400,,,,723,0,20,152,0,1,,,0,151,0,7710,4925,3219,8,1438,69,1,137,1127,4,,106517,78102,16643,3910,152,7710,57155,49685,5620,723,1127,53.7,63.6,33.8,18.5,14.6
2022-07-31,163416,131730,76916,52228,12936,1,3188,,235,3,571,50817,0,-8,-1730,19840,5282,3167,785,9,8925,,1,1,40,5582,1,233,-456,3910,2927,,2655,21,400,,,,562,0,37,151,0,1,,,0,150,0,7785,4973,3311,8,1498,69,1,135,1095,4,,108021,79502,16673,3910,151,7785,58056,50817,5582,562,1095,53.7,63.9,33.5,14.4,14.1
2022-08-31,165544,132915,77181,51813,13653,1,3386,,235,3,583,51527,0,298,-3216,20900,5394,3167,802,9,9275,,1,1,50,6169,1,302,-637,3690,2739,,2458,12,400,,,,539,0,,149,0,1,,,0,148,0,7890,5202,3427,8,1398,69,1,129,1077,5,,110564,81102,17733,3690,149,7890,59312,51527,6169,539,1077,53.6,63.5,34.8,14.6,13.6
2022-09-30,166927,134300,78164,51598,14781,1,3543,,235,3,570,51784,0,86,-3755,20900,5469,3167,841,9,9189,,1,1,55,6174,1,366,-509,3590,2558,,2313,16,400,,,,616,0,,147,0,1,,,0,146,0,7990,5407,3588,6,1270,69,2,115,1117,5,,112162,82702,17733,3590,147,7990,59691,51784,6174,616,1117,53.2,62.6,34.8,17.2,14
2022-10-31,167981,135485,77412,51408,14045,1,3905,,235,3,492,53437,0,100,-1670,20900,5432,3167,779,9,9474,,1,1,56,5926,1,146,-278,3410,2341,,2173,17,300,,,,752,0,,146,0,1,,,0,144,0,8040,5516,3664,6,1251,69,2,128,1065,5,,113406,84077,17733,3410,146,8040,61179,53437,5926,752,1065,53.9,63.6,33.4,22.1,13.2
2022-11-30,172144,139820,77511,51143,13902,1,3925,,235,3,556,57586,2,10,-1819,20960,5295,3167,649,9,9675,,1,1,54,5925,1,0,-78,3230,2296,,2160,12,300,,,,622,0,98,144,0,2,,,0,142,0,7990,5703,3850,6,1113,79,2,157,926,5,,117834,88677,17793,3230,144,7990,65059,57586,5925,622,926,55.2,64.9,33.3,19.3,11.6
2022-12-31,172866,140984,76681,51118,13589,1,4175,,175,6,570,59375,2,305,-1865,20570,4883,2777,676,9,9687,,1,1,55,5933,1,30,-24,3230,1890,,1775,17,300,,,,1023,0,49,142,0,2,,,0,139,0,7940,5645,3813,2,1113,79,2,173,920,5,,118971,89866,17793,3230,142,7940,67252,59375,5933,1023,920,56.5,66.1,33.3,31.7,11.6
2023-01-31,172981,141659,75910,50993,13090,1,4340,,175,6,573,60652,3,-17,-571,20380,4772,2587,710,9,9798,,1,1,58,5740,1,33,7,2910,1755,,1615,17,300,,,,838,0,,142,0,2,,,0,139,0,7890,5588,3754,2,1113,79,2,172,928,5,,119401,90666,17793,2910,142,7890,68157,60652,5740,838,928,57.1,66.9,32.3,28.8,11.8
2023-02-28,174232,142832,77129,50578,14248,1,4475,,175,6,574,60470,3,265,-1108,20380,5159,2587,1028,9,9575,,1,1,59,5575,1,98,40,2990,1836,,1713,17,300,,,,837,0,25,140,0,3,,,0,137,0,7890,5537,3707,2,1113,79,2,176,975,5,,121067,92254,17793,2990,140,7890,67856,60470,5575,837,975,56,65.5,31.3,28,12.4
2023-03-31,179454,147767,79393,51532,15253,2,4354,,175,6,594,63240,3,144,-1181,20380,4933,2587,858,9,9870,,1,1,58,5508,1,21,0,3270,2248,,2044,17,300,,,,705,0,32,147,0,3,,,0,143,0,7890,5525,3712,2,1113,79,2,182,981,5,,125335,96235,17793,3270,147,7890,70434,63240,5508,705,981,56.2,65.7,31,21.6,12.4
2023-04-30,164348,132757,66202,41932,11846,10,3903,,80,6,614,61939,4,115,-784,20380,4878,2587,754,9,9969,,1,1,58,5462,1,50,-232,3170,2464,0,2080,19,100,,,20,567,0,73,151,0,3,,,0,147,0,7890,5535,3703,2,1023,79,2,186,1059,4,,119829,90825,17793,3170,151,7890,69027,61939,5462,567,1059,57.6,68.2,30.7,17.9,13.4
2023-05-31,165748,134342,65719,41517,11543,9,3498,,80,6,626,64401,4,295,-535,20440,4985,2587,797,9,9822,,1,1,58,5562,1,-147,-22,2920,2427,0,2057,22,100,,,20,351,0,0,156,0,4,,,,152,0,7890,5465,3623,2,1016,79,2,197,1125,4,,121644,92825,17853,2920,156,7890,71439,64401,5562,351,1125,58.7,69.4,31.2,12,14.3
2023-06-30,166754,135507,64993,41082,11479,9,3466,,80,6,620,66330,4,122,291,20440,5119,2587,925,9,9994,,1,1,59,5255,1,43,-104,3060,2557,,2185,33,100,,,15,355,0,,157,0,3,,,,153,0,7590,5232,3418,2,950,28,1,180,1192,4,,123085,94425,17853,3060,157,7590,73133,66330,5255,355,1192,59.4,70.2,29.4,11.6,15.7
2023-07-31,173639,141892,68248,41067,14148,10,4349,,80,6,660,68535,4,80,-1371,20440,5184,2587,802,9,9896,,1,1,61,5287,0,10,53,3560,2574,,2230,31,100,,,15,840,0,,157,0,3,,,,153,0,7590,5273,3434,2,950,28,1,175,1157,4,,129985,100825,17853,3560,157,7590,75819,68535,5287,840,1157,58.3,68,29.6,23.6,15.2
2023-08-31,176515,143977,68293,40652,14235,27,4365,,80,6,647,70556,4,71,725,20440,5493,2587,990,9,9773,,1,1,62,5100,0,0,-28,4350,2914,,2565,31,100,,,27,1279,0,45,158,0,3,,,,155,0,7590,5278,3481,2,950,28,1,173,1154,4,,133276,103325,17853,4350,158,7590,78089,70556,5100,1279,1154,58.6,68.3,28.6,29.4,15.2
2023-09-30,180032,146662,69538,41337,14799,29,4695,,140,6,660,71591,4,0,93,20770,5885,2887,1303,9,9879,,1,1,62,4932,0,75,5,4850,3047,136,2547,31,100,,,22,1651,0,,160,0,3,,,,157,0,7590,5303,3539,2,950,28,1,174,1129,4,,135673,105325,17883,4714,160,7590,79303,71591,4932,1651,1129,58.5,68,27.6,35,14.9
2023-10-31,182140,148747,70545,40922,16154,30,5265,,140,6,661,72097,4,0,199,20770,5868,2887,1330,9,9833,,1,1,63,4994,0,111,22,4875,3026,136,2615,30,,,,41,1779,0,53,158,0,3,,,,155,0,7590,5314,3569,2,950,28,1,183,1109,4,-25,138196,107825,17883,4739,158,7590,79979,72097,4994,1779,1109,57.9,66.9,27.9,37.5,14.6
2023-11-30,184254,150332,70903,40607,16714,40,6178,,140,6,672,72390,4,0,746,20800,5464,2887,854,9,10404,,1,1,61,4858,0,75,146,5375,3404,,3130,19,300,,,22,1630,0,59,157,0,2,,,,155,0,7590,5323,3582,2,970,28,1,184,1078,4,,140760,109725,17913,5375,157,7590,79956,72390,4858,1630,1078,56.8,66,27.1,30.3,14.2
