tender_date,maturity,coupon,tender_no,offered,bids_n,success_n,bid,accepted,coverage,over_under,low_acc,high_acc,wavg,low_unacc,high_unacc,wavg_unacc
2026-02-19,2029-04-20,0.03,980,200,30,12,887,200,4.435,0,3.35,3.3575,3.3546,3.3575,3.39,3.3734
2026-02-19,2035-05-15,0.045,980,250,52,24,881,250,3.524,0,4.27,4.295,4.2829,4.295,4.3375,4.3107
2026-02-12,2031-05-15,0.015,979,250,46,20,1030,250,4.12,0,3.97,3.985,3.9773,3.985,4.025,4.0005
2026-02-12,2035-05-15,0.045,979,200,40,15,755,200,3.775,0,4.42,4.435,4.4289,4.4375,4.48,4.4553
2026-02-05,2030-05-15,0.045,978,225,53,9,965,225,4.2889,0,3.735,3.7475,3.7422,3.75,3.8175,3.7753
2026-02-05,2034-05-15,0.0425,978,175,52,14,663,175,3.7886,0,4.3175,4.3375,4.3304,4.3375,4.3925,4.3588
2026-02-05,2054-05-15,0.05,978,50,24,10,171,50,3.42,0,5.095,5.115,5.1097,5.115,5.1675,5.14
2026-01-29,2031-05-15,0.015,977,225,54,21,1001,225,4.4489,0,4.0225,4.0425,4.0359,4.0425,4.0925,4.0598
2026-01-29,2033-04-14,0.035,977,175,49,24,610,175,3.4857,0,4.285,4.31,4.3,4.31,4.365,4.3202
2026-01-29,2051-05-15,0.0275,977,50,31,14,237,50,4.74,0,5.1625,5.195,5.1812,5.195,5.2325,5.2118
2026-01-22,2030-05-15,0.045,976,225,54,13,987,225,4.3867,0,3.7075,3.73,3.7225,3.73,3.8225,3.7579
2026-01-22,2035-05-15,0.045,976,225,52,16,825,225,3.6667,0,4.445,4.46,4.4526,4.46,4.545,4.4914
2026-01-15,2030-05-15,0.045,975,200,37,7,1070,200,5.35,0,3.57,3.5775,3.5759,3.58,3.65,3.607
2026-01-15,2035-05-15,0.045,975,250,56,11,1162,250,4.648,0,4.31,4.32,4.3141,4.32,4.3825,4.3469
2025-12-11,2030-05-15,0.045,974,175,40,8,891,175,5.0914,0,3.79,3.805,3.7954,3.805,3.8975,3.8444
2025-12-11,2033-04-14,0.035,974,200,41,12,665,200,3.325,0,4.2675,4.285,4.2772,4.285,4.3775,4.3288
2025-12-11,2054-05-15,0.05,974,75,46,11,283,75,3.7733,0,5.135,5.1475,5.1403,5.1475,5.28,5.1858
2025-12-04,2030-05-15,0.045,973,150,31,9,689,150,4.5933,0,3.575,3.5875,3.581,3.5875,3.6425,3.615
2025-12-04,2035-05-15,0.045,973,225,39,14,612,225,2.72,0,4.2875,4.3025,4.2953,4.3025,4.3725,4.3332
2025-12-04,2051-05-15,0.0275,973,75,41,3,392,75,5.2267,0,5.0875,5.0975,5.0923,5.0975,5.18,5.131
2025-11-27,2030-05-15,0.045,972,225,46,15,869,225,3.8622,0,3.4625,3.4775,3.4702,3.4775,3.54,3.4981
2025-11-27,2034-05-15,0.0425,972,225,59,7,1228,225,5.4578,0,4.09,4.1,4.094,4.1,4.2,4.1292
