date,D9:BTO.WAF,D9:BTO.WAF.N2004,D9:BTO.WAF.N2105,D9:BTO.WAF.N2304,D9:BTO.WAF.N2405,D9:BTO.WAF.N2504,D9:BTO.WAF.N2605,D9:BTO.WAF.N2704,D9:BTO.WAF.N2805,D9:BTO.WAF.N2904,D9:BTO.WAF.N3005,D9:BTO.WAF.N3105,D9:BTO.WAF.N3205,D9:BTO.WAF.N3304,D9:BTO.WAF.N3405,D9:BTO.WAF.N3505,D9:BTO.WAF.N3605,D9:BTO.WAF.N3704,D9:BTO.WAF.N3805,D9:BTO.WAF.N4105,D9:BTO.WAF.N5105,D9:BTO.WAF.N5405,D9:BTO.WAF.I2509,D9:BTO.WAF.I3009,D9:BTO.WAF.I3509,D9:BTO.WAF.I4009,D9:BTO.WAF.I5009
2025-06-06,50285,,,,,,6471,2442,6056,2883,5036,4584,6006,4521,1968,3216,3004,1759,,588,631,637,156,24,70,232,
2025-06-13,49592,,,,,,6799,3014,7277,4196,4793,3051,6197,3038,2333,3837,1983,1344,,478,303,574,57,77,77,163,
2025-06-20,38135,,,,,,4822,2368,3381,2642,2962,4043,4673,3388,2352,2903,1328,1431,,386,558,641,1,150,8,98,
2025-06-27,52749,,,,,,5842,3243,5866,2775,4380,5577,6280,4255,2311,4079,2129,3186,,443,685,908,371,18,26,378,
2025-07-04,47664,,,,,,5169,2234,4531,3467,3119,6111,5022,4129,2261,5827,1818,1275,,1159,612,595,129,14,63,129,
2025-07-11,74112,,,,,,8722,935,6535,3702,4935,24013,6380,3980,2819,4152,1797,2196,,1661,1307,577,6,34,106,255,
2025-07-18,49564,,,,,,5434,1337,5206,3855,3284,10456,4700,3735,1567,2697,1509,2466,,1526,1238,280,21,32,79,140,
2025-07-25,56280,,,,,,4109,2953,5506,1746,4571,9639,7468,4510,1326,3876,3479,4093,,875,1551,242,74,56,51,154,
2025-08-01,48457,,,,,,4532,2341,4463,2884,4150,9769,5778,3316,1553,2968,1102,2631,,646,1624,278,74,82,154,112,
2025-08-08,57992,,,,,,5042,697,4004,3353,7949,11431,3351,4920,2816,4720,2188,5290,,787,674,347,0,80,176,165,
2025-08-15,53269,,,,,,5526,832,4624,5294,6785,8745,4897,3352,1341,4012,2129,2926,,680,1381,180,2,77,129,356,
2025-08-22,56951,,,,,,4121,390,6156,8632,6127,9743,4739,3573,2699,3988,1945,2552,,625,983,242,147,64,60,163,
2025-08-29,56997,,,,,,2886,1818,5947,6635,9248,9248,3746,2388,2461,4836,2896,1112,,1193,1303,508,603,42,65,59,
2025-09-05,47607,,,,,,2957,1460,4289,4985,6408,8002,3384,2085,2982,3446,1942,961,,716,1414,582,1241,177,237,340,
2025-09-12,62128,,,,,,2698,2373,6267,7536,10025,9212,4034,3593,3735,4469,1996,1281,,1805,1431,432,837,93,85,225,
2025-09-19,57144,,,,,,1794,1697,4423,9303,5822,7792,4457,4581,3499,5269,3574,869,,1225,1679,543,140,62,166,249,
2025-09-26,81801,,,,,,2994,2565,6741,9631,9464,10011,7528,8793,2445,6125,2793,2942,,1248,2106,299,,156,223,802,4934
2025-10-03,82849,,,,,,3453,2470,10141,10065,13999,10274,5955,7596,3454,4870,2871,1337,,1420,3080,418,,106,388,451,500
2025-10-10,63357,,,,,,976,3403,7204,7620,13230,7772,5139,4315,2771,4072,2599,884,,1168,1131,464,,24,209,170,206
2025-10-17,58680,,,,,,666,2997,4120,7043,8434,8396,4609,4639,4185,4852,2750,1207,,1395,2034,746,,42,96,292,177
2025-10-24,65405,,,,,,1613,3207,4551,7757,10216,8326,8248,3924,1804,5707,4593,706,,1128,1942,1264,,50,30,224,115
2025-10-31,52465,,,,,,442,2407,4766,5845,7752,8360,4661,3122,2953,4071,3947,779,,1087,1362,707,,14,6,80,104
2025-11-07,70488,,,,,,4407,2715,7381,7280,6859,12280,6775,5401,2755,4882,4045,1609,,1406,1186,653,,145,277,218,213
2025-11-14,71477,,,,,,4985,2040,8168,6802,9407,10461,8375,5932,1323,5567,3139,1908,,1406,821,776,,95,59,67,146
2025-11-21,74939,,,,,,1353,2324,10579,5473,12556,10058,8212,5435,2242,4733,5406,1174,,2266,1620,647,,468,95,151,147
2025-11-28,121339,,,,,,3402,2021,13746,9332,12187,14318,9145,7772,2812,11324,27007,2633,,2450,1602,721,,81,242,283,259
2025-12-05,94834,,,,,,2555,1931,15422,4895,14494,15984,6732,9133,4284,6507,6201,1566,,2227,1778,890,,47,34,117,34
2025-12-12,96649,,,,,,2421,2319,21489,5631,10461,12552,6889,14391,3632,7321,2778,1355,,2010,1817,1283,,47,24,177,53
2025-12-19,63942,,,,,,1435,2486,13834,4638,10428,8295,4766,4037,2365,4300,1641,987,,1743,1404,760,,193,27,130,473
2025-12-26,29363,,,,,,665,1381,5752,2660,5372,2312,2245,2470,1718,2173,666,592,,206,772,172,,32,8,5,163
2026-01-02,21115,,,,,,679,1329,3077,2422,3893,1308,2793,1105,565,1390,959,283,,286,709,125,,15,5,8,164
2026-01-09,65054,,,,,,1917,1773,10607,4610,9836,8961,5789,8295,1050,4449,2874,1293,,1052,1388,517,,59,24,124,437
2026-01-16,75338,,,,,,2400,3591,11483,6628,12297,8786,5638,5750,1923,4663,6559,1698,,1828,1436,475,,41,14,58,69
2026-01-23,74111,,,,,,1742,1626,10127,6686,11134,13866,4849,5595,2202,7488,4537,1723,,963,1034,227,,133,56,50,73
2026-01-30,73997,,,,,,2846,1589,10326,5174,8805,10925,6976,4464,2601,9177,4484,2988,,1955,1260,342,,59,17,5,3
2026-02-06,71667,,,,,,1501,1832,6947,5637,8899,12997,6646,5006,1982,7503,4610,3013,,1867,1617,661,,73,43,111,723
2026-02-13,73789,,,,,,1423,3186,6652,6662,12207,12521,6784,4285,2860,5245,4835,2932,,1971,1176,669,,32,50,92,206
2026-02-20,80358,,,,,,772,6025,9375,4803,12676,12864,7846,4973,2776,6143,3753,4945,,1711,987,317,,39,75,53,225
2026-02-27,63531,,,,,,1108,3471,8856,3422,6915,10276,6066,5059,2192,7989,3406,1760,,1426,1008,250,,71,42,52,162
2026-03-06,80102,,,,,,856,3174,11084,4183,8137,10776,8407,3300,2995,8894,8462,5842,,1961,1208,469,,107,116,2,127
2026-03-13,76819,,,,,,1215,4175,8936,5403,7212,10629,8285,5731,2327,8103,8537,2219,,1474,1245,861,,198,42,60,165
2026-03-20,86923,,,,,,1853,2787,8745,6772,6304,10431,11028,6190,3568,9243,10166,3568,,1928,993,2509,,530,152,26,130
2026-03-27,84774,,,,,,1332,4953,6734,7227,6001,8022,9325,7180,4161,8706,13790,3769,,1013,1305,663,,273,154,33,132
2026-04-03,75476,,,,,,2470,2995,7109,6701,6509,7254,9517,5190,3733,5944,11946,1870,,1394,1020,371,,195,253,478,528
2026-04-10,80983,,,,,,2016,3968,7015,5132,8206,8385,9407,6000,4334,6232,11684,4056,,1687,978,414,,381,195,469,422
2026-04-17,86756,,,,,,1637,5263,6133,5716,11008,10046,11343,5805,3933,4383,13756,4069,,908,955,873,,157,290,256,226
2026-04-24,72377,,,,,,1267,6015,5754,6024,9528,8991,4774,4617,3525,4601,11445,2338,,1222,1121,281,,99,435,135,204
2026-05-01,70040,,,,,,786,3905,4687,6474,9766,10337,7957,5016,3302,4556,8868,1184,,1088,839,541,,106,268,240,120
2026-05-08,93983,,,,,,2164,5139,7330,7023,15229,10423,8925,4261,4768,6870,13017,4461,,1533,1207,813,,168,302,287,62
2026-05-15,80150,,,,,,1189,7753,7402,6186,9210,8631,5315,4948,5212,5307,11033,1968,,1534,1030,557,,149,695,1271,759
2026-05-22,77747,,,,,,,6185,8508,6139,9398,8248,4770,5795,3065,7128,11773,1142,,1222,1309,1361,,250,495,745,214
2026-05-29,87374,,,,,,,4777,9686,10483,12587,11681,7481,7085,2283,6618,9232,1136,,866,858,516,,242,532,1022,288
2026-06-05,77411,,,,,,,2693,8027,10407,10178,11062,5393,5423,1666,7474,9224,1368,,1254,839,437,,168,578,840,379
2026-06-12,78141,,,,,,,3305,9461,7003,10421,13995,8135,2941,2697,5566,7364,2256,,1191,759,285,,90,767,1484,421
2026-06-19,79694,,,,,,,1364,8693,8087,11516,12307,8233,3088,3182,7571,11056,1424,,689,938,317,,20,335,479,394
2026-06-26,83020,,,,,,,3389,10479,7571,8411,17279,9912,1557,3380,8034,7480,1388,,720,1641,704,,67,309,302,397
2026-07-03,72730,,,,,,,3441,8805,6791,5452,16530,6677,2748,2236,7935,5748,1499,,1369,1268,585,,240,666,523,218
2026-07-10,68194,,,,,,,6626,7449,7642,7405,10793,5159,3155,2356,6266,6012,1124,,1716,896,162,,136,652,536,110
2026-07-17,82681,,,,,,,5845,10409,8458,10416,10793,5813,6345,2394,7582,8969,2348,,830,987,371,,141,291,442,249
2026-07-24,94004,,,,,,,3400,9981,6719,6778,8682,3883,6280,2533,6292,9284,2570,24889,885,956,200,,58,304,297,13
2026-07-31,85069,,,,,,,2777,9898,7231,8860,6515,8089,6635,3145,9232,7647,3079,8557,424,1475,517,,327,272,380,11
2026-08-07,77701,,,,,,,2501,7603,7911,6822,7100,6656,5244,1649,8114,9397,2069,8637,464,928,813,,243,660,877,12
2026-08-14,76789,,,,,,,3191,8020,6473,10996,9575,7838,5505,1971,6415,7698,1750,3640,345,1057,480,,103,1155,450,127
2026-08-21,77802,,,,,,,1901,7569,8867,9552,10542,8527,5246,1180,7342,7912,2370,3602,258,1031,418,,154,684,587,59
2026-08-28,66573,,,,,,,2326,9055,5869,7702,9371,6396,4324,1208,6562,5130,1520,4507,223,1013,314,,76,323,645,9
2026-09-04,71033,,,,,,,3779,8277,6816,9963,12170,6535,3022,2385,6576,5139,1463,2017,420,769,500,,366,275,549,11
