date,C50:MCA.MDB.BM,C50:MCA.MDB.M1,C50:MCA.MDB.C1,C50:MCA.MDB.C31,C50:MCA.MDB.S,C50:MCA.MDB.C32,C50:MCA.MDB.C33,C50:MCA.MDC.DC,C50:MCA.MDC.G,C50:MCA.MDC.G1,C50:MCA.MDC.G2,C50:MCA.MDC.PSC,C50:MCA.MDC.PSC1,C50:MCA.MDC.PSC2,C50:MCA.MDC.PSC9,C50:MCA.MDC.T,C50:MCA.MDC.T1,C50:MCA.MDC.T2,C50:MCA.MDC.V,C50:MCA.MDC.W,C50:MCA.MDC.W1,C50:MCA.MDC.W2
2021-12-31,391602,141425,8393,133032,250177,117639,132538,576332,50168,91175,41007,526164,514212,7008,4944,-106036,56987,163023,-54604,-24090,11213,35302
2022-01-31,384879,136858,8284,128574,248021,116541,131479,572047,42509,90175,47666,529538,516481,6731,6327,-105841,62599,168440,-55500,-25827,13046,38873
2022-02-28,386923,136841,8263,128578,250082,117114,132968,572268,41797,89598,47801,530471,519011,6741,4720,-103812,57393,161205,-55571,-25962,11400,37362
2022-03-31,390385,140155,8361,131794,250230,117232,132997,575549,44402,88349,43946,531147,520526,6408,4213,-103380,58827,162207,-56273,-25511,12348,37859
2022-04-30,391962,141243,8433,132810,250718,116300,134419,583834,48697,88645,39949,535138,522775,6599,5764,-107222,65364,172586,-57243,-27408,12459,39867
2022-05-31,389594,138682,8391,130291,250911,113815,137096,579195,42580,88950,46370,536616,524967,6607,5042,-105634,61471,167105,-57809,-26159,12263,38422
2022-06-30,389035,136489,8339,128149,252546,113374,139172,582819,42839,88343,45504,539980,527136,6546,6298,-108701,66293,174994,-57934,-27150,11697,38847
2022-07-31,390828,135149,8315,126834,255679,112319,143360,583478,43744,88133,44390,539734,528177,6677,4880,-106034,61010,167044,-58911,-27705,11826,39531
2022-08-31,391713,134293,8311,125982,257420,110552,146867,585882,42620,88836,46216,543262,529915,7364,5983,-105258,66698,171956,-59354,-29557,13399,42956
2022-09-30,391912,132819,8326,124493,259093,111110,147983,592498,43798,88998,45199,548699,532221,7702,8777,-112141,82978,195119,-58914,-29531,13062,42593
2022-10-31,393508,131614,8373,123242,261894,110856,151038,590666,42453,87956,45503,548213,533494,8008,6711,-108706,74593,183299,-59455,-28997,13154,42150
2022-11-30,397263,131733,8386,123347,265530,111163,154366,591090,42541,87647,45105,548549,536160,7684,4705,-102935,75287,178222,-60997,-29895,13058,42953
2022-12-31,398778,129286,8514,120772,269492,109784,159708,594069,45404,85699,40295,548666,536441,7546,4678,-104916,69469,174385,-61162,-29212,11678,40890
2023-01-31,393400,124094,8365,115729,269306,107961,161345,587252,38586,85151,46565,548666,537109,7319,4239,-105319,67182,172501,-61676,-26856,14116,40972
2023-02-28,394722,123531,8396,115134,271191,108098,163093,588749,38267,85407,47140,550482,538057,7410,5016,-104164,72316,176480,-61949,-27914,13035,40949
2023-03-31,395721,123092,8483,114609,272630,107148,165482,586428,36564,87208,50644,549864,538482,7642,3739,-100758,64469,165226,-61468,-28481,13975,42457
2023-04-30,398520,123481,8485,114997,275039,106885,168154,592336,41082,73016,31934,551253,539442,7693,4118,-102348,68179,170528,-62320,-29147,13177,42324
2023-05-31,395740,120150,8416,111734,275590,104987,170603,587567,34697,72429,37732,552870,540265,7524,5081,-99119,72809,171928,-62915,-29794,13602,43396
2023-06-30,399129,120711,8382,112329,278417,105283,173134,590243,36313,72053,35740,553930,542642,7529,3760,-100112,67843,167955,-62974,-28029,15210,43239
2023-07-31,403358,120829,8386,112443,282530,106738,175792,591664,37609,73078,35469,554055,542988,7834,3233,-94865,70750,165615,-64167,-29274,13930,43204
2023-08-31,403361,118898,8389,110509,284463,106151,178312,591277,34868,73813,38945,556409,543893,8007,4509,-95250,77969,173220,-64526,-28139,15192,43330
2023-09-30,404877,118983,8439,110544,285894,106569,179325,592629,35627,74634,39007,557002,544936,8417,3649,-92052,75094,167147,-65621,-30079,13731,43810
2023-10-31,405884,118567,8428,110139,287316,107097,180219,598075,37333,75473,38140,560742,547476,8454,4812,-96040,78989,175029,-66496,-29656,14193,43849
2023-11-30,410532,120256,8473,111783,290276,107416,182860,597160,35542,74782,39241,561618,549424,8902,3292,-89991,77388,167379,-66871,-29766,15419,45185
2023-12-31,412988,120648,8614,112034,292340,107155,185185,601576,40002,74911,34910,561574,549044,9039,3491,-91280,73120,164400,-66125,-31182,13813,44995
2024-01-31,408260,116669,8449,108220,291591,105967,185624,595287,32985,73818,40833,562301,550312,9027,2962,-89530,74629,164159,-66880,-30616,14620,45236
2024-02-29,407638,115725,8464,107262,291913,105107,186806,593318,29645,74137,44493,563674,551991,8780,2902,-85700,73641,159341,-67161,-32818,15618,48436
2024-03-31,411299,117964,8493,109471,293336,106147,187188,595999,30791,75247,44456,565208,553300,8593,3314,-85795,74063,159858,-67066,-31838,15140,46978
2024-04-30,412323,117773,8289,109483,294551,106433,188118,594249,28868,77015,48148,565381,553992,7886,3503,-82786,78268,161054,-67834,-31305,15169,46474
2024-05-31,410122,115160,8428,106732,294962,104952,190010,596446,28550,67591,39042,567896,557194,7876,2827,-86903,72635,159538,-68481,-30940,14666,45606
2024-06-30,412948,117693,8428,109264,295255,104791,190464,595544,27636,70996,43359,567908,557041,8019,2848,-84878,72200,157078,-67984,-29734,15459,45193
2024-07-31,416089,116910,8390,108520,299178,105791,193388,600904,31563,72981,41418,569341,557031,7959,4351,-85511,82589,168100,-68991,-30313,15374,45687
2024-08-31,415026,115536,8403,107132,299490,103711,195779,596502,24875,73595,48720,571627,559295,8712,3620,-81794,78108,159902,-69532,-30150,16152,46301
2024-09-30,417104,116105,8419,107686,301000,104807,196192,600988,27448,73020,45572,573540,560408,9096,4036,-82562,77143,159705,-68393,-32929,16652,49581
2024-10-31,418981,116650,8442,108208,302331,105380,196951,602046,26432,73316,46884,575615,561855,9615,4145,-84939,82672,167610,-69350,-28776,16644,45420
2024-11-30,424404,119147,8513,110634,305257,107313,197944,607710,28985,73571,44586,578725,565053,9911,3761,-83313,85225,168538,-69968,-30025,15414,45439
2024-12-31,430065,121924,8696,113228,308141,107932,200208,614483,31807,73744,41937,582676,566801,9575,6301,-81899,98199,180098,-70180,-32339,15139,47478
2025-01-31,426999,119453,8600,110853,307545,107363,200182,607110,23913,73000,49087,583197,568532,9714,4950,-77525,100201,177726,-70846,-31741,16448,48189
2025-02-28,428046,119410,8639,110771,308637,108499,200137,605955,21346,74897,53551,584608,569426,10092,5091,-75179,101873,177052,-71371,-31359,15795,47154
2025-03-31,431431,122194,8637,113556,309237,110709,198529,608972,23600,74555,50955,585372,570710,10647,4014,-75173,90137,165310,-70771,-31597,15888,47486
2025-04-30,435082,125554,8657,116897,309528,111294,198233,614726,28570,65230,36660,586156,571931,9669,4556,-76323,95853,172176,-71278,-32044,16524,48568
2025-05-31,432594,124052,8589,115464,308541,109018,199523,613068,24416,63854,39438,588652,575525,9323,3804,-76063,94461,170524,-71741,-32670,17059,49729
2025-06-30,433507,124682,8605,116077,308825,109667,199159,617264,26939,63917,36977,590324,577786,8815,3724,-76807,96287,173094,-71874,-35075,16104,51179
2025-07-31,439451,127017,8601,118416,312433,110988,201446,620337,28271,66230,37959,592065,578983,9244,3839,-73136,96963,170098,-72182,-35569,15729,51298
2025-08-31,436632,124399,8630,115769,312233,109937,202296,624124,27724,67082,39358,596400,582718,9080,4603,-80800,97269,178069,-72717,-33975,16285,50260
2025-09-30,440152,128990,8658,120332,311162,111693,199469,629548,28346,67817,39471,601202,586323,8873,6005,-81839,99992,181831,-72502,-35055,17704,52759
2025-10-31,442324,130730,8760,121970,311594,112194,199400,633520,27997,66913,38915,605523,590758,8806,5959,-82892,101324,184217,-73252,-35052,17184,52237
2025-11-30,443578,131123,8861,122262,312455,114090,198365,632756,25683,66773,41090,607073,593758,8285,5031,-82516,105781,188296,-73814,-32849,18452,51301
2025-12-31,447880,134663,9101,125562,313217,113829,199388,640247,31530,66997,35467,608717,596248,8299,4170,-85359,96301,181659,-73899,-33109,17469,50578
2026-01-31,441739,130122,9061,121061,311617,113289,198327,633307,23242,66396,43154,610065,597792,8319,3955,-81212,105316,186528,-74227,-36129,17644,53773
2026-02-28,445894,132962,9074,123888,312933,113550,199383,638228,25962,66723,40761,612266,599069,8616,4582,-82775,98470,181245,-74571,-34989,17317,52306
2026-03-31,455643,137977,9046,128930,317666,114364,203302,639202,24443,67547,43105,614759,601107,8583,5070,-73325,115097,188422,-73582,-36653,16148,52800
2026-04-30,454442,137839,9055,128784,316603,115239,201364,636006,23385,66364,42979,612621,601175,7706,3739,-69902,111166,181068,-74056,-37606,18061,55668
2026-05-31,451046,134767,9039,125728,316279,113017,203262,635292,19874,60785,40910,615418,604642,7872,2903,-71350,108737,180087,-74591,-38305,17904,56209
2026-06-30,454697,137973,9106,128867,316724,112803,203921,643299,21662,62954,41292,621637,607506,8598,5533,-77212,115929,193141,-75396,-35995,16819,52813
2026-07-31,458490,138369,9165,129205,320121,113415,206706,642321,21055,63038,41983,621266,609902,8661,2703,-74611,104317,178928,-75235,-33984,17217,51201
