date,C5:CRDS.MALP1,C5:BSPA.MAM1A4.P1,C5:CRD.MNA311,C5:CRDS.MALP2,C5:BSPA.MAN1A4.P2,C5:CRD.MNA321,C5:CRDS.MALP0,C5:BSPA.MALA4.P0,C5:CRD.MNA301,C5:CRDS.MALP3,C5:BSPA.MALA4.P3,C5:CRD.MNA201,C5:CRDS.MALP4,C5:CRDS.MALP1.ay,C5:CRDS.MALP2.ay,C5:CRDS.MALP0.ay,C5:CRDS.MALP3.ay,C5:CRDS.MALP4.ay
2021-04-30,311816,307871,3945,14718,8241,6477,326534,316112,10422,116284,109531,6754,62040,11.1,-1.9,10.4,-5.5,-1.5
2021-05-31,314857,310772,4085,14688,8195,6493,329545,318967,10579,116745,110065,6681,62236,11.5,-2.5,10.8,-4.1,-1.2
2021-06-30,317515,313256,4259,14595,8114,6482,332110,321370,10740,118131,111168,6963,62326,11.9,-4.2,11.1,-1.5,-1.2
2021-07-31,320295,315889,4406,14501,8026,6475,334796,323915,10881,118454,111372,7082,62561,12.1,-3.6,11.4,0.5,-1.1
2021-08-31,321498,317021,4477,13994,7574,6420,335492,324595,10897,119254,112144,7110,62504,11.7,-5.8,10.9,1.6,-1.2
2021-09-30,323811,319231,4579,13727,7409,6319,337538,326640,10898,120255,112971,7284,62307,11.6,-7.7,10.7,2.8,-0.9
2021-10-31,326286,321555,4731,13836,7524,6312,340122,329079,11043,121735,114450,7285,62156,11.4,-7.2,10.5,4.4,-0.9
2021-11-30,328771,323888,4884,14181,7803,6378,342952,331691,11262,123005,115637,7368,61979,11,-6.2,10.2,5.6,-1.2
2021-12-31,330984,325937,5047,14198,7794,6404,345181,333731,11451,123136,115687,7449,61812,10.5,-6,9.7,5.8,-1.1
2022-01-31,332662,327448,5215,14049,7664,6385,346711,335112,11599,123746,116296,7450,61907,10,-5.8,9.3,6.1,-1.1
2022-02-28,334123,328776,5347,13988,7613,6375,348111,336389,11722,125385,117944,7441,61509,9.5,-5.8,8.8,7.6,-1.3
2022-03-31,335756,330169,5586,13796,7430,6367,349552,337599,11953,125814,118066,7748,61501,8.7,-5.9,8.1,7.8,-1.2
2022-04-30,337134,331404,5730,13711,7339,6372,350846,338743,12102,126984,119186,7797,61441,8.1,-5.6,7.5,8.9,-1
2022-05-31,338373,332536,5837,13688,7314,6375,352062,339850,12212,127610,119772,7838,61622,7.5,-5.5,6.9,9,-1
2022-06-30,339477,333535,5942,13661,7282,6379,353138,340817,12322,128629,120755,7874,61954,6.9,-5.1,6.4,8.7,-0.6
2022-07-31,340324,334287,6037,13628,7258,6370,353953,341545,12408,128850,120908,7942,62146,6.3,-4.7,5.8,8.6,-0.7
2022-08-31,341275,335194,6081,13613,7226,6387,354887,342419,12468,129620,121628,7992,62245,6.2,-1.4,5.9,8.5,-0.4
2022-09-30,342226,336147,6079,13711,7302,6409,355937,343449,12488,131254,122894,8360,62035,5.7,1.9,5.5,8.9,-0.4
2022-10-31,343173,337073,6100,13838,7415,6422,357010,344488,12522,131802,123381,8422,61999,5.2,2,5.1,8.2,-0.3
2022-11-30,344454,338404,6050,14035,7556,6479,358489,345960,12529,133310,124811,8499,61995,4.8,0.9,4.6,8.3,0
2022-12-31,345524,339535,5989,14160,7550,6611,359685,347085,12600,132925,124286,8639,61980,4.4,1.7,4.3,7.9,0.3
2023-01-31,346137,340208,5930,14132,7495,6637,360270,347703,12567,132171,123603,8568,62206,4.1,2.6,4,6.7,0.5
2023-02-28,346534,340659,5875,14207,7539,6668,360741,348198,12543,132651,124085,8566,62255,3.7,3.6,3.7,5.7,1.2
2023-03-31,347489,341658,5831,14153,7486,6667,361642,349144,12499,132135,123340,8795,62325,3.5,4.6,3.5,5,1.3
2023-04-30,348066,342313,5754,14210,7520,6690,362276,349833,12443,132762,123989,8774,62180,3.2,4.3,3.3,4.5,1.2
2023-05-31,348865,343244,5620,14162,7463,6699,363027,350708,12319,132137,123327,8810,62586,3.1,4.1,3.1,3.5,1.6
2023-06-30,350042,344508,5535,14243,7525,6718,364285,352033,12253,132656,123754,8903,63150,3.1,4.9,3.2,3.1,1.9
2023-07-31,350722,345305,5416,14265,7546,6719,364987,352852,12135,131547,122648,8899,63421,3,5.3,3.1,2.1,2.1
2023-08-31,351690,346358,5332,14278,7531,6747,365969,353890,12079,131942,123058,8884,63172,3,5.5,3.1,1.8,1.5
2023-09-30,352567,347346,5221,14381,7585,6796,366948,354931,12017,132325,123289,9036,62890,3,4.9,3.1,0.9,1.4
2023-10-31,353611,348490,5120,14438,7639,6799,368049,356130,11919,133876,124780,9096,62615,3,4.3,3.1,1.6,1
2023-11-30,354661,349647,5015,14758,7828,6930,369420,357475,11945,133376,124391,8986,62601,2.9,4.6,3,0.1,1
2023-12-31,355955,349689,6266,14836,7814,7022,370791,357503,13288,133575,124485,9090,62538,2.9,4.2,3,0.5,0.9
2024-01-31,356545,350393,6152,14788,7730,7058,371333,358123,13210,133881,124723,9158,62726,2.9,4.1,3,1.3,0.8
2024-02-29,357274,351217,6058,14813,7742,7072,372088,358958,13129,134721,125498,9223,62858,3,3.7,3,1.6,1
2024-03-31,358450,352396,6054,14751,7705,7046,373201,360101,13100,134986,125528,9458,62912,3.1,3.6,3.1,2.2,0.9
2024-04-30,359329,353261,6068,14713,7687,7026,374042,360948,13093,134786,125492,9294,62599,3.1,3,3.1,1.6,0.7
2024-05-31,360570,354658,5912,14600,7580,7020,375170,362238,12932,135967,126619,9348,63106,3.3,2.5,3.2,2.9,0.8
2024-06-30,361477,355660,5817,14574,7577,6996,376051,363238,12814,135499,126140,9360,63482,3.2,1.8,3.1,2.2,0.5
2024-07-31,362119,356335,5785,14507,7491,7017,376627,363825,12801,134446,125287,9160,63688,3.2,1.1,3.1,2.2,0.4
2024-08-31,363248,357552,5696,14558,7512,7046,377806,365064,12742,135255,126143,9112,63868,3.2,1.4,3.1,2.5,1.1
2024-09-30,364572,359000,5572,14650,7570,7080,379222,366570,12652,134907,125726,9182,63865,3.3,1.3,3.3,2,1.6
2024-10-31,366085,360580,5505,14677,7564,7112,380762,368144,12617,135429,126219,9211,63245,3.5,1.1,3.4,1.2,1
2024-11-30,367732,362354,5378,14726,7699,7027,382458,370053,12405,137215,127889,9327,63115,3.6,0.7,3.5,2.8,0.8
2024-12-31,369380,364099,5281,14645,7688,6956,384024,371787,12237,137568,128076,9492,62705,3.8,0.4,3.6,2.9,0.3
2025-01-31,370699,365484,5216,14602,7616,6986,385301,373100,12201,138458,129014,9444,62345,4,0.4,3.8,3.3,-0.6
2025-02-28,371873,366689,5185,14635,7633,7002,386508,374321,12186,138240,128817,9423,62058,4.1,0.5,3.9,2.5,-1.3
2025-03-31,373671,368569,5102,14590,7586,7004,388261,376155,12106,137088,127539,9549,62100,4.2,0.6,4.1,1.7,-1.8
2025-04-30,375287,370232,5055,14537,7533,7004,389824,377765,12059,136694,127181,9513,61997,4.4,0.5,4.3,1.6,-1.5
2025-05-31,377440,372414,5026,14518,7495,7024,391958,379909,12050,136504,127038,9466,62839,4.7,1.1,4.5,0.6,-1
2025-06-30,379151,374113,5038,14257,7476,6781,393408,381589,11819,136783,127228,9555,63376,4.9,1.4,4.8,1.1,-0.7
2025-07-31,380493,375483,5010,14153,7360,6793,394645,382843,11802,136804,127259,9545,63700,5.1,1.1,4.9,1.9,-0.5
2025-08-31,382484,377484,4999,14252,7421,6832,396736,384905,11831,137940,128342,9598,64089,5.3,1.5,5.2,2.1,-0.2
2025-09-30,384298,379301,4997,14325,7464,6862,398624,386765,11859,139618,129997,9622,63989,5.4,1.4,5.3,3.7,-0.4
2025-10-31,386335,381370,4966,14364,7468,6896,400699,388837,11862,142005,132368,9637,63608,5.5,1.4,5.4,5,0
2025-11-30,388500,383491,5009,14663,7652,7011,403163,391143,12020,141977,132274,9703,63495,5.6,2.3,5.5,3.7,0
2025-12-31,390591,385637,4954,14645,7594,7051,405236,393231,12005,142668,132833,9835,63302,5.7,1.9,5.6,4,0.4
2026-01-31,392315,387327,4988,14634,7525,7109,406949,394852,12097,142853,133043,9810,63348,5.8,2.1,5.7,3.4,1
2026-02-28,393606,388598,5008,14664,7524,7141,408270,396121,12148,142758,132963,9795,63393,5.8,2.1,5.7,3.5,1.6
2026-03-31,395637,390573,5065,14535,7414,7121,410173,397987,12185,142664,132804,9860,63636,5.9,1.5,5.7,4.1,2.5
2026-04-30,397016,391964,5052,14455,7331,7125,411471,399295,12176,142612,132877,9735,62188,5.8,1.3,5.6,4.3,0.3
2026-05-31,399034,393940,5094,14460,7293,7167,413493,401232,12261,143128,133359,9769,63157,5.7,1.5,5.6,4.9,0.5
2026-06-30,400512,395422,5089,14487,7281,7206,414998,402703,12295,143139,133369,9770,64496,5.6,1.6,5.5,4.6,1.8
2026-07-31,401944,396846,5098,14425,7226,7199,416369,404072,12297,142861,133109,9752,65238,5.6,1.9,5.5,4.4,2.4
