month_end_serial,first_issued,prefix,coupon,maturity_serial,type,total,rbnz_issued,eqc,sresl,market
36616,8/1995,0201,8.00%,36937,Nominal,3666,500,516,0,2650
36616,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
36616,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36616,3/1991,TE48,10.00%,37330,Nominal,3044.8,150,382.8,0,2512
36616,10/1998,0403,5.50%,37726,Nominal,2644,350,296,0,1998
36616,8/1992,TE52,8.00%,38092,Nominal,3660.5,150,466.5,0,3044
36616,8/1994,1106,8.00%,39036,Nominal,3660.8,450,433.8,0,2777
36616,7/1997,0709,7.00%,40009,Nominal,3812,350,460,0,3002
36616,4/1999,1111,6.00%,40862,Nominal,1720,400,220,0,1100
36616,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
36646,8/1995,0201,8.00%,36937,Nominal,3666,500,516,0,2650
36646,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
36646,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36646,3/1991,TE48,10.00%,37330,Nominal,3044.8,150,382.8,0,2512
36646,10/1998,0403,5.50%,37726,Nominal,2758,350,310,0,2098
36646,8/1992,TE52,8.00%,38092,Nominal,3660.5,150,466.5,0,3044
36646,8/1994,1106,8.00%,39036,Nominal,3660.8,450,433.8,0,2777
36646,7/1997,0709,7.00%,40009,Nominal,3812,350,460,0,3002
36646,4/1999,1111,6.00%,40862,Nominal,1834,400,234,0,1200
36646,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
36677,8/1995,0201,8.00%,36937,Nominal,3666,500,516,0,2650
36677,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
36677,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36677,3/1991,TE48,10.00%,37330,Nominal,3044.8,150,382.8,0,2512
36677,10/1998,0403,5.50%,37726,Nominal,2958,450,310,0,2198
36677,8/1992,TE52,8.00%,38092,Nominal,3660.5,150,466.5,0,3044
36677,8/1994,1106,8.00%,39036,Nominal,3684.8,450,457.8,0,2777
36677,7/1997,0709,7.00%,40009,Nominal,3812,350,460,0,3002
36677,4/1999,1111,6.00%,40862,Nominal,1984,450,234,0,1300
36677,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
36707,8/1995,0201,8.00%,36937,Nominal,3666,500,516,0,2650
36707,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
36707,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36707,3/1991,TE48,10.00%,37330,Nominal,3044.8,150,382.8,0,2512
36707,10/1998,0403,5.50%,37726,Nominal,3058,450,310,0,2298
36707,8/1992,TE52,8.00%,38092,Nominal,3660.5,150,466.5,0,3044
36707,8/1994,1106,8.00%,39036,Nominal,3684.8,450,457.8,0,2777
36707,7/1997,0709,7.00%,40009,Nominal,3812,350,460,0,3002
36707,4/1999,1111,6.00%,40862,Nominal,2084,450,234,0,1400
36707,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
36738,8/1995,0201,8.00%,36937,Nominal,3666,500,516,0,2650
36738,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36738,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
36738,3/1991,TE48,10.00%,37330,Nominal,3044.8,150,382.8,0,2512
36738,10/1998,0403,5.50%,37726,Nominal,3058,450,310,0,2298
36738,8/1992,TE52,8.00%,38092,Nominal,3660.5,150,466.5,0,3044
36738,8/1994,1106,8.00%,39036,Nominal,3684.8,450,457.8,0,2777
36738,7/1997,0709,7.00%,40009,Nominal,3812,350,460,0,3002
36738,4/1999,1111,6.00%,40862,Nominal,2084,450,234,0,1400
36738,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
36769,8/1995,0201,8.00%,36937,Nominal,3666,500,516,0,2650
36738,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
36738,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36738,3/1991,TE48,10.00%,37330,Nominal,3044.8,150,382.8,0,2512
36738,10/1998,0403,5.50%,37726,Nominal,3183,450,310,0,2423
36738,8/1992,TE52,8.00%,38092,Nominal,3660.5,150,466.5,0,3044
36738,8/1994,1106,8.00%,39036,Nominal,3684.8,450,457.8,0,2777
36738,7/1997,0709,7.00%,40009,Nominal,3812,350,460,0,3002
36738,4/1999,1111,6.00%,40862,Nominal,2259,450,284,0,1525
36738,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
36799,8/1995,0201,8.00%,36937,Nominal,3566,500,516,0,2550
36799,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
36799,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36799,3/1991,TE48,10.00%,37330,Nominal,3044.8,150,382.8,0,2512
36799,10/1998,0403,5.50%,37726,Nominal,3308,450,310,0,2548
36799,8/1992,TE52,8.00%,38092,Nominal,3660.5,150,466.5,0,3044
36799,8/1994,1106,8.00%,39036,Nominal,3684.8,450,457.8,0,2777
36799,7/1997,0709,7.00%,40009,Nominal,3835,350,483,0,3002
36799,4/1999,1111,6.00%,40862,Nominal,2384,450,284,0,1650
36799,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
36830,8/1995,0201,8.00%,36937,Nominal,3566,500,516,0,2550
36830,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36830,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
36830,3/1991,TE48,10.00%,37330,Nominal,3044.8,150,382.8,0,2512
36830,10/1998,0403,5.50%,37726,Nominal,3433,450,310,0,2673
36830,8/1992,TE52,8.00%,38092,Nominal,3660.5,150,466.5,0,3044
36830,8/1994,1106,8.00%,39036,Nominal,3684.8,450,457.8,0,2777
36830,7/1997,0709,7.00%,40009,Nominal,3835,350,483,0,3002
36830,4/1999,1111,6.00%,40862,Nominal,2509,450,284,0,1775
36830,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
36860,8/1995,0201,8.00%,36937,Nominal,3566,500,516,0,2550
36860,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36860,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
36860,3/1991,TE48,10.00%,37330,Nominal,3044.8,150,382.8,0,2512
36860,10/1998,0403,5.50%,37726,Nominal,3583,450,310,0,2823
36860,8/1992,TE52,8.00%,38092,Nominal,3660.5,150,466.5,0,3044
36860,8/1994,1106,8.00%,39036,Nominal,3684.8,450,457.8,0,2777
36860,7/1997,0709,7.00%,40009,Nominal,3835,350,483,0,3002
36860,4/1999,1111,6.00%,40862,Nominal,2659,450,284,0,1925
36860,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
36891,8/1995,0201,8.00%,36937,Nominal,3502,500,516,0,2486
36891,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36891,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
36891,3/1991,TE48,10.00%,37330,Nominal,3044.8,150,382.8,0,2512
36891,10/1998,0403,5.50%,37726,Nominal,3583,450,310,0,2823
36891,8/1992,TE52,8.00%,38092,Nominal,3660.5,150,466.5,0,3044
36891,12/2000,0205,6.50%,38398,Nominal,350,200,0,0,150
36891,8/1994,1106,8.00%,39036,Nominal,3684.8,450,457.8,0,2777
36891,7/1997,0709,7.00%,40009,Nominal,3835,350,483,0,3002
36891,4/1999,1111,6.00%,40862,Nominal,2864,450,339,0,2075
36891,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
36922,8/1995,0201,8.00%,36937,Nominal,2482,500,516,0,1466
36922,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
36922,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36922,3/1991,TE48,10.00%,37330,Nominal,3044.8,150,382.8,0,2512
36922,10/1998,0403,5.50%,37726,Nominal,3583,450,310,0,2823
36922,8/1992,TE52,8.00%,38092,Nominal,3660.5,150,466.5,0,3044
36922,12/2000,0205,6.50%,38398,Nominal,500,200,0,0,300
36922,8/1994,1106,8.00%,39036,Nominal,3684.8,450,457.8,0,2777
36922,7/1997,0709,7.00%,40009,Nominal,3835,350,483,0,3002
36922,4/1999,1111,6.00%,40862,Nominal,3014,450,339,0,2225
36922,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
36950,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
36922,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36922,3/1991,TE48,10.00%,37330,Nominal,3059.8,150,397.8,0,2512
36922,10/1998,0403,5.50%,37726,Nominal,3763,450,490,0,2823
36922,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
36922,12/2000,0205,6.50%,38398,Nominal,793,200,143,0,450
36922,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
36922,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
36922,4/1999,1111,6.00%,40862,Nominal,3295,450,470,0,2375
36922,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
36981,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
36981,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
36981,3/1991,TE48,10.00%,37330,Nominal,3059.8,150,397.8,0,2512
36981,10/1998,0403,5.50%,37726,Nominal,3763,450,490,0,2823
36981,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
36981,12/2000,0205,6.50%,38398,Nominal,1318,575,143,0,600
36981,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
36981,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
36981,4/1999,1111,6.00%,40862,Nominal,3570,575,470,0,2525
36981,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37011,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
37011,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
37011,3/1991,TE48,10.00%,37330,Nominal,3059.8,150,397.8,0,2512
37011,10/1998,0403,5.50%,37726,Nominal,3763,450,490,0,2823
37011,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
37011,12/2000,0205,6.50%,38398,Nominal,1465,575,143,0,747
37011,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
37011,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
37011,4/1999,1111,6.00%,40862,Nominal,3741,575,470,0,2696
37011,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37042,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
37042,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
37042,3/1991,TE48,10.00%,37330,Nominal,3059.8,150,397.8,0,2512
37042,10/1998,0403,5.50%,37726,Nominal,3763,450,490,0,2823
37042,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
37042,12/2000,0205,6.50%,38398,Nominal,1640,575,143,0,922
37042,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
37042,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
37042,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37042,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37072,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
37072,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
37072,3/1991,TE48,10.00%,37330,Nominal,3059.8,150,397.8,0,2512
37072,10/1998,0403,5.50%,37726,Nominal,3763,450,490,0,2823
37072,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
37072,12/2000,0205,6.50%,38398,Nominal,1990,575,143,0,1272
37072,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
37072,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
37072,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37072,1/2008,0413,6.50%,41379,Nominal,350,0,0,0,350
37072,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37103,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
37103,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
37103,3/1991,TE48,10.00%,37330,Nominal,3059.8,150,397.8,0,2512
37103,10/1998,0403,5.50%,37726,Nominal,3763,450,490,0,2823
37103,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
37103,12/2000,0205,6.50%,38398,Nominal,2115,575,143,0,1397
37103,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
37103,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
37103,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37103,1/2008,0413,6.50%,41379,Nominal,575,100,0,0,475
37103,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37134,5/1984,0008,4.55%,37149,Nominal,10.9,0,5,0,5.9
37134,4/1990,XL08,4.55%,37149,Nominal,65.099999999999994,0,0,0,65.099999999999994
37134,3/1991,TE48,10.00%,37330,Nominal,3059.8,150,397.8,0,2512
37134,10/1998,0403,5.50%,37726,Nominal,3763,450,490,0,2823
37134,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
37134,12/2000,0205,6.50%,38398,Nominal,2240,575,143,0,1522
37134,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
37134,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
37134,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37134,1/2008,0413,6.50%,41379,Nominal,700,100,0,0,600
37134,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37164,3/1991,TE48,10.00%,37330,Nominal,3059.8,150,397.8,0,2512
37164,10/1998,0403,5.50%,37726,Nominal,3663,450,390,0,2823
37164,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
37164,12/2000,0205,6.50%,38398,Nominal,2390,575,143,0,1672
37164,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
37164,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
37164,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37164,1/2008,0413,6.50%,41379,Nominal,950,100,100,0,750
37164,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37195,3/1991,TE48,10.00%,37330,Nominal,2669.8,150,397.8,0,2122
37195,10/1998,0403,5.50%,37726,Nominal,3663,450,390,0,2823
37195,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
37195,12/2000,0205,6.50%,38398,Nominal,2540,575,143,0,1822
37195,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
37195,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
37195,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37195,1/2008,0413,6.50%,41379,Nominal,1100,100,100,0,900
37195,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37225,3/1991,TE48,10.00%,37330,Nominal,2531.8000000000002,150,397.8,0,1984
37225,10/1998,0403,5.50%,37726,Nominal,3663,450,390,0,2823
37225,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
37225,12/2000,0205,6.50%,38398,Nominal,2690,575,143,0,1972
37225,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
37225,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
37225,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37225,1/2008,0413,6.50%,41379,Nominal,1250,100,100,0,1050
37225,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37256,3/1991,TE48,10.00%,37330,Nominal,2361.8000000000002,150,297.8,0,1914
37256,10/1998,0403,5.50%,37726,Nominal,3663,450,390,0,2823
37256,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
37256,12/2000,0205,6.50%,38398,Nominal,2910,575,213,0,2122
37256,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
37256,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
37256,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37256,1/2008,0413,6.50%,41379,Nominal,1430,100,130,0,1200
37256,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37287,3/1991,TE48,10.00%,37330,Nominal,2361.8000000000002,150,297.8,0,1914
37287,10/1998,0403,5.50%,37726,Nominal,3663,450,390,0,2823
37287,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
37287,12/2000,0205,6.50%,38398,Nominal,3060,575,213,0,2272
37287,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
37287,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
37287,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37287,1/2008,0413,6.50%,41379,Nominal,1580,100,130,0,1350
37287,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37315,3/1991,TE48,10.00%,37330,Nominal,2353.8000000000002,150,297.8,0,1906
37315,10/1998,0403,5.50%,37726,Nominal,3663,450,390,0,2823
37315,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
37315,12/2000,0205,6.50%,38398,Nominal,3235,575,213,0,2447
37315,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
37315,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
37315,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37315,1/2008,0413,6.50%,41379,Nominal,1955,300,130,0,1525
37315,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37346,10/1998,0403,5.50%,37726,Nominal,3663,450,390,0,2823
37346,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
37346,12/2000,0205,6.50%,38398,Nominal,3410,575,213,0,2622
37346,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
37346,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
37346,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37346,1/2008,0413,6.50%,41379,Nominal,2280,450,130,0,1700
37346,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37376,10/1998,0403,5.50%,37726,Nominal,3663,450,390,0,2823
37376,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
37376,12/2000,0205,6.50%,38398,Nominal,3585,575,213,0,2797
37376,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
37376,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
37376,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37376,1/2008,0413,6.50%,41379,Nominal,2455,450,130,0,1875
37376,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37407,10/1998,0403,5.50%,37726,Nominal,3663,450,390,0,2823
37407,8/1992,TE52,8.00%,38092,Nominal,3672.5,150,478.5,0,3044
37407,12/2000,0205,6.50%,38398,Nominal,3585,575,213,0,2797
37407,2/2008,0206,6.50%,38763,Nominal,175,0,0,0,175
37407,8/1994,1106,8.00%,39036,Nominal,3711.8,450,484.8,0,2777
37407,7/1997,0709,7.00%,40009,Nominal,3855,350,503,0,3002
37407,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37407,1/2008,0413,6.50%,41379,Nominal,2630,450,130,0,2050
37407,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37437,10/1998,0403,5.50%,37726,Nominal,3663,450,390,0,2823
37437,8/1992,TE52,8.00%,38092,Nominal,3627.5,150,433.5,0,3044
37437,12/2000,0205,6.50%,38398,Nominal,3635,575,263,0,2797
37437,2/2008,0206,6.50%,38763,Nominal,350,0,0,0,350
37437,8/1994,1106,8.00%,39036,Nominal,3661.8,450,434.8,0,2777
37437,7/1997,0709,7.00%,40009,Nominal,3805,350,453,0,3002
37437,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37437,1/2008,0413,6.50%,41379,Nominal,2905,450,230,0,2225
37437,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37468,10/1998,0403,5.50%,37726,Nominal,3663,450,390,0,2823
37468,8/1992,TE52,8.00%,38092,Nominal,3627.5,150,433.5,0,3044
37468,12/2000,0205,6.50%,38398,Nominal,3635,575,263,0,2797
37468,2/2008,0206,6.50%,38763,Nominal,475,0,0,0,475
37468,8/1994,1106,8.00%,39036,Nominal,3661.8,450,434.8,0,2777
37468,7/1997,0709,7.00%,40009,Nominal,3805,350,453,0,3002
37468,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37468,1/2008,0413,6.50%,41379,Nominal,3030,450,230,0,2350
37468,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37499,10/1998,0403,5.50%,37726,Nominal,3663,450,390,0,2823
37499,8/1992,TE52,8.00%,38092,Nominal,3627.5,150,433.5,0,3044
37499,12/2000,0205,6.50%,38398,Nominal,3635,575,263,0,2797
37499,2/2008,0206,6.50%,38763,Nominal,600,0,0,0,600
37499,8/1994,1106,8.00%,39036,Nominal,3661.8,450,434.8,0,2777
37499,7/1997,0709,7.00%,40009,Nominal,3805,350,453,0,3002
37499,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37499,1/2008,0413,6.50%,41379,Nominal,3155,450,230,0,2475
37499,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37529,10/1998,0403,5.50%,37726,Nominal,3663,450,390,0,2823
37529,8/1992,TE52,8.00%,38092,Nominal,3575.5,150,381.5,0,3044
37529,12/2000,0205,6.50%,38398,Nominal,3635,575,263,0,2797
37529,2/2008,0206,6.50%,38763,Nominal,725,0,0,0,725
37529,8/1994,1106,8.00%,39036,Nominal,3661.8,450,434.8,0,2777
37529,7/1997,0709,7.00%,40009,Nominal,3805,350,453,0,3002
37529,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37529,1/2008,0413,6.50%,41379,Nominal,3280,450,230,0,2600
37529,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37560,10/1998,0403,5.50%,37726,Nominal,3663,451.2,390,0,2822
37560,8/1992,TE52,8.00%,38092,Nominal,3575.5,150,381.5,0,3044
37560,12/2000,0205,6.50%,38398,Nominal,3635,575,263,0,2797
37560,2/2008,0206,6.50%,38763,Nominal,975,125,0,0,850
37560,8/1994,1106,8.00%,39036,Nominal,3661.8,450,434.8,0,2777
37560,7/1997,0709,7.00%,40009,Nominal,3805,350,453,0,3002
37560,4/1999,1111,6.00%,40862,Nominal,3916,575,470,0,2871
37560,1/2008,0413,6.50%,41379,Nominal,3405,450,230,0,2725
37560,11/1995,0216,4.50%,42415,Inflation-Indexed,1521,0,350,0,1171
-,-,-,-,-,-,-,-,-,-,-
37590,10/1998,0403,5.50%,37726,Nominal,3663,452.2,390,0,2821
37560,8/1992,TE52,8.00%,38092,Nominal,3575.5,150,381.5,0,3044
37560,12/2000,0205,6.50%,38398,Nominal,3635,575,263,0,2797
37560,2/2008,0206,6.50%,38763,Nominal,1100,125,0,0,975
37560,8/1994,1106,8.00%,39036,Nominal,3646.8,450,419.8,0,2777
37560,7/1997,0709,7.00%,40009,Nominal,3805,350,453,0,3002
