Cash-Business-Date-Date-d'opération-de-trésorerie,Closing-Cash-Balance-Amount-Solde-de-fermeture-de-trésorerie,Term-Deposit-Outstanding-Amount-Montant-en-suspens-des-dépôts-à-terme,Prudential-Liquidity-Fund-Closing-Balance-Amount-Montant-du-solde-de-fermeture-du-fonds-de-liquidité-prudentielle
2026-06-11,24255003165.63,13500000000.00,20000000000.00
2026-06-12,23663921515.72,20000000000.00,20000000000.00
2026-06-15,24538564087.76,24000000000.00,20000000000.00
2026-06-16,25096059755.74,20000000000.00,20000000000.00
2026-06-17,24339783495.90,21000000000.00,20000000000.00
2026-06-18,23593458764.43,15000000000.00,20000000000.00
2026-06-19,23612185980.72,10500000000.00,20000000000.00
2026-06-22,23382115825.26,9000000000.00,20000000000.00
2026-06-23,22971742335.62,13500000000.00,20000000000.00
2026-06-24,23804281602.88,11500000000.00,20000000000.00
2026-06-25,24392658358.07,9500000000.00,20000000000.00
2026-06-26,23223810288.26,9000000000.00,20000000000.00
2026-06-29,23047429015.20,9000000000.00,20000000000.00
2026-06-30,24891201707.86,9000000000.00,20000000000.00
2026-07-02,24408245781.01,5000000000.00,20000000000.00
2026-07-03,25963249538.53,9600000000.00,20000000000.00
2026-07-06,24122618508.89,21450000000.00,20000000000.00
2026-07-07,24561666596.22,23250000000.00,20000000000.00
2026-07-08,24088380642.52,21000000000.00,20000000000.00
2026-07-09,24854667395.49,21447000000.00,20000000000.00
2026-07-10,23108076240.02,22000000000.00,20000000000.00
2026-07-13,23971470823.40,22164000000.00,20000000000.00
2026-07-14,24186716307.23,20865000000.00,20000000000.00
2026-07-15,23018300740.74,22500000000.00,20000000000.00
2026-07-16,23493936936.79,16000000000.00,20000000000.00
2026-07-17,22360034493.62,21000000000.00,20000000000.00
2026-07-20,23814377616.82,13500000000.00,20000000000.00
2026-07-21,23273843930.85,12000000000.00,20000000000.00
2026-07-22,24111959579.52,16581000000.00,20000000000.00
2026-07-23,23803480764.31,19320000000.00,20000000000.00
2026-07-24,25798435338.54,17900000000.00,20000000000.00
2026-07-27,25073729511.56,20800000000.00,20000000000.00
2026-07-28,23970099024.95,21950000000.00,20000000000.00
2026-07-29,23573158576.41,19450000000.00,20000000000.00
2026-07-30,23094251110.30,17000000000.00,20000000000.00
2026-07-31,25083076542.34,22800000000.00,20000000000.00
2026-08-03,24824711746.00,,20000000000.00
2026-08-04,25055597398.88,10800000000.00,20000000000.00
2026-08-05,23504834897.60,14000000000.00,20000000000.00
2026-08-06,24754839770.47,18000000000.00,20000000000.00
2026-08-07,24493255304.07,24000000000.00,20000000000.00
2026-08-10,24396047235.37,28000000000.00,20000000000.00
2026-08-11,23554895077.61,28000000000.00,20000000000.00
2026-08-12,22804113216.07,25000000000.00,20000000000.00
2026-08-13,25318066706.83,26950000000.00,20000000000.00
2026-08-14,23451622474.02,27885000000.00,20000000000.00
2026-08-17,23743168604.99,26000000000.00,20000000000.00
2026-08-18,25669164779.69,24649000000.00,20000000000.00
2026-08-19,24613751759.94,20425000000.00,20000000000.00
2026-08-20,26215366324.89,19381000000.00,20000000000.00
2026-08-21,24060047454.19,19000000000.00,20000000000.00
2026-08-24,23944190772.94,21000000000.00,20000000000.00
2026-08-25,23810428772.97,22000000000.00,20000000000.00
2026-08-26,22961527379.23,21000000000.00,20000000000.00
2026-08-27,24046161146.44,22000000000.00,20000000000.00
2026-08-28,23901602125.18,20000000000.00,20000000000.00
2026-08-31,24169780563.32,23000000000.00,20000000000.00
2026-09-01,23975781264.33,6000000000.00,20000000000.00
