date,V36610,V36636,V36628,V1203435186,V36613,V36612,V1038114416,V44201362,V36634,V36625
2006-06-28,47737,13,1491,,30750,16393,,,13,45296
2006-07-05,48025,83,1257,,30749,16573,,,83,45824
2006-07-12,47525,17,1271,,30749,16111,,,17,45332
2006-07-19,47610,9,1542,,30749,16172,,,9,45196
2006-07-26,47814,12,1594,,30890,16200,,,12,45283
2006-08-02,48190,11,1476,,30889,16551,,,11,45844
2006-08-09,48670,17,1135,,31113,16581,,,204,46072
2006-08-16,48656,18,1678,,31113,16722,,,18,45471
2006-08-23,49053,34,2801,,31421,16756,,,35,45324
2006-08-30,49165,17,2440,,31421,16937,,,17,45770
2006-09-06,48653,109,1408,,30263,16950,,,109,46269
2006-09-13,48061,25,1509,,30262,17130,,,25,45612
2006-09-20,48104,24,1833,,30262,17143,,,25,45372
2006-09-27,48316,25,1865,,30262,17327,,,25,45531
2006-10-04,48310,22,1390,,30210,17341,,,22,46024
2006-10-11,48713,11,1442,,30210,17722,,,11,46286
2006-10-18,48990,17,2399,,30437,17736,,,16,45724
2006-10-25,48838,16,2284,,30437,17551,,,16,45647
2006-11-01,49902,13,3069,,30437,17565,,,14,45977
2006-11-08,49016,8,1975,,30734,17379,,,8,46107
2006-11-15,49058,19,1870,,30734,17392,,,19,46285
2006-11-22,49415,22,2696,,30973,17474,,,22,45803
2006-11-29,49454,19,2375,,30973,17488,,,19,46129
2006-12-06,48397,17,1307,,30148,17865,,,17,46431
2006-12-13,49781,19,2428,,30147,17880,,,19,46656
2006-12-20,50615,41,2180,,30147,18146,,,41,47728
2006-12-27,50646,21,893,,30147,18160,,,22,49024
2007-01-03,50058,16,1415,,30392,17529,,,16,47986
2007-01-10,48279,32,1199,,30422,17542,,,31,46373
2007-01-17,48048,18,1590,,30616,17132,,,18,45724
2007-01-24,48136,63,1797,,30646,17146,,,63,45524
2007-01-31,48249,54,1625,,30901,17016,,,54,45772
2007-02-07,48253,12,1243,,30932,17030,,,13,45819
2007-02-14,48523,13,1224,,30963,16771,,,513,45639
2007-02-21,48073,19,1614,,30994,16783,,,19,45537
2007-02-28,48070,18,1393,,31025,16768,,,18,45719
2007-03-07,48868,391,25,,30895,16784,,,929,45753
2007-03-14,47889,12,700,,30926,16690,,,12,45567
2007-03-21,47928,13,1526,,30951,16702,,,13,45451
2007-03-28,48342,15,1755,,30982,17083,,,14,45583
2007-04-04,49647,26,1863,,31009,17096,,,27,46830
2007-04-11,48652,13,1328,,31040,17328,,,13,46345
2007-04-18,48696,12,1654,,31071,17341,,,12,46077
2007-04-25,49100,14,1828,,31362,17450,,,13,46293
2007-05-02,49141,12,1477,,31394,17464,,,12,46734
2007-05-09,49806,11,1509,,31725,17700,,,111,46694
2007-05-16,49759,16,1902,,31756,17715,,,17,46918
2007-05-23,50004,25,1758,,31788,17945,,,0,47259
2007-05-30,51391,25,3229,,32168,18950,,,0,47091
2007-06-06,49166,46,1023,,29832,18605,,,22,47149
2007-06-13,49584,422,1193,,29861,18616,,,397,46989
2007-06-20,49967,25,2020,,29891,19368,,,0,47051
2007-06-27,50270,25,1603,,29921,19385,,,0,47726
2007-07-04,50634,25,1358,,29950,20405,,,0,48356
2007-07-11,50182,25,1506,,29980,19920,,,0,47713
2007-07-18,49923,25,1387,,30010,19642,,,0,47472
2007-07-25,50128,32,1610,,30192,19654,,,7,47498
2007-08-01,51015,35,2037,,30218,20037,,,9,48077
2007-08-08,50821,25,1519,,30499,20053,,,0,48310
2007-08-15,51377,533,2223,,30529,20200,,,33,47724
2007-08-22,51362,300,2508,,30854,20238,,,0,47573
2007-08-29,52075,250,2765,,30885,20919,,,0,48060
2007-09-05,50981,250,1260,,29288,21426,,,0,48539
2007-09-12,50427,250,1341,,29317,20843,,,0,47867
2007-09-19,50465,152,1737,,29340,20856,,,2,47644
2007-09-26,50323,152,1438,,29735,20317,,,3,47752
2007-10-03,51083,300,1524,,29722,20334,,747,0,48214
2007-10-10,50793,500,914,,29751,20161,,600,0,48336
2007-10-17,50245,500,1025,,29781,20181,,0,0,47688
2007-10-24,50262,300,1355,,29810,20170,,0,0,47497
2007-10-31,51480,400,2129,,30084,20181,,929,0,47843
2007-11-07,50657,250,1380,,30114,20264,,0,0,47986
2007-11-14,50703,50,1562,,30144,20279,,0,0,48005
2007-11-21,52002,283,3162,,30174,20695,,866,0,47499
2007-11-28,51183,25,2385,,30204,20711,,0,0,47674
2007-12-05,50346,300,1101,,29256,20825,,0,0,48104
2007-12-12,51005,423,1445,,29285,20832,,621,0,48269
2007-12-19,54160,300,3683,,29314,20621,,3956,0,49330
2007-12-26,54520,250,2656,,29343,20638,,4272,0,50724
2008-01-02,53903,300,2601,,29368,20291,,3956,0,50157
2008-01-09,51925,200,2738,,29397,20311,,1923,0,48156
2008-01-16,49773,150,1335,,29427,20059,,0,0,47408
2008-01-23,49996,150,1612,,29620,20084,,0,0,47145
2008-01-30,49967,150,1591,,29649,20026,,0,0,47252
2008-02-06,50010,150,1511,,29674,20046,,0,0,47346
2008-02-13,49817,100,1452,,30109,19418,,0,0,47230
2008-02-20,49860,75,1351,,30139,19430,,0,0,47264
2008-02-27,49929,75,1569,,30468,19169,,0,0,47170
2008-03-05,49833,75,1345,,30341,19201,,0,0,47287
2008-03-12,50261,279,1637,,30371,19183,,451,0,47179
2008-03-19,49911,69,458,,30394,19216,,0,44,47652
2008-03-26,51629,41,2340,,30424,18790,,2141,16,47418
2008-04-02,52884,403,3831,,30446,18782,,3401,0,47548
2008-04-09,53510,94,4778,,30476,18500,,4209,69,47491
2008-04-16,53488,40,4904,,30506,18497,,4209,15,47438
2008-04-23,51582,25,2820,,30932,16271,,4120,0,47594
2008-04-30,53071,654,3082,,30963,16274,,5578,0,48164
2008-05-07,53189,25,3362,,30993,17917,,4022,0,48310
2008-05-14,53532,25,3888,,31329,17923,,4022,0,48514
2008-05-21,55325,25,5114,,31360,19773,,3936,0,48917
2008-05-28,56019,161,6097,,31912,19775,,3936,136,48629
2008-06-04,50960,25,995,,29486,18226,,2992,0,48853
2008-06-11,51196,25,1264,,29721,18226,,2992,0,48782
2008-06-18,51370,25,1484,,29749,19348,,2016,0,48799
2008-06-25,51633,50,1197,,29777,19558,,2016,25,49300
2008-07-02,52547,148,1174,,29806,21383,,976,123,50176
2008-07-09,52171,25,1328,,29835,21099,,976,0,49729
2008-07-16,52013,25,1472,,30256,21496,,0,0,49444
2008-07-23,52046,25,1535,,30285,21497,,0,0,49403
2008-07-30,53714,736,1937,,30314,22214,,927,0,49911
2008-08-06,53124,100,1527,,30642,22227,,0,0,50432
2008-08-13,52877,25,1865,,30671,21950,,0,0,49875
2008-08-20,53417,25,2614,,30701,22460,,0,0,49703
2008-08-27,54449,25,3180,,31273,22920,,0,0,50082
2008-09-03,53258,25,1400,,29772,23231,,0,0,50692
2008-09-10,52297,25,988,,29800,22243,,0,0,50142
2008-09-17,52358,25,1362,,29822,22280,,0,0,49829
2008-09-24,54521,25,3508,,29851,22483,,1933,0,49833
2008-10-01,56444,25,4999,,29849,22505,,3835,0,50299
2008-10-08,55910,25,4036,,30251,17250,,8156,0,50598
2008-10-15,56960,25,4871,,30280,14605,,11817,0,50866
2008-10-22,63952,127,12100,,30309,13690,,19696,2,50522
2008-10-29,66392,25,14288,,30337,13145,,22559,0,50772
2008-11-05,67154,25,14730,,30362,12300,,24150,0,51116
2008-11-12,70056,25,17400,,30391,11458,,27857,0,51318
2008-11-19,71633,25,19427,,30420,12521,,28340,0,50909
2008-11-26,77561,27,25131,,30449,11789,,32069,2901,51098
2008-12-03,76935,25,24172,,29160,11590,,32657,3175,51576
2008-12-10,78827,34,25891,,29188,10709,,35393,3184,51740
2008-12-17,78853,251,25195,,29216,11226,,34601,3451,52269
2008-12-24,81533,2350,23895,,29244,11711,,38031,2175,54074
2008-12-31,78584,26,23604,,29268,11717,,35327,1902,53731
2009-01-07,77714,25,24250,,29296,11719,,35337,1000,52249
2009-01-14,76772,25,24217,,29324,12701,,34286,100,51272
2009-01-21,77642,25,25458,,29885,12693,,34602,100,50872
2009-01-28,74918,25,22789,,30362,11467,,32697,125,50952
2009-02-04,78826,25,26440,,30386,11469,,36693,25,51126
2009-02-11,76559,25,24307,,30415,12251,,33621,25,50957
2009-02-18,81331,25,28972,,31020,12251,,37811,0,51010
2009-02-25,79761,25,27486,,31049,13026,,35433,0,50885
2009-03-04,80326,25,27870,,31354,13040,,35679,0,51057
2009-03-11,81552,80,29207,,31383,13815,,36044,54,50870
2009-03-18,79439,25,27283,,31671,13818,,33694,0,50820
2009-03-25,80369,28,28162,,31841,14591,,33682,3,50799
2009-04-01,81199,25,28693,,32114,14593,,34244,0,51203
2009-04-08,80392,25,27188,,32143,15167,,32834,0,51913
2009-04-15,76904,25,24069,,32172,13068,,31407,0,51553
2009-04-22,77798,3000,22219,,32501,13652,,31389,0,51342
2009-04-29,75770,2872,19991,,32530,13655,,29334,0,51693
2009-05-06,75338,3000,19114,,32560,13131,,29400,0,52036
2009-05-13,73983,3000,17553,,32938,13133,,27665,0,52198
2009-05-20,74508,3000,17867,,33112,13707,,27442,0,52428
2009-05-27,71153,3000,14647,,33142,13706,,24056,0,52231
2009-06-03,69573,2995,12987,,31140,14280,,23909,0,52414
2009-06-10,72282,3004,15819,,31168,14278,,26589,3,52306
2009-06-17,76381,3000,19999,,31549,14878,,29708,0,52207
2009-06-24,76447,3000,19754,,31577,14879,,29744,0,52524
2009-07-01,76006,3189,18105,,31605,14480,,29667,0,53503
2009-07-08,75988,3000,18715,,31633,14480,,29620,0,53068
2009-07-15,77399,3008,20469,,31661,13556,,31917,9,52794
2009-07-22,77664,3000,20825,,31834,13558,,32017,0,52689
2009-07-29,78599,3000,21335,,31862,13456,,33024,0,53088
2009-08-05,78875,1684,22500,,32109,13456,,33044,0,53573
2009-08-12,77709,2938,20734,,32312,13182,,31948,0,52901
2009-08-19,74593,3000,17841,,32504,13183,,28638,0,52641
2009-08-26,75557,3000,18586,,32682,13384,,29226,0,52830
2009-09-02,75132,3013,17542,,31442,13384,,30028,13,53386
2009-09-09,74914,3000,17066,,31619,13459,,29569,0,53658
2009-09-16,73278,3000,16277,,31640,13460,,27913,0,52843
2009-09-23,75236,3207,18161,,31817,13759,,28977,420,52722
2009-09-30,75817,3000,18460,,31991,13759,,29790,0,53123
2009-10-07,74926,3000,17298,,31979,14234,,28448,0,53433
2009-10-14,74914,3000,17118,,32181,14233,,28235,0,53543
2009-10-21,77521,3000,20334,,32285,14634,,30333,0,52953
2009-10-28,75163,3000,17906,,32313,14634,,27946,0,52971
2009-11-04,75064,1556,19058,,32337,14509,,27945,0,53224
2009-11-11,75267,3000,17560,,32538,14510,,27945,0,53486
2009-11-18,75789,3000,18673,,32715,14910,,27891,0,52930
2009-11-25,74775,3000,17628,,32892,14912,,26694,0,52922
2009-12-02,72755,2895,15469,,31568,14286,,26625,0,53395
2009-12-09,72987,3000,15478,,31595,14286,,26827,0,53498
2009-12-16,72869,3000,15040,,31781,14185,,26620,0,53851
2009-12-23,71827,2842,12285,,31959,14185,,25379,0,55635
2009-12-30,71349,3000,11407,,31986,13684,,25375,0,55830
2010-01-06,71373,2534,13637,,32010,13685,,25376,0,54148
2010-01-13,71524,3000,14501,,32037,13885,,25297,0,52948
2010-01-20,70614,2987,14155,,32212,13887,,24208,0,52406
2010-01-27,70924,3000,14326,,32240,14185,,24207,0,52484
2010-02-03,71102,3000,14057,,32414,14187,,24208,0,52826
2010-02-10,71730,3000,14753,,32592,14634,,24208,0,52755
2010-02-17,71880,3080,14874,,32779,14635,,24170,0,52787
2010-02-24,71162,3080,14269,,32882,14832,,23153,0,52583
2010-03-03,71101,2939,14275,,32824,14832,,23144,0,52692
2010-03-10,71761,3003,15165,,33001,15329,,23127,0,52394
2010-03-17,71856,3200,15170,,33172,15329,,23049,0,52195
2010-03-24,71180,3200,14612,,33200,15624,,22051,0,52136
2010-03-31,71359,3200,13668,,33382,15622,,22045,0,53252
2010-04-07,71878,3200,14414,,33409,16119,,22043,0,52996
2010-04-14,73046,3200,16006,,33586,16116,,23036,0,52590
2010-04-21,72593,3200,15640,,33787,16510,,21988,0,52500
2010-04-28,71670,3200,14420,,33815,16509,,21039,0,52817
2010-05-05,68087,3021,10659,,33993,16760,,17022,0,53195
2010-05-12,67336,3200,9823,,34171,16758,,16093,0,53070
2010-05-19,67160,2986,9657,,34349,17408,,15090,0,53289
2010-05-26,67270,3200,8846,,34452,17411,,15091,0,53995
2010-06-02,60320,899,4189,,31835,18348,,9821,0,53990
2010-06-09,59560,400,4135,,32012,18350,,8882,0,53798
2010-06-16,59859,232,4274,,32215,19489,,7831,7,54216
2010-06-23,60241,225,3994,,32392,20733,,6798,0,54722
2010-06-30,59439,286,2608,,32418,20742,,5941,15,55274
2010-07-07,58478,236,2290,,32444,20747,,4952,12,54740
2010-07-14,59103,94,3365,,32623,22181,,3966,8,54394
2010-07-21,58254,92,2629,,32797,22184,,2942,6,54327
2010-07-28,59265,25,3286,,32823,23173,,2942,0,54748
2010-08-04,59294,30,2733,,32846,23177,,2942,4,55315
2010-08-11,60376,25,4456,,33036,24073,,2942,0,54671
2010-08-18,57615,25,1851,,33213,24077,,0,0,54437
2010-08-25,58278,25,2390,,33422,24530,,0,0,54499
2010-09-01,60194,25,3373,,32152,25530,,2183,0,55240
2010-09-08,58250,86,1400,,32255,25609,,0,60,55495
2010-09-15,58212,28,2241,,32275,25608,,0,2,54743
2010-09-22,57883,25,2042,,32451,25105,,0,0,54557
2010-09-29,57914,25,1676,,32477,25110,,0,0,54950
2010-10-06,57961,25,1425,,32476,25159,,0,0,55318
2010-10-13,58155,32,1446,,32659,25164,,0,7,55485
2010-10-20,58223,122,1948,,32836,24961,,0,97,54942
2010-10-27,58156,25,1968,,32862,24965,,0,0,54972
2010-11-03,58225,25,1728,,32885,25010,,0,0,55272
2010-11-10,58315,30,1431,,33431,24553,,0,6,55631
2010-11-17,58793,25,2510,,33909,24558,,0,0,55051
2010-11-24,59057,29,2861,,34163,24561,,0,4,54972
2010-12-01,58981,25,2213,,32509,25153,,985,0,55437
2010-12-08,58027,25,1112,,32535,25159,,0,0,55653
2010-12-15,58486,48,1208,,33039,24304,,784,23,55969
2010-12-22,60650,40,1824,,33517,24710,,2062,15,57405
2010-12-29,60848,25,1201,,33543,24905,,2062,0,58295
2011-01-05,59930,25,1527,,33566,24909,,784,0,56948
2011-01-12,58117,25,929,,33592,23854,,0,0,55280
2011-01-19,58617,25,2367,,34083,23862,,0,0,54668
2011-01-26,58019,49,1769,,34109,23214,,0,24,54600
2011-02-02,58481,25,1955,,34585,23220,,0,0,54901
2011-02-09,58246,25,1930,,35056,22515,,0,0,54686
2011-02-16,58756,25,2680,,35560,22519,,0,0,54495
2011-02-23,57988,27,1583,,35588,21721,,0,2,54724
2011-03-02,57761,25,1368,,35356,21725,,0,0,54777
2011-03-09,58048,25,1915,,35849,21519,,0,0,54502
2011-03-16,58530,25,2485,,36319,21530,,0,0,54279
2011-03-23,57657,25,1786,,36346,20630,,0,0,54189
2011-03-30,58168,25,1950,,36853,20632,,0,0,54569
2011-04-06,57429,25,1043,,36870,19878,,0,0,54780
2011-04-13,57987,25,1666,,37422,19883,,0,0,54674
2011-04-20,58063,25,1053,,37450,19928,,0,0,55422
2011-04-27,58620,25,1612,,38002,19933,,0,0,55386
2011-05-04,58227,25,1118,,38480,19058,,0,0,55488
2011-05-11,58644,25,1769,,38890,19062,,0,0,55289
2011-05-18,59692,25,2573,,39446,19554,,0,0,55481
2011-05-25,60272,35,2603,,40006,19561,,0,10,56028
2011-06-01,58951,34,1068,,36826,20504,,910,8,56080
2011-06-08,58977,25,1270,,36852,20509,,910,0,56054
2011-06-15,59010,28,1310,,37087,20302,,911,3,55995
2011-06-22,59113,75,1094,,37645,20708,,0,50,56234
2011-06-29,60356,25,1283,,37671,21946,,0,0,57300
2011-07-06,60000,25,1100,,37697,21580,,0,0,57201
2011-07-13,60023,29,1524,,38263,21027,,0,5,56809
2011-07-20,60564,25,2158,,38813,21028,,0,0,56708
2011-07-27,60616,25,1940,,38840,21053,,0,0,56986
2011-08-03,60994,25,1645,,39215,21060,,0,0,57643
2011-08-10,61150,25,2411,,39242,20870,,317,0,57027
2011-08-17,61326,225,2664,,39736,20869,,0,0,56813
2011-08-24,61756,425,2765,,40294,20739,,0,0,56900
2011-08-31,63201,432,3388,,40321,22140,,0,7,57659
2011-09-07,61001,451,802,,38556,21686,,0,26,58001
2011-09-14,61009,435,1634,,38582,21691,,0,9,57129
2011-09-21,60877,425,1785,,39134,21012,,0,0,56926
2011-09-28,60909,425,1552,,39160,21018,,0,0,57205
2011-10-05,61270,425,1379,,39187,21413,,0,0,57800
2011-10-12,61692,125,1946,,39608,21413,,0,0,58001
2011-10-19,62034,25,2925,,40153,21210,,0,0,57499
2011-10-26,62593,26,3425,,40703,21214,,0,1,57490
2011-11-02,62436,25,2965,,40719,21037,,0,0,57893
2011-11-09,63066,25,3200,,41342,21041,,0,0,58241
2011-11-16,63095,25,3247,,42070,20340,,0,0,58204
2011-11-23,63486,25,3849,,42450,20344,,0,0,57948
2011-11-30,63770,225,3472,,43180,19891,,0,0,58442
2011-12-07,62746,25,2379,,42159,19896,,0,0,58727
2011-12-14,62706,25,2154,,42888,19120,,0,0,58869
2011-12-21,63977,25,2093,,43515,19123,,634,0,60095
2011-12-28,64235,25,1237,,43542,18545,,1447,0,61225
2012-01-04,64186,41,2392,,43565,18547,,1448,15,60146
2012-01-11,62324,25,2257,,43592,18120,,0,0,58422
2012-01-18,63050,25,3599,,44315,18122,,0,0,57768
2012-01-25,62899,25,3692,,44342,17945,,0,0,57557
2012-02-01,63482,24,4024,,44924,17947,,0,0,57785
2012-02-08,63842,25,4516,,45488,17744,,0,0,57634
2012-02-15,64571,25,5291,,46210,17746,,0,0,57372
2012-02-22,65276,25,5800,,46944,17718,,0,0,57534
2012-02-29,65332,25,5897,,46976,17721,,0,0,57528
2012-03-07,65167,25,5715,,47169,17368,,0,0,57543
2012-03-14,65681,65,6426,,47196,17371,,483,0,57291
2012-03-21,65392,25,6043,,47218,17542,,0,0,57152
2012-03-28,65751,25,5967,,47572,17546,,0,0,57703
2012-04-04,66094,25,5278,,47596,17865,,0,0,58741
2012-04-11,66129,25,5753,,47624,17868,,0,0,58333
2012-04-18,67082,25,6944,,48330,18110,,0,0,58025
2012-04-25,68042,56,7791,,48358,18110,,0,0,58057
2012-05-02,68105,25,7477,,48948,18507,,0,0,58519
2012-05-09,68698,25,7929,,49533,18513,,0,0,58579
2012-05-16,69406,32,8444,,50241,18507,,0,7,58748
2012-05-23,70114,25,8636,,50948,18515,,0,0,59188
2012-05-30,70989,25,9330,,51331,19012,,0,0,59159
2012-06-06,68553,287,6379,,47921,19019,,952,0,59362
2012-06-13,68731,41,6969,,48515,19539,,0,16,59239
2012-06-20,69828,25,7953,,49129,20042,,0,0,59336
2012-06-27,70959,25,8480,,49814,20490,,0,0,60007
2012-07-04,70565,25,7664,,49841,20093,,0,0,60601
2012-07-11,70412,25,7955,,49868,19913,,0,0,60097
2012-07-18,71127,25,8816,,50585,19916,,0,0,59891
2012-07-25,71156,25,8908,,50612,19913,,0,0,59853
2012-08-01,71622,25,8802,,51076,19912,,0,0,60448
2012-08-08,72053,25,8964,,51762,19658,,0,0,60719
2012-08-15,72074,25,9638,,51790,19659,,0,0,60065
2012-08-22,72731,25,10463,,52499,19607,,0,0,59869
2012-08-29,72764,25,10086,,52526,19610,,0,0,60308
2012-09-05,72301,51,9069,,52239,18908,,497,27,60863
2012-09-12,71937,153,9258,,52267,18912,,0,129,60206
2012-09-19,72027,25,9786,,52289,19108,,0,0,59886
2012-09-26,72413,31,9942,,52666,19112,,0,6,60049
2012-10-03,73158,25,10291,,53355,19183,,0,0,60605
2012-10-10,73189,25,10283,,53383,19185,,0,0,60719
2012-10-17,73651,25,11309,,53951,19082,,0,0,60170
2012-10-24,74245,31,11896,,54535,19086,,0,6,60056
2012-10-31,74804,300,11754,,54564,19033,,571,0,60529
2012-11-07,74228,25,11285,,54562,19037,,0,0,60662
2012-11-14,74635,25,11544,,55266,18735,,0,0,60792
2012-11-21,75327,125,12514,,55956,18739,,0,0,60481
2012-11-28,75354,25,12484,,55985,18736,,0,0,60660
2012-12-05,74344,25,11020,,54968,18740,,0,0,61047
2012-12-12,74414,70,10631,,54996,18736,,0,44,61476
2012-12-19,75922,125,11089,,55567,18739,,931,0,62299
2012-12-26,77722,31,11785,,56257,18984,,1838,6,63508
2013-01-02,77740,25,12116,,56281,18987,,1838,0,63432
2013-01-09,77168,25,13579,,56311,18387,,1839,0,61397
2013-01-16,76493,32,13991,,57013,18391,,453,7,60288
2013-01-23,76466,25,14274,,57699,18139,,0,0,59993
2013-01-30,77421,116,14885,,57729,18142,,924,0,60235
2013-02-06,76721,36,14225,,58215,17865,,0,12,60319
2013-02-13,77282,25,14819,,58784,17869,,0,0,60200
2013-02-20,78565,25,15858,,59472,18463,,0,0,60210
2013-02-27,79087,138,16635,,59502,18468,,489,0,60142
2013-03-06,77816,25,15189,,58294,18888,,0,0,60297
2013-03-13,77850,27,15552,,58324,18890,,0,2,60093
2013-03-20,79697,237,17275,,58708,19633,,653,67,60000
2013-03-27,79669,25,16645,,59399,19637,,0,0,60849
2013-04-03,81341,397,17881,,59987,19881,,777,0,60894
2013-04-10,80597,25,17630,,60018,19885,,0,0,60691
2013-04-17,82416,29,19595,,60585,20778,,0,356,60543
2013-04-24,82096,25,19041,,60615,20782,,0,0,60714
2013-05-01,83606,25,19976,,61281,21626,,0,0,61316
2013-05-08,84214,275,20215,,61885,21629,,0,0,61506
2013-05-15,86551,25,22742,,62594,22770,,489,0,61601
2013-05-22,86635,25,22485,,63161,22775,,0,0,61942
2013-05-29,88512,187,24258,,63536,23691,,573,11,61854
2013-06-05,85615,25,21316,,60640,23695,,583,0,62099
2013-06-12,86295,25,22053,,60669,24535,,394,0,62012
2013-06-19,87144,25,22870,,61366,24540,,539,0,62089
2013-06-26,88100,218,23006,,61395,25206,,595,203,62747
2013-07-03,91106,1203,24376,,61979,25211,,3152,0,63381
2013-07-10,87979,25,22795,,62008,25208,,0,0,62942
2013-07-17,89572,410,24345,,62698,25214,,895,0,62676
2013-07-24,88680,250,23629,,62728,25185,,0,0,62619
2013-07-31,89360,250,23715,,63414,25190,,0,0,63252
2013-08-07,88012,267,22078,,61757,25510,,0,0,63627
2013-08-14,88582,267,23191,,62320,25515,,0,0,63057
2013-08-21,87913,267,22711,,62900,24266,,0,0,62863
2013-08-28,88607,217,22648,,63586,24271,,0,0,63330
2013-09-04,88274,216,21949,,63719,23793,,0,0,63964
2013-09-11,88308,217,22291,,63749,23798,,0,0,63346
2013-09-18,87385,217,22110,,63773,22846,,0,0,62965
2013-09-25,88068,167,22757,,64460,22851,,0,0,63047
2013-10-02,87741,167,21942,,64490,22448,,0,0,63453
2013-10-09,88389,219,22361,,65077,22454,,0,53,63627
2013-10-16,88753,187,22714,,65647,22300,,0,0,63741
2013-10-23,89459,187,23830,,66339,22307,,0,0,63311
2013-10-30,90239,187,24101,,66369,22702,,355,0,63578
2013-11-06,88297,277,21986,,64776,22706,,0,0,63871
