date,zirepo:H0
2024-11-28,0.956461
2024-11-29,0.942743
2024-12-02,0.942706
2024-12-03,0.944998
2024-12-04,0.946215
2024-12-05,0.946476
2024-12-06,0.952759
2024-12-09,0.955682
2024-12-10,0.955228
2024-12-11,0.952939
2024-12-12,0.951046
2024-12-13,0.445468
2024-12-16,0.451947
2024-12-17,0.457113
2024-12-18,0.455337
2024-12-19,0.451629
2024-12-20,0.453241
2024-12-23,0.455507
2024-12-24,0.455401
2024-12-27,0.455916
2024-12-30,0.454434
2024-12-31,0.451195
2025-01-03,0.455969
2025-01-06,0.436627
2025-01-07,0.425325
2025-01-08,0.427417
2025-01-09,0.432889
2025-01-10,0.43559
2025-01-13,0.430766
2025-01-14,0.423923
2025-01-15,0.424567
2025-01-16,0.431693
2025-01-17,0.44382
2025-01-20,0.444553
2025-01-21,0.446701
2025-01-22,0.449505
2025-01-23,0.44732
2025-01-24,0.444916
2025-01-27,0.450858
2025-01-28,0.451045
2025-01-29,0.453005
2025-01-30,0.452143
2025-01-31,0.430306
2025-02-03,0.425877
2025-02-04,0.424391
2025-02-05,0.416078
2025-02-06,0.421344
2025-02-07,0.428653
2025-02-10,0.431918
2025-02-11,0.435281
2025-02-12,0.438557
2025-02-13,0.445071
2025-02-14,0.447233
2025-02-17,0.444579
2025-02-18,0.449289
2025-02-19,0.444377
2025-02-20,0.446411
2025-02-21,0.440315
2025-02-24,0.446364
2025-02-25,0.445884
2025-02-26,0.447406
2025-02-27,0.44795
2025-02-28,0.428856
2025-03-03,0.446735
2025-03-04,0.438385
2025-03-05,0.440817
2025-03-06,0.444652
2025-03-07,0.44431
2025-03-10,0.44659
2025-03-11,0.447279
2025-03-12,0.449747
2025-03-13,0.439634
2025-03-14,0.444478
2025-03-17,0.446199
2025-03-18,0.446767
2025-03-19,0.433942
2025-03-20,0.427603
2025-03-21,0.188432
2025-03-24,0.190703
2025-03-25,0.195745
2025-03-26,0.199213
2025-03-27,0.204843
2025-03-28,0.207045
2025-03-31,0.206315
2025-04-01,0.203262
2025-04-02,0.207108
2025-04-03,0.212465
2025-04-04,0.214031
2025-04-07,0.211179
2025-04-08,0.209097
2025-04-09,0.206301
2025-04-10,0.203661
2025-04-11,0.205862
2025-04-14,0.18824
2025-04-15,0.174588
2025-04-16,0.180118
2025-04-17,0.183431
2025-04-22,0.17959
2025-04-23,0.180625
2025-04-24,0.188609
2025-04-25,0.196123
2025-04-28,0.196361
2025-04-29,0.204003
2025-04-30,0.197924
2025-05-02,0.197438
2025-05-05,0.197191
2025-05-06,0.193624
2025-05-07,0.198219
2025-05-08,0.203159
2025-05-09,0.204663
2025-05-12,0.20645
2025-05-13,0.205593
2025-05-14,0.207081
2025-05-15,0.206872
2025-05-16,0.21019
2025-05-19,0.207812
2025-05-20,0.204911
2025-05-21,0.206063
2025-05-22,0.206496
2025-05-23,0.207337
2025-05-26,0.205545
2025-05-27,0.201737
2025-05-28,0.207503
2025-05-30,0.207065
2025-06-02,0.198337
2025-06-03,0.201706
2025-06-04,0.203363
2025-06-05,0.202748
2025-06-06,0.207831
2025-06-10,0.2035
2025-06-11,0.201938
2025-06-12,0.202678
2025-06-13,0.203846
2025-06-16,0.20326
2025-06-17,0.203843
2025-06-18,0.203602
2025-06-19,0.185057
2025-06-20,-0.049324
2025-06-23,-0.04815
2025-06-24,-0.047007
2025-06-25,-0.042999
2025-06-26,-0.040076
2025-06-27,-0.040574
2025-06-30,-0.031727
2025-07-01,-0.035849
2025-07-02,-0.040983
2025-07-03,-0.041919
2025-07-04,-0.037875
2025-07-07,-0.041375
2025-07-08,-0.043348
2025-07-09,-0.04346
2025-07-10,-0.04161
2025-07-11,-0.042528
2025-07-14,-0.049151
2025-07-15,-0.051313
2025-07-16,-0.046557
2025-07-17,-0.048541
2025-07-18,-0.046278
2025-07-21,-0.047263
2025-07-22,-0.046867
2025-07-23,-0.04615
2025-07-24,-0.045613
2025-07-25,-0.045147
2025-07-28,-0.045896
2025-07-29,-0.044648
2025-07-30,-0.044321
2025-07-31,-0.0327
2025-08-04,-0.040992
2025-08-05,-0.041497
2025-08-06,-0.041262
2025-08-07,-0.040815
2025-08-08,-0.036823
2025-08-11,-0.040978
2025-08-12,-0.038604
2025-08-13,-0.039277
2025-08-14,-0.040873
2025-08-15,-0.04008
2025-08-18,-0.038807
2025-08-19,-0.039922
2025-08-20,-0.039503
2025-08-21,-0.039613
2025-08-22,-0.041382
2025-08-25,-0.039567
2025-08-26,-0.039359
2025-08-27,-0.039374
2025-08-28,-0.039237
2025-08-29,-0.06214
2025-09-01,-0.0432
2025-09-02,-0.038898
2025-09-03,-0.037938
2025-09-04,-0.037398
2025-09-05,-0.036243
2025-09-08,-0.034688
2025-09-09,-0.035854
2025-09-10,-0.036934
2025-09-11,-0.037789
2025-09-12,-0.036829
2025-09-15,-0.039252
2025-09-16,-0.037816
2025-09-17,-0.037353
2025-09-18,-0.037777
2025-09-19,-0.037464
