date,fx_intervention_proxy_v04
2022-11-25,-1349.0
2022-12-02,-4992.0
2022-12-09,-7236.0
2022-12-16,-597.0
2022-12-23,-3802.0
2022-12-30,-14497.0
2023-01-06,-4645.0
2023-01-13,24275.0
2023-01-20,40.0
2023-01-27,20.0
2023-02-03,-1852.0
2023-02-10,1432.0
2023-02-17,1245.0
2023-02-24,-6385.0
2023-03-03,-3996.0
2023-03-10,-5546.0
2023-03-17,3445.0
2023-03-24,40539.0
2023-03-31,-11691.0
2023-04-07,-29350.0
2023-04-14,16306.0
2023-04-21,4647.0
2023-04-28,-13891.0
2023-05-05,-763.0
2023-05-12,1378.0
2023-05-19,-2603.0
2023-05-26,640.0
2023-06-02,-669.0
2023-06-09,-6203.0
2023-06-16,1607.0
2023-06-23,-3314.0
2023-06-30,-16340.0
2023-07-07,-4261.0
2023-07-14,8238.0
2023-07-21,-5710.0
2023-07-28,837.0
2023-08-04,-1893.0
2023-08-11,-2769.0
2023-08-18,-8324.0
2023-08-25,-4625.0
2023-09-01,-3688.0
2023-09-08,1466.0
2023-09-15,7095.55
2023-09-22,-8865.2
2023-09-29,-27.75
2023-10-06,-10648.55
2023-10-13,6672.55
2023-10-20,-263.5
2023-10-27,-7329.9
2023-11-03,-2196.9
2023-11-10,1940.65
2023-11-17,-3402.755
2023-11-24,42.53
2023-12-01,-5375.3
2023-12-08,6855.95
2023-12-15,-2249.25
2023-12-22,-1947.9
2023-12-29,-76.24
2024-01-05,-6623.85
2024-01-12,11497.2
2024-01-19,10269.25
2024-01-26,-12920.35
2024-02-02,1173.95
2024-02-09,12022.9
2024-02-16,-1607.4
2024-02-23,-2881.4
2024-03-01,-2002.25
2024-03-08,4359.75
2024-03-15,-1464.9
2024-03-22,-7916.9
2024-03-29,4203.8
2024-04-05,-18757.8
2024-04-12,9861.3
2024-04-19,-908.9
2024-04-26,-2098.28
2024-05-03,-9094.85
2024-05-10,-5759.15
2024-05-17,-2896.4
2024-05-24,-146.4
2024-05-31,-6406.85
2024-06-07,-480.4
2024-06-14,-5566.4
2024-06-21,-8568.45
2024-06-28,17118.389
2024-07-05,-6173.0
2024-07-12,-871.8
2024-07-19,6199.6
2024-07-26,-1753.583
2024-08-02,-3754.25
2024-08-09,3623.4
2024-08-16,6214.7
2024-08-23,-328.9
2024-08-30,3146.65
2024-09-06,-18541.15
2024-09-13,14710.6
2024-09-20,-5205.75
2024-09-27,1668.1
2024-10-04,2938.65
2024-10-11,7582.15
2024-10-18,-2158.65
2024-10-25,3381.17
2024-11-01,-6152.55
2024-11-08,814.4
2024-11-15,6400.65
2024-11-22,-3996.8
2024-11-29,2546.06
2024-12-06,-1653.9
2024-12-13,-4776.05
2024-12-20,5200.7
2024-12-27,-860.6
2025-01-03,-7476.15
2025-01-10,11196.7
2025-01-17,8461.55
2025-01-24,-11457.54
2025-01-31,10536.45
2025-02-07,-179.25
2025-02-14,-4943.25
2025-02-21,-518.3
2025-02-28,1977.975
2025-03-07,-7112.5
2025-03-14,9793.0
2025-03-21,-12927.8
2025-03-28,14501.87
2025-04-04,-6705.4
2025-04-11,7459.35
2025-04-18,-2039.1
2025-04-25,-6164.98
2025-05-02,-2581.35
2025-05-09,8935.4
2025-05-16,-7788.0
2025-05-23,-5583.6
2025-05-30,-2276.85
2025-06-06,-892.9
2025-06-13,-1537.2
2025-06-20,-3189.7
2025-06-27,6105.485
2025-07-04,-28.65
2025-07-11,1204.0
2025-07-18,759.1
2025-07-25,4074.41
2025-08-01,2142.5
2025-08-08,-1433.75
2025-08-15,-4536.2
2025-08-22,7424.7
2025-08-29,-6416.65
2025-09-05,7590.45
2025-09-12,-4589.5
2025-09-19,175.6
2025-09-26,276.055
2025-10-03,-2925.6
2025-10-10,8045.75
2025-10-17,428.05
2025-10-24,995.94
2025-10-31,2549.45
2025-11-07,2315.6
2025-11-14,-8795.75
2025-11-21,6400.6
2025-11-28,-4584.879
2025-12-05,-591.6
2025-12-12,3978.8
2025-12-19,233.35
2025-12-26,657.25
2026-01-02,-6039.25
2026-01-09,-2112.762
2026-01-16,18864.4
2026-01-23,-8180.15
2026-01-30,766.41
2026-02-06,3788.7
2026-02-13,-5062.4
2026-02-20,2350.0
2026-02-27,6126.14
2026-03-06,-12817.85
2026-03-13,9921.0
2026-03-20,-7657.5
2026-03-27,-3613.11
2026-04-03,-4352.8
2026-04-10,13232.267
2026-04-17,-251.6
2026-04-24,-1209.25
2026-05-01,-5563.962
2026-05-08,-1866.2
2026-05-15,-1390.55
2026-05-22,131.697
2026-05-29,-5808.894
2026-06-05,6290.55
2026-06-12,-7312.05
2026-06-19,6376.1
2026-06-26,-6087.83
2026-07-03,-590.15
2026-07-10,17460.0
2026-07-17,-9665.8
2026-07-24,5033.835
2026-07-31,-2047.15
