date,snbgwdchfsgw:GI
2024-11-22,450993.0
2024-11-29,450934.0
2024-12-06,450471.0
2024-12-13,448179.0
2024-12-20,448022.0
2024-12-27,436438.0
2025-01-03,426583.0
2025-01-10,437056.0
2025-01-17,436684.0
2025-01-24,433324.0
2025-01-31,432930.0
2025-02-07,428051.0
2025-02-14,424395.0
2025-02-21,430154.0
2025-02-28,429397.0
2025-03-07,435928.0
2025-03-14,440693.0
2025-03-21,440369.0
2025-03-28,441692.0
2025-04-04,433371.0
2025-04-11,438374.0
2025-04-18,439709.0
2025-04-25,442598.0
2025-05-02,443074.0
2025-05-09,444846.0
2025-05-16,434777.0
2025-05-23,435737.0
2025-05-30,434278.0
2025-06-06,426346.0
2025-06-13,426691.0
2025-06-20,430038.0
2025-06-27,425831.0
2025-07-04,424433.0
2025-07-11,434906.0
2025-07-18,444805.0
2025-07-25,444966.0
2025-08-01,439535.0
2025-08-08,437055.0
2025-08-15,439135.0
2025-08-22,442549.0
2025-08-29,444662.0
2025-09-05,441972.0
2025-09-12,441688.0
2025-09-19,445099.0
2025-09-26,446605.0
2025-10-03,445042.0
2025-10-10,451704.0
2025-10-17,451092.0
2025-10-24,448652.0
2025-10-31,446863.0
2025-11-07,436251.0
2025-11-14,436891.0
2025-11-21,439819.0
2025-11-28,437298.0
2025-12-05,440519.0
2025-12-12,444663.0
2025-12-19,443733.0
2025-12-26,439594.0
2026-01-02,426390.0
2026-01-09,435767.0
2026-01-16,439895.0
2026-01-23,433611.0
2026-01-30,436584.0
2026-02-06,430596.0
2026-02-13,437022.0
2026-02-20,440601.0
2026-02-27,440458.0
2026-03-06,428861.0
2026-03-13,433502.0
2026-03-20,432785.0
2026-03-27,433093.0
2026-04-03,429902.0
2026-04-10,437497.0
2026-04-17,433270.0
2026-04-24,433014.0
2026-05-01,430703.0
2026-05-08,435513.0
2026-05-15,438403.0
2026-05-22,437900.0
2026-05-29,433476.0
2026-06-05,433174.0
2026-06-12,434025.0
2026-06-19,437507.0
2026-06-26,440595.0
2026-07-03,440922.0
2026-07-10,444759.0
2026-07-17,443048.0
2026-07-24,442663.0
2026-07-31,435251.0
2026-08-07,432643.0
2026-08-14,433521.0
2026-08-21,437110.0
2026-08-28,431290.0
2026-09-04,424977.0
